pathway_name,distance,n
M00001,10.145942332774645,7
M00002,38892.270225952256,5
M00003,1179.2895977441617,6
M00004,143209.6075273145,2
M00005,222.6861911817319,6
M00007,137219.44581112705,2
M00009,66.72668057698499,7
M00010,14576.894700011397,2
M00011,1068.9854340718769,6
M00012,112905.658823593,2
M00013,169834.07339111675,1
M00014,32.09200556700804,8
M00015,8538.20408820411,3
M00017,225776.13576224927,1
M00019,79717.5752317075,3
M00020,71030.79139785936,2
M00027,95094.28685593548,4
M00028,187336.11984525132,1
M00029,6044.875462027813,5
M00032,94110.30388233926,3
M00034,1501.2882234764038,9
M00035,346.5163183419609,8
M00036,1173.6804128534006,6
M00037,101979.30331266898,2
M00038,727.0096791709477,6
M00042,895.9021270737983,5
M00043,103654.48278207162,3
M00044,70592.40682150015,3
M00045,100681.76213215456,4
M00046,119108.1889620564,2
M00047,1556.2676070261195,6
M00048,108327.4225437655,4
M00049,3.9976847898754198,8
M00050,499.2064891704399,6
M00051,8461.945254577888,3
M00052,4819.668438688637,5
M00053,83.85104007136891,9
M00055,95322.71283706851,2
M00056,457.795469475035,7
M00057,97461.64728395993,2
M00058,139351.4313568486,1
M00059,11898.47517372244,5
M00065,75156.26730631638,3
M00066,112780.14366363361,1
M00067,83669.28171385461,1
M00068,45937.58968743984,2
M00069,2919.360389545476,5
M00070,18275.08950100589,2
M00072,88214.03008943015,6
M00073,6865.236997468348,3
M00074,6518.240875513184,3
M00075,85537.83374239803,1
M00076,27.379745504521708,9
M00077,1499.4527375967532,6
M00078,8.806511725423544,9
M00079,11486.645828597386,4
M00082,93235.45740696594,2
M00083,69056.42314218642,3
M00085,18131.225162061983,2
M00086,5433.401604209974,4
M00087,180639.45390102422,1
M00088,97087.50313275507,2
M00089,75.21483832454949,9
M00090,3163.0849280380494,4
M00091,169205.98902090243,1
M00092,9252.024680420092,3
M00093,100608.41595639517,2
M00094,257.15408897047735,6
M00095,1797.7294930372786,5
M00096,90196.2370644253,2
M00098,125.42377556154533,11
M00099,262.5561732504781,6
M00100,33094.029677848805,3
M00101,5106.278261507903,6
M00102,70659.38827927098,3
M00103,101643.36280953126,1
M00104,3034.9036604913026,4
M00106,57132.54659004563,1
M00107,63810.259822917185,1
M00110,50056.39601447649,1
M00113,182019.3663970044,1
M00115,949.5024997218751,6
M00118,160729.26006157443,1
M00119,79011.0151746998,3
M00120,1009.3692730262401,8
M00121,190.0396981197714,10
M00122,167401.2663599685,1
M00124,61358.721577493954,1
M00126,94530.71231475008,3
M00128,69188.38706305978,4
M00129,34.81361913717975,7
M00130,66.97037732040687,7
M00131,85346.5260544811,2
M00132,68970.17240889675,3
M00133,93920.68597121694,3
M00134,94524.28336254429,3
M00135,71883.69638690162,1
M00140,183521.5068432473,1
M00141,19179.13041901914,3
M00143,109872.63132951426,1
M00146,45571.28642560824,1
M00147,8320.32463040347,3
M00148,13122.58774517428,3
M00151,143788.458678317,1
M00152,132182.8430194956,1
M00154,495.9347181259259,8
M00158,98783.19004642754,5
M00160,135.28695998641072,6
M00165,89.95994230331566,6
M00168,113799.35005092478,1
M00169,113970.76353408565,1
M00170,78481.02196270833,3
M00171,100884.10326271484,3
M00172,114313.81829806617,1
M00173,115448.96352002032,1
M00307,113043.94745254591,1
M00308,45088.5852989024,4
M00338,204600.34750537833,1
M00344,98851.79649362307,1
M00345,14101.63786841041,2
M00346,116417.80806953798,4
M00357,204401.2154062391,1
M00364,91497.52030122613,2
M00365,89196.26564947334,2
M00366,78403.17895617016,4
M00367,83473.94748776617,4
M00368,144753.03549891137,4
M00373,106449.20553157592,2
M00374,175444.627006901,1
M00375,165595.4120037069,1
M00376,91657.40581529087,2
M00415,2.1268776493820427,11
M00532,92879.0948890567,3
M00546,70952.90773900569,3
M00549,7555.175132024062,4
M00552,45083.531186257605,4
M00554,113403.36585656473,1
M00555,149464.69521535712,1
M00570,75070.14234173679,4
M00572,66267.30914237555,3
M00609,144282.62791565355,4
M00621,115828.35638790426,2
M00632,105162.99442826472,3
M00740,227418.1291270154,2
M00741,111915.02550685739,2
M00793,73311.74379396757,3
M00842,92170.64163228877,2
M00843,102799.21823748152,2
M00844,6946.729919572809,5
M00845,104357.50826694773,4
M00846,694.2800176710995,6
M00849,1829.0384435505218,5
M00854,33273.63110298062,3
M00855,5494.992804190435,3
M00861,3678.7107846982194,4
M00862,3273.786830949037,4
M00868,125.3959420819973,8
M00872,340.6016839432148,5
M00873,15770.805541184547,4
M00874,19018.48807033185,4
M00880,155463.1489371026,2
M00881,229462.30108765716,1
M00882,185570.6597983208,1
M00883,142303.05715991775,1
M00884,228544.2761430437,1
M00885,102307.08573356742,1
M00886,102403.41743421931,1
M00892,122972.23554294324,1
M00897,120896.00966107435,2
M00898,121768.18186483254,2
M00909,131774.97986211957,1
M00911,10516.020333869186,3
M00912,820.3975947455123,5
M00917,17322.520139323085,3
M00926,365.5020794322805,7
M00936,148418.3002018388,1
M00938,82.38127630823558,9
M00953,140927.46039221706,4
M00955,83075.62662646198,3
M00957,101565.88919468696,2
M00958,204.71182319556945,6
M00959,125.877681235524,7
M00970,14380.29211122684,5
M00972,163.4071223753186,8
M00974,540.2326381375589,5
M00975,174845.73936617278,1
M00976,7962.74120383951,2
M00977,8517.023623293591,2
M00978,6914.285830147772,5
M00981,149086.83133284224,1
M00982,110696.81341248655,1
M00983,3922.31284250444,4
M00987,140568.28070867964,2
M00988,103229.02328247904,2
M00991,202358.29398739594,1
M00992,200098.42156651366,1
M00994,108527.96004999554,1
M00995,148545.94426318692,1
M00997,127253.83845890613,1
M01001,87812.17557991577,1
M01002,148632.49485961237,1
M01003,108467.96089205702,1
M01004,253281.98398984593,1
M01015,13084.575563413891,2
M01016,224132.79274773368,1
M01022,73799.64940184407,3
M01023,74643.92445061245,3
M01024,73028.77464871512,3
M01025,73615.93380959303,3
M01026,74468.63955446989,3
M01027,72735.39998610815,3
hsa00010,1.5352392726526378,15
hsa00020,18.257700661161792,9
hsa00030,3.496632153555201,11
hsa00040,15.033841584391622,11
hsa00051,10.766173210141819,13
hsa00052,2.186872975348748,10
hsa00053,34.127383516896316,8
hsa00061,7.46826297181065,7
hsa00062,0.7581639782707341,19
hsa00071,112.40576375181756,6
hsa00100,38.2566954134456,9
hsa00120,2951.444314455637,4
hsa00130,558.677914873199,6
hsa00140,5.143260657539347,9
hsa00190,1.881531871696959,24
hsa00220,6.04215738830133,11
hsa00230,0.42008148414857116,40
hsa00232,8741.855367955788,4
