pathway_name,distance,n
M00001,151796.78762067022,1
M00009,1.874942916988433,14
M00010,271.4822764783693,8
M00011,41.64382083542623,6
M00012,17518.22527399688,1
M00014,26104.630623821187,4
M00015,18033.56217794947,2
M00017,24034.587129265095,1
M00032,11266.118261191215,2
M00034,14586.922341579479,2
M00035,13.278441428506346,50
M00036,4515.901140751934,3
M00037,20838.553858341264,1
M00043,16469.840839380908,1
M00047,7917.361982390365,5
M00048,17898.82553023163,1
M00049,9880.244055204115,4
M00050,16555.44880907191,3
M00052,16050.713761720091,3
M00053,2568.3978979521125,9
M00055,141526.1491952051,3
M00056,42863.83391476222,6
M00059,177918.53147279442,1
M00065,41533.00686883062,2
M00066,14377.244875772878,1
M00067,15158.804488017604,1
M00068,13677.84998566431,1
M00069,14796.273215297884,1
M00072,11326.883563608497,2
M00073,10727.537468718938,2
M00074,10236.207954472098,2
M00075,14298.283536415502,2
M00076,63235.9055096347,1
M00077,61653.35937152209,1
M00078,17029.219160984616,1
M00085,25268.551177219735,1
M00089,168688.67393481047,2
M00094,12808.882897105947,4
M00098,12555.594053636729,2
M00099,14545.933191784661,5
M00100,46799.700384522715,2
M00101,81893.33631294985,3
M00102,81318.04928660009,3
M00104,23727.904224637998,2
M00106,24705.240587032193,2
M00107,16447.77021360322,2
M00108,26429.802715427108,1
M00109,12953.104395412262,3
M00110,17090.57246670482,1
M00114,109698.87696103565,1
M00115,12678.220177358424,2
M00118,33774.91657607019,2
M00120,17057.5666673512,3
M00122,19401.967984803105,1
M00126,179985.22565259825,1
M00129,25889.52204206628,4
M00130,56.21882687308787,9
M00135,25374.376901506737,1
M00146,14821.383959068376,2
M00147,17407.93239762204,1
M00148,17771.416749647018,1
M00151,15305.30026649633,2
M00152,4087.173587757625,5
M00158,4380.812819127205,4
M00160,142891.97517788253,5
M00170,39917.561628245414,1
M00171,50459.310647301696,1
M00173,94.59128931633452,10
M00307,10997.982724198137,2
M00376,9123.941550149397,2
M00415,17871.25494488563,4
M00532,11145.380673958087,2
M00546,21585.94345677699,1
M00549,145878.21470530517,2
M00621,12389.414130009294,2
M00740,243.11730159927242,8
M00872,8407.054065772403,4
M00873,21454.483750828458,1
M00874,19791.62085501312,1
M00892,5684.907085740558,3
M00909,6103.7820600029645,3
M00911,17137.643955972613,1
M00912,12000.326814441076,2
M00917,86768.95489218096,3
M00938,2517.2621298225813,9
M00955,22163.396055849036,1
M00958,11044.473816322476,3
M00959,11383.604790338755,2
M00970,7193.133990534121,5
M00972,2770.112410633977,7
M00974,19086.729963456695,1
M00976,14709.543941798402,3
M00977,15118.017343559062,3
M00982,8609.980899845346,2
M00983,164556.11825089811,1
M00987,16505.676542173085,1
M00995,5566.388370886587,3
M01000,110899.34637810547,1
M01002,5595.929897554122,3
M01015,120033.6555030893,2
hsa00010,6.6188356285154795,8
hsa00020,12.144789212153352,14
hsa00040,25608.02829763465,4
hsa00051,1.9363463391167957,10
hsa00052,8811.253764442059,6
hsa00053,23120.79877865452,6
hsa00061,22661.14414500943,2
hsa00062,8668.036880580143,6
hsa00071,17691.591537891432,1
hsa00100,1619.9295875986597,6
hsa00120,23619.421784798877,2
hsa00130,15325.591706442296,1
hsa00140,14.771029835235199,12
hsa00190,10.30310762875144,14
hsa00220,9803.10087770141,2
hsa00230,1.0302577040974492,23
hsa00232,29589.465950180638,1
hsa00240,3.513088355357023,13
hsa00250,23.32124480764294,7
hsa00260,84.39265517850974,10
hsa00270,1.192408848730216,57
hsa00280,124.84245523821299,6
hsa00310,2.2676642602028254,13
hsa00330,8.365429009736983,10
hsa00350,34.22572846005674,7
hsa00360,8022.696615259731,3
hsa00380,38206.40759147715,5
hsa00400,37887.44831271004,1
hsa00410,24936.25448292955,2
hsa00430,15399.099111667314,2
hsa00450,10536.430957967057,3
hsa00480,1.4105506565473358,24
hsa00500,84.69423870101974,7
hsa00510,18.640723280897785,9
hsa00511,85845.21976169264,1
hsa00512,42817.16139085348,6
hsa00513,237.51766466682446,8
hsa00514,331.82033980581025,7
hsa00515,8154.350588225877,5
hsa00520,106.67938450354045,7
hsa00524,145888.51414875165,1
hsa00531,7790.094597486674,2
hsa00532,19496.507869422483,1
hsa00533,13574.583049584464,2
hsa00534,169490.99147564115,1
hsa00541,20993.358059250946,3
hsa00561,56.43426976863456,6
hsa00562,12.409798286623866,16
hsa00563,186.4117473769717,7
hsa00564,9.33662550761108,12
hsa00565,5874.591330959544,5
hsa00590,9.163372747766902,12
hsa00591,7148.80564624169,5
hsa00592,30228.56454463334,3
hsa00600,4.213621128945088,10
hsa00601,11391.32664700898,3
hsa00603,12437.276230541163,2
hsa00604,4020.265107338938,5
hsa00620,69.50367162660524,6
hsa00630,9925.037146591243,3
hsa00640,34509.60448529985,4
hsa00670,29793.749527929038,4
hsa00730,15940.778798291141,2
hsa00740,17161.453071828615,1
hsa00750,28078.983584434194,1
hsa00760,20.805426482874527,5
hsa00770,88125.4599553281,4
hsa00780,128544.33880506862,2
hsa00785,6887.538341977948,3
hsa00790,9129.089447469918,4
hsa00830,2.1269929192429817,12
hsa00860,6744.169298805427,6
hsa00900,15067.56352941941,3
hsa00920,16151.513900365084,2
hsa00970,25.566111577192746,10
hsa00980,21.98651747460816,10
hsa00982,5460.904646660053,8
hsa00983,335.1438304254119,12
hsa01040,18412.690390130057,5
hsa01100,0.12052138435679892,180
hsa01200,0.26952054299158024,16
hsa01210,12.721884812717258,12
hsa01212,18592.14386065037,5
hsa01230,79.4847809823465,12
hsa01232,4.410337842360884,15
hsa01240,2.330417350369242,18
hsa01250,127.62486438366747,7
hsa01320,16307.040987851307,1
hsa01521,0.8671981876350301,23
hsa01522,0.7548949642776246,27
hsa01523,4051.210562674085,4
hsa01524,1.4382116109026604,12
hsa02010,3.927206257116303,9
hsa03008,32308.054564638114,4
hsa03010,26.34877054627396,13
hsa03013,17.299701876655146,9
hsa03015,3.8367292633552816,14
hsa03018,21.057608901158105,15
hsa03020,9723.059573545483,4
hsa03022,7936.739669107661,3
hsa03030,9841.46273354478,3
hsa03040,68.36482525073417,11
hsa03050,7.991064601151106,11
hsa03060,10377.865383752891,4
hsa03082,3.401043715997311,22
hsa03083,1.2366589497819973,14
hsa03250,7.0282451233273475,16
hsa03265,6400.266354749861,2
hsa03266,15120.148764577072,1
hsa03272,6.390807021222056,9
hsa03273,9202.24757171025,4
hsa03320,10978.561977658364,5
hsa03410,504.1431996163725,6
hsa03420,362.7180336769928,6
hsa03430,9281.537125213767,4
hsa03440,11614.389974393629,5
hsa03450,5634.3617616428255,2
hsa03460,1393.5696634289284,5
hsa04010,0.5331707365069209,81
hsa04012,10.289948107111256,19
hsa04014,0.5735543995216098,71
hsa04015,0.23065809307736868,44
hsa04020,0.35400747888372197,56
hsa04022,0.36885751218284246,28
hsa04024,0.9841894802764944,41
hsa04060,1.4765629419077635,25
hsa04061,95.91384593570781,11
hsa04062,0.5995857625941388,29
hsa04064,91.26035317654053,10
hsa04066,2.265054828955121,17
hsa04068,1.8546742563484417,18
hsa04070,3.875150866992395,21
hsa04071,0.7433893213805168,28
hsa04072,1.272190555985383,32
hsa04080,0.37057666899301694,50
hsa04081,2.360112389668629,35
hsa04082,0.6242536836587284,39
hsa04110,0.2509148116016581,25
hsa04114,0.8159398774038252,20
hsa04115,2.0693059921915054,16
hsa04120,2.9683134564152516,11
hsa04130,22321.94214095651,1
hsa04136,3465.6465677791566,5
hsa04137,6.30976869216804,20
hsa04140,0.31771620961820857,28
hsa04141,0.49338434537392106,22
hsa04142,1.2715636693506185,18
hsa04144,0.5797240029278085,31
hsa04145,0.937387250297442,20
hsa04146,54.146820703358344,16
hsa04148,1.1773532262078372,82
hsa04150,0.31407546662533814,28
hsa04151,0.3134180650707268,81
hsa04152,9.439855562398913,14
hsa04210,0.22155843550959672,30
hsa04211,2.8482592316695183,19
hsa04213,5.308294962409721,12
hsa04215,7497.029967939206,4
hsa04216,9.850462659649104,12
hsa04217,68.09023376086648,10
hsa04218,1.0229027515221352,30
hsa04260,0.5214046308584424,14
hsa04261,4.47903264305598,21
hsa04270,0.47359399238585775,26
hsa04310,1.2965005600498694,30
hsa04330,4.209497946592894,14
hsa04340,2.72137020803122,12
hsa04350,0.8067658724463663,21
hsa04360,0.6673638796576633,32
hsa04370,3.1088584953490006,18
hsa04371,1.2410816671106768,26
hsa04380,5.253956205912017,19
hsa04382,0.49911935824188897,24
hsa04390,4.52935552324581,21
hsa04392,7826.179131820364,4
hsa04510,0.5104540377364835,33
hsa04512,2.3310912905180166,16
hsa04514,10.243713723419038,17
hsa04520,0.5551147702742141,18
hsa04530,0.38825726658048354,37
hsa04540,1.7890155362530895,25
hsa04550,0.762747505196272,26
hsa04610,0.5367338341755411,12
hsa04611,3.8524484357173256,25
hsa04612,164.8804028179157,9
hsa04613,4.655469084334355,24
hsa04614,58715.997731884454,4
hsa04620,62.43395893965969,8
hsa04621,1.6400927232396392,25
hsa04622,8238.52208938499,4
hsa04623,17.18208897924545,7
hsa04625,2.1700886740507843,25
hsa04630,1.3404039887984442,21
hsa04640,1.7509980526469295,38
hsa04650,4.7748163942285204,30
hsa04657,7.341228054797661,10
hsa04658,1.8053942081746224,13
hsa04659,0.8785782124308318,24
hsa04660,0.8442856851120174,23
hsa04662,2.8950746033175876,20
hsa04664,6.952324394106563,15
hsa04666,2.0529827013301527,19
hsa04668,14.079724888268075,15
hsa04670,1.6196507373975622,23
hsa04672,18886.57155023871,2
hsa04710,21332.24611128827,5
hsa04713,3.971120981529441,16
hsa04714,0.09914123090663751,30
hsa04720,0.7117951580995954,19
hsa04721,11.071687038923304,15
hsa04722,0.9701291739148914,27
hsa04723,0.9437740502631922,35
hsa04724,0.38179841395915465,31
hsa04725,2.072436568733463,26
hsa04726,3.693358088881866,32
hsa04727,0.47504365369666396,31
hsa04728,1.2036432324498536,18
hsa04730,6.008744410585346,19
hsa04740,1.7084836204828855,22
hsa04742,0.37332371245555873,23
hsa04744,3058.9068007108076,7
hsa04750,4.191116973475227,14
hsa04810,0.38295322608688187,36
hsa04814,0.33531278511222284,32
hsa04820,0.08986155910811885,48
hsa04910,9.047864436830789,20
hsa04911,0.4148945930825473,18
hsa04912,0.5417375734044407,23
hsa04913,9.165813324703752,12
hsa04914,0.5005992790255743,24
hsa04915,1.4022267384808944,30
hsa04916,2.031900696340246,19
hsa04917,7.81433424475006,16
hsa04918,0.992186926594667,20
hsa04919,1.4506445371539045,39
hsa04920,50.81807999149639,14
hsa04921,0.6388520556745145,33
hsa04922,5.826277575328422,16
hsa04923,24.715488316887374,10
hsa04924,0.27221853759255443,15
hsa04925,1.1657206372907247,27
hsa04926,2.3693276572105892,25
hsa04927,0.46008321859570395,18
hsa04928,0.5159944772765496,29
hsa04929,2.0789799054448204,21
hsa04930,4.322164255005351,15
hsa04931,2.3343316491758825,19
hsa04932,4.39746771424505,14
hsa04933,5.473028797308333,23
hsa04934,0.6858371689732139,30
hsa04935,0.5782343582228815,26
hsa04936,200.90365053596204,9
hsa04940,7356.872268991447,5
hsa04950,7114.3740398017035,4
hsa04960,5.378053812075725,12
hsa04961,3.249666151484022,13
hsa04962,2.25058051561473,11
hsa04964,9242.659119758999,5
hsa04966,1112.8735835111513,7
hsa04970,0.29935777373155315,23
hsa04971,1.4548512351569225,18
hsa04972,2.5930977221376046,24
hsa04973,9.355832026703112,12
hsa04974,1.3920624235053725,21
hsa04975,6.616891188929224,12
hsa04976,6.338116847281419,16
hsa04977,5.557549858155612,12
hsa04978,2.0075802831790113,20
hsa04979,2.4787796643162814,14
hsa04980,635.4145091614546,8
hsa04981,11173.194652897078,4
hsa05010,0.46561486085572534,40
hsa05012,0.5374054951409549,36
hsa05014,0.16124261163305975,54
hsa05016,0.07987658874859359,51
hsa05017,0.7414555394683529,29
hsa05020,0.47050723362089913,28
hsa05022,0.21310999991240215,63
hsa05030,73.28331476645877,9
hsa05031,351.59509736411206,6
hsa05032,1.132448953099026,27
hsa05033,14.921742085622068,14
hsa05034,2.656872911795965,20
hsa05100,0.6882108808786019,18
hsa05110,24.85194844945635,11
hsa05120,11.27283758769789,16
hsa05130,0.28262125483344647,28
hsa05131,0.31628932417783695,41
hsa05132,0.322746625120573,24
hsa05133,13.536367224463978,11
hsa05134,416.0850902292425,7
hsa05135,0.6216878969852231,20
hsa05140,10492.763342851327,6
hsa05142,52.73055346500452,10
hsa05143,1243.9840354050768,5
hsa05144,7381.988195695494,6
hsa05145,26.366632042052352,9
hsa05146,1.7717557783712663,12
hsa05150,54.26047601818095,7
hsa05152,2.0945554260171217,16
hsa05160,1.2969760079502748,25
hsa05161,0.5230235713528043,32
hsa05162,6.221872088851525,16
hsa05163,0.42205621523228837,40
hsa05164,7.312246702554892,16
hsa05165,0.2704708560845097,51
hsa05166,0.7470584304288306,33
hsa05167,0.725048195330621,33
hsa05168,0.8358396395101703,25
hsa05169,0.550987102508286,29
hsa05170,1.6725119677845457,33
hsa05171,4.064790650975873,24
hsa05200,0.3883879620420182,109
hsa05202,0.47374788704776,71
hsa05203,0.20440380625159893,34
hsa05204,40.070513304294984,9
hsa05205,0.3021225782259819,51
hsa05206,0.8095080989789041,86
hsa05207,0.44329575880754335,32
hsa05208,0.5747395673120882,29
hsa05210,0.6982650564628247,24
hsa05211,0.8356388839155044,23
hsa05212,0.4434412408036138,21
hsa05213,1.7640457465645603,24
hsa05214,0.7158982195560794,24
hsa05215,0.7079016482941841,25
hsa05216,261.11872891012985,14
hsa05217,15.085712120083015,10
hsa05218,0.9637432923514941,22
hsa05219,12.57757976857677,16
hsa05220,1.697935425467881,37
hsa05221,1.1173577199157352,61
hsa05222,4.0618329121264445,17
hsa05223,4.851268228746688,22
hsa05224,0.8382510780580378,30
hsa05225,0.5380197154499281,28
hsa05226,0.822981783979805,28
hsa05230,1.0840308836304016,57
hsa05231,1.8439695134739078,19
hsa05235,2.075730081294486,19
hsa05310,21832.797817328592,1
hsa05320,21.178709802057536,8
hsa05321,192.56824788579644,6
hsa05322,15.381947603306491,8
hsa05323,173.1095883343402,12
hsa05330,7621.173864275803,5
hsa05332,8763.772577358819,5
hsa05340,2246.0614398533457,5
hsa05410,0.7049851871473805,23
hsa05412,1.0751680767179528,16
hsa05414,0.5443976132367673,26
hsa05415,2.945092905054816,24
hsa05416,25.591758480893354,11
hsa05417,0.19760032052802073,36
hsa05418,1.0185349519773828,24
