pathway_name,distance,n
M00001,0.18813757561515562,743
M00002,0.2900580380899449,402
M00003,0.19023212334031808,421
M00004,0.115744884568932,212
M00005,0.2752296457471216,155
M00006,0.12040382017163553,85
M00007,0.3223208337264098,110
M00008,0.3957024355961422,40
M00009,0.15079328360272218,960
M00010,0.3636970794018268,370
M00011,0.07934264067271611,632
M00012,0.37546777061512004,294
M00013,0.06938409034593084,382
M00014,0.08456690304860466,741
M00015,0.25699511159426836,207
M00017,0.43867949822869357,200
M00019,0.1886064148176154,327
M00020,0.11656473433722014,168
M00027,0.1463120412533358,337
M00028,0.6783632662597995,65
M00029,0.13247466675620437,354
M00032,0.24657788305865266,625
M00034,0.3232083896967999,826
M00035,0.09657485644767534,728
M00036,0.14353123517356253,813
M00037,0.2842140932078692,549
M00038,0.245600378720981,289
M00042,0.18913144425630757,354
M00043,0.6292879920128057,66
M00044,0.16498150270507506,336
M00045,0.4223828776650855,241
M00046,0.19663304169791082,151
M00047,0.2386678314033049,1128
M00048,0.24291179732349438,414
M00049,0.18083297320636335,721
M00050,0.18112315630021614,683
M00051,0.28661590265615944,185
M00052,0.18856922308076773,530
M00053,0.10388916942144671,1164
M00055,0.22721691762246937,430
M00056,0.05663189716854944,870
M00057,0.31166148232510915,362
M00058,0.1594549392325275,303
M00059,0.22931210768934365,592
M00065,0.13426976493435513,488
M00066,0.2227497202489684,209
M00067,0.3939036471099691,163
M00068,0.22367232586582686,267
M00069,0.17398020703721367,368
M00070,0.3090591125878321,253
M00071,0.2552795543323258,208
M00072,0.0945618392935072,494
M00073,0.18196100487149844,384
M00074,0.2688142780327678,311
M00075,0.17888400427642,583
M00076,0.24042435548859567,316
M00077,0.20355765497373746,371
M00078,0.046541317503608286,462
M00079,0.13721406686099086,251
M00082,0.1334398426318452,410
M00083,0.07542709438171134,203
M00085,0.1981790360549072,386
M00086,0.28489539774856076,147
M00087,0.18726429822280743,495
M00088,0.14902657757603152,418
M00089,0.1474938611946958,994
M00090,0.22578283751401176,260
M00091,0.41405366360452345,148
M00092,0.10986368260818449,317
M00093,0.518811940546513,152
M00094,0.1404866131425477,567
M00095,0.09509964466469495,446
M00096,3.2578023050513414,69
M00098,0.21012535746035846,1159
M00099,0.13005861506454333,716
M00100,0.11812825161004138,351
M00101,0.22308288524944933,813
M00102,0.25754872676429597,670
M00103,0.40801984945861464,167
M00104,0.06939981167133857,729
M00106,0.32698754218535325,235
M00107,0.22921281451746686,195
M00108,0.13496399780792098,252
M00109,0.08691763069829528,354
M00110,0.19913764356483174,189
M00113,0.0545034794029759,239
M00114,0.18945938215727604,218
M00115,0.3529456233506833,403
M00118,0.40470097076013173,152
M00119,0.10682891610511511,327
M00120,0.3880414941687565,663
M00121,0.22183541971448903,412
M00122,0.2635059990192474,322
M00124,0.3157577344601693,121
M00126,0.2781763825807855,395
M00128,0.17396194439982873,309
M00129,0.07017279829138878,587
M00130,0.1554209330345009,870
M00131,0.37427726666629335,174
M00132,0.32025443598209485,243
M00133,0.7262618691143873,185
M00134,0.2122269366291019,84
M00135,0.29577997207709394,223
M00140,0.4804572580033924,178
M00141,0.3373619408004487,279
M00143,0.5635050554576527,123
M00146,0.13852878999837331,431
M00147,0.29517516212342587,207
M00148,0.1714956972473655,202
M00151,0.3107985278847537,146
M00152,0.036701974033720094,415
M00154,0.23411877150307164,458
M00158,0.13688684870932893,457
M00160,0.2084258686822905,455
M00165,0.09045890703922815,341
M00168,1.476704096050332,48
M00169,0.3336713861040035,107
M00170,0.22261233977668435,240
M00171,0.29970100153625684,466
M00172,0.3566454156212714,107
M00173,0.25845377891823407,277
M00307,0.15925907733683217,474
M00308,0.6667281210602095,81
M00338,0.7283020797527244,134
M00344,0.1067989395269276,212
M00345,0.5567190297155179,126
M00346,0.1918685613913953,378
M00357,0.2821545139180934,120
M00364,2.573349674222112,69
M00365,3.1518160316890933,69
M00366,0.6124778088930941,175
M00367,0.6873310034423161,190
M00368,0.47170730916395726,367
M00373,0.17069044933012548,352
M00374,0.1668296730826428,180
M00375,0.14977127857083652,250
M00376,0.08782348605660205,239
M00415,0.10864014927899757,551
M00532,0.27394035415197143,498
M00546,0.40797742984436264,71
M00549,0.1847536583989662,484
