pathway_name,distance,n
M00001,0.12820635141237138,539
M00002,0.22408314245975433,248
M00003,0.13924099656526784,333
M00004,0.22759111668507653,110
M00005,1.308991586334323,118
M00006,0.6981122086460547,47
M00007,0.9331562795481075,48
M00008,4.595599223507563,25
M00009,0.241485076526969,672
M00010,0.3295120195569241,313
M00011,0.17304854863948613,380
M00012,0.6567962817398776,243
M00013,0.2971594724206486,276
M00014,0.028721530369418564,503
M00015,0.19301468298630475,188
M00017,0.5771816162330484,131
M00019,0.18013357867069812,154
M00020,0.23444481917377735,105
M00027,0.22382660854643632,255
M00028,16.90305748539728,27
M00029,0.07852062132319976,339
M00032,0.06510128821625873,449
M00034,0.1875256711519462,625
M00035,0.15547760497870663,565
M00036,0.23235825128027335,484
M00037,0.15269192548026328,419
M00038,0.5896299270073413,232
M00042,0.27676578816328884,264
M00043,2.7450772446058376,34
M00044,0.045355956991083204,241
M00045,0.2056972682283774,149
M00046,0.6318865821628027,39
M00047,0.3428103383780648,1177
M00048,0.26420552684683263,341
M00049,0.1796216173236127,663
M00050,0.350600384722485,599
M00051,0.12568183454455176,176
M00052,0.11567025395222963,471
M00053,0.21659668882460545,1381
M00055,0.11899042381234792,404
M00056,0.14479709805545474,650
M00057,0.07488659769514992,225
M00058,0.2229598413156276,193
M00059,0.06530550928787002,496
M00065,0.16595027922062947,370
M00066,0.17664449736834317,163
M00067,0.3714423240447292,90
M00068,0.3562527629134517,237
M00069,0.10620066503450444,262
M00070,0.18018830180036247,187
M00071,0.36353716370499817,115
M00072,0.12614303339506325,341
M00073,0.11309583664149668,281
M00074,0.11696749613159137,248
M00075,0.1450627650595555,410
M00076,0.3268142889256083,292
M00077,0.19429783042951443,346
M00078,0.23583991067125343,355
M00079,0.1671824726577307,215
M00082,0.1829066300607583,310
M00083,0.12867471239808223,185
M00085,0.2590713081542933,245
M00086,0.12567501407643702,168
M00087,0.1199963553021632,340
M00088,0.31845724743963366,262
M00089,0.05680801077512626,780
M00090,0.22018249417439212,195
M00091,0.8241845041230641,72
M00092,0.19716161953145767,188
M00093,1.0871050421081039,99
M00094,0.11127021715024575,420
M00095,0.19593838001183023,326
M00096,1.7579691465622191,55
M00098,0.11169014150618345,954
M00099,0.14858893118779123,524
M00100,0.11815169989504991,194
M00101,0.1852699763752162,583
M00102,0.22623155872990255,469
M00103,0.4603366285111915,90
M00104,0.2596958827900622,444
M00106,0.2775157235312833,152
M00107,0.4476095661536904,145
M00108,0.17712514118652087,232
M00109,0.18377117930109724,319
M00110,0.2862790775369831,157
M00113,0.3562078665395285,137
M00114,0.14488272215366457,95
M00115,0.16788551932391604,300
M00118,0.30370588427055883,86
M00119,0.24330459667006707,154
M00120,0.1259400111456594,443
M00121,0.2809934500682728,302
M00122,0.4598774560548652,212
M00124,0.18443425403877345,60
M00126,0.3574997990901802,342
M00128,0.13247092292737367,172
M00129,0.05647742801597437,422
M00130,0.03039455327908604,782
M00131,2.122698250644982,133
M00132,0.3712663991992078,141
M00133,3.9631796853940746,121
M00134,4.0062749331380605,49
M00135,0.09099651813268694,159
M00140,0.22097169774826603,97
M00141,0.09877987083603747,168
M00142,9446.365986189343,4
M00143,0.6074782832155117,125
M00146,0.1138303738866688,380
M00147,0.575832370727614,167
M00148,0.7309327012446479,108
M00151,0.6645795965892989,74
M00152,0.08309052853702563,284
M00154,0.20796973956798856,296
M00158,0.13181888765955022,334
M00160,0.15684194825722952,383
M00165,0.15272705667743766,226
M00168,21.172854342564474,38
M00169,0.4850189576164455,98
M00170,0.271964353573071,159
M00171,0.2022919961192936,312
M00172,0.8567038668066159,98
M00173,0.1724249190834339,206
M00307,0.05555791920357203,336
M00308,0.820868291635948,69
M00338,2.0688773522323856,97
M00344,0.48941885905661037,127
M00345,1.1164911933511896,104
M00346,0.23757005931992836,235
M00357,0.41386789753811437,86
M00364,1.7688442186283002,55
M00365,1.6907699948510373,55
M00366,0.624089719057293,145
M00367,0.5840061145745434,158
M00368,0.48347388962043725,230
M00373,0.1636904676983054,221
M00374,0.4402933967841126,92
M00375,0.5387691740774785,126
M00376,0.3254804648823936,115
M00415,0.16500549488194055,566
M00532,0.14943828711848442,323
M00546,0.36904757671387256,88
M00549,0.14824460678822496,302
M00552,0.8212831085709574,69
M00554,0.3900582420504968,84
M00555,183.41621046587838,20
M00565,98.00427334404358,27
M00570,0.28846818518923645,240
M00572,0.14200617735291135,183
M00609,0.45663154429057196,230
M00621,0.2951086686945332,152
M00632,0.241393074886826,151
M00740,0.21558625005843346,196
M00741,0.48840271709728367,137
M00761,8167.5657563229115,17
M00793,0.31202869624024177,185
M00840,62.124176369294894,68
M00841,4.425404072550124,49
M00842,0.9044406070834872,84
M00843,1.2690601538075126,81
M00844,0.2168514419492747,239
M00845,0.3865238346834967,197
M00846,2.6388551075786078,61
M00849,0.15579683723233625,316
M00854,0.10960985961670817,254
M00855,0.1632262215353575,194
M00861,0.24801204444939412,219
M00862,0.5807656954746444,102
M00868,0.156010234694759,301
M00872,0.0746581619240238,487
M00873,0.1151816531928313,422
M00874,0.13053443023052577,482
M00880,0.7903942784947735,115
M00881,5.7902137047914675,17
M00882,1.82815062991226,45
M00883,3.3776641889400976,50
M00884,5.7617499302056325,17
M00885,0.17028738796492215,154
M00886,0.15852272904514514,154
M00892,0.1894900650211375,329
M00897,14.446550650280336,17
M00898,14.527513992386142,17
M00909,0.28796019656998867,282
M00911,0.7057330300075344,93
M00912,0.23181169272038693,382
M00913,3.2130888078525794,34
M00917,0.28636819824260945,302
M00926,0.4138148670900441,171
M00936,81.08291791723877,39
M00938,0.22604318177862448,1396
M00953,0.4823439478025082,230
M00955,0.18065501855689337,219
M00957,0.2371238623977786,193
M00958,0.06111496788459807,483
M00959,0.17360062336352747,327
M00968,15207.271229242882,18
M00970,0.5997809399341252,931
M00972,0.5060493378635951,1082
M00974,0.39978673621280225,238
M00975,0.36326699464607026,137
M00976,0.08978979061240222,345
M00977,0.1583961571158158,362
M00978,0.23439432572001598,250
M00981,82.56152829955244,39
M00982,1.3925777796720544,58
M00983,0.18800804810847863,300
M00987,15.660281052849777,89
M00988,1.233655011303604,81
M00991,0.8332257742901533,102
M00992,0.8226018016536445,102
M00995,0.40164130743974347,225
M00997,6.8153666613460695,54
M00999,8298.025401226894,17
M01000,0.07351848276764433,95
M01001,0.31598167790354803,87
M01002,0.5348692362829691,225
M01003,0.1354162811654126,113
M01004,229.63452773619656,14
M01006,0.596626370307448,64
M01015,0.2132628402752525,225
M01016,0.3795316929140954,38
M01017,631.2434336161064,14
M01018,637.5772961837091,14
M01019,653.8150688162877,14
M01020,654.0134935397837,14
M01022,0.29432356445993973,185
M01023,0.2996306144098822,185
M01024,0.431129473204073,185
M01025,0.3030181259370367,185
M01026,0.2940082399956707,185
M01027,0.290366879857582,185
M01034,620.2608043663937,14
hsa00010,0.06785070554613874,1411
hsa00020,0.15110436901045227,940
hsa00030,0.13235763890088661,491
hsa00040,0.04061142948174977,749
hsa00051,0.1829819309047819,1892
hsa00052,0.08912437634974742,1007
hsa00053,0.05203286032869762,547
hsa00061,0.11014305472447376,669
hsa00062,0.11457878843305562,1063
hsa00071,0.0620847520295367,1010
hsa00100,0.11978477323592433,871
hsa00120,0.22801014515189377,488
hsa00130,0.06697854003358315,402
hsa00140,0.08052666532873533,1392
hsa00190,0.044458674495102685,1688
hsa00220,0.03816823261538156,817
hsa00230,0.02859797585609745,4393
hsa00232,0.06982409836053227,228
hsa00240,0.12401964615480762,2380
hsa00250,0.05363263287976433,1355
hsa00260,0.1874870968976413,1795
hsa00270,0.11836232711375455,1418
hsa00280,0.10644358571520117,1107
hsa00290,0.27846649436549736,240
hsa00310,0.08554908239339495,2528
hsa00330,0.11911527463795199,2006
hsa00340,0.17887225239659083,561
hsa00350,0.15035476767981726,1016
hsa00360,0.06271041887666791,507
hsa00380,0.12928050595300705,1119
hsa00400,0.0488372027823836,306
hsa00410,0.02382077123977041,993
hsa00430,0.04217047360901769,644
hsa00440,0.18239187328560819,193
hsa00450,0.2301586572783198,741
hsa00470,0.37106237506894246,118
hsa00480,0.12469529148274078,2161
hsa00500,0.10704204985966952,1069
hsa00510,0.05801002342479972,1493
hsa00511,0.044386362384838535,411
hsa00512,0.036455156873820296,865
hsa00513,0.05747864125337351,1274
hsa00514,0.07578490897247135,1140
hsa00515,0.05101033645003418,772
hsa00520,0.07113184350020245,971
hsa00524,0.2038576480705882,172
hsa00531,0.12048132957699045,622
hsa00532,0.04428025569412149,613
hsa00533,0.043563203365365476,409
hsa00534,0.03460465219738341,822
hsa00541,0.11417290487015129,641
hsa00561,0.029524309055500204,2064
hsa00562,0.21848494841899965,4161
hsa00563,0.0618298266655661,829
hsa00564,0.036308790660958344,2279
hsa00565,0.12089136059142379,1142
hsa00590,0.20268802794580862,2414
hsa00591,0.060297667791350616,645
hsa00592,0.23207359440635064,559
hsa00600,0.01736416429293468,1124
hsa00601,0.054373283257782214,526
hsa00603,0.067617805540322,410
hsa00604,0.07371882980678293,574
hsa00620,0.050471922869531165,1029
hsa00630,0.15299664418466669,765
hsa00640,0.05961830868143221,875
hsa00650,0.09345614776922416,732
hsa00670,0.2456897557515295,955
hsa00730,0.09331823271994745,765
hsa00740,0.0786124177177615,369
hsa00750,0.16431608571217468,162
hsa00760,0.09827206883482024,1162
hsa00770,0.13419285912613796,930
hsa00780,0.13305602178489048,227
hsa00785,0.11106729116426117,660
hsa00790,0.09045581934301213,885
hsa00830,0.07217014505416827,1610
hsa00860,0.07763162529555886,1165
hsa00900,0.10532190779540224,843
hsa00910,0.2458173624650327,381
hsa00920,0.22779958951426857,281
hsa00970,0.12877872634925405,2206
hsa00980,0.02174459409044366,1241
hsa00982,0.014343688655067945,1207
hsa00983,0.14937047079838334,2266
hsa01040,0.122266179638123,860
hsa01100,0.0417470529310382,25230
hsa01200,0.07910215359240562,2323
hsa01210,0.12807579137461744,1198
hsa01212,0.04281513920113772,1746
hsa01230,0.12850244081476625,1899
hsa01232,0.0834976824049966,2975
hsa01240,0.0876575826044765,3476
hsa01250,0.10759033069198198,1193
hsa01320,15.871462009149138,89
hsa01521,0.21172142183302645,4308
hsa01522,0.12437251246471785,5892
hsa01523,0.05161818384499811,1200
hsa01524,0.2093915861795441,4735
hsa02010,0.04118221800097591,2385
hsa03008,0.02032512414961547,2467
hsa03010,0.07063487499823803,1862
hsa03013,0.013086752322084078,2999
hsa03015,0.02191798748607478,2681
hsa03018,0.02536013045167583,2215
hsa03020,0.08881313530183889,857
hsa03022,0.023890408810559795,1223
hsa03030,0.17533249792407773,963
hsa03040,0.032402931950644295,3264
hsa03050,0.12581760107791673,1114
hsa03060,0.09990806489773356,962
hsa03082,0.010908393418467457,3574
hsa03083,0.022639371333445183,2970
hsa03250,0.042908680076213714,2698
hsa03260,0.18003154446917566,318
hsa03264,0.2441551863212002,386
hsa03265,0.14131935215906447,672
hsa03266,0.04836066078159483,572
hsa03267,0.2811658577030954,228
hsa03271,0.38027369753977525,176
hsa03272,0.037227421865965435,1184
hsa03273,0.0663251278136886,1193
hsa03320,0.036600092594483734,1959
hsa03410,0.054057225335478576,1509
hsa03420,0.13960927427408898,1329
hsa03430,0.10634639689262622,972
hsa03440,0.1863007871069322,1614
hsa03450,0.09807213605344321,697
hsa03460,0.034151291465004056,2036
hsa04010,0.009776141701127544,8753
hsa04012,0.2116245527592304,4366
hsa04014,0.09261793212505216,6938
hsa04015,0.07080583883443183,7832
hsa04020,0.024294002088344462,8353
hsa04022,0.036296090529279165,5224
hsa04024,0.10377071619331518,7850
hsa04060,0.01119592263718851,4346
hsa04061,0.042117616797701325,1714
hsa04062,0.11447164992821826,5666
hsa04064,0.027296109410240205,2940
hsa04066,0.15841022469603072,4556
hsa04068,0.1461153131172943,5296
hsa04070,0.18609659189911176,4571
hsa04071,0.2220540289284982,5626
hsa04072,0.10770578695696968,5930
hsa04080,0.013203697943486855,6163
hsa04081,0.11069770105651533,6310
hsa04082,0.017281293924086723,4393
hsa04110,0.035526889428789434,5163
hsa04114,0.014143085269196007,4160
hsa04115,0.09140089089851997,3053
hsa04120,0.02828504906592285,4155
hsa04122,0.17247747280491327,265
hsa04130,0.24279639913956083,552
hsa04136,0.027267104393706432,1062
hsa04137,0.05236778043466122,3888
hsa04140,0.07736486155018857,7112
hsa04141,0.02066986966683414,3980
hsa04142,0.07505607113395729,3988
hsa04144,0.006040780867618588,5756
hsa04145,0.03186869487197621,3283
hsa04146,0.0410917786733664,2266
