pathway_name,distance,n
M00001,0.28915378005893927,326
M00002,0.25357763744165307,176
M00003,0.37124924140948945,177
M00004,0.19053908462176214,96
M00005,34.81346139403139,90
M00006,1.8058198172845275,43
M00007,0.5718406940044859,44
M00008,23.852175603746872,20
M00009,0.19835948303297574,332
M00010,0.4952124084873486,107
M00011,0.3147593777011492,236
M00012,0.5205777832156371,114
M00013,0.11549391770301884,124
M00014,0.08166781603365297,310
M00015,0.5689150869996622,71
M00017,1.108704527692414,49
M00019,1.0925025466127427,75
M00020,0.3022793830599712,64
M00027,0.29726222315481693,114
M00028,9.14003534959005,18
M00029,0.310063476032098,126
M00032,0.3185423180214716,230
M00034,0.3828959322075013,323
M00035,0.2358473828309313,284
M00036,0.20527554542920287,247
M00037,0.3694164839457358,197
M00038,0.6255467455209182,114
M00042,0.37438198331955047,145
M00043,0.9786660639773989,28
M00044,0.2365568383426863,169
M00045,0.26977017348925364,80
M00046,0.5826688556421881,40
M00047,0.11180206586723702,174
M00048,0.3576909542484876,168
M00049,0.0715639079838814,289
M00050,0.2187234626935692,291
M00051,0.31651460363870115,104
M00052,0.0774925269353817,222
M00053,0.028758322712098675,290
M00055,0.1516389111393518,162
M00056,0.10909898615465372,300
M00057,0.12047202071426,145
M00058,0.19131883515352122,108
M00059,0.27818368408767635,279
M00065,0.12223028095057704,191
M00066,0.29117773619797777,98
M00067,0.4904157236026459,52
M00068,0.4794164191749288,123
M00069,0.7243309312057012,164
M00070,0.10572798885788794,78
M00071,0.2357446014150003,61
M00072,0.27234544693047963,225
M00073,0.26783228719372953,174
M00074,0.3234779508917842,159
M00075,0.35930993093629904,272
M00076,0.18500902156152432,153
M00077,0.3205769358170943,166
M00078,0.23655162533153415,229
M00079,0.6159137739785666,111
M00082,0.22708685000283543,168
M00083,0.7209645523774955,121
M00085,0.6329441386090983,138
M00086,0.43107759393800427,88
M00087,0.21366068365089122,172
M00088,0.5300941218020458,116
M00089,0.16469334440630942,433
M00090,0.3059007734579249,112
M00091,1.7245282792677619,37
M00092,0.3546688351026028,118
M00093,0.9117008377381209,82
M00094,0.197475948159545,269
M00095,0.33728223901817883,141
M00096,1.8812993003370306,23
M00098,0.0849918067410552,469
M00099,0.18376875538561768,321
M00100,0.2071250089046,146
M00101,0.44196527852628814,267
M00102,0.4931342943815265,210
M00103,1.8136954747346004,38
M00104,0.1978425836732113,290
M00106,0.2669617816882116,106
M00107,0.11030394868008343,95
M00108,0.3121697895201321,83
M00109,0.07563663388740076,146
M00110,0.3479490948048262,91
M00113,0.5051840931252942,73
M00114,0.2792889599494876,51
M00115,0.4221716302282517,189
M00118,0.5340026023484956,41
M00119,1.0642801935746802,75
M00120,0.40251121923669875,228
M00121,0.30451922138192267,164
M00122,0.20252119652237996,80
M00124,13.539980695850792,22
M00126,0.25532708508353447,164
M00128,0.21335641690407192,126
M00129,0.1255172248746451,254
M00130,0.136702321668674,378
M00131,1.133198028629039,90
M00132,1.1644004196328808,77
M00133,1.5608108394425673,76
M00134,1.2218985501609558,52
M00135,0.5255962719780533,76
M00140,0.5750389947456703,44
M00141,0.5260232267067305,87
M00142,1.6958101428166432,20
M00143,13.92420423303192,55
M00146,0.23192717420524614,217
M00147,0.9689118318225672,89
M00148,1.188824507019476,65
M00151,0.19746866755882492,59
M00152,0.048609617917722,148
M00154,0.3731756040710508,161
M00158,0.2053740414329017,198
M00160,0.5755194396016945,160
M00165,0.4619470149169139,130
M00168,0.5110811738923786,39
M00169,16.0883481992013,53
M00170,0.1871529337308743,115
M00171,0.19981936181743234,203
M00172,15.738227140422826,53
M00173,0.3603059721039893,88
M00307,0.11361925827532489,176
M00308,0.6913384032298707,33
M00338,1.3596676761989186,43
M00344,0.723601773456487,51
M00345,0.7674662460331879,59
M00346,0.4200824023592,124
M00357,0.7975010513381691,41
M00364,3.7277101647724913,23
M00365,10.770127202637502,23
M00366,0.7374627966438433,88
M00367,0.4840668671209035,101
M00368,1.1078052823202724,106
M00373,0.48094925626394996,102
M00374,0.4206307066250316,52
M00375,0.30065076017076275,62
M00376,0.5297890445906465,80
M00415,0.14128669559555246,255
M00532,0.2990437713347854,168
M00546,0.5018710084593174,60
M00549,0.4259206577846413,166
M00552,2.029755601722258,33
M00554,0.45176564142776243,67
M00555,536.2844528645492,10
M00565,16013.205832394404,2
M00570,1.2297300559849416,124
M00572,0.6056244979145958,119
M00580,11539.393934492547,9
M00609,1.1307208778749571,106
M00621,0.5633242360385371,79
M00632,0.3899382600745157,117
M00740,0.5108930106313165,64
M00741,0.5588710628247838,66
M00761,769.4145823650764,11
M00793,0.671814106795085,87
M00840,5160.178310826945,25
M00841,106.7255368343186,18
M00842,5.7861544757766135,58
M00843,5.582544428112338,55
M00844,0.8305974828645061,98
M00845,0.9091758521134831,79
M00846,0.8154166285792572,47
M00849,0.32142983524443475,136
M00854,0.3933513890424725,109
M00855,0.20145755661435677,101
M00861,0.34726025336770655,158
M00862,0.5305016458458851,100
M00868,0.12863012730821802,183
M00872,0.10670445752796001,318
M00873,0.12242752318016228,229
M00874,0.3274083910889075,266
M00880,0.6596294603848144,93
M00881,195.73117688758225,8
M00882,2.5110556854295267,27
M00883,6.784276843018456,27
M00884,164.51489640452746,8
M00885,0.4132579440723827,100
M00886,0.4610288306124312,100
M00892,0.5221802406113387,168
M00897,95.00977041723657,13
M00898,93.04213001001229,13
M00909,0.5671373880751447,144
M00911,1.160508306610608,49
M00912,0.28411310433170694,210
M00913,6.359558356443441,23
M00917,0.3090471420300203,111
M00926,0.32962788666292775,103
M00936,1.1060580498407337,41
M00938,0.02788735141409432,294
M00953,1.01984357543986,106
M00955,0.8477165105516004,121
M00957,0.15391562812328954,113
M00958,0.17116711191022974,250
M00959,0.168487954989797,209
M00968,67991.87662968278,6
M00970,0.29656832464850075,89
M00972,0.14677313350448595,148
M00974,0.28769616098207357,136
M00975,0.5173682673188379,62
M00976,0.16133050744362237,173
M00977,0.2920031767360059,165
M00978,0.809476069665756,103
M00981,1.1024197993402245,41
M00982,0.8999522573521918,52
M00983,0.28303509993296766,161
M00987,0.8821836738250262,64
M00988,5.564015007572675,55
M00991,5.435393055816115,32
M00992,5.1577206173623935,32
M00994,29169.740412253268,41
M00995,1.1206081274221822,111
M00997,3.444077321544181,43
M00999,771.2479784113311,11
M01000,0.2875733575416181,51
M01001,1.0351498915706487,59
M01002,0.8866898251870252,111
M01003,0.7124567363465066,52
M01004,11.739022319421826,29
M01006,1.580980196093866,35
M01015,0.24268067418792189,142
M01016,23.1091071369089,20
M01017,223860.59501507043,6
M01018,221747.90125683867,6
M01019,221119.30768939442,6
M01020,223682.24496125706,6
M01022,0.6689487659864497,87
M01023,0.6737257464187947,87
M01024,0.6968171978063025,87
M01025,1.0016251424703033,87
M01026,0.6853957401203287,87
M01027,0.6697210155838021,87
M01034,224076.27694672122,6
hsa00010,0.10324866354395579,755
hsa00020,0.19781319096216213,450
hsa00030,0.22678857689526694,297
hsa00040,0.10234368734464437,422
hsa00051,0.2182909834397441,546
hsa00052,0.20863888040123937,527
hsa00053,0.06583819016234099,356
hsa00061,0.0619724958297696,338
hsa00062,0.20482555362965163,482
hsa00071,0.0513417158855814,534
hsa00100,0.09582687393820163,397
hsa00120,0.1762175831271174,310
hsa00130,0.06007469506503371,271
hsa00140,0.06213519555859018,702
hsa00190,0.030876860390633896,826
hsa00220,0.10399647251092484,398
hsa00230,0.04534706743939017,1663
hsa00232,0.2382600838715246,153
hsa00240,0.07736826843960878,732
hsa00250,0.17128967632289727,651
hsa00260,0.13186114060339288,538
hsa00270,0.10550709401514426,677
hsa00280,0.15731218031377336,487
hsa00290,1.2750227243203616,124
hsa00310,0.02708962007511376,1457
hsa00330,0.033147301332911015,609
hsa00340,0.08904801194238735,309
hsa00350,0.13607666136122915,552
hsa00360,0.22869439639785624,299
hsa00380,0.12993316087510057,566
hsa00400,0.4125564319321662,192
hsa00410,0.11437222626533423,500
hsa00430,0.3726606071764625,334
hsa00440,0.7588441740714147,83
hsa00450,0.4355325061566069,385
hsa00470,0.195157032295601,93
hsa00480,0.20405000903060588,658
hsa00500,0.11715615095691446,558
hsa00510,0.1641656869641154,851
hsa00511,0.23036225707065264,233
hsa00512,0.09574882249809374,412
hsa00513,0.12764146332153586,670
hsa00514,0.07975114827868424,544
hsa00515,0.07123422909240361,523
hsa00520,0.08055071132214045,530
hsa00524,0.6216139623931254,102
hsa00531,0.186314899103475,329
hsa00532,0.03571520655245087,364
hsa00533,0.06488321201269281,241
hsa00534,0.06497399528112821,459
hsa00541,0.29775573609123046,346
hsa00561,0.09761768036895206,1057
hsa00562,0.08238876092332159,1588
hsa00563,0.11591903804588122,405
hsa00564,0.17708823843199165,1175
hsa00565,0.14747348730548113,546
hsa00590,0.1494934302905855,721
hsa00591,0.1429055718498005,299
hsa00592,0.21418041432879464,264
hsa00600,0.10578361713401245,640
hsa00601,0.10958035152635766,276
hsa00603,0.2400984595138765,211
hsa00604,0.17344146213717107,355
hsa00620,0.06445664692030148,587
hsa00630,0.22119738563553273,360
hsa00640,0.057263100351466326,424
hsa00650,0.2434095381789309,343
hsa00670,0.3387721016696445,463
hsa00730,0.1041647702502783,380
hsa00740,0.442007742934376,211
