pathway_name,distance,n
M00001,14366.812613123477,3
M00003,234793.20814082678,1
M00005,28864.47874955128,2
M00009,20952.810459108958,4
M00010,22196.182627484748,3
M00011,238832.81229881736,1
M00012,22898.58432882392,2
M00013,112921.71210945415,3
M00014,26456.32023394033,2
M00015,26998.284198403442,2
M00019,111627.68741261533,1
M00020,21083.877026888822,2
M00027,106574.4711066641,2
M00029,15611.890441094753,3
M00032,181.2640620240557,7
M00034,17771.873394212806,3
M00035,18824.253621098316,5
M00036,132979.64776800392,5
M00037,11401.134820844169,3
M00038,11304.462869649806,4
M00042,20173.71508948743,2
M00044,18519.380462308167,2
M00045,34860.32888749845,3
M00047,16622.654635725015,2
M00048,232435.7519465499,1
M00049,20631.84714935081,1
M00050,19238.675059845795,2
M00051,132730.10174296243,4
M00052,19445.50723008181,1
M00053,7686.7200301309185,3
M00055,33434.28404654505,1
M00056,8012.483445728772,2
M00059,5170.541868318299,4
M00065,17249.400270622104,1
M00068,13518.604334264495,1
M00069,16344.614103709358,1
M00072,20933.77588082117,3
M00073,8179.844175713158,3
M00074,7828.746875347996,3
M00075,18418.078265777393,1
M00076,19103.812853715637,2
M00077,19073.285420284712,2
M00078,14571.812458396374,3
M00079,15814.477145975376,2
M00082,117922.82755798011,4
M00083,19069.68389177549,2
M00085,212279.2211791714,1
M00086,192537.5524106436,1
M00087,121754.40204530847,3
M00088,207473.30093298524,1
M00089,14132.731471577219,4
M00093,208161.95863977307,1
M00094,14925.545077038169,3
M00095,199961.83435739565,1
M00098,4752.614580384134,6
M00099,14658.662675999529,3
M00100,12235.00964448875,2
M00101,1997.5955699613287,6
M00102,145953.83577365216,4
M00104,12241.4607933325,3
M00106,17507.192743352927,2
M00107,15083.912521183644,2
M00108,14113.252820099193,2
M00109,12700.431499865435,2
M00110,17324.17244614894,2
M00115,16040.185464239234,3
M00119,112391.35128793136,1
M00120,193615.29560495308,2
M00121,199994.44650188342,1
M00128,19060.493007263463,2
M00129,199221.66129326145,1
M00130,14128.089795844424,3
M00131,18638.064570205952,1
M00132,13499.02933578668,2
M00133,134550.6860210066,2
M00134,202406.8771772063,1
M00141,15985.664031482163,1
M00142,23707.415164936345,1
M00143,223585.07701572924,1
M00146,109438.06933414722,1
M00151,160386.12605798864,1
M00152,19746.31143595415,2
M00154,380.4521019254745,5
M00158,16074.189530863476,2
M00160,192186.7264423327,3
M00168,243293.0057227114,1
M00169,242715.25254938536,1
M00170,173039.90810750012,1
M00171,143720.09042684527,2
M00172,240513.1549163274,1
M00173,21907.986982393933,3
M00307,18104.054555292758,2
M00338,158148.46505469107,1
M00344,19820.385035588108,1
M00346,156231.92713267502,1
M00357,42085.66649714475,1
M00366,162088.12798293587,2
M00367,20621.446612217613,3
M00368,180082.2494727034,1
M00373,223798.01053229455,1
M00376,201803.26893858658,1
M00415,137643.61076085328,2
M00532,139164.38622265233,2
M00546,18887.595364630753,2
M00549,15124.877695183086,3
M00570,106129.50497961201,2
M00572,17882.774880132198,2
M00609,179934.04649735568,1
M00621,242207.9355432949,1
M00632,94800.86504821603,2
M00740,19940.183588203636,2
M00741,235148.37095130447,1
M00842,198337.95390204486,1
M00843,204551.54337679397,1
M00844,146287.98077757625,2
M00845,154540.80569255524,2
M00849,199629.0273513998,1
M00854,143290.10122669625,1
M00855,23909.35840937779,1
M00861,221092.8441602376,1
M00862,193517.23198645576,1
M00868,20939.605075639116,2
M00872,159964.3668065652,3
M00873,20937.442516487044,2
M00874,19155.593695212538,5
M00880,27706.583771857047,1
M00885,212259.05086707693,1
M00886,213741.64285706735,1
M00911,137845.92328422537,1
M00912,4395.944991717076,5
M00917,21716.752058409635,2
M00926,208024.6757100563,1
M00936,304661.8130945695,1
M00938,7704.9804060618,3
M00953,180748.69858101069,1
M00955,20418.583207716285,1
M00957,35231.526973466476,5
M00958,13860.980771311688,3
M00959,14167.0549082201,3
M00970,13705.687828407616,3
M00972,6617.485513864495,4
M00974,22949.498352075705,2
M00976,19128.33929521938,2
M00977,14898.451367493939,3
M00978,148835.224303565,2
M00981,302952.2002391364,1
M00982,232030.4780412448,1
M00983,19422.747888249134,1
M00987,24876.66365815658,1
M00988,209821.1848190538,1
M00994,19699.18669814755,1
M00997,261792.49082129027,1
M01015,15552.603567219112,3
hsa00010,6.189046409009213,8
hsa00020,856.1029760753543,6
hsa00030,22691.182674328018,2
hsa00040,6187.373243967846,5
hsa00051,14.28971852063606,8
hsa00052,27.467952619069816,8
hsa00053,21237.114553998326,2
hsa00061,15518.054409174812,6
hsa00062,123125.60007903808,3
hsa00071,4.203015424433239,9
hsa00100,2066.135247241765,7
hsa00120,9921.437688250702,4
hsa00130,17262.35906746824,3
hsa00140,7.342648631126271,8
hsa00190,9.382104071907767,11
hsa00220,133.97899753507483,7
hsa00230,13.8398705927976,11
hsa00232,157879.10043739819,1
hsa00240,7.819265024213452,9
hsa00250,71.72273439025965,8
hsa00260,41.36953669102048,6
hsa00270,4.801097889808339,10
hsa00280,117998.47445162275,6
hsa00290,106214.14123960787,2
hsa00310,0.7937660457098122,18
hsa00330,2.3501358941197026,8
hsa00340,293.946120135573,5
hsa00350,5318.65687407574,4
hsa00360,16786.36663942409,3
hsa00380,29.650747473324223,9
hsa00400,14114.70252209378,3
hsa00410,271.79920259740044,7
hsa00430,81993.37953679197,4
hsa00450,4520.888296891314,4
hsa00470,179526.76817557352,1
hsa00480,0.7857330290546665,11
hsa00500,4.3054245697780615,7
hsa00510,527.3554885348948,6
hsa00511,14637.246178894135,3
hsa00512,8254.344134851815,3
hsa00513,587.0386830457794,6
hsa00514,3536.7363835106626,4
hsa00515,17975.193117790124,4
hsa00520,14438.799967457426,4
hsa00524,15292.887290366245,3
hsa00531,8263.706135810442,4
hsa00532,136635.72797965078,1
hsa00533,17209.82654125559,4
hsa00534,4554.77307833346,4
hsa00541,22332.393076167267,1
hsa00561,4.552566106204792,10
hsa00562,4.1498826683095125,10
hsa00563,16105.955293823683,2
hsa00564,5.551064251075857,9
hsa00565,8.774025620546647,6
hsa00590,226.10065947771847,5
hsa00591,8938.176711997929,3
hsa00592,8430.947464829676,3
hsa00600,11562.87187702085,4
hsa00601,16164.896440601337,3
hsa00603,17345.405241522745,1
hsa00604,12387.043233416649,3
hsa00620,104.26979020908875,8
hsa00630,5148.374321436729,4
hsa00640,29091.124679562414,7
hsa00650,8068.597159044461,6
hsa00670,390.45707797249037,5
hsa00730,20641.57499607642,3
hsa00740,15371.060751839432,3
hsa00750,25087.20467621089,2
hsa00760,14371.380447389329,7
hsa00770,1378.982163463451,5
hsa00780,16596.589468680373,2
hsa00785,17502.284750487837,4
hsa00790,4418.552500508534,5
hsa00830,14169.94369588162,7
hsa00860,649.0288861953363,5
hsa00900,16983.7447384285,4
hsa00910,22160.40049162184,3
hsa00920,21870.23237867214,2
hsa00970,187.75427140948398,5
hsa00980,12351.046351887873,5
hsa00982,12037.240749596467,4
hsa00983,27.70420584015185,5
hsa01040,165942.36915840599,3
hsa01100,0.13105500191492767,98
hsa01200,1.795327491195027,16
hsa01210,2.1649323522506454,9
hsa01212,280.67702987912617,8
hsa01230,4.249051375724153,10
hsa01232,42.91566459633086,6
hsa01240,4.401118798126163,16
hsa01250,862.3803670108957,5
hsa01320,24522.931297215335,1
hsa01521,2.711872512937192,10
hsa01522,0.5319034367508408,21
hsa01523,14476.159229446104,3
hsa01524,2.7711306614281095,11
hsa02010,13.181177451209518,10
hsa03008,40.745917404617686,9
hsa03010,34.804657358050385,6
hsa03013,0.5829670102919475,12
hsa03015,51.688262520562226,7
hsa03018,217.75492731596398,8
hsa03020,19918.06424273843,2
hsa03022,157.80071575173847,5
hsa03030,160.17879554158,8
hsa03040,142.84928157587302,10
hsa03050,2560.8669694401983,5
hsa03060,13.15076452824642,9
hsa03082,2.2028887127502927,14
hsa03083,55.955942863540535,11
hsa03250,78.4992884208111,11
hsa03260,11523.982055452052,3
hsa03264,15901.8268267212,3
hsa03265,17537.158987483297,4
hsa03266,13255.93256353968,5
hsa03267,12394.75888712984,3
hsa03272,13859.322545861054,6
hsa03273,2.710417759760745,9
hsa03320,177.560644517418,10
hsa03410,7.42563303869859,10
hsa03420,356.695073171448,6
hsa03430,19145.67649948721,4
hsa03440,110.11407808480715,8
hsa03450,2930.1941250791006,5
hsa03460,3357.314311611411,5
hsa04010,0.12127895708186659,38
hsa04012,2.0024798062453755,10
hsa04014,0.1784099730825655,18
hsa04015,0.6127637109304586,29
hsa04020,0.6045441882457875,32
hsa04022,0.4743936817984895,23
hsa04024,0.5538969570780299,21
hsa04060,0.2049394740075715,22
hsa04061,0.6539929919256626,11
hsa04062,0.6945955333995698,27
hsa04064,4.50081405963492,11
hsa04066,2.8919896274815646,11
hsa04068,0.41674333420838383,14
hsa04070,0.9457122746390855,14
hsa04071,0.858275124909706,16
hsa04072,0.9425081215238954,23
hsa04080,0.3095741089800431,24
hsa04081,0.543934134919669,18
hsa04082,0.3701828492390109,21
hsa04110,2.2874299937585194,21
hsa04114,9.85142515880166,17
hsa04115,1.1789183156512242,13
hsa04120,3.403076266260228,12
hsa04122,21172.297758887984,1
hsa04130,17790.6721146009,3
hsa04136,6.791458932027203,7
hsa04137,0.9569036010461749,15
hsa04140,0.6386180415906988,18
hsa04141,3.1765183989223895,22
hsa04142,1.7891152975221851,15
hsa04144,0.9144777056878298,32
hsa04145,2.5273134796449876,12
hsa04146,2.1111076551314154,17
hsa04148,0.6684705518676604,21
hsa04150,0.8662606241409556,21
hsa04151,0.2067183916686044,37
hsa04152,2.7074080660939313,15
hsa04210,0.8120606265420299,22
hsa04211,0.8539377838409369,15
hsa04213,1.9628423369695236,10
hsa04215,1191.8270021112305,6
hsa04216,42.760693997833044,10
hsa04217,1.7778135182902315,17
hsa04218,0.47735943829567823,27
hsa04260,3.972138879894753,14
hsa04261,2.7904285212337423,15
hsa04270,1.933839420867098,22
hsa04310,1.0951814119954129,19
hsa04330,99.82072185584244,13
hsa04340,2.707496929292277,12
hsa04350,18.457592573107792,10
hsa04360,0.4050184881492153,23
hsa04370,0.9033908355759053,12
hsa04371,1.2872019089089015,18
hsa04380,3.0019217757884578,14
hsa04382,0.3798180343590237,24
hsa04390,1.0191110487202695,19
hsa04392,8.463549610939516,9
hsa04510,0.931473684344727,26
hsa04512,1.2023543451805494,13
hsa04514,0.2516584008860036,22
hsa04520,0.6830158357853313,18
hsa04530,2.123279331529564,26
hsa04540,0.4432919991405415,16
hsa04550,0.49636443144924697,21
hsa04610,741.6634535903553,7
hsa04611,3.7716866891857777,18
hsa04612,14.638707271830718,9
hsa04613,8.961493879559463,14
hsa04614,22.546709370705596,5
hsa04620,7.452818460947919,9
hsa04621,0.23160471478942146,26
hsa04622,3.4977493849754158,8
hsa04623,84.42682048543821,9
hsa04625,0.8960207776213781,13
hsa04630,0.363116501051554,18
hsa04640,4.397583448925255,16
hsa04650,1.4790640900503222,19
hsa04657,12.358420901313476,8
hsa04658,2.9868056613847935,17
hsa04659,1.1514783693252153,11
hsa04660,0.8104631178435828,12
hsa04662,1.7469145107638056,11
hsa04664,0.8959259324707147,11
hsa04666,0.9751321886959173,15
hsa04668,5.412462539556734,11
hsa04670,0.6098316034500493,23
hsa04672,744.3940649474533,6
hsa04710,168.09325938428978,7
hsa04713,0.9008806121788598,16
hsa04714,0.47434560270302206,25
hsa04720,2.2527420104409424,13
hsa04721,3.103382736104883,12
hsa04722,1.2416162210379404,16
hsa04723,2.192623793565913,15
hsa04724,1.2970294195816388,19
hsa04725,0.36929261308985206,21
hsa04726,0.5663481818669643,17
hsa04727,0.5396949310359943,16
hsa04728,11.987948880300017,13
hsa04730,1.5418754830016475,13
hsa04740,2.399436043598196,22
hsa04742,0.5262609514984886,20
hsa04744,4045.29233901162,4
hsa04750,2.9621088822999044,15
hsa04810,0.19956113082799562,38
hsa04814,0.3042393459055008,24
hsa04820,0.11330381054771367,35
hsa04910,0.3622073432823975,19
hsa04911,1.951206438013757,18
hsa04912,1.5234057200978255,21
hsa04913,1.384142632132692,9
hsa04914,0.4505585643136741,20
hsa04915,2.12073462670075,18
hsa04916,1.4235195459322716,13
hsa04917,2.4534653879827775,9
hsa04918,1.5841012207287517,11
hsa04919,0.9000877733196576,24
hsa04920,5.646443034875218,8
hsa04921,0.3600916932189656,27
hsa04922,7.410264512452941,12
hsa04923,132.80751609948996,9
hsa04924,3.088386739375273,17
