pathway_name,distance,n
M00001,36169.21271253954,3
M00002,37168.65714871159,2
M00003,199231.76273722947,1
M00004,6646.359395381233,2
M00007,7052.217613800464,2
M00009,23237.906107700343,1
M00011,22447.620129175313,1
M00019,154881.9273544216,3
M00029,191635.11806277191,1
M00032,16920.741143058152,2
M00034,176983.40525318898,3
M00035,15634.52402614444,4
M00036,14107.28032105878,4
M00037,23964.844158741136,5
M00038,16434.354199977828,2
M00042,179207.4064336952,1
M00043,24779.788692248567,1
M00045,202048.59243807467,1
M00047,2.1466676554447606,19
M00048,14638.570922025443,2
M00050,222748.84763984862,1
M00053,16.565053231770893,16
M00057,3194.161132411659,4
M00058,124749.95764597798,1
M00059,9102.143428781901,4
M00065,143033.70135662524,1
M00067,100366.09901615701,1
M00068,16085.649096885347,1
M00069,120032.16410235004,2
M00070,19976.670902810027,1
M00075,134636.0558673446,1
M00077,100920.52739492491,2
M00078,8645.458134230355,6
M00079,118182.0057491251,2
M00085,18483.299720133025,1
M00087,18248.470406834334,1
M00089,2231.120919581588,7
M00094,185757.44072544845,1
M00095,22449.228190302634,1
M00098,115102.27382634174,4
M00099,180379.55447254333,1
M00100,121271.71131610425,3
M00101,11156.734661720953,3
M00102,10998.644718519048,3
M00103,83629.94550008324,1
M00104,8619.68047499066,2
M00106,25922.039849387198,1
M00109,53359.54760023128,1
M00114,12489.404392809018,2
M00115,190271.8061196692,1
M00119,151519.43026703023,3
M00120,15192.88277314011,1
M00121,15842.102038898858,3
M00122,16623.452112827723,1
M00126,177331.31133113214,2
M00130,15887.390054379135,4
M00133,198378.5981980075,1
M00140,20306.957788763953,1
M00141,17775.224261209183,1
M00143,62103.31968197229,1
M00146,19793.29677113772,2
M00148,20038.064192095608,1
M00151,20192.146924377255,1
M00152,8858.415194731466,3
M00154,6018.456654995488,2
M00158,7934.639520240897,3
M00160,11349.836648895318,3
M00165,5996.809849045506,3
M00171,22371.23921313233,3
M00307,17428.14660898825,1
M00308,243382.57474977817,1
M00338,231234.82702614096,1
M00346,18228.419023421437,2
M00366,23931.770378078905,1
M00367,23495.420038800537,1
M00368,220768.39478944748,3
M00415,134538.87237191395,2
M00532,11313.376870059363,3
M00549,231559.74141739297,1
M00552,240470.9924591631,1
M00570,148747.2821458607,4
M00609,223790.429365316,3
M00621,18774.07677943949,1
M00740,19459.662120111218,1
M00793,109302.65544540007,5
M00842,61105.944167641035,1
M00843,68460.60468111909,1
M00844,218547.30906083566,1
M00845,229981.51460255604,1
M00846,21542.270486466532,1
M00849,22642.57241096134,1
M00854,202398.23525938464,1
M00868,18623.29345319304,1
M00872,2551.3590636465265,4
M00873,16561.692662139616,1
M00880,5148.1904877048455,2
M00911,21349.77404621645,2
M00912,15725.102439128494,2
M00917,12397.649766276547,3
M00926,21367.84986854567,1
M00936,298428.25114629295,1
M00938,16.939892186814298,16
M00953,224538.37897067293,3
M00958,14769.431031507778,2
M00959,14841.641764782784,2
M00970,19.010745528307783,17
M00972,24.361599191833164,17
M00975,19912.676539117823,1
M00978,222436.76903466138,1
M00981,302185.80122875015,1
M00988,68527.39143110158,1
M01000,12621.101422116137,2
M01015,13269.819235675219,3
M01022,110454.1050506571,5
M01023,107444.01102836466,5
M01024,110150.21328343089,5
M01025,109957.81891709723,5
M01026,109855.75336683917,5
M01027,107406.79563035366,5
hsa00010,2396.82380442955,6
hsa00020,16688.02462734401,2
hsa00030,6651.932974909126,2
hsa00040,180771.51324238034,2
hsa00051,4.292896319933732,21
hsa00052,166285.19763998047,2
hsa00061,16379.59931806537,1
hsa00062,1873.0794012672015,5
hsa00071,9704.199136094734,5
hsa00100,84.99186005276032,6
hsa00120,8678.58491191078,2
hsa00140,69039.20611303358,4
hsa00190,0.5834318305232017,15
hsa00220,3549.1594561799197,4
hsa00230,0.5166177683250845,28
hsa00240,4.95797234841413,20
hsa00250,3.6735823578342353,6
hsa00260,2.361221089154516,23
hsa00270,259.1054305193079,8
hsa00280,391.20989125708286,6
hsa00290,150381.12961789352,4
hsa00310,10.16335193776779,12
hsa00330,1.7901022571260994,22
hsa00340,136751.44269044357,2
hsa00350,200.6951814790177,7
hsa00360,201096.15621720543,2
hsa00380,6466.4717939344655,6
hsa00400,168637.73792821768,1
hsa00410,136806.08213025503,2
hsa00430,142226.37608968545,3
hsa00450,5454.967178753231,5
hsa00480,2.1775282249844192,22
hsa00500,182297.97030431073,2
hsa00510,7609.150309839519,3
hsa00513,7010.071064378069,3
hsa00514,7477.588066524259,2
hsa00515,308.7679015681616,7
hsa00520,12593.112390593382,4
hsa00524,230210.22903628246,1
hsa00531,166.05233051044644,8
hsa00532,3110.977749078068,4
hsa00534,28.868336384383067,8
hsa00541,156459.89227041366,7
hsa00561,2.3477652222268013,16
hsa00562,1.679966561863367,16
hsa00563,22210.54041531112,2
hsa00564,3.291563502950059,16
hsa00565,7218.862419525233,7
hsa00590,5.350302716325512,24
hsa00591,127732.93317236846,5
hsa00592,130266.4211178429,4
hsa00600,76204.36366126502,6
hsa00601,6183.652341970323,3
hsa00603,6335.454181957862,3
hsa00604,2243.2747662395827,5
hsa00620,5499.134170155753,5
hsa00630,11423.447247441056,4
hsa00670,1617.3539004888169,5
hsa00730,179242.31837528435,3
hsa00740,19359.151762691537,2
hsa00760,2085.5404237403122,6
hsa00770,11701.660176295922,5
hsa00785,10439.923607949522,3
hsa00790,21.669494202628766,10
hsa00830,2523.6799286933647,7
hsa00860,2100.427159259133,5
hsa00900,20648.545930468183,2
hsa00910,23703.71227409762,1
hsa00920,126762.16087712145,1
hsa00970,76.32154706559886,8
hsa00980,1573.3254483873184,8
hsa00982,22783.16243396126,5
hsa00983,2.3262004578709075,23
hsa01040,160567.26646877607,3
hsa01100,0.15003140416082084,143
hsa01200,0.6157174509302764,14
hsa01210,29.475611544017504,8
hsa01212,20.98191301989553,7
hsa01230,8.700918971379972,13
hsa01232,2.7404609845526973,22
hsa01240,0.5746625655430385,22
hsa01250,311.8935543353308,9
hsa01521,0.5061957209040705,27
hsa01522,0.37301345692770677,35
hsa01523,10.322522512021308,7
hsa01524,0.588335462009693,30
hsa02010,65.69437680649536,11
hsa03008,123.9984781933069,8
hsa03010,15.383142596819177,11
hsa03013,10.122927924043749,16
hsa03015,1.4618227425682002,13
hsa03018,289.4998501947368,12
hsa03020,11966.486730323775,3
hsa03022,226.92738590512207,6
hsa03030,724.3517835050034,5
hsa03040,1.4236064787560447,20
hsa03050,17378.290152394828,5
hsa03060,5787.093118987886,7
hsa03082,4.440664392647744,24
hsa03083,26.7315133625052,11
hsa03250,1.296639080074277,19
hsa03265,5012.194970942046,5
hsa03266,1416.0634718904405,6
hsa03271,151352.15345311546,3
hsa03272,152.847657310094,5
hsa03273,201.33858668382717,7
hsa03320,6.781453914145238,11
hsa03410,59.5430327064083,6
hsa03420,3.689110701049178,10
hsa03430,6210.09499596819,2
hsa03440,49688.83634919555,6
hsa03450,6451.906535569798,4
hsa03460,505.3344116114911,6
hsa04010,0.1182367390275545,69
hsa04012,1.3780926760188863,24
hsa04014,0.3851565046925375,36
hsa04015,0.4337281439924173,32
hsa04020,0.529456529151152,43
hsa04022,0.4031996684877801,26
hsa04024,0.7894183593162679,32
hsa04060,0.570062023643691,27
hsa04061,123.45415496983314,7
hsa04062,0.38634422704469373,24
hsa04064,1.0605098475275048,27
hsa04066,8.545928596898694,16
hsa04068,1.6715924692858428,24
hsa04070,1.0384093356176751,23
hsa04071,0.3515404941848044,39
hsa04072,0.18294404120504273,30
hsa04080,0.10062747846129863,42
hsa04081,0.7874020830092829,33
hsa04082,0.3126211621167372,29
hsa04110,0.492676660054466,40
hsa04114,0.3838495768884912,32
hsa04115,0.4413272460019136,37
hsa04120,0.29215470115791714,21
hsa04122,57470.4888459518,1
hsa04130,3880.907940185203,3
hsa04136,6.98933339780392,10
hsa04137,0.26167421417210557,34
hsa04140,0.09538745563578484,55
hsa04141,9.1031750801659,20
hsa04142,0.34507719537739123,39
hsa04144,0.35636872480555065,32
hsa04145,0.37484319245370223,34
hsa04146,2254.3970056324824,7
hsa04148,0.13979148785428655,45
hsa04150,0.39986457964117617,39
hsa04151,0.1259833893591953,80
hsa04152,5.0638934252081595,22
hsa04210,0.13014279260810818,40
hsa04211,0.5794338577882351,37
hsa04213,1.7425493745473752,15
hsa04215,149.08106106502774,9
hsa04216,0.18810567758434157,30
hsa04217,0.8662750556835399,22
hsa04218,0.35006700590468937,51
hsa04260,1.6681290112674372,11
hsa04261,0.6179222761604451,16
hsa04270,0.3665814111517138,27
hsa04310,0.7026421969256958,38
hsa04330,50.13834315592701,11
hsa04340,31.776568862367597,9
hsa04350,2.602861879817203,13
hsa04360,0.30740106899670677,28
hsa04370,9.054168340820237,12
hsa04371,2.6072672896646005,25
hsa04380,1.4863346410587464,19
hsa04382,0.8590053206666269,36
hsa04390,0.3368497146441103,37
hsa04392,596.2052116226627,8
hsa04510,0.1719618344042075,44
hsa04512,1.1009349218092201,25
hsa04514,0.5758484250677331,28
hsa04520,0.6948564933989363,18
hsa04530,0.25365194893633236,32
hsa04540,0.4411468624664034,18
hsa04550,11.06296151006157,18
hsa04610,2.796299469140542,17
hsa04611,2.180928371934442,20
