pathway_name,distance,n
M00001,0.06062617164175101,306
M00002,0.09487051614741572,140
M00003,0.07724508627544457,170
M00004,0.1906693259163076,81
M00005,1.0131213811188686,76
M00006,0.5567486269155745,28
M00007,0.28884603927878616,49
M00008,1.8258511911270914,14
M00009,0.1341083478987627,368
M00010,0.25685951651012306,145
M00011,0.14968179642124327,235
M00012,0.3879696654144476,135
M00013,0.12548005795103254,140
M00014,0.1533314447594931,293
M00015,0.1111096988750701,96
M00017,0.2008500750373754,79
M00019,0.28487412685572555,98
M00020,0.12871406200584,69
M00027,0.1501723342475869,155
M00028,1.7572139911106572,21
M00029,0.06549949519522948,156
M00032,0.1007096326644251,247
M00034,0.19653824275001508,320
M00035,0.08802660802473047,257
M00036,0.12490033166459871,302
M00037,0.18409030754546976,208
M00038,0.08583206065026162,159
M00042,0.09317105851696396,158
M00043,0.2760825490758486,31
M00044,0.1222701397907637,145
M00045,0.3757339355699716,82
M00046,0.23637942208902005,56
M00047,0.12302249020388945,359
M00048,0.13661571530538694,163
M00049,0.13420613395601158,311
M00050,0.2440946693638456,294
M00051,0.11826687005078439,104
M00052,0.11654748688196223,235
M00053,0.11643296511223525,416
M00055,0.07666379941852242,193
M00056,0.062425682581338605,415
M00057,0.038074169433127206,120
M00058,0.13977553201113216,127
M00059,0.1547980343275654,301
M00065,0.2419477142365466,165
M00066,0.23343942143948543,96
M00067,0.22636948181886965,55
M00068,0.27725429433517945,111
M00069,0.13691681215730217,137
M00070,0.31976127218983896,96
M00071,0.3226586508872939,74
M00072,0.06720307465957485,204
M00073,0.13977297589896262,150
M00074,0.1559658073160916,132
M00075,0.07601160776472654,228
M00076,0.11835189170233293,159
M00077,0.09078186383263397,192
M00078,0.09496770130358437,201
M00079,0.08759724572354126,88
M00082,0.07402645993313027,171
M00083,0.18213884776419204,100
M00085,0.17673055646471666,159
M00086,0.1487309203194748,94
M00087,0.18627960529222815,177
M00088,0.04265079748008379,144
M00089,0.12125473221640959,424
M00090,0.12601728668928772,101
M00091,0.3829540769522071,55
M00092,0.10226739794594039,119
M00093,0.2810730863719585,66
M00094,0.10483062875825229,270
M00095,0.09948623328734905,183
M00096,4.219526834022689,15
M00098,0.15575783146010913,505
M00099,0.09687600045902126,345
M00100,0.10021981327858577,117
M00101,0.15088180060031692,333
M00102,0.1905273745446644,288
M00103,0.2846563905782588,56
M00104,0.125561027417316,267
M00106,0.24263466718286927,104
M00107,0.5580896694725378,60
M00108,0.2329130741466691,95
M00109,0.1602227277965371,161
M00110,0.21732429621821747,93
M00113,0.3106297064158607,81
M00114,0.19216535111784747,62
M00115,0.08047798772384909,175
M00118,0.6035966896728718,36
M00119,0.2316817629841375,98
M00120,0.19022485992709234,245
M00121,0.1377737598439057,168
M00122,0.2501665123789636,97
M00124,0.27505723774603774,40
M00126,0.2828571727326464,203
M00128,0.06866918834597217,123
M00129,0.15139309174188914,247
M00130,0.04210726986529917,382
M00131,0.07738404068611979,62
M00132,0.33239300462510135,68
M00133,0.45336548221892464,65
M00134,0.4726787999024163,42
M00135,0.1245213197969669,93
M00140,0.14381975002462385,63
M00141,0.12715507917779612,102
M00143,0.1290266830109789,61
M00146,0.022764145740638696,188
M00147,0.20529597979441933,79
M00148,0.39791125578508035,78
M00151,0.2401921099722823,50
M00152,0.14059303750006513,149
M00154,0.08405868841705126,173
M00158,0.1336190241620643,201
M00160,0.16029888971438583,231
M00165,0.1263971613707684,138
M00168,0.27176050609639124,39
M00169,0.37494244855335157,64
M00170,0.1617041973201701,125
M00171,0.14386658604329014,194
M00172,0.3745750394947138,64
M00173,0.18468551737706257,89
M00307,0.15317715593554165,174
M00308,0.8985574739378722,36
M00338,0.40409092052955303,42
M00344,0.4339933675502988,76
M00345,0.21325403212578117,57
M00346,0.1555190570015907,119
M00357,0.18267096902016217,54
M00364,4.048663059287839,15
M00365,4.1234215206201865,15
M00366,0.927607772310129,77
M00367,0.3646255683276331,89
M00368,0.4036153594547482,115
M00373,0.17312624212778374,132
M00374,0.1237057591197043,58
M00375,0.19596160822449246,83
M00376,0.16086857029497892,79
M00415,0.041393231815956236,256
M00532,0.17658252078126233,199
M00546,0.3326100298416188,52
M00549,0.17186735784278975,205
M00552,0.911921786721043,36
M00554,0.284657829053989,73
M00555,2.5258198265547804,16
M00565,0.4869450199555595,15
M00570,0.21471952704008018,160
M00572,0.15528899871295426,96
M00580,41.966223269998224,8
M00609,0.41898419737722625,115
M00621,0.08441564248083765,109
M00632,0.17568966124580698,114
M00740,0.13385283825805638,88
M00741,0.2329266408717112,83
M00761,24.820262649565688,12
M00793,0.221349366266317,88
M00840,2.8569531658498812,45
M00841,0.8214397076002057,26
M00842,0.15074371154220084,65
M00843,0.2952502586778121,59
M00844,0.14245520550970758,116
M00845,0.24198034193364074,83
M00846,0.3880307694979791,48
M00849,0.07387639597344903,174
M00854,0.3178841995579587,132
M00855,0.1318371766091405,102
M00861,0.2302991267084964,133
M00862,0.2641139398996408,62
M00868,0.06316905795064441,168
M00872,0.11116132989504077,298
M00873,0.09881260898033876,214
M00874,0.05857303467063279,234
M00880,0.44410332791857215,70
M00881,0.8861737228195592,12
M00882,0.290380025603323,34
M00883,0.2702140998143516,38
M00884,0.8678794751767664,12
M00885,0.06482780592836568,98
M00886,0.06757170330296679,98
M00892,0.3587801399519632,208
M00897,6.142417182893659,15
M00898,6.790746165245288,15
M00909,0.4908491783174034,182
M00911,0.17610077874377908,47
M00912,0.14962381369432795,220
M00913,0.3616375277266018,28
M00917,0.12422927952550185,171
M00926,0.13538342685060129,104
M00936,0.3717978448316373,35
M00938,0.11823405402957332,425
M00953,0.39696054357899757,115
M00955,0.25604759581644587,118
M00957,0.17639476504209983,111
M00958,0.10362466275567388,268
M00959,0.19302007454714076,181
M00968,9.225519140158411,7
M00970,0.4547875885922786,219
M00972,0.334046754749155,292
M00974,0.2274247874590884,147
M00975,0.18191736634555886,86
M00976,0.1589703405856026,197
M00977,0.2540727739294113,188
M00978,0.16155115693847052,119
M00981,0.36693292521383025,35
M00982,0.18391597808857418,39
M00983,0.17918595507168228,116
M00987,0.7912351281529624,32
M00988,0.2840199491962087,59
M00991,0.33329573637942883,63
M00992,0.316763981418393,63
M00994,5865.563475641249,22
M00995,0.7235555371991792,150
M00997,0.23467220720493484,42
M00999,24.839520748034012,12
M01000,0.1902531032650832,62
M01001,0.19448634644558896,88
M01002,0.7231601668156481,150
M01003,0.22435367148203758,62
M01004,3.1903475159995986,13
M01006,0.44131549596769853,45
M01015,0.16807776713068834,160
M01016,1.3858207851219397,12
M01017,240.07451491278354,5
M01018,236.73848160701763,5
M01019,235.86291754511902,5
M01020,237.09352637758482,5
M01022,0.2486475306487031,88
M01023,0.22093984182664553,88
M01024,0.2701556706248427,88
M01025,0.27265752995041315,88
M01026,0.24088159820113633,88
M01027,0.21555499756857843,88
M01034,239.31093087515555,5
hsa00010,0.09658284207237344,745
hsa00020,0.09307696915636433,478
hsa00030,0.1300047884878665,264
hsa00040,0.1462377483560755,424
hsa00051,0.06936404515143178,741
hsa00052,0.09560245781150321,556
hsa00053,0.14758321288660908,326
hsa00061,0.03049729022203225,348
hsa00062,0.053270595253879546,517
hsa00071,0.09324293968096252,556
hsa00100,0.1280778221236483,477
hsa00120,0.12349224751149143,301
hsa00130,0.1738434712530132,237
hsa00140,0.08321613100066497,722
hsa00190,0.04857683893160152,915
hsa00220,0.05641489694283207,428
hsa00230,0.04015699043004944,1893
hsa00232,0.20579600360998848,149
hsa00240,0.03211092289689962,948
hsa00250,0.07784758060152712,712
hsa00260,0.08341565576905088,705
hsa00270,0.1410483682712942,765
hsa00280,0.08223075008826145,649
hsa00290,0.2095674467003179,160
hsa00310,0.04572913903624227,1480
hsa00330,0.06353587066219954,783
hsa00340,0.10049995730329948,315
hsa00350,0.12467893392162012,600
hsa00360,0.1664542963511282,303
hsa00380,0.10142878022384891,629
hsa00400,0.05690264128251665,198
hsa00410,0.04533721928498223,569
hsa00430,0.08961961468452169,368
hsa00440,0.14573136272572157,93
hsa00450,0.18359466569008193,411
hsa00470,0.17579197625129503,98
hsa00480,0.129241798555102,852
hsa00500,0.12909263474666205,562
hsa00510,0.042572682070105235,832
hsa00511,0.10368005869968312,220
hsa00512,0.023144568315434905,515
hsa00513,0.07104440903805764,679
hsa00514,0.04179406438390285,670
hsa00515,0.07548970444940094,472
hsa00520,0.09297525552326384,616
hsa00524,0.1305589219582402,122
hsa00531,0.09860833223240381,345
hsa00532,0.02272053531230435,420
hsa00533,0.09648286079405549,254
hsa00534,0.11331283754586673,457
hsa00541,0.20878069918262995,339
hsa00561,0.04295343073805948,1140
hsa00562,0.03178270567914136,1461
hsa00563,0.07560008443547865,362
hsa00564,0.09320515037473281,1219
hsa00565,0.07698484842664655,606
hsa00590,0.14927273901582666,994
hsa00591,0.12131625770546797,369
hsa00592,0.17953933718789852,335
hsa00600,0.026744271636232303,689
hsa00601,0.021417678151452322,310
hsa00603,0.11277678761791572,222
hsa00604,0.1000050370205212,313
hsa00620,0.07825065241874567,592
hsa00630,0.09190769151674787,417
hsa00640,0.04067008286354976,504
hsa00650,0.10919037621569878,384
hsa00670,0.1379136871581098,512
hsa00730,0.08673730014728802,385
hsa00740,0.14725589404653452,192
hsa00750,0.3381353170171387,103
hsa00760,0.040748142903939306,585
hsa00770,0.1027950350581682,529
hsa00780,0.09840008849387245,115
hsa00785,0.030768408874189385,353
hsa00790,0.17947286869782664,488
hsa00830,0.09879732494615338,817
hsa00860,0.09859641730144146,566
hsa00900,0.10929858342968257,409
hsa00910,0.1561133450495002,208
hsa00920,0.13309783090602567,149
hsa00970,0.11505024876282946,1179
hsa00980,0.11290875648329866,649
hsa00982,0.10728504311876923,610
hsa00983,0.08833908755210731,955
hsa01040,0.07415064134349704,407
hsa01100,0.03429146574540543,12394
hsa01200,0.07071208749135308,1269
hsa01210,0.1159229035527887,637
hsa01212,0.05677839627218492,851
hsa01230,0.09996057991910105,937
hsa01232,0.06836739404419032,1181
hsa01240,0.10020677069797752,1832
hsa01250,0.1202294577478317,718
hsa01320,2.0233740653249845,32
hsa01521,0.10917921468376082,1712
hsa01522,0.05613007527071884,2276
hsa01523,0.04421454304897667,639
hsa01524,0.030577554007058923,1354
hsa02010,0.054137063092352035,1326
hsa03008,0.05044593248829955,1271
hsa03010,0.04672654536696389,818
hsa03013,0.02157375283604876,1541
hsa03015,0.00828505647476465,1385
hsa03018,0.02556873441120988,1199
hsa03020,0.07039666309036549,378
hsa03022,0.025425693994474672,612
hsa03030,0.06534139977473513,500
hsa03040,0.044949378960940096,1708
hsa03050,0.08196176954367106,546
hsa03060,0.06821881093628236,481
hsa03082,0.010489613370869589,1717
hsa03083,0.021361970970664355,1413
hsa03250,0.031516356671956076,1378
hsa03260,0.24135704366279892,163
hsa03264,0.07320467893166913,182
hsa03265,0.2104810993816206,390
hsa03266,0.10250431606957076,334
hsa03267,0.21317336218156538,111
hsa03271,0.31220999908298375,87
hsa03272,0.07448499731445384,599
hsa03273,0.020005625953959858,717
hsa03320,0.03716647041704909,1034
hsa03410,0.02138746675108723,770
hsa03420,0.033005014491405964,722
hsa03430,0.020091925760367262,471
hsa03440,0.19815582181312943,762
hsa03450,0.09233155372904683,344
hsa03460,0.049552429354995,999
hsa04010,0.022991784229965413,4751
hsa04012,0.08922378628938762,1718
hsa04014,0.022185047709198026,3156
hsa04015,0.02833254640787676,3744
hsa04020,0.01635109162947525,4684
hsa04022,0.03977567821817095,2896
hsa04024,0.03143287876119252,3633
hsa04060,0.035607760877236556,2467
hsa04061,0.07482051994800873,984
hsa04062,0.057067554594704334,2659
hsa04064,0.014093335818024565,1506
hsa04066,0.02024162361837727,1624
hsa04068,0.04529406807802797,2351
hsa04070,0.019918457495364843,1592
hsa04071,0.0347209447916092,2154
hsa04072,0.039962021842271704,2753
hsa04080,0.009363943524994594,3732
hsa04081,0.04703583704074102,2767
hsa04082,0.011181878838601108,2696
hsa04110,0.027031445874591536,2379
hsa04114,0.014441532150551117,1888
hsa04115,0.052469884203442986,1273
hsa04120,0.011154622447149083,1908
hsa04122,0.16617349069964393,159
hsa04130,0.18059373259145695,315
hsa04136,0.03198533393779408,568
hsa04137,0.041067521421034446,1879
hsa04140,0.05226118620088659,2857
hsa04141,0.02396821079148241,1979
hsa04142,0.06766033936047329,1868
hsa04144,0.015762961826670113,3097
hsa04145,0.04735669780727121,1785
hsa04146,0.06563630293469423,1139
hsa04148,0.0226962664289315,3322
hsa04150,0.046981158289615785,2371
hsa04151,0.020488271830863616,5431
hsa04152,0.01950383067392539,1951
hsa04210,0.05250997359372932,2476
hsa04211,0.06070831133466789,1926
hsa04213,0.06044484155770542,1335
hsa04215,0.012060301899633917,602
hsa04216,0.08777370641109516,890
hsa04217,0.022231302291041585,1684
hsa04218,0.021879978228075834,3051
hsa04260,0.04678023841746463,1344
hsa04261,0.02677334218689541,2394
hsa04270,0.02437110924933981,2231
hsa04310,0.015123635928348166,2908
hsa04330,0.00316847827942225,1278
hsa04340,0.024113317310235263,1231
hsa04350,0.023513592558885032,1836
hsa04360,0.00903594035313704,3646
hsa04370,0.0709741715570144,1309
hsa04371,0.04288180309823601,2570
hsa04380,0.03733671502880504,2074
hsa04382,0.009515022941142957,2871
hsa04390,0.009814028859625998,2270
hsa04392,0.02902084895721772,769
hsa04510,0.046625414500298,3874
hsa04512,0.014122385319239004,2415
hsa04514,0.01659185098344704,2268
hsa04520,0.011214277002912712,1938
hsa04530,0.03609676547928391,2976
hsa04540,0.022295381148560348,1834
hsa04550,0.04308731921284487,2548
hsa04610,0.03559145735398521,1334
hsa04611,0.054121826702837265,2251
hsa04612,0.0680360065521335,788
hsa04613,0.04912024833296805,1963
hsa04614,0.055417596133470956,468
hsa04620,0.03822936652831908,1405
hsa04621,0.04652024510647726,2784
hsa04622,0.03561964277158085,983
hsa04623,0.009445481563746893,1107
hsa04625,0.023489129820037574,2196
hsa04630,0.01762441262600961,1913
hsa04640,0.024622470016007966,1285
hsa04650,0.08583511027231115,1983
hsa04657,0.020761579792261186,1392
hsa04658,0.005729371994390456,1338
hsa04659,0.01210557767471335,1542
hsa04660,0.026717443425374448,2262
hsa04662,0.04696167449319532,1867
hsa04664,0.05231877894094417,1302
hsa04666,0.10588915358412695,1490
hsa04668,0.031789337746015965,1845
hsa04670,0.0444867152243309,1785
hsa04672,0.05715725190106751,600
hsa04710,0.06898068868581808,628
hsa04713,0.021759501345043532,1982
hsa04714,0.044321341629904,2676
hsa04720,0.017660858915768452,1536
hsa04721,0.049523718148805754,1199
hsa04722,0.06441487561528633,2088
hsa04723,0.026818859122397173,2031
hsa04724,0.059194230757976696,2757
hsa04725,0.03402540469396475,2218
hsa04726,0.07023716892467745,2029
hsa04727,0.03098574328183425,1533
hsa04728,0.046287138340761994,1881
hsa04730,0.0670597567490652,1565
hsa04740,0.03032902435207152,2835
hsa04742,0.04133738754732567,1601
hsa04744,0.0528249357980212,440
hsa04750,0.06273909092003788,1702
hsa04810,0.04804987071197042,3713
hsa04814,0.007223706225666295,3767
hsa04820,0.00886607034825061,5608
hsa04910,0.044499329328589306,2199
hsa04911,0.011034840863419102,1831
hsa04912,0.06064399917216101,1800
hsa04913,0.12365367529917444,890
hsa04914,0.14569487866943667,1913
hsa04915,0.03165532561735173,2425
hsa04916,0.019328268582017267,1777
hsa04917,0.07075288210404881,1348
hsa04918,0.04219422779433176,1850
hsa04919,0.03301557683677722,2838
hsa04920,0.03546294588478545,1166
hsa04921,0.025163284702068585,3127
hsa04922,0.013482373503958174,1511
hsa04923,0.07820753347276346,1258
hsa04924,0.04142162190240043,1332
hsa04925,0.025024871199398568,1899
hsa04926,0.04486825852826331,2214
hsa04927,0.04703373036914437,1629
hsa04928,0.016295643214263827,2254
hsa04929,0.033628906014134805,1726
hsa04930,0.0599878657055675,1258
hsa04931,0.05144073957081731,1831
hsa04932,0.027258173058354096,1676
hsa04933,0.06640272072841456,1981
hsa04934,0.015680083405198417,2845
hsa04935,0.03355082173655944,2388
hsa04936,0.007164048442031936,1895
hsa04940,0.0862799253512756,484
hsa04950,0.05352322017703919,465
hsa04960,0.08146783931377881,1046
hsa04961,0.04949877849094803,955
hsa04962,0.04881151360249951,740
hsa04964,0.23864888620191368,399
hsa04966,0.12026981447805088,320
hsa04970,0.038823211858621066,2086
hsa04971,0.03432262795452574,1346
hsa04972,0.03874357800625145,1908
hsa04973,0.08964221338000504,890
hsa04974,0.019367612660402104,1959
hsa04975,0.06101281725106623,1032
hsa04976,0.06363863683938277,1329
hsa04977,0.05929307785348104,848
hsa04978,0.08046206284826478,1461
hsa04979,0.05315094194128912,1147
hsa04980,0.02552421524645906,583
hsa04981,0.07371824482348886,555
hsa05010,0.016711564576401786,4649
hsa05012,0.023191349848367876,2795
hsa05014,0.014847849464349753,4688
hsa05016,0.011899903384760893,4030
hsa05017,0.01637664684984214,2683
hsa05020,0.031164945178758712,3221
hsa05022,0.012944398811887723,6247
hsa05030,0.08800055932040117,889
hsa05031,0.04769590334707329,1099
