pathway_name,distance,n
M00001,0.13685475311630907,659
M00002,0.1478783710351549,311
M00003,0.12044361346590904,383
M00004,0.15841332401876818,175
M00005,0.7441129163618052,158
M00006,0.47124704981904597,50
M00007,0.24743421354880848,112
M00008,0.6044935405514066,25
M00009,0.22993386376765187,830
M00010,0.36340449389991986,352
M00011,0.1555146244681376,494
M00012,0.642462938155686,308
M00013,0.12816125345303486,258
M00014,0.08687570758726317,679
M00015,0.2975881676325785,198
M00017,0.3910090596457847,172
M00019,0.1957805548674404,242
M00020,0.22302214926867991,139
M00027,0.12528060140865632,324
M00028,1.0874655549638244,37
M00029,0.09949660730950759,345
M00032,0.10000395136694534,563
M00034,0.2420224500434762,723
M00035,0.08368009002462556,629
M00036,0.12141847549944719,667
M00037,0.19087144814261145,423
M00038,0.20077219902671314,361
M00042,0.13229163940464314,313
M00043,0.4511817198050715,58
M00044,0.18655221436271371,312
M00045,0.21922408315315606,183
M00046,0.3026712138753921,138
M00047,0.21359001684165738,801
M00048,0.24457207974831177,395
M00049,0.14845221477183118,704
M00050,0.3443605478991017,683
M00051,0.12531883433272384,227
M00052,0.10143906912893212,542
M00053,0.1117726565633261,939
M00055,0.06734977502153924,414
M00056,0.05149796853631617,922
M00057,0.03323598827928373,247
M00058,0.12745741741222436,249
M00059,0.0651841110808889,605
M00065,0.13835854970677872,375
M00066,0.15557794533472008,231
M00067,0.2861196178413305,122
M00068,0.2090357409536131,261
M00069,0.10959046893886569,318
M00070,0.2720306385883074,212
M00071,0.228942522012676,165
M00072,0.15063004796291715,428
M00073,0.13361182298450275,358
M00074,0.1372218904215935,301
M00075,0.09161387767417357,497
M00076,0.22213859915899048,332
M00077,0.18531020097623083,407
M00078,0.14716395114888015,407
M00079,0.20149528971216826,205
M00082,0.07625719742964056,319
M00083,0.13049103840061935,196
M00085,0.23989585836125935,299
M00086,0.08501254462297422,208
M00087,0.13917602988806166,380
M00088,0.10332108312307108,267
M00089,0.16501724910302515,965
M00090,0.08736269117825961,235
M00091,0.48939865571539864,99
M00092,0.055126730710986976,249
M00093,0.4044880778415798,144
M00094,0.09965294745059801,596
M00095,0.09681875546213496,339
M00096,0.8560044046786411,35
M00098,0.09279607897360345,1154
M00099,0.07006711696493287,742
M00100,0.03929745092557961,268
M00101,0.17620136370031114,708
M00102,0.20626682776932453,584
M00103,0.21344553731815571,123
M00104,0.1331204764031107,526
M00106,0.29024445823420286,207
M00107,0.38845625457941685,143
M00108,0.11017292138558221,225
M00109,0.056022709950576996,341
M00110,0.21499276844604165,173
M00113,0.31786041074028465,161
M00114,0.14851289299464016,154
M00115,0.17346773815424632,379
M00118,0.7544567970487985,105
M00119,0.1692523270851932,242
M00120,0.22200529170909072,583
M00121,0.1343362364803691,353
M00122,0.12900065842244007,220
M00124,0.3153598342202515,89
M00126,0.4195488649992173,421
M00128,0.07851119512054451,247
M00129,0.11323219469893543,546
M00130,0.017457016704321517,760
M00131,0.09745540727452413,136
M00132,0.2522744018431746,178
M00133,0.4441306707952005,126
M00134,0.40080008462976313,89
