pathway_name,distance,n
M00001,0.18258937501111797,457
M00002,0.389852176408749,220
M00003,0.10111981975417604,266
M00004,0.29214925028337557,131
M00005,0.3247392001396924,109
M00006,0.5452785428714709,51
M00007,0.35234582157026,72
M00008,0.662797124485123,43
M00009,1.1986590026759467,2027
M00010,1.8034769958656405,1753
M00011,0.14913833351326278,288
M00012,0.5547057767031393,177
M00013,0.19348927382830552,282
M00014,0.09493412994993702,597
M00015,0.24245557132080311,107
M00017,0.4723699128965063,120
M00019,0.6556386849581415,93
M00020,0.3833550430374093,84
M00027,0.12662734291194744,214
M00028,19.932946940857537,27
M00029,0.3424172584157216,199
M00032,0.12070918017306116,318
M00034,0.1893757364599591,486
M00035,0.274931217595518,392
M00036,0.21919209241213083,341
M00037,0.15766981382439013,336
M00038,0.3644793026723777,194
M00042,0.11393189685161194,215
M00043,0.7967673476082954,51
M00044,0.1758249457180075,188
M00045,0.5985411692974674,114
M00046,0.6416581217348462,40
M00047,0.7606954682867089,1589
M00048,0.1721727007165944,183
M00049,0.054836763825735706,492
M00050,0.263667808039491,473
M00051,0.3040598689468829,112
M00052,0.09952342094893643,366
M00053,0.5666031678821494,1718
M00055,0.05337266019407275,256
M00056,0.01694108238250991,567
M00057,0.21620437458922506,201
M00058,0.26968152402112344,150
M00059,0.1465575610627491,375
M00065,0.08437872370757907,269
M00066,0.05868532735310309,132
M00067,0.7674237373365567,61
M00068,0.2112390017194316,186
M00069,0.2769452724182677,216
M00070,0.3045782934950011,152
M00071,0.4368178714255517,96
M00072,0.2565750998670694,246
M00073,0.2723182310997129,217
M00074,0.24520040013081762,185
M00075,0.24965454855561606,324
M00076,0.41209302183013535,140
M00077,0.421545560379556,192
M00078,0.16818449381228393,236
M00079,0.5818976423441437,134
M00082,0.09030955026504589,198
M00083,0.34175971799003435,114
M00085,0.204722917159921,163
M00086,0.31692072780337494,104
M00087,0.30525951042865906,256
M00088,0.08406316411769524,215
M00089,0.06199137728863833,541
M00090,0.22298941471598577,133
M00091,0.4738539528750931,78
M00092,0.2918542153764609,157
M00093,0.31593301349258257,57
M00094,0.11071852877861622,374
M00095,0.12520298263119273,239
M00096,2.161366505399511,37
M00098,0.15357922007464245,764
M00099,0.06996494987418748,467
M00100,0.3147489221499076,164
M00101,0.14719489264539418,437
M00102,0.1182086185782498,340
M00103,0.3858179879236338,109
M00104,0.2620028784399213,343
M00106,0.5744404726749078,96
M00107,0.4052494915223978,110
M00108,0.2187852198441822,165
M00109,0.23167127870078338,260
M00110,0.503229762958307,129
M00113,0.4864288271897995,108
M00114,0.6056239851991726,70
M00115,0.2191500808438646,207
M00118,0.44312248233541296,68
M00119,0.44163594181119226,93
M00120,0.26087573988313323,263
M00121,0.2244999789992733,234
M00122,0.7035543947594851,160
M00124,0.5125428915977885,41
M00126,0.38533387688799214,296
M00128,0.2321659992562842,141
M00129,0.09225402249593583,482
M00130,0.09488815223062118,526
M00131,1.3858507034132506,78
M00132,0.49897378772255613,107
M00133,1.6136192994166423,99
M00134,0.24114046345244933,39
M00135,0.2712239057107852,149
M00140,0.6871903283254958,87
M00141,0.2996061575726239,119
M00143,1.7218304954880144,40
M00146,0.19124643758506107,259
M00147,1.107293090961528,106
M00148,0.4943675821987638,96
M00151,0.12193631718089916,90
M00152,0.12969329802270393,250
M00154,0.2276416848953292,183
M00158,0.18931452422497863,290
M00160,0.1639627371040602,270
M00165,0.15251376748295756,215
M00168,7.749779049440386,23
M00169,0.7317402225111911,80
M00170,0.4338602010107073,127
M00171,0.4431239575049403,263
M00172,0.732869256964066,80
M00173,2.2465053806248956,1658
M00307,0.3287692555918152,256
M00308,0.5482387605256749,70
M00338,0.34948470357207806,70
M00344,0.111895877505858,112
M00345,0.39070018545714513,88
M00346,0.23894988550831295,173
M00357,1.0360311833564344,70
M00364,1.6728813539177467,37
M00365,2.1165975649855575,37
M00366,0.8402376155898804,70
M00367,0.8699882404941777,83
M00368,0.6017116691089139,176
M00373,0.11712092465418486,182
M00374,0.3663802953688161,84
M00375,0.33551559799846337,126
M00376,0.4280276674313328,109
M00415,0.1150471978509712,318
M00532,0.16656120844333752,277
M00546,0.6368997557223648,81
M00549,0.3042704600860427,279
M00552,0.5739797865516071,70
M00554,0.4907887651013844,55
M00555,6.080018548482281,25
M00565,17698.45615580112,2
M00570,0.39182686011203993,168
M00572,0.3286534160372347,114
M00580,10622.337504911768,11
M00609,0.6021921267189057,176
M00621,0.2840098206837339,128
M00632,0.30049627343665686,87
M00740,2.201797937480663,1671
M00741,1.6658191823658257,119
M00761,12798.295089343852,5
M00793,1.8091974287926074,105
M00840,3.5016452437224403,77
M00841,10.149664501469042,28
M00842,1.16589018776902,61
M00843,0.6833402641921263,55
M00844,0.4918547170467351,132
M00845,0.7385399746047515,100
M00846,0.5487353783675755,73
M00849,0.1465285280266082,225
M00854,0.13637725950809346,157
M00855,0.5195693957880471,136
M00861,0.4526553731548071,154
M00862,0.5259829028546626,70
M00868,0.13717152585692666,224
M00872,0.2380497485650966,405
M00873,0.10278391742019444,281
M00874,0.11960976786281412,332
M00880,0.4945637994073082,114
M00881,4.257473250301875,20
M00882,0.3159425841006032,41
M00883,0.26680544750283436,42
M00884,4.198674782561409,20
M00885,0.2283473881094323,67
M00886,0.1981327010301464,67
M00892,0.42093147194583963,282
M00897,1.5324333357552313,18
M00898,2.29682825975683,18
M00909,0.43442080785478476,242
M00911,0.7284789965590764,67
M00912,0.22881848775176486,293
M00913,1.7143204786226318,37
M00917,0.1093547658791654,297
M00926,0.15120375793516083,126
M00936,7.034199833822707,31
M00938,0.5117005557909351,1721
M00953,0.603830474098052,176
M00955,0.47568297383499303,180
M00957,0.1992679951875329,141
M00958,0.09503828250971107,405
M00959,0.12609233060648714,301
M00968,1.85186479130148,22
M00970,0.8220985043823253,1363
M00972,0.9706945647001601,1456
M00974,0.1659066292580317,171
M00975,0.3839811066991314,109
M00976,0.27973576161980335,300
M00977,0.19764076343387943,289
M00978,0.5760169754519863,143
M00981,6.902235697142666,31
M00982,1.1728596384079553,35
M00983,0.10554117210268825,227
M00987,14.08075519528699,52
M00988,0.9784303318243274,55
M00991,0.3253343576420982,123
M00992,0.3345642038998729,123
M00994,201266.1437749653,45
M00995,0.7472262184360877,202
M00997,9.289880474982926,20
M00999,12287.711840204469,5
M01000,0.6253169150120186,70
M01001,1.0060588038588896,78
M01002,0.6558762983844885,202
M01003,0.9156799378487154,79
M01004,8.097601021047492,27
M01006,0.5308817293554584,55
M01015,0.31536993313396333,212
M01016,0.7568159071462919,33
M01017,9375.502744841135,12
M01018,9324.743899039458,12
M01019,9384.091330945272,12
M01020,9224.246044938916,12
M01022,1.7203872622532566,105
M01023,1.0286456023042378,105
M01024,1.7377420544995872,105
M01025,1.7608565308871653,105
M01026,1.7068975326622327,105
M01027,1.765835072591043,105
M01034,9332.844763662102,12
hsa00010,0.09684790449388354,1174
hsa00020,1.0638894789447058,2238
hsa00030,0.174896319798039,416
hsa00040,0.08640134005072318,799
hsa00051,0.28511736477260585,2086
hsa00052,0.16463062817795,774
hsa00053,0.14309855412379097,626
hsa00061,0.16812217131761836,517
hsa00062,0.05929023154972338,638
hsa00071,0.07334420295703031,802
hsa00100,0.05658454681310959,711
hsa00120,0.2805750482727932,367
hsa00130,0.07087294666682224,334
hsa00140,0.05884760625153695,1227
hsa00190,0.052951838605295794,1165
hsa00220,0.04100102016757329,629
hsa00230,0.057794006379755083,3804
hsa00232,0.26451000982237627,233
hsa00240,0.17816073183451112,2425
hsa00250,0.05560071179371106,1064
hsa00260,0.22802718640967543,2051
hsa00270,0.0928675006701032,1035
hsa00280,0.054610644393810526,842
hsa00290,0.406090960672847,168
hsa00310,0.125407996798162,1857
hsa00330,0.3190764342875753,2198
hsa00340,0.19482541989918936,483
hsa00350,0.11185635547100628,895
hsa00360,0.14615181343381442,446
hsa00380,0.04647580956309594,1005
hsa00400,0.21210132878646645,242
hsa00410,0.10939879477332383,830
hsa00430,0.1321018488655301,453
hsa00440,0.4492610754106171,141
hsa00450,0.17104021054981175,565
hsa00470,0.32789014813309625,131
hsa00480,0.5794043716541877,3845
hsa00500,0.21693622019357287,771
hsa00510,0.044947924464950474,1099
hsa00511,0.15877054014981767,332
hsa00512,0.014663591300129272,697
hsa00513,0.04906541069095482,931
hsa00514,0.040165972266586775,968
hsa00515,0.20643911962076053,589
hsa00520,0.17563237228031267,765
hsa00524,0.4614830144095149,178
hsa00531,0.23323578115202923,366
hsa00532,0.08775192798985457,492
hsa00533,0.07576320502950101,293
hsa00534,0.1907529023431386,613
hsa00541,0.1379544150552145,482
hsa00561,0.058049651759349626,1560
hsa00562,0.05122379995705378,2623
hsa00563,0.06397257756963819,563
hsa00564,0.029958335810102925,1686
hsa00565,0.020279387586488777,799
hsa00590,0.3231663365205073,2523
hsa00591,0.06203561639548561,525
hsa00592,0.09614201096090975,435
hsa00600,0.022085477895988234,944
hsa00601,0.05415342353720691,480
hsa00603,0.14643705703264714,330
hsa00604,0.10088734865400047,441
hsa00620,0.10726535997516402,885
hsa00630,0.12507207633847162,629
hsa00640,0.11494381854855915,796
hsa00650,0.02724239367725113,614
hsa00670,0.17123501338595237,678
hsa00730,0.055322916510564986,586
hsa00740,0.20907319849709155,261
hsa00750,0.20269068486160058,169
hsa00760,0.14515174800355563,853
hsa00770,0.14950007241335947,565
hsa00780,0.1652473886800197,124
hsa00785,0.07631999389157806,493
hsa00790,0.25249695971635,723
hsa00830,0.09869702310344093,1419
hsa00860,0.07254800969174578,969
hsa00900,0.06002460940108706,527
hsa00910,0.33787019928682455,287
hsa00920,0.2553100599766512,219
hsa00970,0.14622576268091325,1728
hsa00980,0.10334638536432915,1166
hsa00982,0.0880817597527175,1127
hsa00983,0.20576524169269142,2628
hsa01040,0.07201586374761877,523
hsa01100,0.04854758591303315,20082
hsa01200,0.5708578863970548,3531
hsa01210,0.9289713787068751,2424
hsa01212,0.05059158350268106,1149
hsa01230,0.6834376079826935,2945
hsa01232,0.1666952376987683,2816
hsa01240,0.05553938970635876,2565
hsa01250,0.16279081888803518,929
hsa01320,14.089833437803676,52
hsa01521,0.03107968368752296,3268
hsa01522,0.07807172790151515,4722
