pathway_name,distance,n
M00001,0.7682607594669394,34
M00002,7.79031725551387,15
M00003,4.312817183695511,32
M00004,20162.123706072998,7
M00005,37.26637141099315,12
M00006,18021.029060680175,7
M00008,187500.36397764363,3
M00009,0.26122758836440646,54
M00010,22.63965441888621,26
M00011,0.8520695204585581,34
M00012,2.164846509222333,30
M00013,1.5056056984031478,20
M00014,1.0872510937161497,28
M00015,58.72613845061225,21
M00017,11651.500646490847,6
M00019,1028.8577444230375,12
M00020,464.88645053068905,11
M00027,0.6673197695318295,22
M00028,56743.215769833885,1
M00029,0.4958137573780565,20
M00032,0.5141081513308541,35
M00034,0.2285095649269253,42
M00035,0.7216976264697315,33
M00036,1.745685533269379,49
M00037,0.5146160248928663,33
M00038,1.955543139377555,23
M00042,3.11186041365424,24
M00043,84966.9397569372,10
M00044,1.5061480165762644,24
M00045,176525.6961600873,2
M00046,8349.70953070944,10
M00047,1.6077638843421174,34
M00048,15.555795317806583,22
M00049,1.1316670477942987,31
M00050,10.345803175654554,35
M00051,7.378602274162689,11
M00052,5.822629762800415,34
M00053,0.7763518225022544,37
M00055,1.5063551551396355,23
M00056,0.6402220223216869,44
M00057,4.341389022309385,14
M00058,303.48647228881384,10
M00059,2.2273359055353046,39
M00065,4.448369154062153,24
M00066,83.18719897762898,13
M00067,14499.243512096407,10
M00068,530.3377087252455,13
M00069,8.9900226474679,17
M00070,73.21218080937871,9
M00071,160.1174095216091,8
M00072,2.4324894996718234,24
M00073,0.905910056600033,30
M00074,9.760579347883333,20
M00075,0.9334055354804702,23
M00076,2.018114120054946,28
M00077,2.6879296492511227,33
M00078,0.9211347960044816,31
M00079,265.7149827064127,12
M00082,14.93550207076318,23
M00083,4.096820278001467,21
M00085,3.741373398219389,20
M00086,1.4648830051278536,22
M00087,0.9583916808765698,43
M00088,5.208177727225757,25
M00089,0.3834003785905622,52
M00090,60.72396896254569,10
M00091,473.21338544339517,7
M00092,58.185107567883286,12
M00093,2669.2400303993672,7
M00094,0.706214572600719,39
M00095,3.2740059644687203,31
M00096,152905.60440646348,1
M00098,0.5769322701546212,49
M00099,0.5168074173155366,43
M00100,3.615374645015975,14
M00101,0.6730636500515098,43
M00102,2.956593364756161,39
M00103,27732.168545841192,6
M00104,0.6605503880790088,48
M00106,1.2027944606520844,23
M00107,5491.330648036843,10
M00108,117.6590816789951,12
M00109,8.478858296888697,19
M00110,7.825988156261783,12
M00113,6.743319248617877,29
M00114,3602.767096481254,7
M00115,18.046661655505833,15
M00118,1749.6525666979633,10
M00119,1041.0699961981227,12
M00120,0.33299338882686813,30
M00121,0.356362323165441,20
M00122,374.7669248825028,13
M00124,164825.18818336498,1
M00126,3.3015092769448455,26
M00128,10.498667641091707,15
M00129,0.7542135022353788,35
M00130,0.2124261741187085,84
M00131,145.59645415638886,13
M00132,21237.684136160166,7
M00133,85.21016526535827,13
M00134,3587.215335736523,6
M00135,11.55306535277296,9
M00140,1684.6128053205937,15
M00141,1641.594858503051,15
M00142,1.1801423521263223,11
M00143,9.692932487196863,15
M00146,1.220580028218716,27
M00147,4598.28448397283,4
M00148,1381.7513711043514,8
M00151,83.00874489982894,10
M00152,1.7223412152206845,16
M00154,5.213488126535029,23
M00158,12.0850908906653,35
M00160,0.7569893655736705,28
M00165,70.22068165032259,20
M00168,590.8620360196666,10
M00169,17.77950035167554,13
M00170,4.731279867729814,11
M00171,1.128715194741216,21
M00172,17.881150895297253,13
M00173,45.97029118452028,15
M00307,16.740199454021933,30
M00308,74539.30099309255,3
M00338,2452.2357588264454,9
M00344,328.35616639467383,14
M00345,40310.75628340919,1
M00346,106.97081014455043,19
M00357,90941.40757195157,8
M00364,153674.8743811233,1
M00365,151727.1858007102,1
M00366,3637.994696058571,7
M00367,206.38763067089337,10
M00368,10.2170139846985,10
M00373,9.140604294998248,16
M00374,16694.978950300192,2
M00375,711.4440195343302,7
M00376,2.3952000167315433,15
M00415,0.40882561520619526,22
M00532,1.088960143979405,29
M00546,21790.89803554567,9
M00549,1.3497802438237347,28
M00552,75251.89063942025,3
M00554,96873.38399768712,4
M00565,51652.40366027485,1
M00570,21.628978318914882,19
M00572,4.078130646395779,21
M00609,1.8806342071576163,10
M00621,15.051875981875867,21
M00632,8.27873634637174,10
M00740,656.8882249875932,12
M00741,13.470414238266086,14
M00761,17903.474532586526,3
M00793,4.343415527246662,18
M00840,106379.09063851972,7
M00841,4299.058140389466,5
M00842,39.23435392516088,11
M00843,33.44842912557619,11
M00844,13.62135541337809,16
M00845,97.47344484332918,14
M00846,5115.242193489971,6
M00849,3.159954009332482,30
M00854,41.642789228346096,16
M00855,2688.8973049079796,12
M00861,2.164923657813621,37
M00862,15.504162769634224,10
M00868,0.5461926435876372,22
M00872,1.211098349284781,67
M00873,2.6064624391395492,36
M00874,2.421070323349545,33
M00880,3.7514316942162744,20
M00881,234239.34346866774,3
M00882,182643.0933322381,4
M00883,143614.88093549176,4
M00884,236687.6028558846,3
M00885,69.75615674947204,16
M00886,68.7189214639905,16
M00892,3.1375553247755312,38
M00909,5.603333816091501,33
M00911,144428.06539242697,1
M00912,4.077409584423479,24
M00913,52378.239998712736,2
M00917,1.1897015131678237,20
M00926,0.9588672995760565,14
M00936,10651.317861506739,8
M00938,0.8404081805208441,37
M00953,1.9072052561969217,10
M00955,104.25832078448016,15
M00957,31.423153248405765,14
M00958,1.058680080801805,31
M00959,1.0466058303492152,28
M00968,9829.829397706451,2
M00970,178.04497698451303,16
M00972,7.720574143300283,25
M00974,1.174046206637104,27
M00975,73.48235983554606,17
M00976,0.6691786120774927,26
M00977,0.8943289180748974,31
M00978,13.800119740196385,16
M00981,10387.184797255506,8
M00982,19469.03013236324,9
M00983,33.78366862626457,17
M00987,38579.2658667497,7
M00988,33.218386629837035,11
M00991,5281.976367246042,7
M00992,5180.3098780639275,7
M00994,28818.83875803399,6
M00995,5.473780422868577,29
M00997,5517.977126959499,10
M00999,18874.841655245324,3
M01000,3551.027814412618,7
M01001,15.01160074531115,15
M01002,10.348001546591817,29
M01003,4845.241587793361,7
M01006,190925.57724995364,4
M01015,2.2999137054028114,18
M01022,4.317835904592254,18
M01023,2.3830643719151428,18
M01024,4.378959909391349,18
M01025,4.205710501343904,18
M01026,4.408440299669914,18
M01027,4.400507577624021,18
hsa00010,0.2409104056061347,96
hsa00020,0.6321948870068808,70
hsa00030,1.7152112908341195,33
hsa00040,1.0334823838732634,51
hsa00051,0.3826424236161531,87
hsa00052,0.39789296585831935,65
hsa00053,0.798439630489518,43
hsa00061,1.0587507201147983,59
hsa00062,0.22817275085565417,50
hsa00071,0.45307480976781855,97
hsa00100,0.37244016804123137,61
hsa00120,0.553841696856553,52
hsa00130,0.5973221189600872,40
hsa00140,0.4765925288039729,88
hsa00190,0.224649639697992,135
hsa00220,0.33880480210128583,41
hsa00230,0.23810755929774213,242
hsa00232,13.52211341365726,17
hsa00240,0.2667170351540994,133
hsa00250,0.7563543076188961,101
hsa00260,0.11181871684022301,98
hsa00270,0.1789873381306927,95
hsa00280,0.39216931882462075,107
hsa00290,2.747696732590974,19
hsa00310,0.0832540886116171,190
hsa00330,0.17614776412119595,96
hsa00340,0.32600487382691007,37
hsa00350,0.4653747987810235,80
hsa00360,0.646000520650426,39
hsa00380,0.34477867321031846,96
hsa00400,0.33295169916682166,24
hsa00410,0.2275721845808279,85
hsa00430,0.44695000091005516,49
hsa00440,118.48450345442025,7
hsa00450,0.4647101048803579,46
hsa00470,0.3728395925229346,16
hsa00480,0.2219622482518882,89
hsa00500,0.3408183100541283,70
hsa00510,0.24097659323770612,100
hsa00511,0.6620553331357343,32
hsa00512,0.34741843424781726,56
hsa00513,0.08950128265648807,71
hsa00514,0.29685012542168304,67
hsa00515,0.174896179912098,87
hsa00520,0.19503365312806592,101
hsa00524,23.35769664895341,14
hsa00531,0.45502828936878276,51
hsa00532,0.4868997878277987,53
hsa00533,0.42693610175938057,36
hsa00534,0.22010797220549447,66
hsa00541,0.6551620511863311,60
hsa00561,0.12520777039037922,142
hsa00562,0.11039290488506652,209
hsa00563,0.17946696310525245,45
hsa00564,0.10076323019617602,175
hsa00565,0.1247034708239895,74
hsa00590,0.3076046333276572,149
hsa00591,0.8309121810608567,55
hsa00592,0.4203714106363686,65
hsa00600,0.19773326252107626,89
hsa00601,0.5255299569948924,42
hsa00603,23.758873876843108,23
hsa00604,0.7274619472385898,38
hsa00620,0.10972547086565437,96
hsa00630,0.5011491505214305,62
hsa00640,0.25103536522335507,73
hsa00650,0.5655105642257171,52
hsa00670,0.3062593443199453,73
