pathway_name,distance,n
M00001,0.11662982157096571,318
M00002,0.10655493173048466,143
M00003,0.23308900457243226,196
M00004,0.17910600777382552,96
M00005,1.0111689064821294,96
M00006,0.5023130742863768,40
M00007,0.3307843971684549,51
M00008,6.736163100761575,23
M00009,0.22099544301576607,386
M00010,0.4396518943786579,152
M00011,0.16306058376452373,249
M00012,0.6040210776253221,161
M00013,0.14155024791466722,127
M00014,0.08142797840622792,289
M00015,0.15280925896106431,126
M00017,0.3203047482855032,78
M00019,0.2881251084438659,112
M00020,0.2014270268911636,98
M00027,0.17291945165968542,139
M00028,0.6130001591322575,39
M00029,0.23599497079311177,189
M00032,0.1829687949898429,268
M00034,0.34569165415173164,371
M00035,0.15033099509642212,294
M00036,0.21985890537657168,304
M00037,0.19697050293690405,217
M00038,0.3120410744001175,191
M00042,0.2000986929792407,158
M00043,0.5392099968357968,31
M00044,0.08648957105388083,166
M00045,0.3557748672375711,88
M00046,0.28933491689037366,49
M00047,0.2224208289433885,366
M00048,0.3016183618726315,176
M00049,0.17443510214600988,317
M00050,0.41313919465294874,326
M00051,0.2808012239832342,110
M00052,0.20597335182412166,241
M00053,0.13517312446657692,464
M00055,0.025017173606281324,162
M00056,0.06675390419972202,386
M00057,0.09966414639372942,140
M00058,0.027217829482629827,136
M00059,0.19969984387309886,296
M00065,0.04904035957687,192
M00066,0.12689956110144623,92
M00067,0.3788437675495049,51
M00068,0.18385475017131458,112
M00069,0.0629791978300166,174
M00070,0.13626839436965643,84
M00071,0.11294346604129255,58
M00072,0.27109428141495684,227
M00073,0.10258963178961773,174
M00074,0.09096052036482935,147
M00075,0.14737868259684883,231
M00076,0.11625819443959802,180
M00077,0.08278721558769543,201
M00078,0.10386478601407662,217
M00079,0.32654176665600393,94
M00082,0.08302961104545027,168
M00083,0.32796539183509155,123
M00085,0.14575120811365144,158
M00086,0.30541391400247137,89
M00087,0.07994230287340978,179
M00088,0.1508922805368158,136
M00089,0.09541514649680917,473
M00090,0.18296380036910498,95
M00091,0.29055319374258465,39
M00092,0.11384824374725204,113
M00093,0.2666648163110162,78
M00094,0.1262628676765345,272
M00095,0.16137033170594817,145
M00096,6.330543659349337,18
M00098,0.11031587146580873,545
M00099,0.11460870939821784,325
M00100,0.20689642831372607,151
M00101,0.14852648975544186,350
M00102,0.22380586700451632,291
M00103,0.549106963804322,62
M00104,0.1576160592771928,260
M00106,0.3094881870868914,93
M00107,0.5017455974916043,90
M00108,0.3088576513499135,120
M00109,0.19867943208839675,175
M00110,0.302029375934559,107
M00113,0.18606250617050205,69
M00114,0.4352710931956044,60
M00115,0.19687214117430907,194
M00118,0.5102579655724926,44
M00119,0.29455423859974744,112
M00120,0.19041638784350975,260
M00121,0.277999890401147,199
M00122,0.3763425054383718,63
M00124,0.2732569786637484,42
M00126,0.397775325956476,207
M00128,0.15220285782853507,121
M00129,0.0906940485380127,236
M00130,0.050623138679244534,422
M00131,0.4090995576818007,82
M00132,0.1630447832670307,87
M00133,0.36442222172740846,83
M00134,0.5411891400775057,60
M00135,0.21471587996053887,81
M00140,0.28581645839645337,43
M00141,0.17241867682020817,73
M00142,0.24134046171572562,38
M00143,0.3266816008601236,95
M00146,0.1717478994238637,180
M00147,0.26605919506767534,78
M00148,0.5901345432045596,82
M00151,0.20555181802885872,69
M00152,0.12922644484323317,165
M00154,0.1111953188386743,239
M00158,0.05152680591538031,211
M00160,0.09517106486652231,232
M00165,0.1831226662332228,148
M00168,0.8071150258786781,53
M00169,0.5272995683253275,58
M00170,0.2766616564210744,116
M00171,0.232808954021945,203
M00172,0.4622135827760718,58
M00173,0.44026772096379074,107
M00307,0.09591629695199205,185
M00308,0.6898039301211474,38
M00338,0.4912599391616075,45
M00344,0.182695033714827,66
M00345,0.6478130721738986,52
M00346,0.36631698944273455,103
M00357,0.08628502999244787,58
M00364,6.203444359585804,18
M00365,6.105272413446725,18
M00366,0.7470024428087328,88
M00367,0.5364014451712321,107
M00368,0.4454912694743403,124
M00373,0.21085623037134704,128
M00374,0.19207999763674705,49
M00375,0.1254168818460691,60
M00376,0.27372122678621236,88
M00415,0.05697312770470791,277
M00532,0.1684286823896252,193
M00546,0.15287028371402017,80
M00549,0.2326952893479499,205
M00552,0.6523856201903739,38
M00554,0.3499938587970062,57
M00555,1.0677831033513807,20
M00565,9.446648524481603,11
M00570,0.273720895630953,170
M00572,0.33872257503447784,119
M00580,5268.149102655144,4
M00609,0.4310046311235576,124
M00621,0.23591870378621216,96
M00632,0.27869902725140827,108
M00740,0.30839838809170145,84
M00741,0.3313543866725283,95
M00761,0.8969317696063481,15
M00793,0.21622230538767498,125
M00840,12.486009289517241,50
M00841,2.4872606869890763,25
M00842,0.557099768845944,76
M00843,0.6736615025977215,66
M00844,0.28600102019592794,147
M00845,0.3637772796424035,127
M00846,0.46903827767589384,49
M00849,0.1425287407545387,143
M00854,0.17384783699058043,134
M00855,0.15484615583246605,113
M00861,0.13308221720288976,125
M00862,0.3705952270833834,79
M00868,0.28867330045518796,190
M00872,0.13047438592723662,314
M00873,0.08828834014701899,199
M00874,0.06555380624962057,241
M00880,0.3928879955993263,101
M00881,0.8305080088366007,17
M00882,0.47651347965172397,35
M00883,0.22528889111562694,37
M00884,1.1035432064865178,17
M00885,0.17125445660432861,100
M00886,0.18717747397687814,100
M00892,0.21296511955419456,196
M00897,1.3186395067595291,17
M00898,0.7966076695644538,17
M00909,0.37512639983927365,161
M00911,0.4028401769131079,56
