pathway_name,distance,n
M00001,0.1351808598193321,160
M00002,0.6350654371084596,68
M00003,0.7306457604397784,70
M00004,0.4474897765258468,35
M00005,1.0756907583970576,57
M00006,298.903171986316,7
M00007,2.550832823457545,18
M00008,2741.6492746867602,5
M00009,0.2516778612605437,201
M00010,2.19955639964714,72
M00011,0.5138565091506043,136
M00012,1.0509440925358722,76
M00013,0.4557827618198684,100
M00014,0.18927055792957648,158
M00015,1.2041132154183016,46
M00017,0.30609649756782026,69
M00019,0.39101210382863244,58
M00020,0.3433874263353007,43
M00027,0.4466878852074189,83
M00028,182.26087800576252,16
M00029,0.29008668284704914,111
M00032,0.4377585686077211,149
M00034,0.3191588995338745,247
M00035,0.23544388074320285,180
M00036,0.3072430843453634,174
M00037,0.4084958107611618,133
M00038,0.29765070316312514,110
M00042,0.38632001233043417,103
M00043,4.301808574318645,17
M00044,0.7531175539182735,97
M00045,0.27863583900449423,52
M00046,105.83705305344378,23
M00047,0.3272739852799562,406
M00048,0.5353220186153677,88
M00049,0.5676011918629118,206
M00050,0.553769123105196,228
M00051,1.120972384793926,67
M00052,0.5349541922696468,161
M00053,0.2129274224192518,477
M00055,0.40153632960883473,70
M00056,0.18524532809582167,237
M00057,0.41089086260663005,61
M00058,0.48621631978821206,90
M00059,0.20108068559211892,183
M00065,0.4307298842801235,117
M00066,0.09717640907089471,48
M00067,0.6186824924996991,30
M00068,1.6596472033099592,78
M00069,0.19164214656778342,108
M00070,1.9283350559625636,42
M00071,0.2863080796313776,36
M00072,0.39558744526421247,140
M00073,0.3504539261646861,104
M00074,0.29615748967769184,95
M00075,0.33579974357530534,180
M00076,0.1647663629458307,99
M00077,0.2526693223278137,122
M00078,0.1651000732096496,123
M00079,2.634349167177922,72
M00082,0.2298975565145111,100
M00083,0.2893421047477331,72
M00085,0.38694030249691796,77
M00086,0.7521585417211288,40
M00087,0.4604497433566373,99
M00088,0.42549093795465726,78
M00089,0.10318466690074979,284
M00090,0.7897359966185483,50
M00091,1.6173993948082412,31
M00092,0.37433946094654313,46
M00093,2.1608314533966304,33
M00094,0.1715651771183669,166
M00095,0.4138283943905491,67
M00096,27604.945964390005,5
M00098,0.08255434505855593,325
M00099,0.16415262946684286,207
M00100,0.6186414203965743,83
M00101,0.2697236042243322,182
M00102,0.47193455632122033,153
M00103,2.5389964961488722,25
M00104,0.12494995686483569,128
M00106,0.3466144501196192,33
M00107,0.7140476925660821,64
M00108,1.027116818994541,66
M00109,0.6622731695094499,100
M00110,0.4479951342899588,44
M00113,2.2770842299143705,40
M00114,0.6209992455484524,26
M00115,0.33932748423470405,117
M00118,984.1678365377026,18
M00119,0.41814777635147704,58
M00120,0.14329318661607904,129
M00121,0.3958390285836893,102
M00122,0.6187928354507384,68
M00124,0.3109279259743683,31
M00126,0.7414942718450097,109
M00128,0.7787732623201419,73
M00129,0.20474396263006792,142
M00130,0.25705804202371846,238
M00131,5.663362662868229,60
M00132,0.8923629159751421,45
M00133,0.4464330226288708,47
M00134,14.332370204747942,16
M00135,0.3771915611059356,47
M00140,0.6649154691308833,36
M00141,0.43220809885260714,56
M00142,0.5480466172644154,29
M00143,0.8910419617130688,35
M00146,0.19419447698615525,91
M00147,1.8293179530215617,49
M00148,0.8078520256408808,54
M00151,0.727488020595701,35
M00152,0.3973282119988718,75
M00154,0.12903941092599353,166
M00158,0.3528751880340976,141
M00160,0.17246184663516578,106
M00165,0.4317497071168942,59
M00168,0.8194653665763695,23
M00169,2.783442298603841,26
M00170,0.577269019124772,46
M00171,0.3127450297954727,95
M00172,2.72341119234581,26
M00173,1.1329238620766902,32
M00307,0.28686546528522355,124
M00308,15.236703780987384,17
M00338,1.0499473518549487,27
M00344,5.317878081890513,17
M00345,1.67796127142027,13
M00346,0.40557878541260667,73
M00357,0.876478804853056,34
M00364,27671.43116457402,5
M00365,27921.18764551432,5
M00366,1.6672649553927967,44
M00367,1.4692762120401255,51
M00368,0.8015769957709082,89
M00373,0.13448469637959745,62
M00374,3.593249970689496,28
M00375,0.8630530287553707,42
M00376,0.4168051936515059,38
M00415,0.05957751005336405,147
M00532,0.22268349566934584,104
M00546,0.2795278371422112,42
M00549,0.24480122434672502,102
M00552,14.866144162358331,17
M00554,1.629645949363373,35
M00555,212463.8376746583,4
M00565,17563.12410560647,13
M00570,0.2893842127900164,94
M00572,0.4785678534732848,69
M00580,38888.971925314356,3
M00609,0.79517349702033,89
M00621,0.3067093534417807,58
M00632,0.5138992559852436,55
M00740,0.742815896579645,42
M00741,0.15787083510727906,41
M00761,14580.575352425069,4
M00793,0.8559353476871973,74
M00840,956.1787596140122,32
M00841,20240.155890637714,9
M00842,3.00654373790561,28
M00843,2.4994487138697856,26
M00844,0.2919071865002678,77
M00845,0.6084613725546434,63
M00846,0.6118205249387431,24
M00849,0.5377716236445319,67
M00854,0.3541957729209925,83
M00855,0.38266437501807504,83
M00861,0.2614161381135461,70
M00862,1.2136677106485918,41
M00868,0.4728321330507918,107
M00872,0.4230200468638941,166
M00873,0.35987122817823347,132
M00874,0.5236536295214408,159
M00880,0.9613620977015936,70
M00881,2069.432315250736,11
M00882,8.051767515979925,25
M00883,19.34540674872765,25
M00884,2124.871215541862,11
M00885,0.5208406077905511,46
M00886,0.420055874975225,46
M00892,0.07170861997981401,85
M00897,41658.707390457246,6
M00898,41618.37835621207,6
M00909,0.145959796111573,79
M00911,1.3918427021225406,33
M00912,0.33578917804801256,159
M00913,31.547313367267478,14
M00917,0.3810770599284092,76
M00926,0.5999082261560682,44
M00936,3.610922102412468,18
M00938,0.21923857985420833,483
M00953,0.8021455695329544,89
M00955,0.7249382133740164,82
M00957,0.9894821229920048,59
M00958,0.28412200843562985,146
M00959,0.3474703467931199,129
M00968,18123.599268206275,5
M00970,0.7050423350521082,334
M00972,0.565147386611299,370
M00974,0.4148471231441449,102
M00975,0.5320678416139107,42
M00976,0.14966827215586845,111
M00977,0.0838559562453426,111
M00978,0.37417109349938726,83
M00981,2.127699919935185,18
M00982,1132.198675648364,12
M00983,0.7949124597125441,108
M00987,1581.6265253681377,50
M00988,2.52716763112749,26
M00991,1.1838790366450456,35
M00992,0.7954128224767139,35
M00994,3296.190843803624,43
M00995,0.2572950247763536,65
M00997,2.446011122765193,15
M00999,14374.09850450761,4
M01000,0.5688842796150076,26
M01001,1.06166958202213,41
M01002,0.2862658379237922,65
M01003,3.3299669008340693,19
M01004,152.1520651404229,15
M01006,1.9827344740199322,24
M01015,0.23188216212158896,73
M01016,8.10130510042533,18
M01017,20619.851325305954,4
M01018,20826.437797456987,4
M01019,20863.548584176788,4
M01020,20707.13639122942,4
M01022,0.8618208788358322,74
M01023,0.913560658358699,74
M01024,0.9172184104058336,74
M01025,0.904552964390952,74
M01026,0.9248646942836943,74
M01027,0.9129574903473745,74
M01034,20656.62734722406,4
hsa00010,0.12418851526323128,433
hsa00020,0.38018224219545865,280
hsa00030,0.33899161691045293,146
hsa00040,0.1395410101636274,260
hsa00051,0.19283029925246567,584
hsa00052,0.15416229812679438,301
hsa00053,0.22443573814897028,205
hsa00061,0.239844488564729,211
hsa00062,0.0887094194542143,276
hsa00071,0.09849719722417442,318
hsa00100,0.18041422870410526,271
hsa00120,0.16587217021993675,149
hsa00130,0.3211688241727242,167
hsa00140,0.1404371716513149,397
hsa00190,0.104895998581288,552
hsa00220,0.13145181558448632,248
hsa00230,0.13429046304061795,1281
hsa00232,0.244198439030769,70
hsa00240,0.08847243469300721,774
hsa00250,0.13891121864217792,452
hsa00260,0.16215454941778773,626
hsa00270,0.10986540457446128,502
hsa00280,0.06935928226273813,343
hsa00290,0.29824646539438904,94
hsa00310,0.10061963574223644,847
hsa00330,0.2590069905196272,650
hsa00340,0.07142205196723692,197
hsa00350,0.16401110174910555,353
hsa00360,0.13929175141132316,191
hsa00380,0.16899469527237412,380
hsa00400,0.21464957558835154,118
hsa00410,0.15339130401752837,331
hsa00430,0.2225551918768205,202
