pathway_name,distance,n
M00001,0.13937056527559827,567
M00002,0.12818850388406294,265
M00003,0.11534224101559462,288
M00004,0.12604042682967462,148
M00005,0.36419961633462383,233
M00006,2.4357935862690243,37
M00007,0.33112422446594264,106
M00008,3.3420046237641583,27
M00009,0.35511929986269114,720
M00010,0.5825066497828705,335
M00011,0.1714429178168965,410
M00012,0.6384667127574443,310
M00013,0.23273870167015012,167
M00014,0.07141758301240868,550
M00015,0.252551105961659,147
M00017,0.647667128853623,87
M00019,0.2382727231744484,150
M00020,0.43404455946494663,95
M00027,0.47025676736619054,182
M00028,0.6580730838230141,59
M00029,0.11497802083230177,290
M00032,0.19589515162879426,429
M00034,0.3354999963413902,728
M00035,0.23262158775087854,593
M00036,0.14674218609065195,419
M00037,0.22989311314760444,417
M00038,0.42522493549890744,284
M00042,0.25776767964046454,345
M00043,0.6410201533218444,47
M00044,0.43308636428256203,333
M00045,0.67884925752165,152
M00046,0.14405819307010992,104
M00047,0.3499097415870213,1116
M00048,0.21697164133407992,326
M00049,0.1451009673854935,695
M00050,0.4404117687712147,702
M00051,0.2713096775208848,121
M00052,0.16475964576734048,506
M00053,0.4056459660068791,1396
M00055,0.11676231545206905,335
M00056,0.047769772602085606,671
M00057,0.09630325963439026,245
M00058,0.1468619548297586,223
M00059,0.08746875930566135,554
M00065,0.03513311970538279,410
M00066,0.07863417164992924,181
M00067,0.14361343333562157,84
M00068,0.2056169073611412,314
M00069,0.1184540694738434,376
M00070,0.31896758983291146,160
M00071,0.25290492606121545,105
M00072,0.20297102169627046,418
M00073,0.1807820613961908,380
M00074,0.2652200279672097,314
M00075,0.130834635766329,452
M00076,0.25217249902365424,373
M00077,0.3073948507295828,428
M00078,0.08813282541979506,439
M00079,0.4304138524301955,310
M00082,0.34456234613892595,242
M00083,0.48945780098334174,266
M00085,0.1892968161204498,237
M00086,0.4152649622546013,142
M00087,0.2149820803966491,300
M00088,0.11408979538186216,212
M00089,0.1338037319855477,836
M00090,0.3753475052275315,157
M00091,0.7139446207519883,57
M00092,0.21422866446468278,203
M00093,0.29157813926928905,92
M00094,0.13826267099302758,572
M00095,0.07622056375295765,275
M00096,2.481435340866164,47
M00098,0.06310512852173088,1082
M00099,0.15151672110344566,681
M00100,0.28490906752436956,314
M00101,0.1154866403777114,436
M00102,0.19739519837126113,358
M00103,0.2711668197762848,107
M00104,0.08347704773101652,473
M00106,0.34646594322384844,180
M00107,0.813388120948119,246
M00108,0.21323809768690016,195
M00109,0.10642085786845608,271
M00110,0.14256188030899475,136
M00113,0.8319498326454455,113
M00114,0.3270282853368609,107
M00115,0.2390156657848912,376
M00118,0.24360955423087707,103
M00119,0.22042618827457017,150
M00120,0.33789191547908,365
M00121,0.1624083444681206,259
M00122,0.5410928055856496,178
M00124,1.6896485137302897,61
M00126,0.376762819886412,408
M00128,0.23499936478149747,181
M00129,0.0876445218300196,475
M00130,0.049172205545009465,821
M00131,0.8174705380264375,248
M00132,0.5169637027370915,273
M00133,0.7848642193710268,111
M00134,1.1840853604088033,57
M00135,0.21986061694243358,150
M00140,0.9896414851601206,80
M00141,0.1959814987054085,133
M00142,121055.4368798557,4
M00143,0.6045186952801292,103
M00146,0.2225716465603172,309
M00147,0.36883251327599476,122
M00148,0.9394682551536353,87
M00151,0.2661498136005147,105
M00152,0.08147941613135803,262
M00154,0.1591466073893791,374
M00158,0.10685209406658683,439
M00160,0.28978537937115034,370
M00165,0.10935482760321666,261
M00168,1.3768899913485835,54
M00169,1.0301264457789228,85
M00170,0.1194933289054181,165
M00171,0.21133719781512214,349
M00172,0.7357280998777537,85
M00173,0.299649911883627,192
