pathway_name,distance,n
M00001,0.14203547861659216,825
M00002,0.12205391992795478,443
M00003,0.09406553931000683,477
M00004,0.05056582942878647,238
M00005,0.4449264755255826,403
M00006,0.5621903519045608,84
M00007,0.28470928586897015,145
M00008,0.5850995697845667,54
M00009,0.20132505635791398,874
M00010,0.47986403918788145,320
M00011,0.10314316743918617,599
M00012,0.633905919948523,308
M00013,0.0999882014513687,366
M00014,0.03504446368876825,995
M00015,0.12026507853011842,251
M00017,0.16481332961574927,205
M00019,0.17068581548969625,230
M00020,0.34020802362419195,170
M00027,0.07434596639129558,385
M00028,1.0405677775467084,92
M00029,0.10391404205664508,475
M00032,0.03020405892847832,641
M00034,0.2850004685904697,1123
M00035,0.20874547433714216,975
M00036,0.036711070958900464,712
M00037,0.15392143540273343,582
M00038,0.08456300681988502,415
M00042,0.11555673796274557,606
M00043,0.18120657244100036,100
M00044,0.03943291609800926,608
M00045,0.2770331114770208,208
M00046,0.25332874566862434,150
M00047,0.21209662810545607,922
M00048,0.1902397282491263,339
M00049,0.09903820047991589,1111
M00050,0.35722609471919914,1031
M00051,0.06881693402476248,211
M00052,0.06529622327846663,895
M00053,0.0545883960538196,1422
M00055,0.04194928969692923,477
M00056,0.03783328373304961,1154
M00057,0.1623476403607156,344
M00058,0.06740303476578738,321
M00059,0.052896223417219425,987
M00065,0.07396118178093679,709
M00066,0.07447861637855979,292
M00067,0.12565222726918063,130
M00068,0.20390774785385915,551
M00069,0.09128328755436775,648
M00070,0.19910830961221737,315
M00071,0.1475738037797175,167
M00072,0.04157820404963132,667
M00073,0.2035634591784308,572
M00074,0.2958724428936863,501
M00075,0.06593030970474104,881
M00076,0.18550681214621395,606
M00077,0.20105555547147227,674
M00078,0.10102075438864702,647
M00079,0.32529069558046114,441
M00082,0.03741010932741799,322
M00083,0.16341794770140292,431
M00085,0.1263067823424964,304
M00086,0.06375721386805581,190
M00087,0.10243144837353707,464
M00088,0.1577164263259931,390
M00089,0.07725864634529805,1343
M00090,0.16337154128094789,220
M00091,0.14411752313706971,116
M00092,0.14332341428940867,295
M00093,0.3835075080609111,136
M00094,0.09908978564626592,759
M00095,0.02788148665470362,439
M00096,0.8441393365171943,49
M00098,0.016650589130837536,1646
M00099,0.08613798408179109,962
M00100,0.06223759836880746,556
M00101,0.0529295936204848,839
M00102,0.08498990721844653,710
M00103,0.3282638675482568,122
M00104,0.03810982705416847,629
M00106,0.10798068757845404,217
M00107,0.13959298167756903,433
M00108,0.04084217329787556,466
M00109,0.09876242021892344,523
M00110,0.08732479466559327,241
M00113,0.16315286572371515,218
M00114,0.09185096269376311,145
M00115,0.10294000281291883,608
M00118,0.11000446033746103,156
M00119,0.19968213826450595,230
M00120,0.24584671176086575,781
M00121,0.2960562980694858,424
M00122,0.16900319338551367,242
M00124,0.23115576984290406,116
M00126,0.20942528124338533,494
M00128,0.10896616859447211,256
M00129,0.04614229299477259,855
M00130,0.04807714348309242,1186
M00131,0.36825898993881284,390
M00132,0.21496935638156078,493
M00133,0.36964804051983435,150
M00134,0.22443092122883618,68
M00135,0.08453739631611677,220
M00140,0.10270760614221369,147
M00141,0.17322503741620593,215
M00143,0.3459590938248016,130
M00146,0.15452396759967887,427
M00147,0.2607111869522275,210
M00148,0.38968265055703,163
M00151,0.12302561093298735,119
M00152,0.10436585509718625,364
M00154,0.15921362985588547,609
M00158,0.16495926435615219,685
M00160,0.10842765421286181,521
M00165,0.12192751096767879,447
M00168,0.8028876974524587,62
M00169,0.1263734960566021,140
M00170,0.1137407508712356,264
M00171,0.14778311091314225,424
M00172,0.11738425123257494,140
M00173,0.23791566361563246,186
M00307,0.0848079030074254,713
M00308,0.14213436692318304,182
M00338,0.5065301536542043,109
M00344,0.13369578116988137,169
M00345,0.4563550695074325,164
M00346,0.17785420870846624,362
