pathway_name,distance,n
M00001,0.15581555392559748,753
M00002,0.16009224216398635,370
M00003,0.18944618582301062,389
M00004,0.052834609516605416,236
M00005,1.1023657249031615,330
M00006,0.6333244009962231,71
M00007,0.2661235218785713,141
M00008,0.8348429526063367,45
M00009,0.22216935092565573,750
M00010,0.5597362957956621,300
M00011,0.21306948044406399,470
M00012,0.7241361822828831,298
M00013,0.0931152025788792,284
M00014,0.12987809647114693,778
M00015,0.21099433262524872,238
M00017,0.30144526372313346,168
M00019,0.23566383236496918,171
M00020,0.2989319999607379,145
M00027,0.07145906908030591,311
M00028,15.750153125365893,38
M00029,0.08338359897016591,426
M00032,0.08794577777131908,555
M00034,0.362672373105694,910
M00035,0.23414120572971525,711
M00036,0.15677712478967265,544
M00037,0.2516154800848693,498
M00038,0.12658605213232357,341
M00042,0.2348708908859794,513
M00043,0.6074541462268798,68
M00044,0.12059891220826995,517
M00045,0.1950818246382968,197
M00046,0.25803769937874416,116
M00047,0.44276446230010935,1002
M00048,0.2119753533456365,309
M00049,0.08417776865604173,911
M00050,0.31293727320885334,958
M00051,0.16625335207697386,184
M00052,0.048250302324403097,784
M00053,0.0988640941335582,1509
M00055,0.05012158709766061,379
M00056,0.01833438378256227,958
M00057,0.24583583522585686,241
M00058,0.11143814898449315,211
M00059,0.12593471596617034,787
M00065,0.0478426988132839,578
M00066,0.19400368106979338,272
M00067,0.23953914436288315,107
M00068,0.23815620836114154,484
M00069,0.13194817460133595,506
M00070,0.2689755244638112,281
M00071,0.4165764667508038,137
M00072,0.1292885526331085,545
M00073,0.09585166525981738,518
M00074,0.18992306203654025,440
M00075,0.04851688518447109,636
M00076,0.13548354086918954,499
M00077,0.021192284772895965,625
M00078,0.18793310472509128,539
M00079,0.27261462950670223,457
M00082,0.24619727956127163,251
M00083,0.17154743042022388,343
M00085,0.15706711504399937,237
M00086,0.12713410426200636,166
M00087,0.08331073720715047,351
M00088,0.1664156309161329,299
M00089,0.018812312360617447,1121
M00090,0.20071207989607687,175
M00091,2.2749046992376813,78
M00092,0.14831513378394764,233
M00093,0.21698445615727505,128
M00094,0.15125695968012165,676
M00095,0.1880455496197123,313
M00096,1.9081673360643507,54
M00098,0.09217002581604913,1475
M00099,0.12281985144055049,824
M00100,0.22505447607803625,456
M00101,0.08351323138518998,669
M00102,0.11271210569788502,509
M00103,0.6470022437937852,93
M00104,0.10222354843471354,532
M00106,0.42435695206179697,197
M00107,0.3336264258373319,363
M00108,0.053688987316939725,427
M00109,0.0569792738070764,506
M00110,0.1638819593409693,185
M00113,0.14173863855510477,153
M00114,0.7061968097495113,132
M00115,0.1483008045069247,525
M00118,0.43840683413846454,91
M00119,0.1980247964858649,171
M00120,0.29033161307046684,487
M00121,0.25048703337407013,322
M00122,0.17935396102221626,252
M00124,0.2617777537297841,83
M00126,0.3016433460017376,447
M00128,0.2778688542054895,185
M00129,0.2146370483525869,658
M00130,0.08675586116909276,980
M00131,0.1927258436163471,348
M00132,1.39828489950714,359
M00133,0.9005837831035424,106
M00134,1.1816448276598748,78
M00135,0.26929136579588125,161
M00140,0.31014254711701295,89
M00141,0.27151817283676766,164
M00143,0.5163291156370129,129
M00146,0.07035061138932626,443
M00147,0.3250594623518053,150
M00148,0.5012587772030068,138
M00151,0.2840588833222968,99
M00152,0.06439754376028102,314
M00154,0.17648242992283303,548
M00158,0.04577521396245568,587
M00160,0.125090567535763,495
M00165,0.09478553414807236,381
M00168,0.9937312578234009,66
M00169,0.5107021295720121,89
M00170,0.05495892202949469,203
M00171,0.17032856516013195,376
M00172,0.5009588678902969,89
M00173,0.2461144518911687,138
M00307,0.09774773387863309,591
M00308,0.1393054518352879,131
M00338,0.8395799892264655,85
M00344,0.46342543138896974,129
M00345,0.5023630757592007,117
M00346,0.25721436888539984,209
M00357,0.34580348365334396,74
M00364,1.2519364978671783,54
M00365,1.1451217365544037,54
M00366,0.681111991588733,175
M00367,0.5267670633024267,197
M00368,1.0300109138710578,234
M00373,0.16432454672912108,227
M00374,0.16389850036459455,103
M00375,0.18932955856038802,127
M00376,0.21678442117310437,135
M00415,0.02926161301790148,545
M00532,0.14180509393512772,382
M00546,0.10706232998179076,113
M00549,0.1787319518578968,532
M00552,0.12651336965291485,131
M00554,0.5321537532259278,130
M00555,2.1231524056975117,27
M00565,2.3464050214965195,18
M00570,0.24910700854715315,270
M00572,0.4227849185314451,341
M00580,487.75479748430234,14
M00609,1.0646423684488915,234
M00621,0.26547276952084464,171
M00632,0.23271991072256693,187
M00740,0.33043402754111034,158
M00741,0.33448569841688724,153
M00761,117.97394746792519,17
M00793,0.3964116272970955,187
M00840,58.80092229602965,136
M00841,1.0010356152263231,67
M00842,0.3414384493146609,113
M00843,0.6833106265915276,104
M00844,0.24401542590823413,224
M00845,0.5985307186038863,161
M00846,2.6133970838350966,71
M00849,0.20612880338325268,303
M00854,0.1640638513332473,336
M00855,0.1359669680508349,431
M00861,0.22243774474111178,220
M00862,0.4980122445348383,91
M00868,0.23294217256704575,462
M00872,0.03627246044799274,651
M00873,0.17591815295675284,540
M00874,0.17671276796828672,588
M00880,0.492052694435508,318
M00881,1.9823538250734485,43
M00882,0.9237588997282022,88
M00883,0.8717826248185118,93
M00884,1.9782493345424748,43
M00885,0.7557255745686303,131
M00886,0.22208797039378497,131
M00892,0.22133006256528387,331
M00897,3.134127890983446,42
M00898,3.0246103827117317,42
M00909,0.27300370675944513,256
M00911,1.5525548088584473,85
M00912,0.10095530378434898,679
M00913,0.6586579933587295,45
M00917,0.0726617342799984,357
M00926,0.3514795488144331,156
M00936,0.34784241160595863,77
M00938,0.12067520180448942,1515
M00953,1.0607103179700983,234
M00955,0.101087201769859,401
M00957,0.2161552014350135,223
M00958,0.09914192239595793,692
M00959,0.18057650801269054,552
M00968,1768.3050674411181,16
M00970,0.5985443306412224,799
M00972,0.32654772415099687,1000
M00974,0.11968825372782844,453
M00975,0.24961433776777486,116
M00976,0.053089058244755884,413
M00977,0.10544241541138955,397
M00978,0.13993823280596304,237
M00981,0.36401945037664574,77
M00982,1.8463365889029713,62
M00983,0.054412817471329825,541
M00987,2.482065898317171,273
M00988,0.6953823865721178,104
M00991,0.3382271621775265,82
M00992,0.3424871306815578,82
M00994,171674.14577411432,249
M00995,0.5527309647706519,211
M00997,0.8125401110890114,62
M00999,116.63072304669507,17
M01000,0.37907519825847796,132
M01001,0.3621976505066593,119
M01002,0.48625501014187783,211
M01003,0.09956142615279727,98
M01004,22.789810257364664,28
M01006,0.5206613544911183,107
M01015,0.15906196814234916,341
M01016,4.281815835856533,37
M01017,5047.290984542049,10
M01018,4888.540208240017,10
M01019,4928.002332024257,10
M01020,5004.783658032481,10
M01022,0.44344420448131844,187
M01023,0.45468724216868434,187
M01024,0.34127509931312006,187
M01025,0.44888280896444194,187
M01026,0.36301222467413574,187
M01027,0.46348537135325385,187
M01034,4974.927715876952,10
hsa00010,0.09513995689513165,1804
hsa00020,0.2880487861360132,1203
hsa00030,0.13887266051635083,807
hsa00040,0.11005070290509139,1380
hsa00051,0.09856885042715309,2029
hsa00052,0.050065129309958774,1462
hsa00053,0.12839493650883013,912
hsa00061,0.04646826494712119,793
hsa00062,0.05400198775977116,1062
hsa00071,0.05352299732636012,1208
hsa00100,0.09151888648800043,1049
hsa00120,0.08932145742959428,576
hsa00130,0.14445909492913175,645
hsa00140,0.06723492134860913,2041
hsa00190,0.026055445375564607,2185
hsa00220,0.06856060051681782,987
hsa00230,0.019892954111382703,5120
hsa00232,0.04288632218953823,292
hsa00240,0.07445296261015724,2587
hsa00250,0.051755476475691606,1831
hsa00260,0.0813963285396664,1891
hsa00270,0.10075502067677101,1814
hsa00280,0.04798477495483612,1253
hsa00290,0.24597776575663519,270
hsa00310,0.15166446519167803,3643
hsa00330,0.0643558288714638,2126
hsa00340,0.09336444637978393,823
hsa00350,0.11034508703199922,1488
hsa00360,0.08530320187335363,812
hsa00380,0.05809214593475231,1395
hsa00400,0.11237942832860595,592
hsa00410,0.04206528769566408,1263
hsa00430,0.03931395389233565,699
hsa00440,0.2751693420817991,168
hsa00450,0.18807228211994925,1002
hsa00470,0.2858974082060734,152
hsa00480,0.12142995001764925,2357
hsa00500,0.062051904824698065,1598
hsa00510,0.02241667096745068,1989
hsa00511,0.08879331384062805,673
hsa00512,0.01805935574644171,1503
hsa00513,0.023555149518196452,1610
hsa00514,0.010751793445849585,1679
hsa00515,0.01666533297685302,1191
hsa00520,0.05327258720610821,1258
hsa00524,0.158859038888279,299
hsa00531,0.058672845625614686,904
hsa00532,0.049193721849849624,747
hsa00533,0.043946380946842056,791
hsa00534,0.05582020404469125,1077
hsa00541,0.14161567833463692,944
hsa00561,0.03229913888147482,2923
hsa00562,0.028259687343651682,3405
hsa00563,0.00618402377913462,1042
hsa00564,0.022200398287565724,2843
hsa00565,0.04431016920336596,1249
hsa00590,0.07826061527249181,2358
hsa00591,0.05017312728780103,689
hsa00592,0.06402771905325276,609
hsa00600,0.02197193618659676,1748
hsa00601,0.048390344929245495,995
hsa00603,0.036453487817630324,881
hsa00604,0.07048128920760102,973
hsa00620,0.06544180815648447,1353
hsa00630,0.19688443818466328,853
hsa00640,0.021773490829130503,1045
hsa00650,0.026812556356137048,954
hsa00670,0.24120506551060034,1266
hsa00730,0.05481913284315177,1028
hsa00740,0.10281744282720724,625
hsa00750,0.06836959958150281,268
hsa00760,0.03390133668868219,1572
hsa00770,0.1549300309736227,1101
hsa00780,0.3831761602588186,374
hsa00785,0.13465773180010915,887
hsa00790,0.1862955036210342,1297
hsa00830,0.07289298906236095,2087
hsa00860,0.07626740528926146,1645
hsa00900,0.21375630578253357,866
hsa00910,0.3003223851579398,637
hsa00920,0.1119239497890207,463
hsa00970,0.15065964790268185,3432
hsa00980,0.09955684146875139,1519
hsa00982,0.08647361613556291,1523
hsa00983,0.08307375426917922,2729
hsa01040,0.061416506688584005,858
hsa01100,0.004525849978675198,29477
hsa01200,0.06784889798974358,3158
hsa01210,0.15819071022151635,1472
hsa01212,0.03535041432404758,1897
hsa01230,0.15411765443287614,2465
hsa01232,0.0576727633819545,3182
hsa01240,0.07002718019768205,4192
hsa01250,0.13028145521228515,1615
hsa01320,2.4953201354219234,273
hsa01521,0.046007720954563194,3215
hsa01522,0.050793337467302614,5164
hsa01523,0.09448262981978098,1470
hsa01524,0.028314622803763904,3381
hsa02010,0.02050529746698988,3523
hsa03008,0.036602210173318016,3061
hsa03010,0.024563610946133938,1933
hsa03013,0.013780651292001988,3456
