pathway_name,distance,n
M00001,1192.2581505665098,5
M00002,13726.302885791254,2
M00003,14761.63752793231,2
M00004,23082.5708868801,2
M00005,23876.84637366718,2
M00007,197432.66908529776,1
M00009,21180.492745474883,3
M00010,224247.13562108617,2
M00011,22343.779344471717,1
M00012,23051.45530454029,2
M00013,181648.49046888694,1
M00014,14713.194942078122,3
M00015,6968.122825807643,3
M00017,237937.98885872602,1
M00019,160463.08955369674,1
M00020,25089.221273568946,1
M00027,21984.1258857557,2
M00029,8968.818791506183,2
M00032,15951.789758401252,2
M00034,21267.969791359264,3
M00035,201715.83072576564,3
M00036,573.7195581705241,5
M00037,20.227281548501118,8
M00038,26872.224922651232,1
M00042,20132.92019655484,3
M00043,145351.56571543132,1
M00044,28562.346349024057,1
M00047,780.9053989856733,5
M00048,23948.338200191643,4
M00049,35053.755028549334,1
M00050,40708.492217705374,2
M00051,23409.300304991226,1
M00052,32592.646173182093,1
M00053,24469.57233480626,4
M00055,36389.01849215647,3
M00056,26528.258034535927,3
M00057,57047.68943464931,3
M00058,122282.75909662322,1
M00059,14649.619505564158,3
M00065,14400.662367980764,2
M00066,113952.51968245549,1
M00071,22094.25072430238,1
M00072,22314.735956113083,1
M00073,20292.883953378594,3
M00074,19964.55585646337,3
M00075,13793.349615065837,2
M00076,6317.847987437433,4
M00077,6431.880160005073,4
M00078,14539.420125533867,2
M00082,23211.776021259397,1
M00083,26416.225784457667,1
M00085,19084.49339083766,2
M00086,7160.369344982802,3
M00088,22990.47127641253,3
M00089,67.70839085568015,5
M00091,175000.44341812597,1
M00093,20383.0720381846,1
M00094,21999.602054566218,2
M00095,22485.456984704568,3
M00098,1005.917178343479,5
M00099,8026.206703534138,4
M00101,4352.266285077934,4
M00102,4410.0226611043545,4
M00104,7301.247291534766,3
M00106,28488.491713890202,1
M00108,22113.728659891312,1
M00109,7027.0711676888795,4
M00110,27019.234778489244,1
M00114,25254.31605495914,2
M00115,20689.90669659547,2
M00119,163502.75678570065,1
M00120,15255.230475309503,2
M00121,19829.80019633126,2
M00122,188149.30755267025,1
M00126,52193.105394622544,3
M00128,18346.319523508417,2
M00129,14912.741914311018,3
M00130,12.388047692694567,8
M00131,16289.306408190349,1
M00132,134869.62477334682,1
M00133,21138.941068588047,2
M00134,25490.84526332563,1
M00140,196359.87232335767,1
M00141,226180.55824696016,2
M00143,7471.018315553905,2
M00146,16205.619368634552,3
M00152,28148.7894184501,2
M00154,8431.808053853661,3
M00158,2100.1180285236987,6
M00160,24762.99306004753,2
M00165,17886.002921219722,2
M00168,26228.934238877042,1
M00169,7991.036846251565,2
M00170,27133.123270717664,2
M00171,9368.108412815907,4
M00172,8069.372540081501,2
M00173,22930.22327337833,2
M00308,16455.565455223248,1
M00338,231265.27264093352,1
M00345,256237.68796018974,1
M00346,209006.54654211906,1
M00357,17582.163024382447,1
M00366,27167.331527857677,1
M00367,26344.84793443189,1
M00368,241298.24580430327,1
M00373,21556.035674542945,2
M00375,181612.0259935281,1
M00376,22689.087355387102,2
M00415,19700.909362471823,4
M00532,23628.818066265318,3
M00546,29176.010638486354,1
M00552,16458.4273100151,1
M00554,64189.322495099506,2
M00570,155959.7052283744,2
M00572,25482.322704320093,1
M00609,239715.48350690983,1
M00621,20688.422710098715,2
M00632,8117.599320147291,3
M00740,249644.24548932948,1
M00741,20471.42730184917,2
M00793,116702.06275639798,1
M00840,142284.8467530883,1
M00842,22292.70681375557,1
M00843,18740.01881697526,1
M00844,27913.297821217657,1
M00845,28025.041677148176,1
M00846,191594.3444374549,1
M00849,22325.099789099782,3
M00854,19852.473834840173,1
M00861,26699.12770976617,1
M00862,8654.394913275977,2
M00868,19329.464605910085,2
M00872,6532.3451217019765,4
M00873,14645.581311684668,3
M00874,14586.67799994086,2
M00885,21334.04536559925,1
M00886,21457.87125751494,1
M00892,899.1643814313911,6
M00909,950.8991571685584,6
M00912,21965.50706586196,2
M00917,10398.921744234922,3
M00926,21757.01121555945,2
M00936,18757.440170766928,2
M00938,25732.396665684944,4
M00953,239398.54391387338,1
M00955,29226.15951226308,1
M00957,27155.87310278606,1
M00958,6708.380364793507,4
M00959,21359.41854161198,2
M00970,4015.061706559447,4
M00972,15.135843664578076,6
M00974,21623.60922714307,2
M00975,184285.1280481885,1
M00976,17155.374973606686,3
M00977,20109.22754423068,3
M00978,28108.518220574973,1
M00981,18664.825177800907,2
M00982,23029.833693562567,1
M00983,15565.972039898801,3
M00988,18989.064330149115,1
M00991,212991.10232497257,1
M00992,213222.90140933523,1
M00995,1017.4081520829508,5
M00997,19655.70670499271,1
M01000,24460.1965627391,2
M01001,169550.75536434425,1
M01002,1032.9293732675555,5
M01003,213163.76973425664,1
M01006,33068.87811191628,1
M01015,26201.385542695374,2
M01022,116675.02690770602,1
M01023,117993.9953881647,1
M01024,115486.59208455685,1
M01025,119353.33068877977,1
M01026,114733.7110431875,1
M01027,116336.10479046381,1
hsa00010,4.274499804750089,10
hsa00020,21519.61942771472,3
hsa00030,8431.895423809865,4
hsa00040,261.90758308985113,6
hsa00051,49.218675340688144,12
hsa00052,85.71969102416746,7
hsa00053,14545.290310756445,4
hsa00061,51.39520467121068,5
hsa00062,240.54556812921427,6
hsa00071,3.2147516301408396,6
hsa00100,41.57217467524533,6
hsa00120,4266.997713094269,4
hsa00130,20889.833492300273,2
hsa00140,0.6852833681373087,13
hsa00190,1.246412770092265,13
hsa00220,98.78707085767154,5
hsa00230,1.482035523670153,25
hsa00232,31293.07645437856,1
hsa00240,6.378664082905499,11
hsa00250,6.555361305501384,11
hsa00260,145.78192065633874,7
hsa00270,2726.4490905083157,6
hsa00280,65.31175641680716,7
hsa00290,158139.75672556664,2
hsa00310,5.208590188943996,18
hsa00330,3.5961761790936713,9
hsa00340,23577.337159957893,2
hsa00350,194.99591565533163,7
hsa00360,24926.198080368948,3
hsa00380,101.22455712048982,9
hsa00400,26618.98692516016,2
hsa00410,23465.250718992353,3
hsa00430,22454.61493156869,4
hsa00450,21029.078916608538,3
hsa00470,23301.05703130225,1
hsa00480,45.12617319745112,9
hsa00500,20.190027814807063,6
hsa00510,29.882316555778146,9
hsa00511,8074.6352060681,3
hsa00512,25966.198025624923,4
hsa00513,29.34748479782613,10
hsa00514,388.08619180632564,6
hsa00515,25.43621340758788,6
hsa00520,1.3918082529009932,14
hsa00531,6534.863855250281,4
hsa00532,312.60714476858936,6
hsa00533,22630.943330235707,3
hsa00534,99.49924743653402,6
hsa00541,28229.969361807256,4
hsa00561,5.340344566342102,10
hsa00562,0.488646883748799,26
hsa00563,299.73779437236163,5
hsa00564,3.518057093922737,15
hsa00565,0.6238481345028732,14
hsa00590,0.3240874198744009,16
hsa00591,7.221417787413644,8
hsa00592,6.619543616020793,8
hsa00600,543.1416934626232,6
hsa00601,21251.326496795882,2
hsa00603,141629.85582593983,1
hsa00604,22901.500690157674,2
hsa00620,258.2994099470646,6
hsa00630,2150.722933830418,5
hsa00640,14813.867642422161,4
hsa00650,26.816659988658362,6
hsa00670,20920.568647448497,4
hsa00730,8199.579253503385,3
hsa00740,25868.47009518005,1
hsa00760,180.617080106889,7
hsa00770,1920.1224480696008,5
hsa00780,25386.14030458572,1
hsa00785,20648.248527118893,3
hsa00790,487.31926187209683,7
hsa00830,1078.7377574869893,7
hsa00860,340.05886238258176,6
hsa00900,2746.2826089058794,6
hsa00910,7167.765959046511,4
hsa00920,23239.733959212113,2
hsa00970,3.6664637159811586,12
hsa00980,1980.2956887802982,7
hsa00982,14187.308387575915,4
hsa00983,7.0667577309018,11
hsa01040,20115.72423121433,4
hsa01100,0.15401164549282692,155
hsa01200,2.582540692799518,14
hsa01210,920.310674573493,8
hsa01212,1.8183646296218783,10
hsa01230,1.0736894317615993,14
hsa01232,4.653282099829103,14
hsa01240,3.904875256321163,17
hsa01250,1.3260961265648796,14
hsa01521,0.9727591542686937,29
hsa01522,0.8973722929264799,33
hsa01523,1254.0235255207301,6
hsa01524,1.2221662732010543,18
hsa02010,1.3375651253860794,13
hsa03008,92.62488369926105,8
hsa03010,7.205677463152028,11
hsa03013,3.9818182391430668,13
hsa03015,2.48994940062856,15
hsa03018,1135.774485902324,7
hsa03020,9927.818269064901,4
hsa03022,17644.58168150661,3
hsa03030,6763.55432761637,4
hsa03040,1.1808624038173234,14
hsa03050,20.495000127167653,8
hsa03060,19648.35254012687,4
hsa03082,0.837996928680933,20
hsa03083,1.8447946080836686,19
hsa03250,1.699581361006224,18
hsa03260,23862.51284064732,2
hsa03264,7893.405162291637,2
hsa03265,7143.141946131842,3
hsa03266,6131.795740580847,4
hsa03267,16656.761244496658,2
hsa03271,19154.775285080348,2
hsa03272,18716.432693187606,5
hsa03273,18408.7835370816,2
hsa03320,0.5111732716849441,13
hsa03410,2.2404262688541743,10
hsa03420,16373.220647160757,5
hsa03430,154.79663320406658,6
hsa03440,1.3827451434989808,11
hsa03450,7312.846397483796,4
hsa03460,2.121882811825614,16
hsa04010,0.346363755305046,57
hsa04012,0.4992526533332699,27
hsa04014,0.1973723792413991,58
hsa04015,0.3146169131645632,59
hsa04020,0.07751757552132936,74
hsa04022,0.29011022902811034,37
hsa04024,0.40467696381811075,50
hsa04060,0.21972414060168943,34
hsa04061,7.7494984650399985,12
hsa04062,0.7251619978829147,37
hsa04064,0.571622328855375,19
hsa04066,0.6097973068746658,27
hsa04068,0.7487753561648446,33
hsa04070,0.4373438684839783,27
hsa04071,0.5765175831703411,34
hsa04072,0.25982539404257415,46
hsa04080,0.2078753917875968,43
hsa04081,0.3168636665250619,37
hsa04082,0.4757234642605943,28
hsa04110,0.8226965383170174,27
hsa04114,0.4291867616108011,23
hsa04115,0.2226986021388343,16
hsa04120,1.4194188963988186,20
hsa04130,21343.30513470502,4
hsa04136,10104.835760977096,3
hsa04137,2.931942427931303,18
hsa04140,0.8855352645829234,33
hsa04141,2.149500521734936,19
hsa04142,0.5234280726248131,15
hsa04144,0.24913179912227487,44
hsa04145,1.6235438161553428,14
hsa04146,41.61968858,12
hsa04148,0.30135909704050046,44
hsa04150,14.379716616752363,18
hsa04151,0.12211016218940417,72
hsa04152,0.33301825603530943,27
hsa04210,0.9637743253920716,38
hsa04211,0.9369297314516789,25
hsa04213,3.265845716129292,21
hsa04215,11642.01515968642,4
hsa04216,41.018530305547735,8
hsa04217,0.25414163657845046,20
hsa04218,0.2933056653209441,45
hsa04260,0.6258847035410128,15
hsa04261,0.3685568675012817,30
hsa04270,0.2771961370481932,29
hsa04310,0.46694334364377194,34
hsa04330,1.023292197029666,20
hsa04340,0.8719512906754695,10
hsa04350,0.9527105897229013,21
hsa04360,0.25496871939246896,48
hsa04370,7.457531392112214,26
hsa04371,0.31684883866441926,36
hsa04380,0.5260201924565319,41
hsa04382,0.3913613410320951,30
hsa04390,0.3700634356817167,22
hsa04392,754.7136015123705,6
hsa04510,0.20504808205738537,60
hsa04512,1.4755601180629543,22
hsa04514,9.95370310544345,15
hsa04520,0.37734145883746395,21
hsa04530,0.5168805623753598,31
hsa04540,0.44460005911519174,27
hsa04550,0.7121290775683676,38
hsa04610,1.1052392387035763,17
hsa04611,0.3289576543822322,37
hsa04612,6.691448298150953,11
hsa04613,0.37096970103951,32
hsa04614,10.116854427231114,8
hsa04620,1.2955640525519554,23
hsa04621,0.24062624355318302,30
hsa04622,3.2162355617047274,9
hsa04623,1.4373484430759513,13
hsa04625,1.36698710228026,33
hsa04630,2.3482894753241768,31
hsa04640,22.120470646968503,13
hsa04650,0.4237597828756228,38
hsa04657,5.8809936311431255,17
hsa04658,0.17091104149694827,20
hsa04659,4.832608233322107,24
hsa04660,0.38396562583866106,40
hsa04662,2.174233007124974,32
hsa04664,14.460365450385837,21
hsa04666,0.42552924352658084,27
hsa04668,0.43209610669795895,32
hsa04670,0.41438863527710984,25
hsa04672,59.866039190628904,9
hsa04710,378.52338406279944,6
hsa04713,0.5500793815025429,23
hsa04714,0.5359572412179003,33
hsa04720,1.2105638164099222,23
hsa04721,15.784576306123519,12
hsa04722,0.5223226247049426,29
hsa04723,1.0655860890847602,22
hsa04724,0.8633857070933596,33
hsa04725,0.5438866329908314,31
hsa04726,0.6320820319440622,21
hsa04727,52.035506445743856,12
hsa04728,0.37904740212409316,21
hsa04730,1.776262783187999,17
hsa04740,0.15350610210949525,34
hsa04742,2.7102799018956545,19
hsa04744,2634.5432244088756,5
hsa04750,1.6378470496743496,29
hsa04810,0.17942927391214072,50
hsa04814,0.9421486586652383,33
hsa04820,0.2614348669803643,55
hsa04910,2.083683370745919,23
hsa04911,0.2936118638702943,20
hsa04912,0.5380191646303569,26
hsa04913,5.253207632248929,10
hsa04914,2.7982248034013524,24
hsa04915,1.9012518127417724,35
