pathway_name,distance,n
M00001,24.052320962903476,6
M00002,2978.5797699561103,4
M00003,3098.6434696857214,4
M00009,242.98720902848234,5
M00010,24679.37658912261,1
M00011,15066.748547675625,4
M00012,34419.70692738069,2
M00013,26202.05547242794,2
M00014,17642.918437205295,1
M00017,74391.75161375711,1
M00027,19262.27609489891,2
M00032,28430.33982257424,1
M00034,28729.445144832986,1
M00035,15684.585873432932,1
M00036,28284.483925197907,2
M00037,183568.92441599388,2
M00043,194025.41056685543,1
M00044,20303.51827516927,2
M00048,31186.29874525856,1
M00049,25918.406617427136,2
M00050,29750.67991547162,2
M00052,24702.63104070435,2
M00053,27609.38207135316,2
M00056,9041.376779147642,3
M00065,122606.93920137582,1
M00066,14602.554051034354,2
M00067,16019.317954360973,1
M00068,9969.713367930854,2
M00069,20215.477090891392,1
M00070,61908.39251163424,1
M00072,24763.696405448587,4
M00073,5825.714612094571,8
M00074,5590.705171992479,8
M00075,20923.284584382127,3
M00076,17199.537692199887,1
M00077,17362.926364995466,1
M00078,26217.6409202883,1
M00082,3957.378206265758,3
M00083,20084.732929030783,2
M00087,25562.575245309978,1
M00088,23875.87023243648,1
M00089,12384.569291880176,4
M00092,17996.970777621344,1
M00094,25222.915211462776,1
M00095,24712.41100131523,1
M00098,17211.13663772282,3
M00099,22833.01908453958,2
M00101,16632.055029248815,2
M00102,16641.602460083897,2
M00103,18742.385099899977,2
M00104,9715.037562836418,3
M00107,18676.821823368755,1
M00108,9008.76974219731,2
M00109,8044.164013926162,2
M00114,5735.491060226473,3
M00115,26700.50930696008,1
M00120,14311.75628357743,2
M00122,191061.72543657947,1
M00126,163716.19774682002,1
M00128,20486.53857224046,1
M00129,146316.22338725938,2
M00130,16300.44575057245,2
M00131,17197.04503734874,1
M00132,29712.7741856668,2
M00146,24428.540146859355,2
M00148,15680.368107143084,1
M00151,21148.719445742452,1
M00152,19745.26771736609,1
M00154,5885.255745589212,2
M00158,19949.99213907537,3
M00160,16855.683787877988,1
M00165,20272.894956757034,3
M00168,35320.05783607731,2
M00169,34275.800960908186,2
M00170,17886.823165146834,1
M00171,11571.64037048767,3
M00172,34356.98930513717,2
M00173,23836.673931141417,1
M00307,28837.83579444789,1
M00338,19907.911334082775,1
M00344,19275.90195543279,2
M00345,40508.95167019161,1
M00367,176588.4919726794,1
M00373,32951.48395385641,2
M00375,25527.772657638845,2
M00376,27733.50300310794,2
M00415,21066.73016682702,1
M00532,7977.062138651794,2
M00546,16954.624844912898,1
M00549,13068.504113985178,3
M00554,198089.29111508394,1
M00621,34468.39700837646,1
M00632,197547.74904850998,1
M00740,20746.27459461558,1
M00741,34662.4753143599,2
M00849,24890.222211919005,1
M00854,154590.959708969,2
M00855,21097.96909319386,1
M00861,20214.941266406116,1
M00862,19276.808493513472,1
M00872,18943.41701380293,2
M00873,27019.674385773724,2
M00874,3708.6745883395924,3
M00885,30943.493805073987,2
M00886,30822.378820183432,2
M00892,15606.586651240656,2
M00909,16249.013152248788,2
M00911,28381.66410496241,1
M00912,24363.054285337843,1
M00917,19007.58815377633,1
M00938,28679.13716404326,2
M00955,71428.35177405656,1
M00958,9375.94415667513,2
M00959,9104.616585268772,2
M00976,16800.723313537757,6
M00977,16773.87858077035,6
M00987,16244.173727055317,1
M00991,32232.77640485084,2
M00992,32206.960180197217,2
M00995,16955.75656955672,2
M01000,5750.499362496216,3
M01002,16715.047171663537,2
M01015,5216.047285375053,4
hsa00010,20.00132734841367,11
hsa00020,161.70743283492683,6
hsa00030,33634.15855625231,1
hsa00040,11503.239954292043,3
hsa00051,1.8618641072707538,16
hsa00052,18.551438927506247,9
hsa00053,15988.516810260326,6
hsa00061,3967.752742105517,3
hsa00062,20342.909380881338,2
hsa00071,193.40738880550975,6
hsa00100,1.4853226346571389,9
hsa00120,9039.028539875764,3
hsa00130,6647.746567550197,4
hsa00140,59.3024784318107,11
hsa00190,3.890263074197255,10
hsa00220,15546.52549430359,2
hsa00230,4.362319448566449,21
hsa00232,18011.22178023925,1
hsa00240,23458.461632769893,4
hsa00250,3.984569452902924,9
hsa00260,7438.087563467009,5
hsa00270,24.407766928472533,8
hsa00280,89.86344877287189,6
hsa00310,8.171996676185739,8
hsa00330,6641.60110439965,3
hsa00350,4.222775626533202,11
hsa00360,11454.30885137323,3
hsa00380,23738.93059883258,3
hsa00400,17436.02275467184,1
hsa00410,34.729670731178835,6
hsa00430,11.834454315327726,6
hsa00450,16.668512461927428,5
hsa00480,3.057414832553263,10
hsa00500,6.206225864412852,8
hsa00510,4.473637188778006,16
hsa00511,424.31864593476206,5
hsa00512,9026.497346951235,3
hsa00513,4.588988375931431,17
hsa00514,37.61611307801622,7
hsa00515,17229.643782297866,4
hsa00520,4.224127030082479,10
hsa00524,19126.637687520284,1
hsa00531,8444.870854756015,2
hsa00533,19628.4025983355,2
hsa00541,88498.27524294083,3
hsa00561,2.2678606562533887,11
hsa00562,0.8793281886181586,13
hsa00563,15412.105518053844,4
hsa00564,100.32233820046447,28
hsa00565,10.026884356788516,27
hsa00590,1.2100125612527683,36
hsa00591,2278.886909887392,24
hsa00592,2346.2031622891773,24
hsa00600,49.05512765616976,7
hsa00601,15241.631540470069,2
hsa00603,16016.35943102251,2
hsa00604,16765.05233996287,2
hsa00620,158.27456529156117,8
hsa00630,12207.47889795464,4
hsa00640,13286.756897724552,4
hsa00650,12953.195717300154,4
hsa00670,3916.966118877959,3
hsa00730,24643.247253960402,3
hsa00740,20786.042918498806,3
hsa00750,12024.36217803678,2
hsa00760,28016.053635299384,4
hsa00770,7613.697681495306,4
