pathway_name,distance,n
M00001,0.1227938299590216,666
M00002,0.037351468011162174,359
M00003,0.08469269249779586,385
M00004,0.1696392331901546,180
M00005,0.4805162510917723,310
M00006,0.2595837870298659,51
M00007,0.15049105354252434,118
M00008,0.4862762973031584,39
M00009,0.19031646871777688,679
M00010,0.4947081979508774,262
M00011,0.10052235123611342,450
M00012,0.7349258467098414,265
M00013,0.07230673992281622,274
M00014,0.0408108801614758,719
M00015,0.24216568269015334,213
M00017,0.20077656128920404,162
M00019,0.105985085846732,159
M00020,0.15491960121956933,116
M00027,0.08989731462710834,286
M00028,0.4611435069807675,57
M00029,0.06363338136818661,351
M00032,0.06008182025796327,508
M00034,0.3685256206331462,833
M00035,0.21590319121153126,687
M00036,0.05344895719517168,499
M00037,0.1672364364604298,453
M00038,0.15107718820796057,306
M00042,0.08534463224586725,468
M00043,0.140008497798151,66
M00044,0.02045513360823415,469
M00045,0.18738072719084883,170
M00046,0.18660218144874868,108
M00047,0.2685813466026413,796
M00048,0.1402660177497421,276
M00049,0.07396739165396994,842
M00050,0.3387059059288982,833
M00051,0.08231477380506537,168
M00052,0.06993578568232334,696
M00053,0.06138628539993423,1194
M00055,0.02753704628401938,350
M00056,0.020927617004491333,879
M00057,0.11538520435419296,235
M00058,0.08427119700667449,238
M00059,0.058178463075249855,692
M00065,0.043881510315404104,538
M00066,0.08833518740267965,227
M00067,0.09663264364773218,99
M00068,0.23099018502266963,427
M00069,0.058323110201396904,487
M00070,0.2004722586422966,242
M00071,0.14323362982025944,132
M00072,0.032804290680111786,507
M00073,0.07073729940260673,462
M00074,0.08153887839584309,390
M00075,0.05323314744161031,628
M00076,0.14527251046207948,473
M00077,0.16213528470207553,557
M00078,0.042187176361063165,508
M00079,0.14373413277832334,383
M00082,0.01866831414738651,247
M00083,0.1230856875957385,328
M00085,0.12230398177518943,231
M00086,0.017443958661540363,155
M00087,0.07219175038326896,340
M00088,0.08128289580587454,286
M00089,0.023741004571453284,1007
M00090,0.125381510950944,165
M00091,0.10922959506824231,79
M00092,0.10818600171300839,209
M00093,0.20311534081627888,108
M00094,0.08840027021808398,599
M00095,0.05166749568624814,326
M00096,0.193364553934122,44
M00098,0.04513704079673638,1256
M00099,0.0578286176242041,735
M00100,0.1305445600545038,415
M00101,0.09521145330815767,604
M00102,0.08484552744721757,491
M00103,0.11214211402876026,97
M00104,0.028945147355893278,481
M00106,0.06783797614289262,160
M00107,0.1246980550190988,330
M00108,0.025674354737113186,349
M00109,0.08086193968534883,419
M00110,0.06640335603468575,171
M00113,0.1030691222126309,158
M00114,0.13583955616082477,112
M00115,0.06541614766444455,482
M00118,0.14373884835611603,107
M00119,0.0905337728371818,159
M00120,0.24488135651238407,516
M00121,0.2142135745446577,301
M00122,0.20685780165241718,180
M00124,0.06312553144686898,77
M00126,0.2716460920954462,401
M00128,0.08915094949353765,180
M00129,0.052475890223947205,613
M00130,0.024393607398943532,885
M00131,0.11240711630310714,305
M00132,0.17696851559700139,346
M00133,0.3858398355118209,110
M00134,0.23576070414713896,68
M00135,0.045569707151238106,150
M00140,0.10113642512430142,98
M00141,0.09908255776232727,150
M00143,0.10420180056969416,101
M00146,0.08667909022028492,346
M00147,0.21088815492191743,135
M00148,0.28756566867633254,116
M00151,0.15212643396080572,93
M00152,0.07779546575690527,276
M00154,0.08062958592936793,493
M00158,0.05177456728433842,506
M00160,0.06233192232952098,392
M00165,0.054518429902907464,355
M00168,0.9363860651973122,56
