pathway_name,distance,n
M00001,22644.205113369124,3
M00002,36564.864937304425,1
M00003,43.192832361873954,5
M00004,23214.658103588714,1
M00005,38551.56740900266,2
M00007,24714.29729727538,1
M00009,4138.069228582397,4
M00010,231307.1657962454,1
M00011,4040.96935741499,3
M00012,142356.06719326015,1
M00013,16395.708012310686,2
M00014,6647.010688922256,4
M00015,6425.16702790915,3
M00017,19749.0791354434,2
M00019,21053.100254151508,2
M00020,10638.130281989745,3
M00027,12110.520036250637,2
M00029,13167.210548966712,2
M00032,7223.5389113382535,4
M00034,4967.317255410292,5
M00035,130.57761307702316,6
M00036,94.29250831508456,6
M00037,1506.3147688245033,5
M00038,12735.583475251462,3
M00042,3948.0125114090815,3
M00044,5517.8264155341085,4
M00045,22993.24684900988,1
M00047,100.97183135434382,6
M00048,11773.40496676132,3
M00049,15572.634946696167,4
M00050,7325.802799458627,2
M00051,4103.70251138847,4
M00052,7798.797341616567,2
M00053,6318.188791363087,4
M00055,964.561254728611,5
M00056,5.724042323618439,8
M00057,17840.982358883797,2
M00058,17469.94302338051,3
M00059,3.2410118826821535,8
M00065,6623.030912468734,4
M00066,21047.518413615744,1
M00067,24306.26351285407,1
M00068,7030.590374280526,4
M00069,6987.579813515429,3
M00070,15252.05941378052,2
M00071,16512.530855047127,2
M00072,3801.690323613576,3
M00073,21706.133061018634,3
M00074,23989.099443249408,3
M00075,59670.933250923634,6
M00076,18899.41493910093,3
M00077,3499.3850580486865,4
M00078,73.66972836062313,6
M00079,45714.11353819203,4
M00082,635.4456847326497,5
M00083,17891.213538155545,2
M00085,9212.433754862648,3
M00086,111619.64720885294,1
M00087,196.99651768496054,5
M00088,8779.753449564449,3
M00089,10.923975698356273,9
M00090,18903.708902712962,2
M00091,9748.436134122434,2
M00092,16432.720689786638,4
M00093,10416.786721991322,2
M00094,4005.352577382496,4
M00095,9765.968815797713,4
M00098,49.01294277003855,6
M00099,104.24683000531033,5
M00100,20445.58148374988,1
M00101,24.702913677389635,7
M00102,23.679025929835014,7
M00104,10153.080423029212,4
M00106,10688.475825822297,3
M00107,18555.19150292355,1
M00108,109464.37207785825,1
M00109,19756.847230213178,2
M00110,8609.301957621521,3
M00113,20112.828013860653,2
M00114,7414.3841932698815,3
M00115,3441.922399367926,3
M00119,21241.03569519599,2
M00120,9902.249181824813,7
M00121,102926.07623490746,3
M00122,15876.785777587223,2
M00124,23321.31822947718,1
M00126,17628.962834268546,3
M00128,7877.764577489505,3
M00129,13867.302023305168,2
M00130,21399.267701650126,2
M00131,23294.67620574486,1
M00132,19991.683996788935,1
M00133,114777.95439841623,1
M00134,117780.49766254971,1
M00135,5739.805631272855,3
M00140,23417.358061750067,1
M00141,20658.725516773877,1
M00142,20247.72826939067,1
M00143,134547.7257375691,2
M00146,58444.93354543429,2
M00148,17984.61499037266,1
M00151,35467.23921104735,1
M00152,6626.508310000661,3
M00154,6945.119499439539,4
M00158,7953.8457566623865,4
M00160,749.1766278866664,6
M00165,6456.374273749594,3
M00168,144135.11607348805,1
M00169,8883.390351820322,3
M00170,9722.67167108044,3
M00171,9060.442726798121,3
M00172,8888.297410893994,3
M00173,141503.81360612798,2
M00307,45308.453769523854,4
M00308,40729.30132212947,1
M00344,21298.902320001762,1
M00346,22233.141985653354,1
M00357,16817.894635292716,1
M00366,86736.69227636528,2
M00367,10218.897907599274,4
M00368,13708.615222032095,3
M00373,8228.230136722526,4
M00374,21351.568594374636,2
M00375,20222.921052305435,2
M00376,118933.83602525014,1
M00415,15.323079133341436,7
M00532,8255.326378799266,3
M00546,7501.960848273131,3
M00549,15651.273248549645,2
M00552,40917.092365743636,1
M00554,22090.82630047458,1
M00565,25495.577564381445,1
M00570,21608.02037993673,2
M00572,17077.835853942066,2
M00609,13309.047720481016,3
M00621,7712.730882000489,3
M00632,12312.838139079922,2
M00740,249718.59227664795,1
M00741,141128.32690879903,2
M00793,132994.0304616225,1
M00841,241881.75018314776,1
M00842,117749.40365686046,2
M00843,127258.97015848132,2
M00844,13735.092061073363,2
M00845,132792.98789439342,1
M00846,108338.9950177147,1
M00849,9788.510730527483,4
M00854,20257.38504455245,1
M00855,7157.328468516684,2
M00861,9389.641388926602,3
M00862,112262.02257497463,1
M00868,23659.453827840673,4
M00872,39.866995532025435,6
M00873,3752.1533687684037,3
M00874,27.32812153504073,6
M00880,5397.167222591086,2
