pathway_name,distance,n
M00001,0.11683803637892083,137
M00002,0.34412309043795886,65
M00003,0.2664286720013439,77
M00004,0.6558037782941445,49
M00005,483.0554970272373,30
M00006,15.928975232470153,27
M00007,502.0416201862815,14
M00008,7375.042317299092,11
M00009,0.3272779952853152,157
M00010,0.5097467828554516,66
M00011,0.6930620445255021,97
M00012,0.971022202702914,40
M00013,0.3773143083274084,66
M00014,0.2128450975711685,127
M00015,0.9512062525976226,37
M00017,5.62719783407089,34
M00019,0.2304343269720005,68
M00020,32.84709059557333,31
M00027,0.24253912799599783,86
M00028,657.6548528632538,22
M00029,0.14502179886739017,86
M00032,0.6104334526790779,89
M00034,0.3515039913790165,144
M00035,0.0889965611258048,133
M00036,0.2269199961066859,142
M00037,0.5498495595178745,88
M00038,0.6433188407698359,59
M00042,0.8136817105572794,70
M00043,144.68047881030128,18
M00044,1.2539899244766044,67
M00045,1.6353464360905945,55
M00046,3.8204444382340945,43
M00047,0.3404581533407066,302
M00048,0.15437055832936222,80
M00049,0.37132144523975685,157
M00050,0.5094825314338985,137
M00051,1.8284289559854223,41
M00052,0.639102475311189,113
M00053,0.2991067392399472,324
M00055,0.2959815796413128,94
M00056,0.20318255158670573,157
M00057,0.4677676624417989,80
M00058,1.5477546642544413,61
M00059,0.1955372117909108,150
M00065,0.23299153937282568,109
M00066,7.721424371455982,37
M00067,99.32367703099197,22
M00068,3.40792794371186,49
M00069,1.0105263939917635,65
M00070,9.709968574206535,49
M00071,21.306306715992164,32
M00072,0.3358535389561791,88
M00073,0.3896882840541515,80
M00074,0.40227440649140006,68
M00075,1.2676818989060243,96
M00076,2.144982072608537,55
M00077,1.5737053960400251,74
M00078,0.6871178693856563,91
M00079,0.3320603937762981,52
M00082,0.6222079860953289,80
M00083,0.2578575834870988,49
M00085,0.43340722848273844,81
M00086,1.1227980355716138,43
M00087,0.9815493867658108,91
M00088,1.15578106138224,62
M00089,0.19618016733243307,208
M00090,0.6362215332787325,50
M00091,8.026532546343619,27
M00092,0.532305533026233,61
M00093,2.3855491621152045,26
M00094,0.526465125544892,130
M00095,0.29363897136577616,64
M00096,144871.44823544417,5
M00098,0.3845871920407244,189
M00099,0.6534636796151204,145
M00100,4.018182497379264,62
M00101,0.05774010595424667,154
M00102,0.31470482460123506,114
M00103,23.340129731333967,39
M00104,0.2173790918646724,148
M00106,4.466623969023238,38
M00107,307.9945434499615,39
M00108,1.289997794940303,60
M00109,0.3641991603509769,84
M00110,3.5606999145379508,43
M00113,1.1949006101474313,42
M00114,5.981732090826537,32
M00115,1.6293888152940152,68
M00118,9.50299644003799,11
M00119,0.30184718961556917,68
M00120,0.36498402298668614,99
M00121,0.09722452231586896,73
M00122,1.0231557494410384,54
M00124,36.03741151860425,25
M00126,0.34178056088917913,83
M00128,0.39344500412105715,61
M00129,0.46227085929591505,98
M00130,0.18474385456836595,161
M00131,482.96066757377497,28
M00132,2.4464596195854904,38
M00133,1.586713418220488,29
M00134,4.118688013888427,21
M00135,30.716163029739167,40
M00140,1.1796901533026252,44
M00141,0.3090676852869433,51
M00143,9.005235684213037,25
M00146,0.40570117599273897,102
M00147,4.054292358433652,38
M00148,25.159639063120466,44
M00151,6.65354292524131,34
M00152,0.5956988806175614,86
M00154,0.5435172084955187,73
M00158,2.0910027946233622,87
M00160,1.1085046201663924,69
M00165,0.3521110441127909,62
M00168,12019.395389908708,2
M00169,35.06947395030486,16
M00170,0.3009602252696958,55
M00171,0.46394645866028267,90
M00172,34.93622891345411,16
M00173,1.065306338444298,46
M00307,1.6002953495604906,78
M00308,2.8146805742565286,22
M00338,2767.1638634874375,9
M00344,38.331803376629985,24
M00345,3.019660877769601,30
M00346,0.3842666111591409,72
M00357,278.497929407878,16
M00364,143387.28816622606,5
M00365,143304.60869408541,5
M00366,5.6258776867150155,15
M00367,0.8198117598428903,18
M00368,1.010483146064075,45
M00373,0.3955097899290311,64
M00374,9.46115839272463,35
M00375,3.3509549418053086,51
M00376,1.4838486917555158,38
M00415,0.32868451229248613,99
M00532,0.2977214010105151,81
M00546,14.92359234325563,23
M00549,0.3588110020118556,99
M00552,2.8727808192936943,22
M00554,9.271419204503353,25
M00555,16850.65549936081,8
M00565,21733.10960454323,11
M00570,0.4017370002875963,91
M00572,0.4819291111456987,48
M00609,1.0653782082443712,45
M00621,3.234122608069969,32
M00632,3.794705986253979,27
M00740,0.7629841194127422,44
M00741,1.3899078783949625,35
M00761,11986.283884575585,9
M00793,0.9261035786617137,37
M00840,16720.77937100724,15
M00841,4658.525137631192,11
M00842,4.918725399179254,18
M00843,5768.4927096487145,13
M00844,1.2183877216985621,64
M00845,1.4516839924959652,50
M00846,7.411016446490907,24
M00849,0.2666635088356712,61
M00854,0.46240136315913444,82
M00855,4.219867014953214,52
M00861,0.6897796478906131,73
M00862,0.32541436811216634,40
M00868,0.14024241343304003,83
M00872,0.18166163694706353,114
M00873,0.2815595072370712,101
M00874,0.3104646678484978,107
M00880,5.177489983632914,43
M00881,29226.308211302745,3
M00882,43.20702121505691,17
M00883,58.51239036577818,17
M00884,29697.942334064566,3
M00885,0.38384228713073376,53
M00886,0.401134643257683,53
M00892,0.45889087464170963,107
M00897,4038.231287577627,9
M00898,4559.135687932599,9
M00909,0.7682119576552829,86
M00911,2.800887806995984,17
M00912,0.3879554726955657,96
M00913,15448.097436761695,8
M00917,0.28115655444964915,75
M00926,0.2436592828429356,50
M00936,307.951056979381,10
M00938,0.2883236222683053,333
M00953,1.0010213585487138,45
M00955,3.66082109701082,58
M00957,5.460404446607458,50
M00958,0.4578893279969275,115
M00959,1.2066745164252513,92
M00968,35922.05197568435,3
M00970,0.6408409588005177,214
M00972,0.35322632352287453,265
M00974,3.1422445711073554,71
M00975,0.6770473050352129,62
M00976,0.27807013546140685,113
M00977,0.4511473668486999,101
M00978,1.2853686029426676,64
M00981,308.4609412505148,10
M00982,11741.558269137984,10
M00983,0.5938835493379835,62
M00987,24.262744463965447,24
M00988,5667.259083466086,13
M00991,12.750041775164085,23
M00992,13.143078403768703,23
M00994,38632.65527080693,14
M00995,0.9361438805830414,80
M00997,141.34804502161705,14
M00999,11971.281161060939,9
M01000,5.959340148509666,32
M01001,8.438493053386578,32
M01002,0.8218396165834947,80
M01003,11.429312242666036,21
M01004,35139.46642360295,1
M01006,1.8480175946092785,32
M01015,0.22759170525910927,70
M01016,216.44092105346738,12
M01017,32558.20610456639,8
M01018,31988.839715049977,8
M01019,32846.92151955778,8
M01020,32686.71007463871,8
M01022,1.0256970195711776,37
M01023,0.8998514599130756,37
M01024,1.271585792533642,37
M01025,0.9436886201719471,37
M01026,1.0186866077535321,37
M01027,1.0248434735866194,37
M01034,32725.272143907852,8
hsa00010,0.09066625959802035,333
hsa00020,0.23921343791639693,213
hsa00030,0.15233221118121296,140
hsa00040,0.17294505338614152,195
hsa00051,0.1544791208353322,458
hsa00052,0.116761990610049,226
hsa00053,0.31320390612473065,140
hsa00061,0.20220044799296788,181
hsa00062,0.2346777666891931,243
hsa00071,0.23481962780035934,279
hsa00100,0.14777858887733447,225
hsa00120,0.20546115541622645,158
hsa00130,0.17594276744820306,130
hsa00140,0.0996480798669161,352
hsa00190,0.12298824155361127,410
hsa00220,0.08541667664168749,233
hsa00230,0.0903421693056271,1019
hsa00232,0.4999693868540141,77
hsa00240,0.09460017413786329,563
hsa00250,0.13517656808150813,382
hsa00260,0.28644263772095374,451
hsa00270,0.08451008271201473,335
hsa00280,0.1618784926138008,284
hsa00290,0.40836700654426145,91
hsa00310,0.14553258221231677,579
hsa00330,0.10469329361545957,538
hsa00340,0.3684535066555716,149
hsa00350,0.18345348067514528,284
hsa00360,0.4986462928302997,159
hsa00380,0.15572905966078132,262
hsa00400,0.4196415285991908,87
hsa00410,0.14340669146230736,279
hsa00430,0.17092833956925343,144
hsa00440,0.686008800088605,53
hsa00450,0.2355514196220444,153
hsa00470,1.709133483278106,53
hsa00480,0.2476649860602638,486
hsa00500,0.15215716729297793,278
hsa00510,0.10472828782177694,376
hsa00511,0.23879218545731187,104
hsa00512,0.12906925590414745,215
hsa00513,0.09370343237802961,309
hsa00514,0.06494605774409597,230
hsa00515,0.12728832160073686,185
hsa00520,0.14813302751605195,279
hsa00524,2.614956125502389,46
hsa00531,0.3836251767561456,151
hsa00532,0.13329728989626463,183
hsa00533,0.2159327103735479,100
hsa00534,0.18061227333697005,232
hsa00541,0.3392220336934155,186
hsa00561,0.2068564854817719,460
hsa00562,0.029509914120620966,569
hsa00563,0.07530117309377095,185
hsa00564,0.19938051250239233,557
hsa00565,0.13028388909383934,241
hsa00590,0.26670130153623123,547
hsa00591,0.1948463593009551,179
hsa00592,0.2617632309517576,146
hsa00600,0.23413051850042038,296
hsa00601,0.177484937463515,140
hsa00603,0.20254009838886003,120
hsa00604,0.04137955204088078,153
hsa00620,0.2301770693316703,286
hsa00630,0.32750877911385384,166
hsa00640,0.22171884597510724,210
hsa00650,0.10615056012271493,202
hsa00670,0.326704204129731,210
hsa00730,0.15621440263210865,163
hsa00740,0.41905039676366024,87
hsa00750,10.108899961713126,45
hsa00760,0.24652714554393407,232
hsa00770,0.22565399032825467,246
hsa00780,0.14055081402620248,66
hsa00785,0.21815776887314758,132
hsa00790,0.1979405110299596,240
hsa00830,0.22488420648603297,399
hsa00860,0.11085859866925148,217
hsa00900,0.2125471360454716,166
hsa00910,0.48363776405605496,67
hsa00920,0.8369825723029629,78
hsa00970,0.12696503089834277,523
hsa00980,0.2565580614472801,316
hsa00982,0.22923489452223675,277
hsa00983,0.2906772628255917,545
hsa01040,0.1376308666456736,190
hsa01100,0.016648646097448237,5769
hsa01200,0.12934101216097985,600
hsa01210,0.21858633159303725,309
hsa01212,0.14367623720072178,412
hsa01230,0.14383450278235552,464
hsa01232,0.1507876123599801,664
hsa01240,0.045334710984609554,817
hsa01250,0.14800091268621635,319
hsa01320,24.43095497669293,24
hsa01521,0.2906058650717041,924
hsa01522,0.2880338685123025,1425
hsa01523,0.10140467710468411,303
hsa01524,0.15623888277347683,676
