pathway_name,distance,n
M00001,11873.792894765893,4
M00002,16404.384497240924,2
M00003,21061.154248165174,1
M00009,7943.26062371093,2
M00011,7657.388675690995,2
M00014,5500.127737925453,3
M00017,19998.831172462626,1
M00019,22320.097618058575,1
M00020,22413.058161798795,1
M00027,22036.47268483296,1
M00029,23200.953511778604,1
M00032,20046.337490701688,2
M00034,10441.852529644759,2
M00035,8729.817326074088,4
M00036,6290.835850794961,3
M00037,20409.002286195144,1
M00042,21104.417535888464,1
M00044,26034.29313464676,1
M00045,7679.558056664415,2
M00047,20471.906128505485,2
M00048,20923.87520953913,1
M00049,11588.744171076256,2
M00051,21106.41177252142,1
M00055,19173.377438779582,2
M00056,18020.449123400238,3
M00057,17609.172150408453,1
M00058,21091.332049562876,1
M00059,165.1299429565683,5
M00065,19621.50999516583,1
M00066,20393.226300056544,1
M00067,23920.791768950356,1
M00068,20471.643558902353,1
M00069,20824.784635550714,1
M00070,17617.354155944264,1
M00071,19051.97377617415,1
M00072,18694.303506262568,2
M00075,19078.026664215336,2
M00076,24874.172394336827,1
M00077,24298.04679412161,1
M00078,22808.697227580655,1
M00082,20210.325370339902,1
M00085,7471.28296909953,2
M00086,60739.60130403928,1
M00087,227.14412160924365,6
M00088,22570.911943634874,1
M00089,409.34175685559586,5
M00090,9731.513552954966,2
M00091,27519.112074537767,1
M00092,7520.913547269974,3
M00093,16882.55372324803,2
M00094,15778.325667398203,2
M00095,22583.784628673086,1
M00098,12915.877164385656,3
M00099,16036.719906590883,2
M00100,37370.135914768776,1
M00101,14441.983642012498,3
M00102,15198.572720576263,3
M00104,11111.821626384499,2
M00106,25941.217571473866,1
M00113,18957.83413581229,3
M00114,23644.75825646639,1
M00115,21904.366454567295,1
M00119,23355.051136213995,1
M00120,15969.819840296248,4
M00122,12972.152225898715,2
M00124,21771.694626765726,1
M00126,190401.57754938363,1
M00128,9659.148802785487,3
M00129,13702.321869187477,2
M00130,12650.65836412826,2
M00135,23215.66486516199,1
M00140,22957.520630144252,1
M00141,19647.501143004127,1
M00142,103.52538932470338,9
M00143,19852.44105129618,1
M00151,1235.0091579044376,5
M00152,1155.9085600391068,6
M00154,8.307448465210314,7
M00160,59554.28996923808,2
M00165,20945.434641787404,1
M00170,24031.434090464183,1
M00171,21981.447179311603,1
M00307,20922.589720823667,1
M00344,20629.601980359195,1
M00345,12384.42249828754,2
M00346,21362.30262425424,1
M00366,121891.02904693547,1
M00367,132667.57368612417,1
M00368,18382.04256425187,1
M00373,21243.511114987316,1
M00374,25493.145317186812,1
M00375,24264.528812711156,1
M00415,153667.7460814506,1
M00532,22666.847929832984,1
M00549,7221.238222730957,2
M00554,21825.93155922181,1
M00570,23557.918010807334,1
M00609,18418.18744294972,1
M00621,20345.602113777488,1
M00632,21527.08191662713,1
M00740,15490.199742165465,1
M00844,24032.52721096723,1
M00849,22192.950458696287,1
M00854,19741.833118494214,1
M00855,22114.727497815515,2
M00861,18412.511274267625,3
M00872,13762.462178376805,2
M00873,20578.627996942218,1
M00874,18249.822612815762,1
M00882,21205.419380033258,1
M00883,19735.630633791206,1
M00885,18577.67489935848,1
M00886,18470.928016323407,1
M00892,7460.717904638142,2
M00909,85541.99107897739,1
M00912,22671.696055710483,1
M00938,15166.970689719403,1
M00953,18280.028956431892,1
M00955,21095.849630892568,1
M00957,23998.426652689654,1
M00958,15369.841834804332,2
M00959,15149.980385910952,1
M00972,21286.64161285067,2
M00974,7890.459659549022,2
M00975,23143.814080360426,1
M00978,24415.07436938495,1
M00995,97821.20219729222,1
M01000,23649.598563033014,1
M01001,20430.55010243278,1
M01002,99434.60755470158,1
M01006,21587.458846239908,1
M01015,7455.863576278434,2
hsa00010,71.53103509962067,5
hsa00020,7826.025277997874,2
hsa00030,10837.547805274726,2
hsa00040,5568.3564791806075,3
hsa00051,6.211601647129863,7
hsa00052,9.497672214704403,5
hsa00053,5619.084673719621,3
hsa00061,7509.262225825667,2
hsa00062,5325.836182800556,4
hsa00071,84.18369745825338,7
hsa00100,14654.717711198202,4
hsa00120,11698.266889675855,2
hsa00130,10940.007284963835,3
hsa00140,7248.641956272307,3
hsa00190,1.1403704603468785,25
hsa00220,15674.54345875289,2
hsa00230,1.6182655575371183,10
hsa00232,27888.28871658929,1
hsa00240,14929.048433032798,5
hsa00250,13676.65185167112,4
hsa00260,7549.288975621237,3
hsa00270,379.9383085631547,5
hsa00280,80.51599149608643,7
hsa00290,23708.14208504166,1
hsa00310,10.630518098410404,11
hsa00330,6238.80665515642,4
hsa00340,7753.734099527769,2
hsa00350,12893.035652330971,2
hsa00360,24337.69644205147,1
hsa00380,20773.17122461205,2
hsa00400,22907.22572899356,1
hsa00410,20505.899850020767,2
hsa00430,24549.574967255536,1
hsa00440,15298.202419860336,2
hsa00450,14038.579698252242,4
hsa00480,9710.67041997513,3
hsa00500,14.500689071964478,6
hsa00510,12626.458003582247,5
hsa00512,17778.922979987507,4
hsa00513,11732.986177151759,5
hsa00514,17851.13268816767,4
hsa00515,7983.00114767186,4
hsa00520,6430.733592394523,3
hsa00524,65451.964992115405,1
hsa00531,22804.16564965533,2
hsa00532,18663.000441829427,1
hsa00533,12483.66654366062,2
hsa00534,10.460964853470859,6
hsa00541,21829.363682931937,1
hsa00561,59.01466374614092,8
hsa00562,198.12837199057952,6
hsa00563,14287.631858784533,2
hsa00564,0.9299594650472982,9
hsa00565,4009.6408926875374,4
hsa00590,25462.760725799693,1
hsa00591,25398.73260424509,1
hsa00592,17068.82265571116,3
hsa00600,4750.161730202132,3
hsa00601,20007.481904709068,1
hsa00603,22368.123315342968,1
hsa00604,15210.34350859976,2
hsa00620,10979.766548745456,2
hsa00630,21940.262249625073,1
hsa00640,7053.603997702092,3
hsa00650,8289.839460584655,3
hsa00670,12411.799591296587,2
hsa00730,19274.55984526976,2
hsa00750,26000.050901486346,1
hsa00760,80.43920845669454,7
hsa00770,19125.578729299108,4
hsa00780,84077.86015062394,1
hsa00785,20017.860857410447,1
hsa00790,19614.910021784697,3
hsa00830,13985.527989383147,3
hsa00860,145.4935214643451,5
hsa00900,13885.875158692083,2
hsa00910,18481.974589665042,1
hsa00920,18382.12655570258,3
hsa00970,52.873031618240766,9
hsa00980,14404.116906722435,3
hsa00982,15039.759878969557,3
hsa00983,5187.542649031609,4
hsa01040,1801.6938158716853,5
hsa01100,0.09371837932805538,101
hsa01200,32.36514837358635,7
hsa01210,20712.20294399237,1
hsa01212,41.08475471633322,8
hsa01230,6202.880232365028,5
hsa01232,121.93461047181091,7
