pathway_name,distance,n
M00001,0.24361613822875267,183
M00002,0.6634096213248537,63
M00003,0.3765573673483661,93
M00004,36.259249147455066,28
M00005,62.75456116626248,41
M00006,104552.53748771212,5
M00007,38.1364919167517,22
M00009,0.2985203585876818,206
M00010,0.666234810323506,99
M00011,0.5077015293999171,114
M00012,1.8409996851348136,84
M00013,0.23508388676715058,89
M00014,0.1679787238402538,142
M00015,1.2571040451402746,45
M00017,2.0794736680827706,30
M00019,2.974414073692601,74
M00020,24.024375831640185,20
M00027,0.27591953351091236,73
M00028,16.147771492812073,25
M00029,0.20535612730607627,55
M00032,0.3918373249191079,162
M00034,0.728477101820657,189
M00035,0.1960822831375552,159
M00036,0.1544729050689632,192
M00037,0.16204491634323887,119
M00038,1.4734838697994752,73
M00042,0.20026394449783053,84
M00043,1778.7734224908222,11
M00044,0.3273900232009197,59
M00045,1.0419271126374345,40
M00046,9.492587650114938,19
M00047,0.3484091252299122,260
M00048,1.775679072478756,79
M00049,0.2076334295714134,131
M00050,0.3269482696329899,162
M00051,0.22780492072108008,46
M00052,0.30812499247517056,106
M00053,0.25121757329586125,244
M00055,0.4713959500911488,63
M00056,0.2446624146400306,210
M00057,2.70853023864054,64
M00058,0.648658082020213,58
M00059,0.2067915805796232,155
M00065,0.7224598957380098,73
M00066,0.16649730936129345,54
M00067,33.113370099603586,24
M00068,0.4390361013058784,69
M00069,0.6859644929517217,64
M00070,0.4507706363173542,64
M00071,0.4462261437215417,53
M00072,0.3627538898517656,112
M00073,1.1961766120418276,62
M00074,3.1123535063275884,53
M00075,0.3229490867671512,123
M00076,1.138130481961554,93
M00077,0.3636023117234992,135
M00078,0.39611513126803394,95
M00079,0.4090043180506939,81
M00082,0.26996033673067016,87
M00083,11.744256483256745,42
M00085,0.34646011085427963,82
M00086,10.02442367498167,38
M00087,0.1855433782520065,104
M00088,0.26029056060660516,82
M00089,0.18835407311264457,181
M00090,0.9814904158908011,31
M00091,2.8001860666745246,25
M00092,0.6598254362001915,50
M00093,6.587692569565777,31
M00094,0.2216584622968455,122
M00095,0.3138254113542929,87
M00096,15135.099045098748,4
M00098,0.09723381709941889,263
M00099,0.39005669438699686,143
M00100,0.5984101869287755,72
M00101,0.3190806897900386,154
M00102,0.3294458150444352,121
M00103,2.6628503133509707,42
M00104,0.054780668335406096,161
M00106,0.9499420908422358,53
M00107,29.98972605845884,49
M00108,0.41800390784438013,64
M00109,0.15219594196280214,107
M00110,0.21004861382255785,64
M00113,3.0538616404891856,32
M00114,1.3152294067291264,28
M00115,1.7970141259296961,56
M00118,6611.814667189037,10
M00119,2.8292225899565766,74
M00120,0.4533394490771825,126
M00121,0.28074374349164616,70
M00122,4.653555036451212,38
M00124,70.2680710296025,10
M00126,0.7097328680780821,107
M00128,1.198425394492524,63
M00129,0.7011586941040877,125
M00130,0.12015919935806835,181
M00131,64.10872155929952,35
M00132,4.05732557912915,44
M00133,7.3537165578523505,40
M00134,1996.5153345606811,16
M00135,0.5120092959432111,44
M00140,1.2146314420810955,32
M00141,0.22725641156489723,51
M00142,26.888053518824385,19
M00143,5.340494085339044,26
M00146,0.31010299874191594,114
M00147,26.70338082486617,44
M00148,8.983399523315162,40
M00151,30.43034643302936,22
M00152,0.5266333012521806,65
M00154,0.2615932536177042,98
M00158,0.3846341020744928,83
M00160,0.3269034066299941,96
M00165,0.5964890766823213,81
M00168,14329.27019230114,13
M00169,3.3980111432959252,32
M00170,0.5216239513676283,57
M00171,0.19502942940285248,91
M00172,3.323587189549199,32
M00173,2.2667777656398953,51
M00307,0.46306433819648446,87
M00308,33.135598640641064,14
M00338,3.7552421730748886,24
M00344,1.9943507580061934,51
M00345,0.5354161624061727,40
M00346,0.2588731038752876,76
M00357,0.46955625685947816,31
M00364,15277.634671041555,4
M00365,15055.431923261762,4
M00366,509.2140136239766,24
M00367,494.0695253674457,25
M00368,0.7716850141257251,60
M00373,0.5652778034769956,67
M00374,14.203315686878586,28
M00375,0.3999250584289615,46
M00376,2.7311958421416103,49
M00415,0.2858430966841488,117
M00532,0.15490123699483382,99
M00546,10445.099110209172,14
M00549,0.09838684697326755,110
M00552,31.809693773960294,14
M00554,0.4301582802082284,31
M00555,1958.0881178640616,13
M00565,20334.365669775332,4
M00570,0.7021146363863185,112
M00572,14.996678167206133,39
M00609,0.8838074038521426,60
M00621,0.8550067724712967,54
M00632,0.48646920103475705,47
M00740,2.5145016097756065,47
M00741,4.276594644985084,39
M00761,9518.961857417366,4
M00793,1.0024256307848765,81
M00840,2009.9462410772926,51
M00841,175046.44736837017,5
M00842,121.63694607908344,18
M00843,17789.75126787159,15
M00844,0.35288028373464786,33
