pathway_name,distance,n
M00001,0.21990703466325903,103
M00002,0.20554169963625518,61
M00003,0.17559584870517456,89
M00004,0.15770642880489213,52
M00005,3.534199301130057,41
M00006,2.0052516962245712,23
M00007,0.8694326685008699,32
M00008,2.5491961499417397,17
M00009,0.2704191502846122,121
M00010,2.212710877762726,43
M00011,0.2172710072266692,88
M00012,1.9160094100337928,45
M00013,0.3846033335575356,123
M00014,0.1457354973228689,111
M00015,0.4695258229809024,46
M00017,1.4569256441743434,81
M00019,1.0000752973178837,33
M00020,2.2023327080542234,36
M00027,0.4653551132302378,117
M00028,32.37560092648917,13
M00029,0.3389722475019197,74
M00032,0.16122046169837062,118
M00034,0.3154594143469915,172
M00035,0.2309536329044979,163
M00036,0.1701620520704679,182
M00037,0.3064601771138556,141
M00038,0.5827710411025331,61
M00042,0.5802124706285596,120
M00043,19247.173138226266,1
M00044,0.6049846732402453,66
M00045,3.9982333816531677,27
M00046,18.89035080755254,17
M00047,0.7010599968588692,142
M00048,1.3555811350691587,83
M00049,0.2161038686460416,99
M00050,0.7687423052238005,74
M00051,13.88613524965574,37
M00052,0.5429211234285158,55
M00053,0.501069302353825,78
M00055,0.27408361705341056,86
M00056,0.20706176438744156,115
M00057,1.1029499360418134,34
M00058,1.1437568283472415,47
M00059,0.2955505135484498,96
M00065,0.5774788022511531,48
M00066,2.079607492573465,25
M00067,1.7141823705239811,25
M00068,8.632482487590401,36
M00069,0.520889402412763,54
M00070,1.6575238718002017,27
M00071,14.86497988158222,28
M00072,0.24814912637006964,76
M00073,0.7675768290093349,54
M00074,1.8969179163764773,41
M00075,0.18150833176206074,70
M00076,0.28747779882495805,68
M00077,0.28461890855358213,82
M00078,0.21213075120301164,81
M00079,0.14987124126081788,44
M00082,0.3422750684207308,82
M00083,0.3879600137728202,52
M00085,0.327086232418688,84
M00086,0.7442237499084453,41
M00087,0.3488892515361749,104
M00088,0.8001901988377284,127
M00089,0.15938128966853926,166
M00090,5.546674268005685,40
M00091,1.429495968402066,77
M00092,0.36214038031242707,59
M00093,13.30368396883246,36
M00094,0.14094228517525778,91
M00095,0.8942095393517893,136
M00096,14.113551814473098,11
M00098,0.28096044120905955,170
M00099,0.17930847196436198,131
M00100,0.7806128960759002,40
M00101,0.21222874326495425,188
M00102,0.3996792428954136,161
M00103,1.3192367964815381,19
M00104,0.46409526231775233,173
M00106,2.3587200349433557,39
M00107,7.770214208844173,26
M00108,0.5994495376431702,36
M00109,0.13008650158052246,61
M00110,0.7128443489073634,51
M00113,0.6270661558475975,52
M00114,1.147965965064745,21
M00115,0.5659181914061473,59
M00118,2.46918420416826,26
M00119,0.6229211521029009,33
M00120,0.31258430209264726,109
M00121,0.6180005731620575,126
M00122,0.7650378599689005,89
M00124,3.032813345160394,21
M00126,0.698834121582015,65
M00128,0.6857363208414726,107
M00129,0.2818868365975692,93
M00130,0.2748046592014226,105
M00131,64.71410046894736,21
M00132,0.49972172247795005,58
M00133,0.4047767724836384,101
M00134,1.806218695165635,27
M00135,0.376239144341631,64
M00140,0.3292720788086953,95
M00141,0.24196199027560306,112
M00142,0.055166079260359116,46
M00143,2.3735686595831913,39
M00146,0.4551093022838044,81
M00147,0.6289987300162162,47
M00148,1.6857348967603019,27
M00151,0.4583403962667705,31
M00152,0.21195173613367066,66
M00154,0.14527798960936472,115
M00158,0.29475212833095,90
M00160,0.44012092979824813,100
M00165,0.43571407866505824,61
M00168,20.091701929084504,17
M00169,1.4756985488666479,33
M00170,0.9448119939728946,56
M00171,0.2039571885545962,72
M00172,1.6000001235264059,33
M00173,2.663820986784816,48
M00307,0.3900982165300025,57
M00308,102.47743272980561,13
M00338,3.144708047904949,23
M00344,32.236450639040896,37
M00345,0.7836916179148926,28
M00346,0.21103078943200007,133
M00357,1.2543748036969324,26
M00364,13.928923986211961,11
M00365,14.320266940744798,11
M00366,2.8195300299029062,33
M00367,2.290185429916025,40
M00368,0.5590082468631282,102
M00373,1.163670767891602,124
M00374,8.279462408281127,29
M00375,1.257795917155439,95
M00376,0.9782415536048544,96
M00415,0.35188647198331285,96
M00532,0.16462039283898597,162
M00546,208.86781279917315,17
M00549,0.25422785163006417,54
M00552,104.61810675430704,13
M00554,1214.2370293299905,23
M00555,4687.207877956646,9
M00565,19673.197499648122,7
M00570,0.6986847674351304,49
M00572,0.3396873377718405,52
M00580,8187.283272796452,6
M00609,0.5329178865427951,102
M00621,1.0529488862829905,105
M00632,2.348940745463895,44
M00740,0.6400877651320283,31
M00741,1.4872563518526887,102
M00761,7359.679561205956,6
M00793,112.94296180159576,26
M00840,129316.11512509458,4
M00841,4442.213719637516,10
M00842,2.568664841390884,33
M00843,5.770358706403184,26
M00844,0.4188606939227039,58
M00845,0.6097377663634417,51
M00846,0.8103542737738424,78
M00849,0.9041831671909922,136
M00854,1.4758199515812238,38
M00855,2.56376200334144,35
M00861,0.33778129234329807,89
M00862,0.190487450511617,51
