pathway_name,distance,n
M00001,254.19856856364197,5
M00002,9010.458865787756,2
M00003,17476.96901480207,4
M00004,40860.810944681034,1
M00005,24562.66611983276,1
M00007,39089.62257365373,1
M00009,328.44876963856717,5
M00010,21551.06345172436,2
M00011,15034.311633752,3
M00012,236144.31103490162,1
M00013,5509.297321421164,3
M00014,43.9564272461234,6
M00015,115856.28125647674,1
M00017,197300.68545334917,2
M00019,6340.714695270769,4
M00020,153735.7058163004,1
M00027,19073.400073704088,1
M00029,10794.1244889953,2
M00032,241.88872327742027,7
M00034,4172.5386969653655,5
M00035,699.3936481111696,5
M00036,333.6129969759965,6
M00037,16688.796566215107,2
M00038,1595.0355860121404,5
M00042,7803.233197357547,4
M00044,23107.161578595267,1
M00045,10411.85127544281,2
M00046,21101.793327981253,1
M00047,4.691206980201876,17
M00048,14841.070777037963,2
M00049,15440.527368141395,3
M00050,6289.246838927738,4
M00051,223404.1657225645,1
M00052,13811.64051878097,2
M00053,3.59722558211367,13
M00055,2072.95622300052,5
M00056,65.92667070596018,5
M00058,19513.411130057848,1
M00059,10916.801622031444,3
M00065,17707.908356499313,1
M00068,18104.030218302774,1
M00069,4788.920350903869,3
M00070,16611.057983311814,1
M00071,17237.00630214889,1
M00072,84844.96978903968,3
M00075,15574.019293312309,2
M00076,7693.36735424855,4
M00077,95.95490777885321,6
M00078,9952.28263630262,2
M00079,10314.432806787267,2
M00082,8303.436794543635,3
M00083,76019.55249479771,1
M00085,7979.525075217765,3
M00087,12473.501353235304,4
M00088,17384.507136281223,2
M00089,1.3032913342683707,10
M00090,16179.427195435963,3
M00092,17122.594079378458,3
M00094,4413.976779360835,4
M00095,9897.4973288805,3
M00098,8.644681476939816,9
M00099,458.58788584401674,5
M00100,10906.613154409872,3
M00101,4986.868841161723,4
M00102,5167.052008593841,3
M00104,22759.023829094367,1
M00109,21264.29715744979,1
M00110,22148.555777369107,1
M00113,21175.019050195395,2
M00114,26719.698998611664,1
M00115,9359.731423632575,3
M00119,6143.762033088371,4
M00120,18814.2414615717,1
M00121,14129.572095122892,2
M00122,169210.85309783835,2
M00124,129937.06470880136,1
