pathway_name,distance,n
M00001,0.1566750202898227,1994
M00002,0.06776298928594672,1220
M00003,0.09270596665664288,1298
M00004,0.14323242900382882,611
M00005,0.3639320616578153,742
M00006,0.17631011735104338,206
M00007,0.10181246929766485,405
M00008,0.3584868380761791,100
M00009,0.4636663967100965,3191
M00010,0.7609218779331164,1778
M00011,0.1759235885659367,1609
M00012,0.9799303059723028,1672
M00013,0.16267219509937036,910
M00014,0.04449883369410235,3500
M00015,0.12768101212787364,804
M00017,0.2942985252922047,503
M00019,0.2046925103576181,570
M00020,0.2152942051166774,456
M00027,0.0977453712399602,996
M00028,0.9073327798913038,191
M00029,0.03330117018934412,885
M00032,0.12720658240498736,1449
M00034,0.519717906456854,3076
M00035,0.09793610474338911,2069
M00036,0.20488124443440983,1595
M00037,0.2117972920907022,1672
M00038,0.19769099966839376,1190
M00042,0.18963609592079736,1298
M00043,0.19505468714478652,307
M00044,0.14661041746734624,1237
M00045,0.19405710615529528,518
M00046,0.19888302989911913,667
M00047,0.15455613808026727,1144
M00048,0.246407209008469,1093
M00049,0.08451843312299342,3144
M00050,0.49557826820772527,3534
M00051,0.22467419318329393,530
M00052,0.08223834163032556,2452
M00053,0.1114412840517864,2707
M00055,0.05219956210070179,1366
M00056,0.027055429997674213,3141
M00057,0.19762585886604875,958
M00058,0.21390421319376118,713
M00059,0.17004489174875662,1885
M00065,0.0937962108614947,1472
M00066,0.0387203520868673,655
M00067,0.11242981153768547,343
M00068,0.25882412983305186,1181
M00069,0.05244677062126789,1404
M00070,0.15374353128287135,764
M00071,0.27022189458840673,435
M00072,0.07303477850536255,1596
M00073,0.08387121065486776,1362
M00074,0.06551861274873694,1204
M00075,0.0732552645671567,1856
M00076,0.08050790828418943,1327
M00077,0.12236820346823957,1863
M00078,0.13547242151973374,1414
M00079,0.1647829553568838,1319
M00082,0.06893447920045732,911
M00083,0.06478077065623486,825
M00085,0.07006789655340492,807
M00086,0.07477853276699296,706
M00087,0.13662004857159143,1135
M00088,0.1127698977167817,977
M00089,0.04623439689747497,3338
M00090,0.20702683462090868,677
M00091,0.36443662474805716,352
M00092,0.30110730969971045,897
M00093,0.30811416740396824,459
M00094,0.10316567282075735,1979
M00095,0.18942329062658306,1178
M00096,0.4443008573230312,104
M00098,0.19749487590397274,4408
M00099,0.08276157791869143,2629
M00100,0.06387270691444012,979
M00101,0.06406793903084795,2288
M00102,0.09135174141363135,1784
M00103,0.15473190619468888,409
M00104,0.11394086378873082,1856
M00106,0.08403879815236377,760
M00107,0.10829865316187919,933
M00108,0.07708699855047471,926
M00109,0.05959467882842038,1536
M00110,0.11310404980867601,777
M00113,0.19408215133717135,577
M00114,0.22693465738676213,422
M00115,0.2072236956853259,1259
M00118,0.23271252189894467,395
M00119,0.2453392344962453,570
M00120,0.3525080603875139,2291
M00121,0.29755979966583107,1028
M00122,0.26147198020975093,687
M00124,0.4271135234292895,267
M00126,0.5199447151980985,2078
M00128,0.4388745442648553,690
M00129,0.05732711060952991,2806
M00130,0.032664001469254744,3445
