pathway_name,distance,n
M00001,0.08817808617455476,1131
M00002,0.07908516370830528,514
M00003,0.1272873420433501,678
M00004,0.2661997227753111,320
M00005,0.4245819222034172,277
M00006,0.4441876672771364,135
M00007,0.4641864541385501,175
M00008,4.643400377759658,79
M00009,0.22965157473539688,1218
M00010,0.4362530145018188,477
M00011,0.21654511855610303,785
M00012,0.7693273093424993,470
M00013,0.15539511873084952,372
M00014,0.12917768097923585,969
M00015,0.11758407863438462,391
M00017,0.3070058008895575,219
M00019,0.26836070790440636,349
M00020,0.24454548924398786,263
M00027,0.15654563685528805,423
M00028,0.5153139894000167,125
M00029,0.22160532624589022,586
M00032,0.1599036295553691,837
M00034,0.2897345402840651,1127
M00035,0.13423985084136963,953
M00036,0.17601544642893382,929
M00037,0.21926172897190435,676
M00038,0.37761638932253483,581
M00042,0.20487635731989803,464
M00043,0.3154233178826208,106
M00044,0.11688373174157446,487
M00045,0.5496754716391581,282
M00046,0.23771772666080068,174
M00047,0.21294788187625754,923
M00048,0.18701897705702428,550
M00049,0.07021432016913468,1025
M00050,0.26521416892740074,1009
M00051,0.09081469638348756,317
M00052,0.157552759378956,778
M00053,0.17088092960283555,1279
M00055,0.007225781068078652,549
M00056,0.09682237411499266,1269
M00057,0.05072275189553213,444
M00058,0.03095244805224785,390
M00059,0.11487119740653057,945
M00065,0.02983566170847072,595
M00066,0.18171656824168933,293
M00067,0.5255290669855132,157
M00068,0.2367453196431117,334
M00069,0.03479729647553351,564
M00070,0.10414343967445988,277
M00071,0.21592606665607536,170
M00072,0.13576292541580934,683
M00073,0.059074489707231295,501
M00074,0.041921369610694544,406
M00075,0.10472333204904587,644
M00076,0.2370859399257372,569
M00077,0.1993098536295747,611
M00078,0.13007192923447702,634
M00079,0.3455726051380938,266
M00082,0.14233849007501911,489
M00083,0.24051955456751403,352
M00085,0.19090674367587857,466
M00086,0.36147043972545845,264
M00087,0.07073466402710153,569
M00088,0.1311337069589907,408
M00089,0.05106712164665614,1434
M00090,0.16356934451545493,357
M00091,0.7077648276447519,128
M00092,0.086941535176141,390
M00093,0.11716428396960887,232
M00094,0.08015484498137071,863
M00095,0.06895506269948773,478
M00096,36.449410171481055,58
M00098,0.14788341101736555,1764
M00099,0.06128352969480886,1005
M00100,0.16583911948448796,497
M00101,0.1426999518415566,1106
M00102,0.2752581727875779,904
M00103,0.6134437181144534,198
M00104,0.19803676027080605,819
M00106,0.30302891623944933,280
M00107,0.35969320542844574,269
M00108,0.27079720024112064,400
M00109,0.168029773866339,579
M00110,0.3196148163456792,323
M00113,0.20995246842534215,224
M00114,0.49962327018220964,211
M00115,0.12320410965668557,591
M00118,0.45766383466596383,148
M00119,0.24384592167966906,349
M00120,0.23015635731153106,830
M00121,0.08750886915316097,650
M00122,0.6778522762303159,184
M00124,0.4448735906609532,109
