pathway_name,distance,n
M00001,21674.170807385293,4
M00002,34585.225080176446,2
M00003,23666.463323670025,2
M00004,23131.807172007084,1
M00005,41829.16239490034,1
M00007,25321.89433855648,1
M00009,6915.043626406081,3
M00011,6959.916081846355,3
M00013,166630.90167875204,1
M00014,4694.474792697635,3
M00015,19879.693767459394,1
M00017,20045.34732984837,2
M00019,20851.347759440498,2
M00020,23178.77495230847,1
M00027,13007.97683442892,2
M00029,24096.07942192274,1
M00032,18465.580521795837,2
M00034,6567.0103371311225,3
M00035,16.999482297682086,6
M00036,353.94386679087285,5
M00037,15269.723552275938,3
M00038,24099.345943718236,2
M00042,7847.809964125939,2
M00044,8729.772439591457,2
M00045,22499.920732457613,1
M00047,8305.154623039522,3
M00048,22271.901128073274,1
M00049,12.323146471838344,6
M00050,4076.0791307935165,3
M00051,7844.959000864094,3
M00052,3473.309850938904,3
M00053,6560.843315375997,4
M00055,19386.002110430258,3
M00056,11753.976894716645,4
M00057,17421.76785318426,2
M00058,21434.092220127815,1
M00059,9.865302487458399,6
M00065,7886.145067210987,2
M00066,10931.196452834436,2
M00067,24510.339284521473,1
M00068,6899.402851256603,4
M00069,7785.599486371911,2
M00070,9865.797076405523,2
M00071,20247.047288964503,1
M00072,3859.096198611957,3
M00073,12637.531540007236,2
M00074,13209.743778477234,2
M00075,134.702898575992,6
M00076,19846.987967016797,2
M00077,19897.032428530543,2
M00078,6550.039771438996,4
M00079,8177.059793790653,3
M00082,16460.635823044224,3
M00083,22802.76630783377,1
M00085,23907.24684608854,1
M00086,19027.546462335533,1
M00087,12584.419290972168,3
M00088,22906.843445481896,1
M00089,133.06883001774312,6
M00090,6593.409537436095,4
M00091,28353.12577359509,1
M00092,35.94117052316813,7
M00093,17972.04701983607,1
M00094,8189.346296651497,2
M00095,23099.537155041216,2
M00098,49.698235551779604,5
M00099,8455.713203430994,2
M00100,20549.32973638829,1
M00101,8190.804914455084,3
M00102,8486.648965522318,3
M00104,25249.81574898594,2
M00106,26551.621787036478,2
M00107,18640.099669077474,1
M00109,23712.398995773685,1
M00113,24766.640085366133,1
M00114,7956.964668094659,2
M00115,4341.061099176548,3
M00119,21118.822386124764,2
M00120,17431.643578567426,3
M00122,16285.570313437554,2
M00124,23143.41669254634,1
M00126,107442.7754577225,2
M00128,15753.246563417995,2
M00129,25729.784382622605,1
M00130,4773.52926649945,4
M00131,23074.127234588675,1
M00132,17083.750035355304,2
M00135,7397.583209602429,2
M00140,23069.184452533154,1
M00141,20569.365770303175,1
M00143,187352.431568936,1
M00146,93766.65586361135,1
M00147,30447.403137600177,1
M00148,17740.121756681914,1
M00152,22808.901763941056,1
M00154,7806.010056119225,2
M00158,6880.991809218394,4
M00160,7280.039375070814,5
M00165,6536.655232324113,3
M00169,23924.180741943954,1
M00170,24778.950497006714,1
M00171,23412.249197464786,1
M00172,23721.90934157871,1
M00307,6283.99894276362,3
M00308,40657.77571603838,1
M00338,23489.91323977754,1
M00344,195245.84211287618,1
M00345,62779.1269349144,1
M00346,22368.191467863235,1
M00367,24016.94442929173,2
M00368,13314.099008710687,2
M00373,21907.527593580377,1
M00374,25480.28808415926,1
M00375,25573.47137054088,1
M00415,7375.218922884107,3
M00532,24358.34646657491,1
M00546,17221.628655323366,1
M00549,15606.690990684712,2
M00552,41344.75647649253,1
M00554,22974.288852697602,1
M00565,25177.627292369532,1
M00570,21828.833581213006,2
M00572,21273.175142708504,1
M00609,13595.470324671849,2
M00621,21076.316822425724,1
M00632,13901.44289493117,2
M00793,136938.90489754803,1
M00840,82102.08399829948,1
M00844,24535.98335687311,1
M00849,22906.817286216497,2
M00854,20558.327954697994,1
M00855,7016.29382913616,2
M00861,24183.581161216003,1
M00868,27686.45878157251,2
M00872,7366.427967437351,2
M00873,7533.410183473196,2
M00874,5096.930864159988,4
M00880,5428.841729754984,2
M00882,21316.67522326228,1
M00883,20627.30334118215,1
M00885,19229.04927851321,1
M00886,18804.42866144363,1
M00892,13587.000223599864,2
M00909,12389.324220026985,2
M00912,4218.344433447847,4
M00913,51406.13302820016,1
M00917,7933.39998034555,3
M00938,6490.882817577651,4
M00953,13572.10496726851,2
M00955,8330.701191314858,2
M00957,19829.93753405377,2
M00958,6035.499729402772,4
M00959,8700.805507831858,3
M00970,8496.015595167419,2
M00972,75665.79594695377,4
M00974,7498.258947127739,2
M00975,24391.663938283065,1
M00976,24681.44023355503,1
M00977,24932.992744909458,2
M00978,25378.285780504113,1
M00983,5995.402304253289,3
M00987,33263.948635261666,1
M00994,26151.03769116255,1
M00995,11791.960637956961,2
M01000,8185.894033007062,2
M01001,7072.664070004636,3
M01002,11571.946859395532,2
M01006,22514.810688181416,1
M01015,4994.741874735348,3
M01022,136078.32272316102,1
M01023,133307.03969934225,1
M01024,129798.81317987724,1
M01025,132474.2643434645,1
M01026,135956.26608154172,1
M01027,136386.80747208948,1
hsa00010,15.060305554510382,9
hsa00020,1433.046647468622,6
hsa00030,20494.03438789676,4
hsa00040,12.36936838474005,5
hsa00051,4.631630062363507,11
hsa00052,2.5298438471890634,8
hsa00053,5159.699340427577,4
hsa00061,599.8977946398601,5
hsa00062,7283.227842971823,3
hsa00071,12.380633648535351,7
hsa00100,78.36063822087085,7
hsa00120,25357.886766137377,2
hsa00130,7396.407522495727,3
hsa00140,950.0523272908807,6
hsa00190,1.8952720694475844,13
hsa00220,16984.561238694536,2
hsa00230,0.6440069536462479,23
hsa00232,16494.017049473678,2
hsa00240,2.9099687757181156,11
hsa00250,1.0196761113052133,9
hsa00260,109.7894327693759,6
hsa00270,7.816970694705113,9
hsa00280,5.2079146225266255,8
hsa00290,20873.16601917484,2
hsa00310,13.21702429409406,13
hsa00330,0.6232293102108224,10
hsa00340,6214.172826690809,4
hsa00350,24946.85824261882,4
hsa00360,8336.335256305545,2
hsa00380,119.04220785975203,7
hsa00400,8409.903668564806,2
hsa00410,6.636803265644748,6
hsa00430,15078.934173489983,2
hsa00440,192.6653586726432,5
hsa00450,5446.261847102168,4
hsa00470,7985.02340724406,2
hsa00480,7.47285027082774,12
hsa00500,11.150088029764484,6
hsa00510,1.9610073581533372,14
hsa00511,22313.824022742298,3
hsa00512,258.2288176376001,6
hsa00513,2.8209831474493514,13
hsa00514,192.75940968104118,7
hsa00515,6391.60334411297,4
hsa00520,47.490514261972464,7
hsa00524,170197.14469011745,1
