pathway_name,distance,n
M00001,1.0126133634994423,49
M00002,184.63547155242065,21
M00003,19.925541399956483,32
M00004,43.05195090142184,18
M00005,3362.3714138077708,10
M00006,34691.56261572652,8
M00007,319.6530415380705,16
M00008,32871.38628330505,8
M00009,0.959357331938393,45
M00010,2.232686578764025,24
M00011,5.035789873950198,28
M00012,7.455976662678786,16
M00013,58.72306570340848,17
M00014,0.9199113348688975,44
M00015,8879.925449128274,13
M00017,9271.156892239394,6
M00019,3.7777825322187026,22
M00020,18.142453257583696,18
M00027,3.8758312425083874,22
M00028,7964.115016928451,11
M00029,11.461448696021483,18
M00032,1.5534739045011288,28
M00034,0.7455689792718769,70
M00035,0.5127082396576291,70
M00036,1.3554137006300675,52
M00037,1.4626497605478321,27
M00038,4.933115645392272,34
M00042,29.864749735903693,11
M00043,10178.651070022599,3
M00044,17.79936527486585,20
M00045,19.35931474892934,21
M00046,13892.752940201688,12
M00047,1.3963764852218241,33
M00048,3.902343058258317,30
M00049,0.5143627984858965,35
M00050,2.578690871438531,44
M00051,101452.45312828154,5
M00052,2.072099465694267,29
M00053,2.1480418304558717,29
M00055,1.1179274731363065,51
M00056,0.4922458174978527,76
M00057,0.3674968174683402,33
M00058,23.352027712866686,11
M00059,0.2324476450492486,41
M00065,10.580162940867703,32
M00066,11.310385025574918,20
M00067,212.90873861863935,10
M00068,62.964722323000686,16
M00069,1.212746696839071,38
M00070,2.8570753399320146,20
M00071,9.13323581667914,16
M00072,1.1631229359847426,38
M00073,2.9497564932076776,19
M00074,529.3488670839406,11
M00075,0.6643112058498988,32
M00076,4.462106820620449,22
M00077,5.6170954029621205,23
M00078,2.002913987689179,24
M00079,4.106168715414255,19
M00082,3.2495293464337047,21
M00083,14538.558943479358,11
M00085,8.093065874579985,19
M00086,16345.041885261617,7
M00087,0.5637965066229277,31
M00088,2.5249247321131727,25
M00089,0.6916331858519917,64
M00090,140.46607598643783,12
M00091,3341.675891034572,6
M00092,5.30085971730691,17
M00093,2752.893508743509,6
M00094,0.6779965652815948,36
M00095,3.164408581278439,18
M00096,15713.62138855319,6
M00098,0.16890421512550075,86
M00099,1.9584635450005343,46
M00100,1.0948860363124642,27
M00101,0.6938530917743239,55
M00102,0.6400322653702577,48
M00103,62.82743907479581,11
M00104,0.8582758335939671,42
M00106,9457.729076359963,14
M00107,246.6831300602166,17
M00108,1.3813815129968545,25
M00109,0.7011330763115142,32
M00110,11.412950644800933,13
M00113,21.321296385335614,13
