pathway_name,distance,n
M00001,28.424666719449217,15
M00002,7654.471569155728,8
M00003,2118.836605327598,12
M00004,604.6885032584207,12
M00005,16476.372193858133,5
M00006,46170.79801045108,3
M00007,16733.750386520805,6
M00009,10.01160412795725,18
M00010,6975.927763789788,9
M00011,12365.036366892522,9
M00012,12166.10611712706,2
M00013,22276.81111714068,1
M00014,4493.392966417702,6
M00019,17047.18320547856,2
M00027,4200.548517465435,6
M00029,17600.936627402003,5
M00034,9507.4888202525,7
M00035,49.13175143547058,9
M00036,5035.149671420279,5
M00037,18645.22975548789,1
M00038,39.06913647136552,9
M00042,11815.018189791885,3
M00043,145697.63264616224,3
M00044,13944.805817340082,4
M00045,17119.56524119687,2
M00046,8944.607252554886,5
M00047,10201.29074711529,12
M00048,272.4875772310324,10
M00049,11502.615595893814,8
M00050,15062.020872323164,5
M00051,108545.55936189916,1
M00052,14166.985056185013,8
M00053,13341.191873681057,14
M00055,8969.517566317005,7
M00056,33.45537480266065,18
M00057,8572.940924729026,4
M00058,19181.650669118422,5
M00059,148.51691035732395,14
M00065,72.47683064289612,11
M00066,115948.06826197862,2
M00068,84709.50167792478,2
M00069,15353.693993560657,2
M00072,151429.5351178377,4
M00075,16757.266719094103,1
M00076,27831.954770295477,9
M00077,9802.2885952272,7
M00078,9.711639487592635,12
M00079,24154.111664953685,1
M00086,10081.84586082546,4
M00088,20234.197820654994,1
M00089,1508.8582668570186,9
M00090,58187.63249746877,9
M00092,8102.659676942457,6
M00094,171585.6530316853,2
M00095,17390.142330450028,2
M00098,512.2695117803703,9
M00099,7270.84208666223,9
M00100,7002.038967059362,4
M00101,24547.450229360555,6
M00102,24540.694878006634,6
M00104,17649.767908678914,3
M00107,88862.96453009921,1
M00108,142447.52532511659,1
M00109,55041.652632525685,2
M00110,80643.72450941207,1
M00115,5456.444431782457,4
M00118,84748.81521409302,1
M00119,16796.65987382535,2
M00120,7530.716069743037,6
M00121,8852.857619506272,6
M00122,12741.835583845112,2
M00126,54993.46638249944,12
M00129,23317.425284473124,4
M00130,6.277941355204302,15
M00131,23871.75753383366,3
M00132,12788.752114357987,2
M00134,15114.930972523796,5
M00142,5.66396216209669,12
M00146,13.237902639226059,10
M00148,2908.3142958279486,6
M00152,11152.609489223954,4
M00154,5.382588017826557,17
M00158,91974.5951811989,6
M00160,5937.4602959475105,8
M00165,53757.833063372185,11
M00169,118343.11398014135,1
M00170,4087.8034696261034,6
M00171,4482.494175801785,6
M00172,119421.58388304219,1
M00173,8889.253261396121,7
M00308,16180.647781416648,2
M00338,113084.60327802035,1
M00344,12466.549938120968,5
M00345,28122.860105470645,6
M00346,16284.034025828356,2
M00366,147834.72691319723,3
M00367,17931.504565459287,5
M00368,17516.44143113495,1
M00373,8976.1378918074,4
M00415,90.01654946453723,17
M00532,17610.76887389824,2
M00549,17698.789507754478,2
M00552,16412.173824344878,2
M00554,16589.19929678954,2
M00570,18029.462579913496,2
M00609,17219.261242962984,1
M00632,16708.660988202442,2
M00740,17862.318853619992,8
M00741,8663.653879329151,4
M00841,4260.237022151884,7
M00842,7424.866438432858,7
M00843,6550.956058295363,7
M00844,17438.031576325255,5
M00845,17787.07376642208,5
M00846,17229.22695617863,2
M00849,17705.03062169505,2
M00854,7512.763363205368,4
M00855,22225.601404642726,3
M00868,480.7889199930746,10
M00872,13.56663407080252,14
M00873,17529.051524948347,1
M00874,15195.336719210034,1
M00892,14346.57480472808,4
M00897,18135.984070060844,2
M00898,18459.847985263725,2
M00909,13887.831515191156,4
M00911,16536.85663727288,2
M00912,22.680541939383115,10
M00926,9233.995001220894,6
M00936,21912.46796201711,1
M00938,12615.466786475683,14
M00953,17348.482241616868,1
M00955,16747.715844401035,2
M00958,1171.5953753406213,10
M00959,13927.153460972571,6
M00970,19629.248370800062,10
M00972,14054.135454851186,12
M00974,23469.22693998361,2
M00976,96473.0525567318,1
M00977,106427.90781307683,1
M00978,17420.81110441255,5
M00981,22104.115960905176,1
M00983,5099.224375496322,6
M00988,6610.132016232129,7
M00995,12475.348870901242,4
M01001,16118.591750181025,2
M01002,12794.844428412354,4
M01003,7115.316989695586,3
M01015,17830.49127571489,2
hsa00010,2.1077187945453137,24
hsa00020,6.304383843128099,21
hsa00030,14.55093069959149,25
hsa00040,3.3695995565424717,13
hsa00051,365.5000832632143,18
hsa00052,34.91346002737598,11
hsa00053,23256.91699566078,4
hsa00061,13073.371855617826,9
hsa00062,14.325951082824325,23
hsa00071,108.88616000779275,12
hsa00100,113.77114355504396,13
hsa00120,17847.701605705923,3
hsa00130,14292.330087315762,4
hsa00140,4.247510717482808,18
hsa00190,0.47149842400392444,64
hsa00220,13.599872318206058,17
hsa00230,4.033258254675205,58
hsa00232,43491.91685257138,5
hsa00240,25.419442287205555,30
hsa00250,1.091508013571528,18
hsa00260,63.35434540794343,22
hsa00270,2.839292752191328,18
hsa00280,32.16889880832489,10
hsa00290,18036.740187588734,2
hsa00310,0.9233559283947903,51
hsa00330,20.29700224773718,26
hsa00340,6349.146863250892,3
hsa00350,0.6922398422781328,15
hsa00360,7.080112063645812,12
hsa00380,3.138681457126805,13
hsa00400,3874.165240651784,6
hsa00410,2.453587664837782,13
hsa00430,104.91824389223476,8
hsa00440,6934.080592738825,7
hsa00450,29.435676371616555,16
hsa00470,7065.689722730857,3
hsa00480,1.2427979085790273,36
hsa00500,2.3016684591167373,17
hsa00510,79.79235051736734,18
hsa00511,94.05836302885085,10
hsa00512,13.410241596994421,23
hsa00513,355.29936116281124,15
hsa00514,1.7182760222244324,31
hsa00515,11.228332430234772,15
hsa00520,64.83334626842486,15
hsa00524,17236.826614302598,2
hsa00531,0.5575023810149292,19
hsa00532,5474.391455721763,11
hsa00533,90742.22615491049,1
hsa00534,19.724457550561173,18
hsa00541,14757.97655932285,5
hsa00561,2.267069489432796,23
hsa00562,0.6928399280209926,46
hsa00563,72.88510292560292,11
hsa00564,0.40550493214507044,80
hsa00565,0.6743034872759867,61
hsa00590,0.9718282688161153,67
hsa00591,0.7671349146406916,49
hsa00592,1.3308617983857318,42
hsa00600,1.5704095563131912,25
hsa00601,7579.946009503818,7
hsa00603,14515.0573137918,4
hsa00604,9221.915948651653,5
hsa00620,31.440052477964898,21
hsa00630,3.7475609458200685,14
hsa00640,199.58991408440642,14
hsa00650,4493.985256519673,6
hsa00670,24.266319714577303,14
hsa00730,6.8874017552506235,16
hsa00740,99.97711146368496,10
hsa00750,19048.893896357476,2
hsa00760,4.636128786659521,18
hsa00770,35.664536939042826,13
hsa00785,16536.079122006406,3
hsa00790,63.961053105774845,13
hsa00830,0.9890207562232106,21
hsa00860,2.77661496719496,25
hsa00900,10.88785238376231,17
hsa00910,42107.941776054286,5
hsa00920,150895.6873737437,3
hsa00970,0.508088410610829,49
hsa00980,0.9065568020987766,23
hsa00982,0.8669701334561553,21
hsa00983,1.7844928343265274,29
hsa01040,90.13189273869418,18
hsa01100,0.08680676675871744,493
hsa01200,2.270661219214743,48
hsa01210,9.254518503369665,17
hsa01212,3.1906540022070975,35
hsa01230,1.189998266391997,37
hsa01232,4.554434438517037,33
hsa01240,1.3100101790124834,44
hsa01250,281.5889403748942,8
hsa01521,0.38316652907670756,98
hsa01522,0.42552776866293934,113
hsa01523,4.122885567561071,22
hsa01524,1.4335285175852845,50
hsa02010,0.54099929425641,47
hsa03008,0.4065735659134606,65
hsa03010,0.7564261308459123,25
hsa03013,0.4452011899374705,48
hsa03015,2.7637966201543342,47
hsa03018,0.5547553541511568,34
hsa03020,22.10116717533665,15
hsa03022,2.4931334172710224,198
hsa03030,5.239690776054477,21
hsa03040,0.26376042565300156,62
hsa03050,39.980424551294895,17
hsa03060,7.20608358384284,11
hsa03082,0.2515447045061804,72
hsa03083,0.9526725614249449,50
hsa03250,0.2565771887812212,59
hsa03260,10560.840663688585,7
hsa03264,7421.509631697219,7
hsa03265,19.956016967208154,22
hsa03266,1386.408865914829,19
hsa03267,59622.56926143758,3
hsa03271,5219.588947703685,6
hsa03272,0.9759761169654246,23
hsa03273,6.102013571736328,30
hsa03320,0.5934064332879607,36
hsa03410,2.317315551644525,27
hsa03420,5.773777073016271,22
hsa03430,15.702465704727677,16
hsa03440,0.780394981448215,46
hsa03450,64.13476189422121,11
hsa03460,0.4410891276362014,65
hsa04010,0.11065642719355896,202
hsa04012,0.3490903986498521,87
hsa04014,0.298831272156502,161
hsa04015,0.19695029266645597,176
hsa04020,0.10363483953245167,171
hsa04022,1.5465367945915378,248
hsa04024,0.23586667998416674,143
hsa04060,0.3360650247363435,81
hsa04061,1.4260556714280657,20
hsa04062,0.25831747906972324,127
hsa04064,0.6774349682222404,55
hsa04066,0.9473182307553969,48
hsa04068,0.2796117700682343,100
hsa04070,0.8219809912918615,47
hsa04071,0.2771762118526897,107
hsa04072,0.44049737678790973,143
hsa04080,0.16322413956473547,144
hsa04081,0.2053051880274484,109
hsa04082,0.2580858745694843,95
hsa04110,0.2784833157385341,103
hsa04114,0.625381578503861,63
hsa04115,0.794031241437046,40
hsa04120,0.5784575593141402,85
hsa04122,138911.9380832323,6
hsa04130,60512.70538185563,10
