pathway_name,distance,n
M00001,0.089409897550472,3025
M00002,0.07105024867813722,1407
M00003,0.11404334207108227,1571
M00004,0.08350527497191068,877
M00005,0.28483122897331453,846
M00006,0.10707764258762015,269
M00007,0.15674493338628248,528
M00008,0.3404203447129589,156
M00009,0.1976738008173312,3183
M00010,0.3625468751506594,1354
M00011,0.12001601607371029,1929
M00012,0.4283789384227704,1214
M00013,0.12438189673875723,1131
M00014,0.062303956297176964,2743
M00015,0.12666089670399003,810
M00017,0.19568981294314403,669
M00019,0.1208071747581725,762
M00020,0.16707613571365132,551
M00027,0.09197953812076903,1104
M00028,0.352836524895954,226
M00029,0.11587059891561668,1314
M00032,0.10437252671148596,2098
M00034,0.21204915482034647,3019
M00035,0.108718967600645,2701
M00036,0.08722653068839639,2407
M00037,0.21532171056083915,1884
M00038,0.15109766670537483,1229
M00042,0.13860843953797308,1388
M00043,0.24909433381813634,156
M00044,0.06072325720883288,1335
M00045,0.23668614528285561,758
M00046,0.0912147292649366,385
M00047,0.030260845991372912,1797
M00048,0.1728144095745536,1481
M00049,0.13190861047405678,3063
M00050,0.30954304579034797,2927
M00051,0.08232959995329761,819
M00052,0.08849204293550388,2454
M00053,0.06398062447391903,2826
M00055,0.0649739275731333,1762
M00056,0.01674712035630512,3460
M00057,0.1158046817182581,1162
M00058,0.029953091541529794,1104
M00059,0.12262493264714963,2759
M00065,0.050911433408621073,1965
M00066,0.11948661998625225,875
M00067,0.1583130836676727,490
M00068,0.16117467798677898,1264
M00069,0.05689562198422566,1413
M00070,0.19504755077629815,900
M00071,0.07961863198334683,602
M00072,0.03900572800633394,1958
M00073,0.030353683789339836,1493
M00074,0.046780115064505225,1292
M00075,0.05745699697244829,2173
M00076,0.05964116415854985,1616
M00077,0.0730213577880076,1793
M00078,0.10962960020516059,1873
M00079,0.10176676786758175,995
M00082,0.06585302229300809,1274
M00083,0.12331109592230662,971
M00085,0.06888319564516536,1129
M00086,0.13621827301074654,926
M00087,0.08365352167434227,1622
M00088,0.06733272169963565,1215
M00089,0.04631645853461052,3871
M00090,0.05861239234425434,888
M00091,0.2037292314668226,428
M00092,0.05640608855896187,984
M00093,0.09341870615144979,553
M00094,0.134086492721774,2280
M00095,0.036246513307070224,1487
M00096,0.4923612242452154,192
M00098,0.1564325571206149,4745
M00099,0.09462185794039517,2830
M00100,0.04569912349702231,1207
M00101,0.10975411253931962,2854
M00102,0.12548018890511825,2292
M00103,0.22922461261843738,551
M00104,0.08056982509184842,2280
M00106,0.09113464725661946,738
M00107,0.2430475181334743,845
M00108,0.0910642394831983,855
M00109,0.05158447550616072,1403
M00110,0.14158957006176562,771
M00113,0.12935977747024638,681
M00114,0.29085608235322435,597
M00115,0.09047230446983767,1650
M00118,0.12905747548223157,425
M00119,0.13768069793532714,762
M00120,0.1004727204623826,1894
M00121,0.1341995579359324,1443
M00122,0.19446589491032978,922
M00124,0.11149798794521648,346
M00126,0.3080165111519,1636
M00128,0.05173157201970788,951
M00129,0.07949604206854566,2277
M00130,0.040380018742358144,3369
M00131,0.303747462233247,814
M00132,0.05998204585114606,890
M00133,0.3462478012333808,554
M00134,0.27013138925469715,302
M00135,0.11749389178123024,798
M00140,0.06407973800156189,523
M00141,0.1150502862605714,807
M00142,23.112153430760422,11
M00143,0.12114404162104668,499
M00146,0.04604093731576722,1582
M00147,0.2228891742420807,643
M00148,0.4305678426062975,552
M00151,0.07445781346213202,430
M00152,0.0557899063438069,1281
M00154,0.13935093519869093,1678
M00158,0.12203046309095898,1763
M00160,0.11327580028387421,1910
M00165,0.11005246045106837,1374
M00168,0.49777743471101177,275
M00169,0.2641701123387907,502
M00170,0.1725928092473308,949
M00171,0.27288152149718997,1682
M00172,0.30075734721795727,502
M00173,0.2360491167713089,770
M00307,0.060003173374838,1638
M00308,0.306700421918658,425
M00338,0.23933148078118444,473
M00344,0.06573979388397773,545
M00345,0.1989415892569771,531
M00346,0.17193355449019443,1132
M00357,0.1234307747461631,394
M00364,0.29787059271083977,192
M00365,0.3864607768639247,192
M00366,0.2720550396647446,587
M00367,0.26526068710470163,683
M00368,0.3774435543854122,1096
M00373,0.24338061520965276,1087
M00374,0.12101758288678084,479
M00375,0.10931611092570354,648
M00376,0.14569291237977558,649
M00415,0.03180370517907243,2356
M00532,0.10672641298845678,1806
