pathway_name,distance,n
M00001,49263.31864735963,3
M00002,51604.59422081104,2
M00003,49079.56542688572,1
M00004,203715.05360389157,1
M00006,188580.9097340585,1
M00008,203353.47724800874,1
M00009,4112.486053727978,4
M00011,4059.600022829854,4
M00012,170208.9483131815,1
M00013,17917.123062483202,1
M00014,17091.063100275405,2
M00017,10494.630835976126,2
M00019,25775.49665494087,1
M00032,12859.105942671114,3
M00034,9771.868021081491,3
M00035,8269.448450451202,3
M00036,4479.225367676432,4
M00037,123940.44468644496,1
M00042,22239.02700008757,2
M00046,21655.05358723261,1
M00047,105.01477580285452,11
M00048,16994.83863239851,1
M00049,8213.987609455498,4
M00050,16132.294209949121,4
M00051,19762.402493455364,1
M00052,15204.895131062423,4
M00053,8.502231891171611,14
M00056,28120.428491883005,2
M00059,22915.677523170696,3
M00065,99832.675853232,1
M00066,82145.97047721603,1
M00067,23721.85537315718,1
M00069,14508.390677535039,1
M00071,113872.64180443816,1
M00072,63407.695441749325,1
M00073,125140.09579420199,1
M00075,47807.549952179375,1
M00082,12537.249718940979,2
M00083,24137.38842715604,1
M00085,31857.73243092072,1
M00087,11414.792819709159,2
M00088,147075.62068637053,1
M00089,25080.88022502627,4
M00095,142221.7024821813,1
M00098,109.15498147360671,7
M00101,16599.485246617947,1
M00104,25090.365988940954,1
M00113,21886.59361294592,1
M00114,145389.00973556296,1
M00118,125150.70126528606,1
M00119,26575.3992946185,1
M00120,14656.637454302025,3
M00121,13064.510146848932,2
M00122,163596.21673667684,2
M00126,133962.20070096303,3
M00129,17683.99439225347,2
M00130,11694.163819912437,3
M00131,114280.97020509436,1
M00134,199376.28512303418,1
M00142,17184.206483663962,3
M00146,12807.672413685743,2
M00151,51383.348972955326,2
M00152,20779.311583127488,4
M00154,144.1289219864428,7
M00160,17214.660318936043,1
M00165,45502.17132375171,1
M00168,171355.36193525014,1
M00171,149600.3452263041,1
M00307,145184.0264996866,1
M00308,59446.77119157887,1
M00346,20143.655136722387,1
M00368,10619.671148432735,2
M00415,8579.888747518078,2
M00532,11341.567393719562,3
M00549,46406.31818431606,2
M00552,59115.66660965572,1
M00554,47110.344298537595,1
M00570,26536.968475737678,1
M00572,23289.805099320867,1
M00609,10613.429608283881,2
M00621,173358.9085834062,1
M00632,46582.1236957234,1
M00761,17399.872246318857,1
M00793,16153.396014742375,1
M00841,181458.54644600043,1
M00842,137656.97052908703,1
M00843,152001.2948330404,1
M00849,141255.33735852136,1
M00855,20207.431851234793,1
M00861,20369.66175761276,2
M00862,24800.302277416064,1
M00868,15641.22886641534,1
M00872,32486.503374881308,3
M00873,28664.234605976748,1
M00874,13092.94570157669,2
M00880,14138.159393015834,1
M00881,185581.09314153477,1
M00882,146338.0267622375,1
M00883,115034.90006625051,1
M00884,184946.83643893755,1
M00885,33316.58532848023,1
M00886,33071.7604059554,1
M00892,17948.312098393668,1
M00909,16242.390098164806,1
M00917,16611.084582060856,1
M00938,9.235469048532854,14
M00953,10417.429999508191,2
M00955,19388.85908914788,1
M00957,13461.3692788213,2
M00958,6368.615435903181,2
M00959,6289.1175959652755,2
M00970,81.6605632004832,12
M00972,110.61027393411743,11
M00976,27377.389021195777,1
M00977,28430.648705805408,1
M00988,153516.5547915638,1
M00995,16390.093305039078,1
M00997,16908.26260211712,1
M00999,17434.75823260629,1
M01000,140809.57334793755,1
M01002,15867.450927044294,1
M01003,43885.80850764138,1
M01006,153641.1215622235,1
M01015,160095.56897487288,1
M01022,16254.330241307229,1
M01023,16251.20077697565,1
M01024,16313.256335847282,1
M01025,16126.97187539788,1
M01026,15828.184236973077,1
M01027,16339.068708828008,1
hsa00010,149.46490407495742,7
hsa00020,4145.520130713027,4
hsa00030,220828.58068692533,1
hsa00040,11313.19812918236,4
hsa00051,3.0176108011416094,13
hsa00052,38600.21860078799,4
hsa00053,17053.945272022487,2
hsa00061,12807.952259480082,2
hsa00062,5991.428538285041,4
hsa00071,541.1004931105276,7
hsa00100,9295.565978329196,3
hsa00120,25680.226932277186,1
hsa00130,107122.12454874015,1
hsa00140,30274.79034881374,4
hsa00190,0.4099764870292712,19
hsa00220,17417.736326895898,1
hsa00230,0.3042856368764379,29
hsa00232,47363.16842596893,2
hsa00240,1.1852270386130666,23
hsa00250,33.106829832665134,6
hsa00260,4.746706203660254,14
hsa00270,16.951398868902302,10
hsa00280,13.632137254929118,7
hsa00290,27192.063175855063,1
hsa00310,4.757759107251523,16
hsa00330,103.13021785679942,13
hsa00340,17925.27208968973,1
hsa00350,219.8176244563033,8
hsa00360,17339.024420343005,1
hsa00380,5169.06349555815,5
hsa00410,11618.909205508076,3
hsa00430,16674.172766814314,1
hsa00450,122.37770071227737,6
hsa00480,2.1228110967574945,18
hsa00500,7.874387038945103,6
hsa00510,290.7550309792218,5
hsa00511,10306.335554778563,3
hsa00512,26719.32306244934,2
hsa00513,53111.65378215189,3
hsa00514,15.324363923889468,6
hsa00515,31597.723923418398,3
hsa00520,4088.219338271063,4
hsa00524,46321.788410245834,2
hsa00533,128372.25903860937,1
hsa00534,22048.189950376396,3
hsa00541,391.1901350252631,5
hsa00561,2.501683561289258,12
hsa00562,1.1310022424858721,19
hsa00563,26399.901220854055,2
hsa00564,1.0357133835437051,15
hsa00565,906.3725952992643,7
hsa00590,2.11600246616211,20
hsa00591,34495.03190202607,4
hsa00592,6216.518018485131,4
hsa00600,2157.9880886893293,5
hsa00601,86789.30953793802,2
hsa00604,15022.950358018456,1
hsa00620,5397.613529971103,6
hsa00630,10811.587225260415,3
hsa00640,12970.280584937742,2
hsa00650,12113.357955996345,2
hsa00670,110.58725466465363,6
hsa00730,1836.3330324672565,5
hsa00740,22792.031620527123,1
hsa00750,175315.69062253728,1
hsa00760,6.195193254259713,9
hsa00770,696.2673601681048,6
hsa00780,21218.764290265626,1
hsa00785,4114.760868646607,4
hsa00790,84.26534023643245,7
hsa00830,24.225620135657554,9
hsa00860,10.567790276547607,7
hsa00900,112311.92176359044,2
hsa00920,21458.46206947924,1
hsa00970,0.7345391087302793,13
hsa00980,19.800240825744265,10
hsa00982,102.25582142505517,8
hsa00983,0.9560223353417198,20
hsa01040,7402.616455442216,4
hsa01100,0.04352767638231291,148
hsa01200,6.034002503625218,10
hsa01210,9.921524952948996,7
hsa01212,6.565955997572347,8
hsa01230,8.488275677080956,7
hsa01232,0.8417442960826447,25
hsa01240,0.3963836051172713,21
hsa01250,183.4855612447705,6
hsa01521,0.39428707266023844,25
hsa01522,0.29574273490256026,36
hsa01523,4802.450043522219,4
hsa01524,0.33266615484429374,29
hsa02010,23.843999014506174,6
hsa03008,9.752983319543128,13
