pathway_name,distance,n
M00001,8173.960446063224,2
M00009,16352.565147643129,1
M00010,16415.033608688198,1
M00015,55638.509396568086,1
M00019,16400.58195671125,1
M00029,23766.711782045862,1
M00032,26195.635506409693,1
M00034,10980.458300620887,2
M00035,10369.909353522724,2
M00036,16454.722888484597,1
M00037,27268.592529252426,1
M00038,22525.37081770613,1
M00045,26899.523402239083,1
M00049,23713.892713818303,5
M00050,7426.902165238963,6
M00052,23046.74615328275,5
M00053,12247.431902111914,6
M00056,176368.4560891934,5
M00057,14131.189563926659,1
M00058,13054.594624106863,2
M00059,178906.36196568192,1
M00071,59175.11159579518,1
M00072,13656.795321735617,2
M00075,15556.226712395532,1
M00076,6868.768542671442,3
M00077,7051.1861304213735,3
M00082,15970.837432267363,1
M00087,104955.66820462876,1
M00088,16859.256836518525,1
M00089,12797.054118805192,2
M00094,23421.867390166914,5
M00095,17365.678781354887,1
M00098,7915.1083487305195,3
M00099,17536.120763701485,6
M00100,9142.250483533911,2
M00101,16024.702094109733,1
M00104,7660.5901835726645,2
M00106,7078.893825794405,2
M00109,124794.39864929709,5
M00115,25140.808242120795,1
M00118,17313.287129314045,1
M00119,17069.027496036826,1
M00120,195732.42052096137,1
M00126,180651.54100506013,1
M00128,14233.720393623737,1
M00130,2187.7678127159884,9
M00131,16983.279044221537,1
M00133,27192.798282544136,1
M00135,19464.222360490854,3
M00170,17013.469869301643,1
M00171,11146.797575776392,2
M00338,28639.954818885468,1
M00344,192783.04278068195,1
M00346,28864.893957462336,1
M00368,11525.67397573645,2
M00373,16694.978918005236,1
M00374,18120.116162092105,1
M00375,17304.55067503506,1
M00415,75099.08817124189,1
M00532,10858.574698182341,2
M00549,8427.682788534912,6
M00570,11054.239546433668,2
M00609,11736.92450824023,2
M00632,149876.1159821261,1
M00793,16348.907117681825,1
M00844,26717.45061629367,1
M00845,27422.569566491245,1
M00849,17097.511243899036,1
M00854,26735.55912563207,5
M00855,138362.64932058725,1
M00872,164825.26392208575,5
M00873,15737.050147733402,1
M00874,14993.845363210396,1
M00880,15850.19686203124,1
M00885,15399.129882642384,1
M00886,15506.59717397778,1
M00892,18981.350410367675,2
M00909,20264.69838001318,2
M00911,26322.10161735038,1
M00912,22260.409120824283,1
M00913,28057.282551040018,2
M00938,11718.566555677817,6
M00953,11671.930194105833,2
M00957,17357.608457736475,1
M00958,21985.620300771923,1
M00959,22113.490978986203,1
M00972,53199.27533719122,1
M00978,26567.749571237455,1
M00983,105952.5831880213,1
M00987,16289.180063631651,1
M00995,22025.36240144085,2
M01002,22156.856585590347,2
M01015,8383.253939183302,2
M01022,16284.159026779136,1
M01023,16022.193641553607,1
M01024,16532.774538598118,1
M01025,16056.800656297848,1
M01026,16446.444243678267,1
M01027,16276.258476273892,1
hsa00010,37.402488420577974,11
hsa00020,16264.427027429945,1
hsa00030,21525.064833687673,1
hsa00040,24888.90823710226,5
hsa00051,4909.337951430434,4
hsa00052,4502.308340532978,8
hsa00053,27832.309916697763,6
hsa00061,16539.782914917687,1
hsa00062,18712.055089348098,2
hsa00071,5105.294134538292,4
hsa00100,13879.593492622602,2
hsa00120,7383.699021024272,2
hsa00130,15394.471359505615,1
hsa00140,94.16684294189149,10
hsa00220,10800.098999481113,2
hsa00230,12.0101739365569,11
hsa00240,6576.272172115831,7
hsa00250,40.455354422340385,5
hsa00260,7477.6696042766225,7
hsa00270,10799.936032560614,2
hsa00280,6611.315446657749,4
hsa00290,11372.392326675817,2
hsa00310,3494.958003378228,5
hsa00330,73.45008474643848,6
hsa00340,7603.437050082642,4
hsa00350,8039.729271834907,7
hsa00360,7511.070005586037,7
hsa00380,69.09460749829162,11
hsa00400,10456.89120243257,2
hsa00410,8967.25742908218,7
hsa00430,5137.373573805626,3
hsa00450,10061.892676589903,2
hsa00480,6589.286481712347,4
hsa00500,4999.615407662064,8
hsa00510,10676.627665672868,7
hsa00512,168839.18017192764,5
hsa00513,12647.483492355314,6
hsa00514,15072.02102902577,6
hsa00515,14411.787749064872,6
hsa00520,4690.304153759646,8
hsa00524,8458.574383891559,2
hsa00531,6863.386776780917,3
hsa00532,11854.337076286136,2
hsa00533,3747.8646847166447,3
hsa00534,13368.171879390697,2
hsa00541,15098.719792564345,6
hsa00561,3.595834002003145,9
hsa00562,1.0402130330362949,15
hsa00563,7824.987910296644,3
hsa00564,4212.328549758176,9
hsa00565,8935.634060915896,3
hsa00590,147.7850218786003,10
hsa00591,33819.156006062134,6
hsa00592,143870.8387217583,1
hsa00600,4700.371784981482,8
hsa00601,6021.219657983076,3
hsa00603,89829.34520711811,1
hsa00604,15292.17362040942,5
hsa00620,4416.533249847789,4
hsa00630,11046.457154575368,2
hsa00640,16426.076238403195,1
hsa00650,13428.252815684851,2
hsa00670,11179.814396335938,2
hsa00730,39462.566375090304,2
hsa00740,21086.616729396057,3
hsa00760,10123.659672787258,2
hsa00770,6700.690606726663,5
hsa00785,10831.470709402283,2
hsa00790,9320.980258997819,7
hsa00830,3090.8870112884642,13
hsa00900,16610.772814353084,1
hsa00920,17396.343221785526,1
hsa00970,8440.104008948905,8
hsa00980,99584.31031820535,9
hsa00982,35.13176793329768,9
hsa00983,6048.952288476734,8
hsa01040,7927.175086581752,2
hsa01100,0.11229754887233384,59
hsa01200,5844.997198044996,4
hsa01210,10510.299332653496,2
hsa01212,8520.10802644756,2
