pathway_name,distance,n
M00001,0.17552407420096738,7
M00002,0.32902233535125747,5
M00003,0.33596587773868786,6
M00004,0.4647692388435698,2
M00005,0.293775053146232,6
M00007,0.46246198875447625,2
M00009,0.19312866842191334,7
M00010,0.18932634531730688,2
M00011,0.2544259207349448,6
M00012,0.45318903008230116,2
M00013,0.47979535261540135,1
M00014,0.1342220000026007,8
M00015,0.11387867688328554,3
M00017,0.5853371428747473,1
M00019,0.3370522255398445,3
M00020,0.3408354357378611,2
M00027,0.386197652371546,4
M00028,0.5013923706096058,1
M00029,0.2899148642986294,5
M00032,0.4104054781707984,3
M00034,0.3723433266169823,9
M00035,0.31006267582161323,8
M00036,0.4200209979663579,6
M00037,0.40069428518430716,2
M00038,0.09976656118138767,6
M00042,0.31155162386077867,5
M00043,0.36017879449315404,3
M00044,0.2999608992231541,3
M00045,0.4433718196667328,4
M00046,0.43158564399317706,2
M00047,0.20447243454874864,6
M00048,0.4325603686029313,4
M00049,0.1759413272439876,8
M00050,0.26580720214192205,6
M00051,0.15549649626329673,3
M00052,0.23346676957221346,5
M00053,0.08419810978896197,9
M00055,0.3424327185314745,2
M00056,0.36233028059673855,7
M00057,0.3204942019524711,2
M00058,0.40070909562539664,1
M00059,0.1896121424655422,5
M00065,0.29832924683125966,3
M00066,0.33823529239715916,1
M00067,0.2822788567558285,1
M00068,0.18865958533361166,2
M00069,0.2646563144376663,5
M00070,0.14658730980266746,2
M00072,0.37055208703349113,6
M00073,0.1425590368334239,3
M00074,0.15450618388787668,3
M00075,0.3359479078687367,1
M00076,0.1808699893718646,9
M00077,0.3375125269478838,6
M00078,0.0776604249342925,9
M00079,0.13160375732826862,4
M00082,0.3718763688908334,2
M00083,0.2765705923796487,3
M00085,0.19559853740497074,2
M00086,0.07440112491483696,4
M00087,0.49621669065713814,1
M00088,0.38847788928071314,2
M00089,0.20735313713825207,9
M00090,0.08475392731926475,4
M00091,0.4832273924631362,1
M00092,0.15137218371862743,3
M00093,0.37713859191236065,2
M00094,0.1238588150946728,6
M00095,0.37186849405151456,5
M00096,0.3667399356795487,2
M00098,0.2343457965312165,11
M00099,0.11888837335589207,6
M00100,0.2403183244216349,3
M00101,0.2505494569167616,6
M00102,0.3324424117358368,3
M00103,0.32783468451785475,1
M00104,0.06844720123912235,4
M00106,0.2838957752421699,1
M00107,0.28085605794995194,1
M00110,0.26808694379161707,1
M00113,0.5055266144978748,1
M00115,0.3559198311904081,6
M00118,0.450166037460646,1
M00119,0.3370522255398445,3
M00120,0.42821182668561864,8
M00121,0.15824501904371935,10
M00122,0.4547653965955923,1
M00124,0.33698475484455115,1
M00126,0.35015152655287357,3
M00128,0.3117233617245871,4
M00129,0.12672633387282428,7
M00130,0.08683432576401656,7
M00131,0.3237696346155013,2
M00132,0.3076097246024415,3
M00133,0.3347698292445651,3
M00134,0.34702818375358874,3
M00135,0.3514799681646132,1
M00140,0.5060261871029981,1
M00141,0.1468414819455296,3
M00143,0.41733659701092124,1
M00146,0.2724385657931529,1
M00147,0.14731851075296631,3
M00148,0.27707276985377105,3
M00151,0.42042988743754545,1
M00152,0.3865024664054985,1
M00154,0.3136949272612995,8
M00158,0.33422763930173083,5
M00160,0.2583668071799328,6
M00165,0.3293070517312918,6
M00168,0.41938066798533974,1
M00169,0.4249547008788631,1
M00170,0.30363853975984234,3
M00171,0.37844874457290756,3
M00172,0.4249547008788631,1
M00173,0.4233347026272378,1
M00307,0.4026332657858176,1
M00308,0.37078316236172865,4
M00338,0.5281790404900205,1
M00344,0.3768211617389359,1
M00345,0.21571125030941327,2
M00346,0.3999033911512251,4
M00357,0.5322567167045621,1
M00364,0.3667399356795487,2
M00365,0.3667399356795487,2
M00366,0.34226897178998644,4
M00367,0.36396023928358684,4
M00368,0.5533739205249959,4
M00373,0.42102158196354844,2
M00374,0.49293775469725315,1
M00375,0.47513335401423834,1
M00376,0.38122021965415287,2
M00415,0.16064554850238139,11
M00532,0.3526705673800779,3
M00546,0.313161581420177,3
M00549,0.14127539229238587,4
M00552,0.37078316236172865,4
M00554,0.4126354494495577,1
M00555,0.4611286545919691,1
M00570,0.35149732764330366,4
M00572,0.26820499051666263,3
M00609,0.5533739205249959,4
M00621,0.45161189107592653,2
M00632,0.38847425787489376,3
M00740,0.5921338791606131,2
M00741,0.4333024861160966,2
M00793,0.34440423017523203,3
