pathway_name,distance,n
M00001,0.47443569756150344,1
M00009,0.04813831735248475,14
M00010,0.14963778236624137,8
M00011,0.15453366664421578,6
M00012,0.3018731670107698,1
M00014,0.4500811438832275,4
M00015,0.43465130493886006,2
M00017,0.3592595341184485,1
M00032,0.24213001154015534,2
M00034,0.15362516221524736,2
M00035,0.2374509874125233,50
M00036,0.19709691603378304,3
M00037,0.4103526848330407,1
M00043,0.35264907506948084,1
M00047,0.1031870674532454,5
M00048,0.3164834977466583,1
M00049,0.13176834546341532,4
M00050,0.19425717501712,3
M00052,0.14850709783182,3
M00053,0.08788334016279688,9
M00055,0.41619152948554,3
M00056,0.3376350315987045,6
M00059,0.47297647771534623,1
M00065,0.21268026870984233,2
M00066,0.4460270943993822,1
M00067,0.4595672088226349,1
M00068,0.48722300707157057,1
M00069,0.4235914486065971,1
M00072,0.38663998558310997,2
M00073,0.39098314160340963,2
M00074,0.36921562714926964,2
M00075,0.3949693867637906,2
M00076,0.32253496465713805,1
M00077,0.32293811285307567,1
M00078,0.3560510681209786,1
M00085,0.4249103491057906,1
M00089,0.4509727015356406,2
M00094,0.3808862083720596,4
M00098,0.4219168022220123,2
M00099,0.2580590433120882,5
M00100,0.23897906534991462,2
M00101,0.32411632414725616,3
M00102,0.3333347843692539,3
M00104,0.1720896413511623,2
M00106,0.19556213262729732,2
M00107,0.4305852006890906,2
M00108,0.5341293142848886,1
M00109,0.1970360308136172,3
M00110,0.4514280975559493,1
M00114,0.3928867846693365,1
M00115,0.1399148546811971,2
M00118,0.3144078357154428,2
M00120,0.4425639914300421,3
M00122,0.4785211705909579,1
M00126,0.4919360104009159,1
M00129,0.4431428284410217,4
M00130,0.10522758071493821,9
M00135,0.40650982987708156,1
M00146,0.15472377104182536,2
M00147,0.7709948231660253,1
M00148,0.36482896340779064,1
M00151,0.38080301895785573,2
M00152,0.2549478478008019,5
M00158,0.1712641343063272,4
M00160,0.4408840613529916,5
M00170,0.31496035261751043,1
M00171,0.33128986481505457,1
M00173,0.12351806008080281,10
M00307,0.24579636204644303,2
M00376,0.15934696272403745,2
M00415,0.1941908074029149,4
M00532,0.23559575078578499,2
M00546,0.44892020014929435,1
M00549,0.4590139712816671,2
M00621,0.22727239428546317,2
M00740,0.17182023777053354,8
M00872,0.2727631548478315,4
M00873,0.4779657162897131,1
M00874,0.416167843279101,1
M00892,0.0866997943980646,3
M00909,0.08597039301974813,3
M00911,0.36134034923117025,1
M00912,0.1295530302957158,2
M00917,0.34502381143724387,3
M00938,0.08238144390884453,9
M00955,0.5182454139115612,1
M00958,0.4095849180925466,3
M00959,0.398648953665005,2
M00970,0.10496582988557986,5
M00972,0.12844112143346129,7
M00974,0.3839363844273286,1
M00976,0.456911222010161,3
M00977,0.4280996296236983,3
M00982,0.1423458424650925,2
M00983,0.44586469589511163,1
M00987,0.295996920468853,1
M00995,0.09812758766439914,3
M01000,0.3928867846693365,1
M01002,0.09812758766439914,3
M01015,0.42264040369589245,2
hsa00010,0.08807359364537956,8
hsa00020,0.04792461605227883,14
hsa00040,0.4474260589586461,4
hsa00051,0.18784289856344585,10
hsa00052,0.21441098993455854,6
hsa00053,0.16840572155011427,6
hsa00061,0.45940708781544726,2
hsa00062,0.13697460967443398,6
hsa00071,0.3351002328062193,1
hsa00100,0.09004243614629663,6
hsa00120,0.18061452053417973,2
hsa00130,0.41246888997321574,1
hsa00140,0.14951077168462393,12
hsa00190,0.1732930635039291,14
hsa00220,0.20821680642114243,2
hsa00230,0.1347901547837736,23
hsa00232,0.5134933525347323,1
hsa00240,0.05378057945776254,13
hsa00250,0.12347393281205636,7
hsa00260,0.13088900443560933,10
hsa00270,0.22072203599411372,57
hsa00280,0.061916808007382224,6
hsa00310,0.2526056122248337,13
hsa00330,0.14211875396923296,10
hsa00350,0.08470068890156573,7
hsa00360,0.19037228052019486,3
hsa00380,0.30204129744805225,5
hsa00400,0.3167996985871399,1
hsa00410,0.44127256849416835,2
hsa00430,0.14316597819527196,2
hsa00450,0.29155031887901056,3
hsa00480,0.06004281012902351,24
hsa00500,0.16572284170461546,7
hsa00510,0.0887302466421941,9
hsa00511,0.3531650325314481,1
hsa00512,0.3449915031532015,6
hsa00513,0.15455405130066366,8
hsa00514,0.16235241425523075,7
hsa00515,0.28771261217770083,5
hsa00520,0.1874073543058951,7
hsa00524,0.4595282121803068,1
hsa00531,0.16475342076908706,2
hsa00532,0.5911897196162079,1
hsa00533,0.4017698947204632,2
hsa00534,0.44303548654630553,1
hsa00541,0.1530729620256853,3
hsa00561,0.07005174121045704,6
hsa00562,0.09220758869785045,16
hsa00563,0.09342555533760721,7
hsa00564,0.07958959727218415,12
hsa00565,0.1352889281352486,5
hsa00590,0.12554390815191616,12
hsa00591,0.12075909457738433,5
hsa00592,0.19381772310918904,3
hsa00600,0.16728016353642522,10
hsa00601,0.515727303682673,3
hsa00603,0.455603453941933,2
hsa00604,0.08185578672243535,5
hsa00620,0.1788245105355041,6
hsa00630,0.2533558855751084,3
hsa00640,0.23974128775542572,4
hsa00670,0.21781425489587972,4
hsa00730,0.1578915808253641,2
hsa00740,0.37233991332679245,1
hsa00750,0.4844494393806275,1
hsa00760,0.07344040657715326,5
hsa00770,0.3841589847354609,4
hsa00780,0.37578626885467975,2
hsa00785,0.23799344651797047,3
hsa00790,0.13978180045336897,4
hsa00830,0.1434581940721945,12
hsa00860,0.30624295114429273,6
hsa00900,0.24374004471940397,3
hsa00920,0.33191864158722184,2
hsa00970,0.13670620532376543,10
hsa00980,0.20859975606053152,10
hsa00982,0.2466967674380983,8
hsa00983,0.18692006179047826,12
hsa01040,0.28978966538078343,5
