pathway_name,distance,n
M00001,0.10776957078860515,743
M00002,0.06362339767970118,402
M00003,0.02052552287736633,421
M00004,0.02892163769386119,212
M00005,0.13599150667368876,155
M00006,0.023719852188367606,85
M00007,0.03661652467234932,110
M00008,0.05546718778504809,40
M00009,0.09727276881130947,960
M00010,0.10396885564877816,370
M00011,0.09031773319747033,632
M00012,0.22689532985676533,294
M00013,0.07264403505740202,382
M00014,0.05273720025244268,741
M00015,0.10217134218864692,207
M00017,0.1883921543931022,200
M00019,0.10603306973781054,327
M00020,0.0238255226082139,168
M00027,0.07689173641531334,337
M00028,0.1974999345437158,65
M00029,0.058358720472554,354
M00032,0.1077785964645824,625
M00034,0.15127768361270144,826
M00035,0.10684192373247652,728
M00036,0.12633028101890592,813
M00037,0.19910610271958074,549
M00038,0.14868137067526535,289
M00042,0.024041590104089492,354
M00043,0.08405541090863561,66
M00044,0.023620516295856365,336
M00045,0.167874505873132,241
M00046,0.042132485600048314,151
M00047,0.06533428653558701,1128
M00048,0.06839677022608287,414
M00049,0.11230270233857692,721
M00050,0.1682098462455523,683
M00051,0.07447768648466152,185
M00052,0.06913819712635846,530
M00053,0.03737562598548468,1164
M00055,0.038474091878247366,430
M00056,0.017707055893991575,870
M00057,0.018131926461404047,362
M00058,0.03553371555211997,303
M00059,0.01885249101288695,592
M00065,0.08265171952663787,488
M00066,0.10703008443166745,209
M00067,0.15058086347866703,163
M00068,0.190861090927947,267
M00069,0.016211144648425536,368
M00070,0.11975987346059266,253
M00071,0.06459762790614079,208
M00072,0.044869138643303795,494
M00073,0.11014733406700293,384
M00074,0.12541472544117316,311
M00075,0.0441755066237078,583
M00076,0.031536342397270704,316
M00077,0.02620962244827636,371
M00078,0.045364325482814334,462
M00079,0.0438090434073593,251
M00082,0.01869352792355068,410
M00083,0.02454639657489256,203
M00085,0.06973286066679653,386
M00086,0.0549391491290262,147
M00087,0.08078994941270805,495
M00088,0.01585313168362053,418
M00089,0.07780297969335762,994
M00090,0.04313740496499433,260
M00091,0.05712712792413438,148
M00092,0.08024824029741404,317
M00093,0.03343401937051169,152
M00094,0.09265859395493238,567
M00095,0.025515823487637042,446
M00096,0.17785216117345448,69
M00098,0.06374437739067053,1159
M00099,0.09120830590382845,716
M00100,0.02599295816447489,351
M00101,0.09940609426642623,813
M00102,0.10962986802706295,670
M00103,0.05153782142386941,167
M00104,0.043135088054274615,729
M00106,0.06982781497491722,235
M00107,0.025450963740577655,195
M00108,0.07916634255237927,252
M00109,0.03132169434538741,354
M00110,0.03827543961478333,189
M00113,0.08217627363488483,239
M00114,0.12999011889898507,218
M00115,0.09524653092540805,403
M00118,0.04157716295755753,152
M00119,0.10603306973781054,327
M00120,0.1278785748302388,663
M00121,0.10266894254016387,412
M00122,0.06906520819220711,322
M00124,0.041157177440857916,121
M00126,0.1253763813520372,395
M00128,0.05596693558977154,309
M00129,0.04112409244306456,587
M00130,0.023148577189720836,870
M00131,0.10575905311657845,174
M00132,0.09191922337616235,243
M00133,0.16319585271375306,185
M00134,0.07090602301244266,84
M00135,0.08511185622948236,223
M00140,0.052752438112267305,178
M00141,0.0688757780712073,279
M00143,0.22118194798161608,123
M00146,0.07267967396698574,431
M00147,0.21757593650525398,207
M00148,0.1547995998798778,202
M00151,0.11863113773356618,146
M00152,0.0242983783431423,415
M00154,0.08850534573240645,458
M00158,0.09781601100301014,457
M00160,0.050572791308208645,455
M00165,0.03691611729024926,341
M00168,0.26249443226460495,48
M00169,0.11893478224610173,107
M00170,0.0255126165794504,240
M00171,0.18476804002842906,466
M00172,0.11893478224610173,107
M00173,0.042812890373759044,277
M00307,0.0285678310178416,474
M00308,0.08163530489382377,81
M00338,0.18127629757307523,134
M00344,0.09037238748014115,212
M00345,0.18121647870103635,126
M00346,0.13330060213441844,378
M00357,0.06226790480848881,120
M00364,0.17785216117345448,69
M00365,0.17785216117345448,69
M00366,0.23496904291662438,175
M00367,0.21358355747968694,190
M00368,0.24365048612882273,367
M00373,0.024730661954771384,352
M00374,0.02599235090703403,180
M00375,0.02167232886076806,250
M00376,0.08369266427557992,239
M00415,0.03199683770781385,551
M00532,0.07770978488694696,498
M00546,0.05668327066942551,71
M00549,0.1631015965429018,484
M00552,0.08163530489382377,81
M00554,0.12312526878161542,147
M00555,0.22706437822721806,50
M00565,0.18055005143190228,17
M00570,0.10787641082294869,452
M00572,0.020852431659203474,200
M00580,0.14618094856913724,18
M00609,0.24365048612882273,367
M00621,0.10675823046775475,255
M00632,0.11442168589907846,197
M00740,0.023996722691920283,249
M00741,0.067258766084619,208
M00761,0.12132731683785525,30
M00793,0.12260961804558629,310
M00840,0.4130428834730828,64
M00841,0.05442429003743177,59
M00842,0.0260492571207993,102
M00843,0.037587288677150325,81
M00844,0.11281528641638244,283
M00845,0.18018977283479296,214
M00846,0.1466210475190311,146
M00849,0.027504800501681755,426
M00854,0.06258139934869895,394
M00855,0.05887002592328336,313
M00861,0.09890494361364077,326
M00862,0.0599724058680267,147
M00868,0.01945107320623406,425
M00872,0.030451239380493437,639
M00873,0.014647955144928435,603
M00874,0.03377045464646392,632
M00880,0.10994345283176264,192
M00881,0.16391707411037146,44
M00882,0.024252425945619938,110
M00883,0.08644241554177427,117
M00884,0.16391707411037146,44
M00885,0.04715075202590439,230
M00886,0.04715075202590439,230
M00892,0.16577963050459804,428
M00897,0.061707590071677414,45
M00898,0.061707590071677414,45
M00909,0.2050608364267127,322
M00911,0.17654806836090053,166
M00912,0.07205885974169592,489
M00913,0.3029270189338309,56
M00917,0.10417383792818297,383
M00926,0.05705210877340956,275
M00936,0.20734389553654092,59
M00938,0.032794067425294164,1190
M00953,0.24365048612882273,367
M00955,0.057724648042807726,311
M00957,0.06647134910419952,276
M00958,0.04624424145174375,598
M00959,0.09887135307776143,467
M00968,0.23732118599516205,10
M00970,0.06370510181927377,670
M00972,0.09398283750417297,882
M00974,0.09125650973864426,283
M00975,0.04809706616851606,192
M00976,0.0586748920158037,435
M00977,0.06372800893833126,405
M00978,0.11264163511994345,291
M00981,0.20734389553654092,59
M00982,0.12762207043937618,103
M00983,0.03373049517514712,328
M00987,0.055876463703629226,98
M00988,0.037587288677150325,81
M00991,0.18281431152064695,135
M00992,0.18281431152064695,135
M00994,0.04192689724995916,73
M00995,0.3053623044151842,249
M00997,0.04391414471030275,48
M00999,0.12132731683785525,30
M01000,0.12999011889898507,218
M01001,0.1128852583258269,221
M01002,0.3053623044151842,249
