pathway_name,distance,n
M00001,0.06796044563531113,539
M00002,0.09615754514389863,248
M00003,0.0494238454219608,333
M00004,0.10033051479299702,110
M00005,0.1301586235625258,118
M00006,0.17588126596836845,47
M00007,0.07248483776601744,48
M00008,0.07323500791893066,25
M00009,0.1703342465182752,672
M00010,0.22153219214821712,313
M00011,0.1368830405106714,380
M00012,0.32032115236123704,243
M00013,0.0757223511677876,276
M00014,0.015844826360935763,503
M00015,0.10836819800788636,188
M00017,0.29846231990165895,131
M00019,0.11785641534469524,154
M00020,0.0823005631964934,105
M00027,0.16971319570870333,255
M00028,0.3706970499283316,27
M00029,0.044559588726908746,339
M00032,0.07564371593506844,449
M00034,0.13993528211176343,625
M00035,0.0954843612539554,565
M00036,0.1609813099052115,484
M00037,0.12467589780183885,419
M00038,0.14314772822161925,232
M00042,0.050298756259539903,264
M00043,0.20006142407188462,34
M00044,0.07196145911666538,241
M00045,0.05149493260093441,149
M00046,0.10952288291536875,39
M00047,0.21176816584475852,1177
M00048,0.10830216962098851,341
M00049,0.1207490515635479,663
M00050,0.1997841036712947,599
M00051,0.021425630728963602,176
M00052,0.10962777577383186,471
M00053,0.13797440966764335,1381
M00055,0.014419252091809807,404
M00056,0.02142651477000982,650
M00057,0.028149121061755756,225
M00058,0.02627221549925159,193
M00059,0.06256041807380183,496
M00065,0.03484696813242612,370
M00066,0.12085989729440025,163
M00067,0.17274437703388,90
M00068,0.19215558427409407,237
M00069,0.059334093585417524,262
M00070,0.116814465901639,187
M00071,0.16811526502656185,115
M00072,0.04464889043695744,341
M00073,0.05476694761493725,281
M00074,0.03283664720742913,248
M00075,0.039916913811119926,410
M00076,0.0672120711755326,292
M00077,0.04895158911988378,346
M00078,0.020686799135748005,355
M00079,0.1602805297529818,215
M00082,0.0749560913491143,310
M00083,0.037828083219094,185
M00085,0.04063065638203433,245
M00086,0.13024268922933674,168
M00087,0.0394166830113971,340
M00088,0.1239510330971588,262
M00089,0.08230914370682084,780
M00090,0.051521461606519436,195
M00091,0.10807229747448649,72
M00092,0.04330767942732779,188
M00093,0.07954547313380508,99
M00094,0.04947633287813101,420
M00095,0.10682423443288457,326
M00096,0.2336123719771441,55
M00098,0.048694900516118036,954
M00099,0.03176063848107956,524
M00100,0.02769020152902119,194
M00101,0.09773629890690207,583
M00102,0.1197023013405333,469
M00103,0.14005775595673692,90
M00104,0.0411270049191457,444
M00106,0.038627484373606115,152
M00107,0.06750443666399669,145
M00108,0.04285495263887291,232
M00109,0.04244392121570382,319
M00110,0.06320736268777322,157
M00113,0.0363171528045947,137
M00114,0.03279930881706564,95
