pathway_name,distance,n
M00001,0.17117802300933202,125
M00002,0.09844778122020462,70
M00003,0.12453597495370557,71
M00004,0.0729976350552922,47
M00005,0.24283057206954797,59
M00006,0.17763319345837567,19
M00007,0.13880808680696322,28
M00008,0.15115716046801558,19
M00009,0.08668979238150969,219
M00010,0.17653362325394809,89
M00011,0.0334434456984925,143
M00012,0.19933749000589351,78
M00013,0.10124101608721219,77
M00014,0.037783567361240965,164
M00015,0.10176217754675544,56
M00017,0.16605940258727192,38
M00019,0.10868629597611916,62
M00020,0.12174378395248371,34
M00027,0.1337977553710537,54
M00028,0.22754104132318692,8
M00029,0.06057585262672148,73
M00032,0.08266390874492999,149
M00034,0.0809274567114731,204
M00035,0.04691562274541794,155
M00036,0.0831672704963448,188
M00037,0.08297947852146882,100
M00038,0.1390465474858298,52
M00042,0.06840206500260705,77
M00043,0.12498060945123177,13
M00044,0.0654647404261536,63
M00045,0.09399557480551958,32
M00046,0.19245455848104387,23
M00047,0.06359920606035481,122
M00048,0.06626033019432853,77
M00049,0.10067591786088755,150
M00050,0.19275893563448995,138
M00051,0.10412432251524069,43
M00052,0.05761432777182956,109
M00053,0.04687416867152293,146
M00055,0.046833223419771045,119
M00056,0.12085999122014272,247
M00057,0.16758341981930297,69
M00058,0.07534656247515915,72
M00059,0.03549339659684335,181
M00065,0.03612647430067203,120
M00066,0.2887868597087172,49
M00067,0.3614194046836058,34
M00068,0.29860279938653106,69
M00069,0.0654063382826154,88
M00070,0.21114862083532773,52
M00071,0.19271272137080853,42
M00072,0.0520544813200517,84
M00073,0.03680235289139031,60
M00074,0.04866989801574678,49
M00075,0.09638474430100347,120
M00076,0.061386364507483755,97
M00077,0.04250698060970332,111
M00078,0.043388555122649525,115
M00079,0.060191728824006877,71
M00082,0.07785588234129567,79
M00083,0.08386798806916212,46
M00085,0.03170946356468095,92
M00086,0.039572297163577,65
M00087,0.031995516041261884,113
M00088,0.08023350832191947,84
M00089,0.08086642931838117,226
M00090,0.05913961365422991,41
M00091,0.15260530084477134,31
M00092,0.12090506542049186,77
M00093,0.18962493579663747,35
M00094,0.02697107754740414,132
M00095,0.0748713119194636,116
M00096,0.36614778346721516,21
M00098,0.05245564249413627,245
M00099,0.04276463716878173,171
M00100,0.045370385312880124,59
M00101,0.088067096828801,159
M00102,0.08845626940832647,139
M00103,0.1430517735251254,16
M00104,0.06456620643533542,145
M00106,0.15385135891233107,57
M00107,0.09512767024629513,43
M00108,0.07222216398586104,38
M00109,0.11170822173261435,68
M00110,0.20951947118023997,40
M00113,0.1066725092709161,36
M00114,0.10285600813031726,30
M00115,0.10683171321126099,91
M00118,0.10005815699211236,34
M00119,0.10868629597611916,62
M00120,0.10213616187175772,132
M00121,0.10972142031048221,65
M00122,0.06775739261151123,58
M00124,0.05912230749704186,32
M00126,0.1449593727731488,106
M00128,0.07191371597080172,70
M00129,0.07203510838099925,140
M00130,0.03153659805753603,182
M00131,0.0945031208229974,31
M00132,0.07138940966517265,51
M00133,0.12924667410730054,33
M00134,0.19284677172366543,12
M00135,0.10008715120873733,51
M00140,0.13601370136618973,48
M00141,0.0818546218072061,67
M00142,0.13655939854832586,8
M00143,0.1752663324966229,38
M00146,0.1525266853290183,86
M00147,0.3225811217827893,31
M00148,0.10081029435088172,31
M00151,0.29200234642932915,36
M00152,0.14652890664109133,76
M00154,0.05828539761870204,77
M00158,0.10492944023574935,119
M00160,0.12686144643007882,98
M00165,0.08944087501745572,58
M00168,0.2393807207265719,13
M00169,0.22368079095437482,26
M00170,0.07054103970541292,50
M00171,0.10587872946549456,85
M00172,0.22368079095437482,26
M00173,0.12163175723164497,32
M00307,0.08899098983138395,104
M00308,0.3180289335945621,17
M00338,0.18953145006069497,30
M00344,0.14006847303191455,26
M00345,0.16826409774865553,30
M00346,0.05189372173146799,78
M00357,0.04804425859123377,45
M00364,0.36614778346721516,21
M00365,0.36614778346721516,21
M00366,0.28063702906209703,52
M00367,0.2802909677165092,61
M00368,0.14302466900658897,55
M00373,0.07984410660581417,67
M00374,0.10014632863659936,30
M00375,0.12776542580074568,43
M00376,0.1770632051250658,34
M00415,0.0752044903359104,119
M00532,0.08513444284704685,119
M00546,0.0727819918358924,28
M00549,0.11323267448091244,75
M00552,0.3180289335945621,17
M00554,0.15863436655127297,37
M00555,0.46364086549317474,8
M00565,0.17253118129013797,6
M00570,0.12143260755321517,86
M00572,0.08652572546286112,46
M00609,0.14302466900658897,55
M00621,0.06934387818597623,67
M00632,0.09496902576120346,59
M00740,0.1773836403733347,39
M00741,0.08514519339959065,42
M00793,0.057654853912970205,54
M00840,0.29148717695134374,23
M00841,0.4430065040473703,8
M00842,0.2938049877800672,17
M00843,0.31421689035595307,17
M00844,0.09015836274233481,56
M00845,0.10929976602033742,42
M00846,0.11029260925380788,26
M00849,0.0885643812200371,112
M00854,0.06971607362385236,54
M00855,0.04632058519604975,72
M00861,0.11528540257371553,55
M00862,0.29318039454522543,28
M00868,0.07948804272741822,88
M00872,0.11082099554610624,137
M00873,0.0961471608704034,109
M00874,0.025991138809944105,112
M00880,0.1501332375231956,48
M00881,0.24179831311001976,14
M00882,0.08323448127814756,26
M00883,0.07806397490603452,26
M00884,0.24179831311001976,14
M00885,0.11624558088927782,42
M00886,0.11624558088927782,42
M00892,0.24939969610803675,87
M00897,0.18138873025400082,7
M00898,0.18138873025400082,7
M00909,0.308710593368852,74
M00911,0.09369355508079558,27
M00912,0.06353625412490017,101
M00913,0.2834627332195451,16
M00917,0.09470308766465378,86
M00926,0.08785071863798943,48
M00936,0.14696828480141064,12
M00938,0.04952233110393175,149
M00953,0.14302466900658897,55
M00955,0.07250676983006764,66
M00957,0.10643629833128175,46
M00958,0.09975206532501653,132
M00959,0.10837500407221193,100
M00968,0.2493197634850436,4
M00970,0.11488819060260899,39
M00972,0.07160134050810327,91
M00974,0.041063388493433835,89
M00975,0.11190420308220494,67
M00976,0.06193857389162775,74
M00977,0.07381867028118322,65
M00978,0.0936917112120309,56
M00981,0.14696828480141064,12
M00982,0.1448605800641497,12
M00983,0.08139403497630537,67
M00987,0.109069245982151,33
M00988,0.31421689035595307,17
M00991,0.1060775148704206,32
M00992,0.1060775148704206,32
M00994,0.12278946873648217,22
M00995,0.3781036144830417,58
M00997,0.5087040607260556,6
M01000,0.10285600813031726,30
M01001,0.08787761617433062,47
M01002,0.3781036144830417,58
M01003,0.061145209691105186,35
M01004,0.1265328117665053,9
M01006,0.07472271423603581,22
M01015,0.10155552093739714,54
M01016,0.07963724415626977,24
M01017,0.3344441161671918,2
M01018,0.3344441161671918,2
M01019,0.3344441161671918,2
M01020,0.3344441161671918,2
M01022,0.057654853912970205,54
M01023,0.057654853912970205,54
M01024,0.057654853912970205,54
M01025,0.057654853912970205,54
M01026,0.057654853912970205,54
M01027,0.057654853912970205,54
M01034,0.3344441161671918,2
hsa00010,0.08915764327943698,407
hsa00020,0.10181943168823518,283
hsa00030,0.07153589661717255,166
hsa00040,0.0697287527568351,242
hsa00051,0.06048283303852977,303
hsa00052,0.025522035091060498,279
hsa00053,0.06974010396513688,185
hsa00061,0.05709076277826193,191
hsa00062,0.03648208970223075,261
hsa00071,0.02876745982025914,317
hsa00100,0.06755420542710917,220
hsa00120,0.060297099050929934,162
hsa00130,0.06035322538610263,134
hsa00140,0.03672758249246674,334
hsa00190,0.023724739026427903,473
hsa00220,0.036224470165992076,215
hsa00230,0.012826238751403422,883
hsa00232,0.09550351238833446,73
hsa00240,0.03322957137894781,381
hsa00250,0.11324836158276352,360
hsa00260,0.04112187513924537,362
hsa00270,0.07216931951386113,447
hsa00280,0.045308029864423845,367
hsa00290,0.12143260755321517,86
hsa00310,0.06453770187566701,808
hsa00330,0.03368739811067945,387
hsa00340,0.12732438272645094,166
hsa00350,0.038188046092489256,312
hsa00360,0.03571493967107501,152
hsa00380,0.0327705820759796,350
hsa00400,0.04969505356773859,82
hsa00410,0.03954193214956205,304
hsa00430,0.07334368559096868,171
hsa00440,0.03621331429248699,48
hsa00450,0.11329269729736831,207
hsa00470,0.09937403961549279,46
hsa00480,0.07482000301949723,414
hsa00500,0.048631789171106075,257
hsa00510,0.03712329921932049,377
hsa00511,0.06112663739172227,137
hsa00512,0.09655662816359524,293
hsa00513,0.022638416380460415,308
hsa00514,0.045175758045216355,374
hsa00515,0.11449700323897331,227
hsa00520,0.0564258300385804,310
hsa00524,0.27767094060137515,30
hsa00531,0.01763157172020744,214
hsa00532,0.1050214117206375,184
hsa00533,0.09092208798299511,109
hsa00534,0.033598913000423995,257
hsa00541,0.07561530991367227,222
hsa00561,0.05626737567698295,564
hsa00562,0.015075947264915754,715
hsa00563,0.06288379239242357,259
hsa00564,0.0416764325926706,655
hsa00565,0.025322466279297733,353
hsa00590,0.044802032273129636,502
hsa00591,0.03404915582697279,212
hsa00592,0.039511102397524166,188
hsa00600,0.08343974345300874,370
hsa00601,0.13222059314333987,139
hsa00603,0.08849021591740441,130
hsa00604,0.14172276854814633,206
hsa00620,0.08011308665584557,312
hsa00630,0.047204103736345183,251
hsa00640,0.03162586415143823,297
hsa00650,0.0681721410885299,214
hsa00670,0.07611593717223451,284
hsa00730,0.08121023389936362,197
hsa00740,0.06849619617843392,91
hsa00750,0.05077505688135115,82
hsa00760,0.028690821637460652,318
hsa00770,0.08212589135912832,280
hsa00780,0.12359419188587048,55
hsa00785,0.06841936005923858,178
hsa00790,0.08863254262697465,273
hsa00830,0.030409946941186095,439
hsa00860,0.07439280375825567,321
hsa00900,0.11426530272696597,227
hsa00910,0.22214304577236382,91
hsa00920,0.08381883767758323,107
hsa00970,0.08787417227434,591
hsa00980,0.05530299717611715,321
hsa00982,0.04020578420411101,316
hsa00983,0.06667272184950931,453
hsa01040,0.10216538349450018,190
hsa01100,0.006565658963248015,6794
hsa01200,0.041825999010741466,702
hsa01210,0.13552795706593404,333
hsa01212,0.03757692528707367,444
hsa01230,0.11711631270185328,519
hsa01232,0.02130935667157925,502
hsa01240,0.1091193231824791,990
hsa01250,0.08370442839336521,366
hsa01320,0.109069245982151,33
hsa01521,0.04259767409483363,774
hsa01522,0.04478234566533739,1081
hsa01523,0.07219750299998161,313
hsa01524,0.01642432552912854,647
hsa02010,0.036915347194266486,703
hsa03008,0.024256892350378974,639
hsa03010,0.03296485779530003,551
hsa03013,0.01682519438402543,878
hsa03015,0.016110823869932178,721
hsa03018,0.014921242155665888,665
hsa03020,0.01748977235013946,250
hsa03022,0.053381376651202544,364
hsa03030,0.02709783855843454,277
hsa03040,0.06842164567325426,980
hsa03050,0.10291192182798498,307
hsa03060,0.05166268934250472,286
hsa03082,0.09942192468694684,1121
hsa03083,0.05619028880740301,784
hsa03250,0.024627673199286125,714
hsa03260,0.04010157411411576,101
hsa03264,0.04178266758436528,102
hsa03265,0.11702925647874819,173
hsa03266,0.09488547382781287,157
hsa03267,0.05133560142677723,48
hsa03271,0.2542014529285734,45
hsa03272,0.04193724092175403,334
hsa03273,0.019811290109724232,315
hsa03320,0.027100982545919923,598
hsa03410,0.025481145361785428,393
hsa03420,0.022745848039844464,414
hsa03430,0.029765693224713338,252
hsa03440,0.045215014312707524,456
hsa03450,0.08633430884231195,166
hsa03460,0.047301173570858904,608
hsa04010,0.011116271309876568,2239
hsa04012,0.0324375865757287,773
hsa04014,0.011929124338920963,1527
hsa04015,0.01501036447672337,1788
hsa04020,0.03517096857259369,2172
hsa04022,0.024148185970809876,1328
hsa04024,0.010365339133536908,1677
hsa04060,0.07047548532295668,1135
hsa04061,0.04601418643629503,460
hsa04062,0.02367392989205048,1145
hsa04064,0.010085208518144295,751
hsa04066,0.04926159020274976,1204
hsa04068,0.02572392128637516,965
hsa04070,0.028745874301393602,775
hsa04071,0.05400122113552288,911
hsa04072,0.007019398890286025,1319
hsa04080,0.013233987839503074,1682
hsa04081,0.04116345601163855,1332
hsa04082,0.039196551116227635,1241
hsa04110,0.04554911315285646,1291
hsa04114,0.03592799330965402,846
hsa04115,0.051707788702863126,635
hsa04120,0.043486406525770065,1502
hsa04122,0.0768929170233764,84
hsa04130,0.15050704109959606,138
hsa04136,0.06845240568430215,369
hsa04137,0.010078360769026892,888
hsa04140,0.024478910453175722,1414
hsa04141,0.04554674251932819,1085
hsa04142,0.022276913726223698,1025
hsa04144,0.015565769744327869,1649
hsa04145,0.03822309598663666,1008
hsa04146,0.038055092579382076,640
hsa04148,0.012156190887446737,1583
hsa04150,0.02156235600444329,1104
hsa04151,0.023999233529043287,2769
hsa04152,0.013807399847300974,999
hsa04210,0.02795116845373188,1068
hsa04211,0.04548819180620435,920
hsa04213,0.04563400989690753,664
hsa04215,0.02603492947030815,350
hsa04216,0.08035123900535142,456
hsa04217,0.049540905481201825,1009
hsa04218,0.04341289522354579,1453
hsa04260,0.03662410879700955,620
hsa04261,0.03599412967743575,1109
hsa04270,0.050638327853898546,1048
hsa04310,0.020603703458443937,1183
hsa04330,0.02875174937668629,718
hsa04340,0.044176291878019136,599
hsa04350,0.01638635979915414,839
hsa04360,0.028375771573826026,1466
hsa04370,0.04122631058428673,507
hsa04371,0.0152440743595717,1218
hsa04380,0.02945404700319615,952
hsa04382,0.015916547234556735,1421
hsa04390,0.009929520259564374,952
hsa04392,0.043755707589267896,325
hsa04510,0.021869265992064176,1978
hsa04512,0.03557039661164859,1244
hsa04514,0.04109315226038641,1074
hsa04520,0.013069333098773343,993
hsa04530,0.07335593657569055,1557
hsa04540,0.05697930302915218,774
hsa04550,0.05372043071685916,1056
hsa04610,0.01606848490088211,758
hsa04611,0.05510781439253611,1097
hsa04612,0.034686572599599695,445
hsa04613,0.04104615577864253,999
hsa04614,0.07743035710081841,252
hsa04620,0.013000125917628624,671
hsa04621,0.04142132026726733,1366
hsa04622,0.013856559652027995,535
hsa04623,0.06315021489090684,526
hsa04625,0.03499899750895429,861
hsa04630,0.11221379123399071,1031
hsa04640,0.050191732687138516,669
hsa04650,0.03020614113385014,806
hsa04657,0.03049806010412188,693
hsa04658,0.024448244098260803,708
hsa04659,0.07093296954432357,852
hsa04660,0.03689854107336837,926
hsa04662,0.020027126133684518,685
hsa04664,0.018905580412943684,520
hsa04666,0.05113190067858824,718
hsa04668,0.011032815417871199,893
hsa04670,0.02734498922445995,907
hsa04672,0.03027361430242207,342
hsa04710,0.049756464653865504,301
hsa04713,0.050162228245263604,944
hsa04714,0.037499667585269736,1500
hsa04720,0.023984349399473446,611
hsa04721,0.07178558095670372,524
hsa04722,0.04093052713137535,807
hsa04723,0.03567231249628408,972
hsa04724,0.09552976784539116,1308
hsa04725,0.06673547197227267,938
hsa04726,0.04255442865085593,816
hsa04727,0.09361973986332903,760
hsa04728,0.06540938072891773,936
hsa04730,0.06309828981188793,596
hsa04740,0.008350413842978192,1552
hsa04742,0.0126698353622439,661
hsa04744,0.056870363959512754,257
hsa04750,0.08426371460301078,801
hsa04810,0.016076734368059703,1746
hsa04814,0.009953050033170428,1982
hsa04820,0.007364717159297585,2758
hsa04910,0.007927638634071622,1055
hsa04911,0.038050283064399684,861
hsa04912,0.03826858224106624,857
hsa04913,0.04527147608114735,462
hsa04914,0.009790353125604171,744
hsa04915,0.01868315081381066,1084
hsa04916,0.0499832691572913,725
hsa04917,0.02241062794948735,553
hsa04918,0.04390066734229595,940
hsa04919,0.029062246326218538,1385
hsa04920,0.05168120269306147,710
hsa04921,0.05787438426189621,1348
hsa04922,0.041295745419408295,784
hsa04923,0.05065031289978957,600
hsa04924,0.07334722836550421,623
hsa04925,0.06047842492479241,968
hsa04926,0.014824118361730107,1038
hsa04927,0.0534579392882211,769
hsa04928,0.02512426779425679,1112
hsa04929,0.06307049245511372,666
hsa04930,0.024169195662253676,598
hsa04931,0.02445352820434653,960
hsa04932,0.016168371105889503,737
hsa04933,0.014451199087779323,790
hsa04934,0.014802227560748317,1389
hsa04935,0.00937910300287752,1114
hsa04936,0.018096442222224278,952
hsa04940,0.03351559104534841,230
hsa04950,0.009794797262198666,231
hsa04960,0.023076523677351628,401
hsa04961,0.03567209853103626,450
hsa04962,0.046148464009100276,397
hsa04964,0.07300650229348746,223
hsa04966,0.10354140433206759,153
hsa04970,0.08621983088929343,1001
hsa04971,0.05440444966892979,686
hsa04972,0.07091334263375723,892
hsa04973,0.027066642559154915,411
hsa04974,0.026332223052297602,1030
hsa04975,0.03385575349623457,524
hsa04976,0.010756147918081771,741
hsa04977,0.032596033886553674,444
hsa04978,0.10697293771174281,782
hsa04979,0.0387091897838761,610
hsa04980,0.016532016941300333,310
hsa04981,0.04433996611914565,321
hsa05010,0.007493780912544074,2232
hsa05012,0.04881101580486685,1421
hsa05014,0.028938220197280148,2487
hsa05016,0.0076065006322198585,2112
hsa05017,0.014620969956765338,1378
hsa05020,0.0394955927085375,1572
hsa05022,0.007056320874161831,3072
hsa05030,0.017751806333894945,452
hsa05031,0.055925865955154294,563
hsa05032,0.061445854672934064,630
hsa05033,0.03746816368067487,400
hsa05034,0.05996998692825248,757
hsa05100,0.06402682008892074,958
hsa05110,0.044810497920897245,393
hsa05120,0.031921389979651105,549
hsa05130,0.06050648800125699,1538
hsa05131,0.04296125450167092,1914
hsa05132,0.03101292150908433,1754
hsa05133,0.035727038293561976,478
hsa05134,0.016308327297665924,432
hsa05135,0.02741588163046057,1042
hsa05140,0.027982675640536782,484
hsa05142,0.03534998221022702,629
hsa05143,0.03362272800217422,311
hsa05144,0.021604378176471352,491
hsa05145,0.023537907907837465,830
hsa05146,0.03721180363814152,860
hsa05150,0.02926856121119149,585
hsa05152,0.013956419272865216,949
hsa05160,0.026033770635944208,958
hsa05161,0.032426640778029044,1337
hsa05162,0.014347538217682554,871
hsa05163,0.011451462274181017,1748
hsa05164,0.0120425612892646,1183
hsa05165,0.008719214930710645,2782
hsa05166,0.011052459970059263,1751
hsa05167,0.017177251993753022,1492
hsa05168,0.03446287463860666,1229
hsa05169,0.013937109004010352,1332
hsa05170,0.020183286640944834,1492
hsa05171,0.02706311470735292,1287
hsa05200,0.009117902161647665,3829
hsa05202,0.04342868796173921,1422
hsa05203,0.04164262394471263,1233
hsa05204,0.07752097299168995,314
hsa05205,0.01751909150144992,1944
hsa05206,0.030240461126274914,1852
hsa05207,0.009138487597252396,1449
hsa05208,0.0342475581145497,1138
hsa05210,0.016161135349893975,874
hsa05211,0.06924259806491956,1001
hsa05212,0.04317778771916708,821
hsa05213,0.018635574759188988,624
hsa05214,0.015940541471375292,769
hsa05215,0.07102302178054816,1145
hsa05216,0.023035056121186493,393
hsa05217,0.013575782702298731,484
hsa05218,0.018568673582159485,661
hsa05219,0.03760819967314102,435
hsa05220,0.0240186617271574,697
hsa05221,0.0362925628311463,743
hsa05222,0.015358849525021964,1047
hsa05223,0.011489006453674799,755
hsa05224,0.04334761623239891,1277
hsa05225,0.06252389519591023,1414
hsa05226,0.0359643871374933,1178
hsa05230,0.007079937429120085,825
hsa05231,0.013442187437875733,880
hsa05235,0.048582436563157236,860
hsa05310,0.04605281373805827,186
hsa05320,0.04521855655655874,306
hsa05321,0.035325926061216685,367
hsa05322,0.03428245404509185,524
hsa05323,0.028560537719602506,514
hsa05330,0.021911583508177377,218
hsa05332,0.03495780372889501,223
hsa05340,0.023550601153917286,270
hsa05410,0.02282169827023047,1221
hsa05412,0.035266599872972565,919
hsa05414,0.027904624589504087,1328
hsa05415,0.011558977729242715,1177
hsa05416,0.017900087332960075,570
hsa05417,0.018825855097426066,1424
hsa05418,0.014437827695304275,969
