pathway_name,distance,n
M00001,0.06856282986707184,326
M00002,0.055222389812611704,176
M00003,0.04991855671911921,177
M00004,0.06679818974421552,96
M00005,0.4830484897450923,90
M00006,0.06325236502367276,43
M00007,0.18680356460320702,44
M00008,0.11640159375846426,20
M00009,0.1696857736718286,332
M00010,0.19679002261013204,107
M00011,0.16313830826349057,236
M00012,0.23218047176640086,114
M00013,0.05422755751713695,124
M00014,0.06429447732739162,310
M00015,0.17018815576779797,71
M00017,0.27143201686634566,49
M00019,0.28038114972312134,75
M00020,0.14995530974934068,64
M00027,0.1755938159980562,114
M00028,0.2769594173643347,18
M00029,0.17494022960816863,126
M00032,0.07817547202165037,230
M00034,0.2021688549008402,323
M00035,0.147844020564834,284
M00036,0.17015484813609638,247
M00037,0.21122647823301613,197
M00038,0.13694788289745713,114
M00042,0.19653228464310335,145
M00043,0.1024440105908783,28
M00044,0.09455639605326076,169
M00045,0.12836183102497328,80
M00046,0.09006099872237393,40
M00047,0.053513836063920045,174
M00048,0.1472185693228849,168
M00049,0.09145097341667242,289
M00050,0.1937204845434245,291
M00051,0.07224107996970579,104
M00052,0.07664859922195952,222
M00053,0.0352411506693359,290
M00055,0.14486290774377927,162
M00056,0.02814239737293355,300
M00057,0.04546994373589679,145
M00058,0.03619763336673039,108
M00059,0.07455929031776842,279
M00065,0.031389826738077595,191
M00066,0.02907801829380906,98
M00067,0.038736122555947904,52
M00068,0.12544892563851034,123
M00069,0.13709309837563657,164
M00070,0.04462318725074735,78
M00071,0.05003321278113522,61
M00072,0.09839031744719293,225
M00073,0.058034803142901464,174
M00074,0.05844893537297015,159
M00075,0.12594471732959941,272
M00076,0.09788597985371374,153
M00077,0.1212465490072655,166
M00078,0.07059520307698836,229
M00079,0.09147295948846057,111
M00082,0.03172305046907308,168
M00083,0.08024423301258497,121
M00085,0.1720063175571637,138
M00086,0.12728325862493473,88
M00087,0.08010800607239238,172
M00088,0.22802475279827025,116
M00089,0.10690869269380746,433
M00090,0.10649924009832167,112
M00091,0.19190371035165352,37
M00092,0.1805671730889445,118
M00093,0.20082657537276666,82
M00094,0.1377280654259912,269
M00095,0.15593292937320602,141
M00096,0.12497989198143142,23
M00098,0.11535999083680883,469
M00099,0.1188742905432579,321
M00100,0.04133342364333349,146
M00101,0.15356410661906558,267
M00102,0.16437410044993223,210
M00103,0.052728689678536236,38
M00104,0.0373262923253302,290
M00106,0.029295692222210092,106
M00107,0.04776390428447433,95
M00108,0.09101825605021162,83
M00109,0.03266681375380308,146
M00110,0.06913091535516046,91
M00113,0.11131066769909619,73
M00114,0.15799492611406576,51
M00115,0.2000855701728442,189
M00118,0.12303330037405047,41
M00119,0.28038114972312134,75
M00120,0.18211529907517301,228
M00121,0.1761996416698851,164
M00122,0.18008642434575084,80
M00124,0.2133495126526693,22
M00126,0.1509971304601586,164
M00128,0.058181668646680514,126
M00129,0.07504201244123183,254
M00130,0.037217739032140866,378
M00131,0.04602261539299125,90
M00132,0.049368678206276065,77
M00133,0.3001155284690953,76
M00134,0.1339039344655124,52
M00135,0.1395186000419458,76
M00140,0.22472266232913646,44
M00141,0.20593143958377358,87
M00142,0.05392251866378601,20
M00143,0.15874188355743596,55
M00146,0.047492059655349896,217
M00147,0.2741812007957493,89
M00148,0.2779599554576439,65
M00151,0.056372297969150574,59
M00152,0.05622326995536427,148
M00154,0.14673145293071016,161
M00158,0.04347670987504859,198
M00160,0.14428260531367518,160
M00165,0.11306973576874838,130
M00168,0.16609182482055557,39
M00169,0.22154237565774682,53
M00170,0.10854763491291575,115
M00171,0.18632717981337543,203
M00172,0.22154237565774682,53
M00173,0.12384161757081047,88
M00307,0.05848402274556308,176
M00308,0.15546637751922004,33
M00338,0.24024922374666313,43
M00344,0.06488601653945515,51
M00345,0.2265917813644747,59
M00346,0.21745096566864877,124
M00357,0.13534050380262924,41
M00364,0.12497989198143142,23
M00365,0.12497989198143142,23
M00366,0.15266186756155134,88
M00367,0.14094598532512956,101
M00368,0.3565112644949735,106
M00373,0.1520202675429162,102
M00374,0.11324919387500154,52
M00375,0.1197646531398348,62
M00376,0.10467259614495666,80
