pathway_name,distance,n
M00001,0.24559756602204597,3
M00003,0.5946047704928812,1
M00005,0.39376277545937866,2
M00009,0.18221532992048295,4
M00010,0.3879140272341046,3
M00011,0.5865506305383722,1
M00012,0.18911985897669273,2
M00013,0.3931837560915364,3
M00014,0.23219520247411798,2
M00015,0.2117988517634759,2
M00019,0.3952767068856684,1
M00020,0.16427542384703606,2
M00027,0.41605773352382935,2
M00029,0.18060841518654472,3
M00032,0.18018662702856159,7
M00034,0.2659077649135148,3
M00035,0.2622963384292691,5
M00036,0.44769108002015434,5
M00037,0.19987364220191542,3
M00038,0.2194175342448138,4
M00042,0.17314328941293694,2
M00044,0.16757161555013755,2
M00045,0.3020475924073009,3
M00047,0.41071874459334884,2
M00048,0.5799685693228851,1
M00049,0.32505660121614405,1
M00050,0.2074964810304046,2
M00051,0.4634432037260409,4
M00052,0.345676267193513,1
M00053,0.28981575256621667,3
M00055,0.3441286186970894,1
M00056,0.3498045203703437,2
M00059,0.08671124186044829,4
M00065,0.3870364269118975,1
M00068,0.4219633369133639,1
M00069,0.3814401480679797,1
M00072,0.17703809604972076,3
M00073,0.11451339834893175,3
M00074,0.10535768652375029,3
M00075,0.3736441875905622,1
M00076,0.1647813292051004,2
M00077,0.16499850109886194,2
M00078,0.14874240127386387,3
M00079,0.1678713206767236,2
M00082,0.424509658925885,4
M00083,0.16129014344190715,2
M00085,0.5476793944802407,1
M00086,0.5096871336737809,1
M00087,0.40995218105049874,3
M00088,0.5361967958090231,1
M00089,0.2101309149160299,4
M00093,0.5197496522958441,1
M00094,0.23372526062159915,3
M00095,0.5266346837591711,1
M00098,0.10806555591533609,6
M00099,0.2247337621958553,3
M00100,0.14001313924436123,2
M00101,0.19004709981634493,6
M00102,0.4301187813009963,4
M00104,0.16515721243149678,3
M00106,0.1548411250704893,2
M00107,0.35142229819950677,2
M00108,0.15882692600508158,2
M00109,0.19020557021608095,2
M00110,0.1525472081813419,2
M00115,0.24133238951126687,3
M00119,0.3952767068856684,1
M00120,0.49991434213737407,2
M00121,0.5134024388726822,1
M00128,0.1522913228363005,2
M00129,0.5284175398673923,1
M00130,0.1747748205678827,3
M00131,0.3653999528783239,1
M00132,0.13208483468155247,2
M00133,0.4453697657572311,2
M00134,0.5241590350606354,1
M00141,0.3192583144720434,1
M00142,0.530778800922342,1
M00143,0.5589505430229386,1
M00146,0.34284885020587214,1
M00151,0.4459388300412589,1
M00152,0.16005606691869845,2
M00154,0.08024067936654582,5
M00158,0.34102640840873244,2
M00160,0.5101159386470083,3
M00168,0.611688413034264,1
M00169,0.607142329415913,1
M00170,0.4745680430761812,1
M00171,0.48046696475961204,2
M00172,0.607142329415913,1
M00173,0.15640597968843564,3
M00307,0.2683145281228236,2
M00338,0.4738407100303493,1
M00344,0.36818702970631456,1
M00346,0.4740285940932577,1
M00357,0.33661933706201896,1
M00366,0.4606172553311874,2
M00367,0.20529738149266075,3
M00368,0.5178843783997084,1
M00373,0.5694886219732962,1
M00376,0.5289188778154706,1
M00415,0.4099516631366349,2
M00532,0.45880759764663315,2
M00546,0.17467837175170103,2
M00549,0.23312093862809266,3
M00570,0.38023884039245776,2
M00572,0.15441789368684283,2
M00609,0.5178843783997084,1
M00621,0.5996910255236091,1
M00632,0.4207482165113233,2
M00740,0.3586155842111157,2
M00741,0.58117180956288,1
M00842,0.5006346808968949,1
M00843,0.521888942077065,1
M00844,0.49314767806874155,2
M00845,0.5168094911446518,2
M00849,0.5241106493058366,1
M00854,0.4340238945288078,1
M00855,0.3001874301888698,1
M00861,0.572096221636177,1
M00862,0.5155458063853594,1
M00868,0.17774164623761718,2
M00872,0.4292590857740783,3
M00873,0.18250806328585628,2
M00874,0.27696485724404196,5
M00880,0.3299263725064172,1
M00885,0.5351182733040938,1
M00886,0.5351182733040938,1
M00911,0.428263356528128,1
M00912,0.13891979314707992,5
M00917,0.1762466359087668,2
M00926,0.5367947558322334,1
M00936,0.7104443260075447,1
M00938,0.28487093913693484,3
M00953,0.5178843783997084,1
M00955,0.3612067332256695,1
M00957,0.32284350108409565,5
M00958,0.18847264237117967,3
M00959,0.19925046609635963,3
M00970,0.11105485492460723,3
M00972,0.1295955419544588,4
M00974,0.22906612904258813,2
M00976,0.16209195082746364,2
M00977,0.17930740674551152,3
M00978,0.4974409289837936,2
M00981,0.7104443260075447,1
M00982,0.5843651406182513,1
M00983,0.3659877226885327,1
M00987,0.30215934052100196,1
M00988,0.521888942077065,1
M00994,0.316863206773964,1
M00997,0.6287040607260554,1
M01015,0.2238373958124071,3
hsa00010,0.18486105740812006,8
hsa00020,0.10574183181240944,6
hsa00030,0.23816689509871605,2
hsa00040,0.2482289468861217,5
hsa00051,0.07612675452064971,8
hsa00052,0.19532909828622486,8
hsa00053,0.20623725770317283,2
hsa00061,0.16640592471087373,6
hsa00062,0.41986650259346453,3
hsa00071,0.1439806929263779,9
hsa00100,0.18804122112421875,7
hsa00120,0.12993601710542912,4
hsa00130,0.1812173831605762,3
hsa00140,0.06111473041588741,8
hsa00190,0.07294732212660683,11
hsa00220,0.12576584278794417,7
hsa00230,0.059068336644640416,11
hsa00232,0.4569587597684977,1
hsa00240,0.052655634245877186,9
hsa00250,0.1887641868739875,8
hsa00260,0.08761890765682863,6
hsa00270,0.19318417324593218,10
hsa00280,0.4132783939932133,6
hsa00290,0.38023884039245776,2
hsa00310,0.1305823931307876,18
hsa00330,0.10101183232780195,8
hsa00340,0.2544758978779664,5
hsa00350,0.09255367502880626,4
hsa00360,0.2657865155419794,3
hsa00380,0.129341035819295,9
hsa00400,0.19817535938672629,3
hsa00410,0.2890342557405458,7
hsa00430,0.3556174926727807,4
hsa00450,0.13350643550735594,4
hsa00470,0.47287668676076966,1
hsa00480,0.12334854361544073,11
hsa00500,0.17712578207225735,7
hsa00510,0.089312698046242,6
hsa00511,0.1973108645277031,3
hsa00512,0.3096248830885996,3
hsa00513,0.09172560584327849,6
hsa00514,0.06994680912772373,4
hsa00515,0.26419174120391126,4
hsa00520,0.28412523598877504,4
hsa00524,0.23439368160179008,3
hsa00531,0.1102785593455669,4
hsa00532,0.38027067649502583,1
hsa00533,0.1915191212659406,4
hsa00534,0.07242218383722925,4
hsa00541,0.3297859383364178,1
hsa00561,0.15994118765216003,10
hsa00562,0.14587287481725486,10
hsa00563,0.36043800414561705,2
hsa00564,0.14139266329753955,9
hsa00565,0.07512379568539522,6
hsa00590,0.15473374004160234,5
hsa00591,0.10374588330233038,3
hsa00592,0.09976416206126268,3
hsa00600,0.18839127699476377,4
hsa00601,0.3960595186118747,3
hsa00603,0.37323947270017815,1
hsa00604,0.14984707874221143,3
hsa00620,0.183535649472401,8
hsa00630,0.15508531899328065,4
hsa00640,0.20475201394678866,7
hsa00650,0.21906910381033015,6
hsa00670,0.23635081261707327,5
hsa00730,0.19518637769123484,3
hsa00740,0.21298219625431153,3
hsa00750,0.1737829193527566,2
hsa00760,0.22496898600582496,7
hsa00770,0.2697513743234527,5
hsa00780,0.14535979484355652,2
hsa00785,0.22763984152794017,4
hsa00790,0.10403599942206725,5
hsa00830,0.30903818345410744,7
hsa00860,0.10881307118682265,5
hsa00900,0.135622945903109,4
hsa00910,0.20191578913152886,3
hsa00920,0.21234052032892142,2
hsa00970,0.08006399345786049,5
hsa00980,0.25144542512578894,5
hsa00982,0.18178236844139314,4
hsa00983,0.06538221946538098,5
hsa01040,0.4801162031666312,3
hsa01100,0.026511203242651507,98
hsa01200,0.06270091996990475,16
hsa01210,0.055134087277434754,9
hsa01212,0.2672106861696218,8
hsa01230,0.07762210383533262,10
hsa01232,0.08840172147146469,6
hsa01240,0.16522683919084447,16
