pathway_name,distance,n
M00001,0.4024846896759985,3
M00002,0.31232798569966613,2
M00003,0.5412653526197482,1
M00004,0.16524474054659122,2
M00007,0.1655104015041757,2
M00009,0.4027897963607447,1
M00011,0.4034493694616278,1
M00019,0.4581497542144306,3
M00029,0.5111787617182608,1
M00032,0.16880214651696507,2
M00034,0.5059077649135147,3
M00035,0.27641152478889186,4
M00036,0.2880342583950252,4
M00037,0.38533758934412776,5
M00038,0.15102050956351093,2
M00042,0.47642117353199265,1
M00043,0.4511776947871115,1
M00045,0.5292078392064653,1
M00047,0.0955977484825409,19
M00048,0.1819342134906397,2
M00050,0.5632098462455521,1
M00053,0.15307198235303116,16
M00057,0.09159107655876392,4
M00058,0.37828218287642,1
M00059,0.17373212168778115,4
M00065,0.39856477531872303,1
M00067,0.3236936869772698,1
M00068,0.5705656890340655,1
M00069,0.3671062240945738,2
M00070,0.3451199959718353,1
M00075,0.3903397553617537,1
M00077,0.3693893406649652,2
M00078,0.1070045676864856,6
M00079,0.41973506970290575,2
M00085,0.36749730187864366,1
M00087,0.37365525589312015,1
M00089,0.3289082409487638,7
M00094,0.49705859395493235,1
M00095,0.4303147318929568,1
M00098,0.39414377462059275,4
M00099,0.48806709552918837,1
M00100,0.39432786269094383,3
M00101,0.1365118875758225,3
M00102,0.14154083368483558,3
M00103,0.30445548676689566,1
M00104,0.31903050881516,2
M00106,0.5526169081287744,1
M00109,0.2852160242016114,1
M00114,0.16677123015612594,2
M00115,0.5046657228446001,1
M00119,0.4581497542144306,3
M00120,0.3745444736713028,1
M00121,0.19246161917864896,3
M00122,0.44406772462821126,1
M00126,0.4834848598862069,2
M00130,0.12418172813290806,4
M00133,0.515369765757231,1
M00140,0.38191955862914057,1
M00141,0.341538395544008,1
M00143,0.37134394056787506,1
M00146,0.21058379084959228,2
M00148,0.38019389069620196,1
M00151,0.33070286436591406,1
M00152,0.4257156092294444,3
M00154,0.16842161969949337,2
M00158,0.24788955529216683,3
M00160,0.37369759538619174,3
M00165,0.13533615128603813,3
M00171,0.2804669647596122,3
M00307,0.3955532025540508,1
M00308,0.61932701110031,1
M00338,0.5683887586303843,1
M00346,0.1710777350602064,2
M00366,0.47887527541750136,1
M00367,0.45742814782084706,1
M00368,0.60440434625598,3
M00415,0.400649295316287,2
M00532,0.11468307117803007,3
M00549,0.5896827931240985,1
M00552,0.61932701110031,1
M00570,0.45968245815321984,4
M00609,0.60440434625598,3
M00621,0.3128952595253535,1
M00740,0.3523654793456181,1
M00793,0.3677375635085653,5
M00842,0.34953926061263163,1
M00843,0.3761546767441116,1
M00844,0.5631476780687414,1
M00845,0.5868094911446519,1
M00846,0.4206349525954181,1
M00849,0.4326553875250254,1
M00854,0.5234808702481701,1
M00868,0.4679540869945745,1
M00872,0.08370514731209429,4
M00873,0.37799042770815755,1
M00880,0.15261396787691564,2
M00911,0.19049511763800017,2
M00912,0.14778288873829254,2
M00917,0.1514826964158796,3
M00926,0.42185613621466195,1
M00936,0.7104443260075447,1
M00938,0.14779421094891987,16
M00953,0.60440434625598,3
M00958,0.1343800666876564,2
M00959,0.1344501183521475,2
M00970,0.11344199402876735,17
M00972,0.19393275153365436,17
M00975,0.4042615292352368,1
M00978,0.5674409289837937,1
M00981,0.7104443260075447,1
M00988,0.3761546767441116,1
M01000,0.16677123015612594,2
M01015,0.2500400358931719,3
M01022,0.3677375635085653,5
M01023,0.3677375635085653,5
M01024,0.3677375635085653,5
M01025,0.3677375635085653,5
M01026,0.3677375635085653,5
M01027,0.3677375635085653,5
hsa00010,0.30431260098823815,6
hsa00020,0.3499743893781382,2
hsa00030,0.1495168787459904,2
hsa00040,0.5042289468861216,2
hsa00051,0.05676606036748332,21
hsa00052,0.48691841051497076,2
hsa00061,0.36260153005311985,1
hsa00062,0.167199835926798,5
hsa00071,0.16521646205949622,5
hsa00100,0.10312576787321748,6
hsa00120,0.3409996235487454,2
hsa00140,0.28099279296969776,4
hsa00190,0.20162037575410838,15
hsa00220,0.09829910660844383,4
hsa00230,0.04206956552023299,28
hsa00240,0.11195834350992992,20
hsa00250,0.11561113697232712,6
hsa00260,0.08346698118199858,23
hsa00270,0.26900284505970135,8
hsa00280,0.2061270669943991,6
hsa00290,0.45968245815321984,4
hsa00310,0.15107143217567218,12
hsa00330,0.05942918051240698,22
hsa00340,0.4544758978779661,2
hsa00350,0.19092893608151573,7
hsa00360,0.5291198488753126,2
hsa00380,0.24212536921861494,6
hsa00400,0.4615086927200594,1
hsa00410,0.46063328384889873,2
hsa00430,0.4422841593394474,3
hsa00450,0.37526572011178466,5
hsa00480,0.10122515722643692,22
hsa00500,0.5149190097230446,2
hsa00510,0.0911605785693589,3
hsa00513,0.09241949833588758,3
hsa00514,0.2625589614646895,2
hsa00515,0.13243114988145654,7
hsa00520,0.2999309512813257,4
hsa00524,0.5900042739347083,1
hsa00531,0.11351824913194149,8
hsa00532,0.10250817073071652,4
hsa00534,0.08229195355470456,8
hsa00541,0.47991845328029265,7
hsa00561,0.2343161876521597,16
hsa00562,0.042734361581410626,16
hsa00563,0.18710500420347403,2
hsa00564,0.2460723189068468,16
hsa00565,0.4100356013380366,7
hsa00590,0.09882234409049637,24
hsa00591,0.41246618951505365,5
hsa00592,0.40770713187449453,4
hsa00600,0.38320869251686945,6
hsa00601,0.2700546365361841,3
hsa00603,0.2386238763199973,3
hsa00604,0.17713745828772334,5
hsa00620,0.10025908650684272,5
hsa00630,0.14286397156332428,4
hsa00670,0.23635081261707416,5
hsa00730,0.4845651776984982,3
hsa00740,0.1711797248366555,2
hsa00760,0.2700876999624615,6
hsa00770,0.31775137432345263,5
hsa00785,0.107373820406931,3
hsa00790,0.13085142970407768,10
hsa00830,0.3078953263112502,7
hsa00860,0.13335809915510116,5
hsa00900,0.1506229459031088,2
hsa00910,0.4749269854418581,1
hsa00920,0.4159796875328029,1
hsa00970,0.22406576660020555,8
hsa00980,0.1148212602042612,8
hsa00982,0.18497020066611386,5
hsa00983,0.10966054471629935,23
hsa01040,0.46584088189738326,3
hsa01100,0.028802177772651066,143
hsa01200,0.04864493252674627,14
hsa01210,0.21005826009623713,8
hsa01212,0.14282677131435478,7
hsa01230,0.2657026494977089,13
hsa01232,0.09931278553202849,22
hsa01240,0.06347581196193272,22
hsa01250,0.41472777303227115,9
