pathway_name,distance,n
M00001,0.07231967317434856,306
M00002,0.06499300947474061,140
M00003,0.044863726753747786,170
M00004,0.035075500873456414,81
M00005,0.19631833101493418,76
M00006,0.0637419942618676,28
M00007,0.05310528383218192,49
M00008,0.10361604421584444,14
M00009,0.15041215440709566,368
M00010,0.18153129522818653,145
M00011,0.12444229880263807,235
M00012,0.25455902846743195,135
M00013,0.06667789381138747,140
M00014,0.09380692560910683,293
M00015,0.09398196535008399,96
M00017,0.18415818740053885,79
M00019,0.14303179506451452,98
M00020,0.043956656932353164,69
M00027,0.07928823625062333,155
M00028,0.28393076075232404,21
M00029,0.08322065032967027,156
M00032,0.09932717585866231,247
M00034,0.1825509574017779,320
M00035,0.11939659281324544,257
M00036,0.14383263253156964,302
M00037,0.16031738732392561,208
M00038,0.09981415404588471,159
M00042,0.019796102028449405,158
M00043,0.14259023844845553,31
M00044,0.031097390992134488,145
M00045,0.1031742787228924,82
M00046,0.050882828374858,56
M00047,0.11550222829703806,359
M00048,0.10952739285229712,163
M00049,0.10893396449001007,311
M00050,0.2146329231686292,294
M00051,0.068395463839537,104
M00052,0.10106222438989555,235
M00053,0.035613035745175166,416
M00055,0.024938002864864743,193
M00056,0.012749552286640082,415
M00057,0.032775374848251854,120
M00058,0.03904381568791633,127
M00059,0.060310028609564116,301
M00065,0.04669048398513389,165
M00066,0.12399780264894988,96
M00067,0.11032528387293304,55
M00068,0.172490021745557,111
M00069,0.03535013581052809,137
M00070,0.14590762288841308,96
M00071,0.1787390686028421,74
M00072,0.04203915582599677,204
M00073,0.0594758108835433,150
M00074,0.08105994114547262,132
M00075,0.03172916749873667,228
M00076,0.02457977298413172,159
M00077,0.02648614374304446,192
M00078,0.020561552715683926,201
M00079,0.07160532098362167,88
M00082,0.046215971370189866,171
M00083,0.04361712869446278,100
M00085,0.10271082050979632,159
M00086,0.08681213367378084,94
M00087,0.07956784195170992,177
M00088,0.06029516468847989,144
M00089,0.03995239601902639,424
M00090,0.018917466180682477,101
M00091,0.036981377175488474,55
M00092,0.07858241308324777,119
M00093,0.030120952008537195,66
M00094,0.09379303821112334,270
M00095,0.05086707118878915,183
M00096,0.13512752349229554,15
M00098,0.07574772892208932,505
M00099,0.08559239717470211,345
M00100,0.05395685197085315,117
M00101,0.06308070703256398,333
M00102,0.0686074738819459,288
M00103,0.07078025569495212,56
M00104,0.02395322100088905,267
M00106,0.06680904522263985,104
M00107,0.11485111421013933,60
M00108,0.14265503889996092,95
M00109,0.021296476874419074,161
M00110,0.03645660041189703,93
M00113,0.039717888124046884,81
M00114,0.03536203013288251,62
M00115,0.0953839804511755,175
M00118,0.08139350939609816,36
M00119,0.14303179506451452,98
M00120,0.0967454134751604,245
M00121,0.1407708599253136,168
M00122,0.058148569658104214,97
M00124,0.028361434065926557,40
M00126,0.177758479916006,203
M00128,0.0604194954182699,123
M00129,0.09968792636448674,247
M00130,0.03154021605224254,382
M00131,0.02740011326555912,62
M00132,0.03370021474879237,68
M00133,0.1491879475754133,65
M00134,0.08790357387436859,42
M00135,0.09323789160588429,93
M00140,0.04766867258183068,63
M00141,0.08105662718540342,102
M00143,0.1285583861601935,61
M00146,0.027784256224479227,188
M00147,0.15417264565986485,79
M00148,0.2635240580217464,78
M00151,0.1423311146645347,50
M00152,0.056546677495707645,149
M00154,0.07527143529094624,173
M00158,0.08832127034738461,201
M00160,0.12803051151132983,231
M00165,0.046202116695118256,138
M00168,0.1358412900080201,39
M00169,0.14243789536247026,64
M00170,0.05103113467646374,125
M00171,0.14072225889074183,194
M00172,0.14243789536247026,64
M00173,0.12928108984750855,89
M00307,0.03433182523480337,174
M00308,0.21897664601286246,36
M00338,0.18134097387021847,42
M00344,0.05749640248178096,76
M00345,0.09114129073111145,57
M00346,0.10442778865590889,119
M00357,0.08478397087334989,54
M00364,0.13512752349229554,15
M00365,0.13512752349229554,15
M00366,0.16912740393545073,77
M00367,0.15530049152603342,89
M00368,0.24173767958931366,115
M00373,0.12153990402457822,132
M00374,0.04916436658557716,58
M00375,0.07237656807937132,83
M00376,0.09658760710728254,79
M00415,0.04165053468879045,256
M00532,0.07061610828493095,199
M00546,0.08229427232745148,52
M00549,0.13145494661417398,205
M00552,0.21897664601286246,36
M00554,0.07586807228714314,73
M00555,0.20084077509719295,16
M00565,0.036577098682345544,15
M00570,0.136787935195655,160
M00572,0.027724408992112884,96
M00580,0.1827390508110399,8
M00609,0.24173767958931366,115
M00621,0.06070112653370981,109
M00632,0.06859135376622534,114
M00740,0.11047532487979334,88
M00741,0.17048687805603063,83
M00761,0.12178408994523209,12
M00793,0.13917129213345902,88
M00840,0.3306852445841941,45
M00841,0.14707145384378803,26
M00842,0.05302963354050317,65
M00843,0.059843487531610645,59
M00844,0.1072664951339062,116
M00845,0.16645681887520888,83
M00846,0.12906152370950702,48
M00849,0.05199316643154792,174
M00854,0.11312157604342955,132
M00855,0.014570624213365036,102
M00861,0.08389717667850148,133
M00862,0.10506781032591611,62
M00868,0.057115826728887785,168
M00872,0.018626017125062393,298
M00873,0.05217548024979251,214
M00874,0.09160576410339409,234
M00880,0.22064900904919715,70
M00881,0.17148464387647674,12
M00882,0.023386439925492553,34
M00883,0.07189771607407691,38
M00884,0.17148464387647674,12
M00885,0.06730218135007067,98
M00886,0.06730218135007067,98
M00892,0.25115695510919833,208
M00897,0.09654315590149813,15
M00898,0.09654315590149813,15
M00909,0.30353491769317575,182
M00911,0.08401794787897297,47
M00912,0.07514532256533187,220
M00913,0.20169086193830724,28
M00917,0.06322638408358953,171
M00926,0.08744634695020823,104
M00936,0.20004432600754452,35
M00938,0.030449356138501586,425
M00953,0.24173767958931366,115
M00955,0.058880001973535025,118
M00957,0.06425300448198143,111
M00958,0.05541942108266394,268
M00959,0.0852471063641158,181
M00968,0.06377639982132856,7
M00970,0.1358832377069511,219
M00972,0.14938177811937733,292
M00974,0.1348819454881337,147
M00975,0.04440120051552884,86
M00976,0.0699184420981394,197
M00977,0.09166007627749016,188
M00978,0.1049429848690237,119
M00981,0.20004432600754452,35
M00982,0.10506341623711565,39
M00983,0.053913959639887,116
M00987,0.07512143302027029,32
M00988,0.059843487531610645,59
M00991,0.19269790940424444,63
M00992,0.19269790940424444,63
M00994,0.10191920185966924,22
M00995,0.3709357983910873,150
M00997,0.03326624647537016,42
M00999,0.12178408994523209,12
M01000,0.03536203013288251,62
M01001,0.07544238378188796,88
M01002,0.3709357983910873,150
M01003,0.09590004278584628,62
M01004,0.06787375376449606,13
M01006,0.032724158412514026,45
M01015,0.07880337005833779,160
M01016,0.2265917870340532,12
M01017,0.27502119157147553,5
M01018,0.27502119157147553,5
M01019,0.27502119157147553,5
M01020,0.27502119157147553,5
M01022,0.13917129213345902,88
M01023,0.13917129213345902,88
M01024,0.13917129213345902,88
M01025,0.13917129213345902,88
M01026,0.13917129213345902,88
M01027,0.13917129213345902,88
M01034,0.27502119157147553,5
hsa00010,0.07046952446755561,745
hsa00020,0.13672512712024476,478
hsa00030,0.028285817405968795,264
hsa00040,0.11179254665416195,424
hsa00051,0.022324298729474366,741
hsa00052,0.0668828256907179,556
hsa00053,0.09163081070646167,326
hsa00061,0.06282087438928852,348
hsa00062,0.09067999465695693,517
hsa00071,0.07521886510374462,556
hsa00100,0.05898524458928168,477
hsa00120,0.032019833258130306,301
hsa00130,0.039724151131100005,237
hsa00140,0.07580712380712219,722
hsa00190,0.0673977288443782,915
hsa00220,0.09152305200538423,428
hsa00230,0.04918190539718742,1893
hsa00232,0.05961705113232075,149
hsa00240,0.017514833010379757,948
hsa00250,0.13837627299933503,712
hsa00260,0.02293371654183049,705
hsa00270,0.14221112798546134,765
hsa00280,0.11964782074480555,649
hsa00290,0.136787935195655,160
hsa00310,0.037394497085939636,1480
hsa00330,0.03583725879137691,783
hsa00340,0.07821729717210513,315
hsa00350,0.10010543123538376,600
hsa00360,0.11730524897706947,303
hsa00380,0.08811053750843703,629
hsa00400,0.042394037120006445,198
hsa00410,0.0726698442893716,569
hsa00430,0.08148216174885413,368
hsa00440,0.04865662971904548,93
hsa00450,0.15368456827932367,411
hsa00470,0.07072112170318243,98
hsa00480,0.04124626667843091,852
hsa00500,0.0920824881711884,562
hsa00510,0.04549500641838957,832
hsa00511,0.03936825150024908,220
hsa00512,0.013215946622177505,515
hsa00513,0.0563114093090521,679
hsa00514,0.03567054673203174,670
hsa00515,0.016277971470658147,472
hsa00520,0.12665479347686714,616
hsa00524,0.11602133475366985,122
hsa00531,0.01589551443194104,345
hsa00532,0.03136391313715908,420
hsa00533,0.02929432884200947,254
hsa00534,0.026083918500885903,457
hsa00541,0.150990400992831,339
hsa00561,0.06272946183215417,1140
hsa00562,0.03852210974443613,1461
hsa00563,0.034041464776395275,362
hsa00564,0.07242413845870742,1219
hsa00565,0.055302382749396375,606
hsa00590,0.04108257347813229,994
hsa00591,0.05893186603287283,369
hsa00592,0.03871051313686113,335
hsa00600,0.008725231868230942,689
hsa00601,0.046797505813011904,310
hsa00603,0.01486792688832056,222
hsa00604,0.04562915125006017,313
hsa00620,0.07800030312315677,592
hsa00630,0.12804240874054734,417
hsa00640,0.0801411203393604,504
hsa00650,0.08503345544084946,384
hsa00670,0.16015388362623906,512
hsa00730,0.08369425160283056,385
hsa00740,0.10118894730916365,192
hsa00750,0.05596505069780501,103
hsa00760,0.061318168712461436,585
hsa00770,0.11548629290872718,529
hsa00780,0.039901348314069746,115
hsa00785,0.0862621325496121,353
hsa00790,0.155007543565544,488
hsa00830,0.09280055527513552,817
hsa00860,0.09856055795233762,566
hsa00900,0.11220068071870623,409
hsa00910,0.14272690635622423,208
hsa00920,0.06458370551714405,149
hsa00970,0.15592663616542285,1179
hsa00980,0.07041776757691016,649
hsa00982,0.06965994083415414,610
hsa00983,0.037401214524973345,955
hsa01040,0.07340624616234186,407
hsa01100,0.026924783332905513,12394
hsa01200,0.08682655807541027,1269
hsa01210,0.14032531366860443,637
hsa01212,0.09310243874694164,851
hsa01230,0.1317814487472394,937
hsa01232,0.03842171746221409,1181
hsa01240,0.10564917866570271,1832
hsa01250,0.15255059585509476,718
hsa01320,0.07512143302027029,32
hsa01521,0.03959414488210448,1712
hsa01522,0.012256911839447243,2276
hsa01523,0.06372000294606783,639
hsa01524,0.01926902457911787,1354
hsa02010,0.05925925295806219,1326
hsa03008,0.031475478305615624,1271
hsa03010,0.04653557799210455,818
hsa03013,0.012705168531949007,1541
hsa03015,0.030941185454132745,1385
hsa03018,0.03881491700762834,1199
hsa03020,0.08948493279556068,378
hsa03022,0.06979593907185559,612
hsa03030,0.08741062351529537,500
hsa03040,0.09031939397677083,1708
hsa03050,0.080154583842536,546
hsa03060,0.09966792587842778,481
hsa03082,0.011546878931657366,1717
hsa03083,0.04387184678641935,1413
hsa03250,0.007505744653427248,1378
hsa03260,0.026307971218191242,163
hsa03264,0.0222871698313863,182
hsa03265,0.06781154877891217,390
hsa03266,0.05616749557243954,334
hsa03267,0.03854310677795095,111
hsa03271,0.20248263001595046,87
hsa03272,0.026192745542205412,599
hsa03273,0.04327326631253748,717
hsa03320,0.0544452077641275,1034
hsa03410,0.06880832641230603,770
hsa03420,0.08496471965369047,722
hsa03430,0.06682375302118106,471
hsa03440,0.06393136090944104,762
hsa03450,0.04466365074188437,344
hsa03460,0.04809665064380522,999
hsa04010,0.021255511884211396,4751
hsa04012,0.02634980389214502,1718
hsa04014,0.020655769512775327,3156
hsa04015,0.05017116633022322,3744
hsa04020,0.057990543206131014,4684
hsa04022,0.07179712815553455,2896
hsa04024,0.05761187719228779,3633
hsa04060,0.05522758949763482,2467
hsa04061,0.041146038387302464,984
hsa04062,0.04720303385601667,2659
hsa04064,0.00979778849579204,1506
