pathway_name,distance,n
M00001,0.07005498472113403,659
M00002,0.05713261016233899,311
M00003,0.03898679296479143,383
M00004,0.050233064351697096,175
M00005,0.22720433390093692,158
M00006,0.06663351329975804,50
M00007,0.05631614340759526,112
M00008,0.116971340803854,25
M00009,0.17177802956625968,830
M00010,0.21663066104761525,352
M00011,0.1365483857424604,494
M00012,0.29028154594994965,308
M00013,0.049933084414662286,258
M00014,0.0974992122988547,679
M00015,0.13554965375917458,198
M00017,0.22800790774201657,172
M00019,0.1288091152726011,242
M00020,0.028918962127899458,139
M00027,0.08658328735526687,324
M00028,0.2897718940031758,37
M00029,0.12525858346427962,345
M00032,0.11776009329398725,563
M00034,0.19824109824684788,723
M00035,0.12374988352294392,629
M00036,0.16700890947751892,667
M00037,0.17412956929400242,423
M00038,0.11441176644714353,361
M00042,0.03260640988984273,313
M00043,0.10562392638333622,58
M00044,0.033339943742097936,312
M00045,0.07868101214365238,183
M00046,0.0669379170770053,138
M00047,0.12027809646575462,801
M00048,0.12187058661395132,395
M00049,0.13111719533499527,704
M00050,0.2480931795788855,683
M00051,0.057621760693883674,227
M00052,0.11970318575602945,542
M00053,0.03576604643612259,939
M00055,0.016126873831475014,414
M00056,0.0164917753320213,922
M00057,0.03710602359027691,247
M00058,0.025520450971140148,249
M00059,0.06520391083282256,605
M00065,0.03870733521261974,375
M00066,0.08150052159268446,231
M00067,0.10842879603524272,122
M00068,0.1536752631546472,261
M00069,0.02359470453163261,318
M00070,0.13889039897757247,212
M00071,0.17320467906725087,165
M00072,0.053065982324638584,428
M00073,0.10551479995896078,358
M00074,0.10604056031398834,301
M00075,0.017846734344803657,497
M00076,0.09819426178107461,332
M00077,0.09761797584607035,407
M00078,0.02937315484565,407
M00079,0.11485702284383086,205
M00082,0.03306535629982487,319
M00083,0.07753171661600265,196
M00085,0.10040418396368309,299
M00086,0.08748374384327247,208
M00087,0.0651006556315467,380
M00088,0.060132084499345345,267
M00089,0.05587656246575857,965
M00090,0.02181194716764495,235
M00091,0.03794561502884915,99
M00092,0.08149443588938053,249
M00093,0.022225613641680048,144
M00094,0.10528270520816804,596
M00095,0.06565066255246246,339
M00096,0.11150847587324782,35
M00098,0.0863861699735772,1154
M00099,0.09461618912709538,742
M00100,0.02425351237792706,268
M00101,0.0752748748180897,708
M00102,0.08181258325989672,584
M00103,0.05333448307541122,123
M00104,0.026881008878685355,526
M00106,0.060409843396618375,207
M00107,0.10454503713345395,143
M00108,0.11922579913387966,225
M00109,0.01488045315876536,341
M00110,0.04544023152169178,173
M00113,0.05316755033406566,161
M00114,0.04385106201840478,154
M00115,0.08450412810090989,379
M00118,0.10093821787469665,105
M00119,0.1288091152726011,242
M00120,0.0958436504487369,583
M00121,0.15371203639590247,353
M00122,0.08470610213631469,220
M00124,0.050264643284798176,89
M00126,0.19762722991600568,421
M00128,0.03654910962216212,247
M00129,0.09118805875813944,546
M00130,0.04027159337311748,760
M00131,0.03532771962349693,136
M00132,0.052569097457776645,178
M00133,0.17863899652646162,126
M00134,0.11072619923974006,89
M00135,0.04417766698447491,202
M00140,0.03958947555452329,116
M00141,0.07344586531669747,198
M00143,0.057994241739069766,126
M00146,0.031067908986672183,377
M00147,0.11115251972155876,143
M00148,0.2787881452319419,167
M00151,0.16471075827425696,93
M00152,0.06927295816077333,330
M00154,0.10807980394585871,367
M00158,0.09957154314210404,448
M00160,0.15463648659221363,498
M00165,0.030692522519803995,323
M00168,0.17892173722914398,70
M00169,0.0904005270701959,132
M00170,0.032113044080260916,251
M00171,0.1373067619148202,403
M00172,0.0904005270701959,132
M00173,0.1309041074526301,196
M00307,0.02530779672553406,369
M00308,0.10924128769858063,108
M00338,0.13476130764999195,102
M00344,0.05924469676225399,138
M00345,0.09580032963271348,115
M00346,0.13334810386370402,257
M00357,0.11206217931434853,86
M00364,0.11150847587324782,35
M00365,0.11150847587324782,35
M00366,0.2199029696169019,132
M00367,0.17166196172823744,154
M00368,0.24943652128815527,259
M00373,0.10178370394050909,270
M00374,0.05622659284476925,107
M00375,0.050896003831386684,153
M00376,0.09668747285679304,143
M00415,0.059254870732150904,562
M00532,0.09829000297161158,407
M00546,0.11015617373468282,104
M00549,0.0988237092008822,436
M00552,0.10924128769858063,108
M00554,0.05441521026489441,150
M00555,0.14924396156939726,41
M00565,0.05022260605058781,31
M00570,0.14530085419006827,358
M00572,0.07085608243662232,190
M00580,0.19149085233258714,15
M00609,0.24943652128815527,259
M00621,0.06476338683389732,194
M00632,0.06756639832950498,222
M00740,0.11840569238462882,188
M00741,0.1612363256919122,177
M00761,0.09304449079622985,19
M00793,0.13541088376864527,228
M00840,0.32399689770072515,123
M00841,0.19923498201417164,59
M00842,0.11233680855646928,128
M00843,0.1318889420770649,120
M00844,0.1393342072959577,253
M00845,0.2314086527240822,177
M00846,0.13552536850668515,89
M00849,0.062337877458386294,328
M00854,0.07978213116724843,286
M00855,0.018767189950651676,224
M00861,0.07123665669542337,267
M00862,0.13075763158340553,125
M00868,0.06400235082160198,371
M00872,0.023565453486068005,630
M00873,0.07519882968618517,430
M00874,0.09991870339788803,471
M00880,0.1776931725089737,159
M00881,0.0868615297643478,31
M00882,0.08262269080533466,82
M00883,0.140264481154804,97
M00884,0.0868615297643478,31
M00885,0.04938431011130617,184
M00886,0.04938431011130617,184
M00892,0.21693102442883852,480
M00897,0.10974615342267721,41
M00898,0.10974615342267721,41
M00909,0.272213661654529,418
M00911,0.1529068367678621,117
M00912,0.08349875668443539,496
M00913,0.1122741797603251,67
M00917,0.09475724688808701,360
M00926,0.10257674933470905,213
M00936,0.2474713530345717,59
M00938,0.03222565288752758,960
M00953,0.24943652128815527,259
M00955,0.05753853989921231,252
M00957,0.05618018740327854,215
M00958,0.05135515603238187,573
M00959,0.09680602165191542,391
M00968,0.07234915144175315,9
M00970,0.1595525339434221,483
M00972,0.16401404175205464,660
M00974,0.15183109803050646,310
M00975,0.060944613282254805,162
M00976,0.07342621422049057,412
M00977,0.07686955463309808,400
M00978,0.1288021785498714,266
M00981,0.2474713530345717,59
M00982,0.12207347395158472,70
M00983,0.061073644339468186,265
M00987,0.14112902004503503,84
M00988,0.1318889420770649,120
M00991,0.16804436850070337,104
M00992,0.16804436850070337,104
M00994,0.10191920185966924,55
M00995,0.33174827610944807,376
M00997,0.048672741882788806,77
M00999,0.09304449079622985,19
M01000,0.04385106201840478,154
M01001,0.11697785972728963,167
M01002,0.33174827610944807,376
M01003,0.062109537286303314,117
M01004,0.1018648725917096,17
M01006,0.025137117325497838,99
M01015,0.07469549334600906,365
M01016,0.20333490510695212,26
M01017,0.32124341379369775,9
M01018,0.32124341379369775,9
M01019,0.32124341379369775,9
M01020,0.32124341379369775,9
M01022,0.13541088376864527,228
M01023,0.13541088376864527,228
M01024,0.13541088376864527,228
M01025,0.13541088376864527,228
M01026,0.13541088376864527,228
M01027,0.13541088376864527,228
M01034,0.32124341379369775,9
hsa00010,0.061089872729725644,1626
hsa00020,0.146019078749483,1073
hsa00030,0.06141118979414386,576
hsa00040,0.1051552600818299,982
hsa00051,0.022108645641660787,1587
hsa00052,0.06921120584951415,1213
hsa00053,0.08635590847503798,718
hsa00061,0.05271423461413947,742
hsa00062,0.12002956311400399,1091
hsa00071,0.06764611007001109,1221
hsa00100,0.06148865436641346,1012
hsa00120,0.03199418543412885,596
hsa00130,0.016087669477251508,527
hsa00140,0.08419177676100653,1686
hsa00190,0.08603786466353754,2011
hsa00220,0.11144212489352893,890
hsa00230,0.055407003371972526,4200
hsa00232,0.057511543607351195,305
hsa00240,0.024190760933314875,2134
hsa00250,0.14146689466368217,1613
hsa00260,0.024645957382927453,1566
hsa00270,0.15430961430568152,1797
hsa00280,0.12966222502016156,1416
hsa00290,0.14530085419006827,358
hsa00310,0.021022232261780557,3130
hsa00330,0.032988650464190736,1728
hsa00340,0.07654089471207554,690
hsa00350,0.11267116687124122,1334
hsa00360,0.1126026879768681,655
hsa00380,0.10942649171739488,1404
hsa00400,0.035011359826733784,420
hsa00410,0.06698981121785451,1203
hsa00430,0.0828319671794651,809
hsa00440,0.07520567609054216,222
hsa00450,0.18792546636322657,948
hsa00470,0.0601951225149597,201
hsa00480,0.04896723059215839,1894
hsa00500,0.09408467820316434,1224
hsa00510,0.05754969552835969,1836
hsa00511,0.059727478709633505,442
hsa00512,0.015432052002246583,1175
hsa00513,0.068245463363106,1515
hsa00514,0.038607827123459726,1490
hsa00515,0.014519300923941084,1043
hsa00520,0.1242345506553487,1343
hsa00524,0.10406538430942018,262
hsa00531,0.062190043930574875,740
hsa00532,0.010110435500817336,843
hsa00533,0.015372350393718696,585
hsa00534,0.03537857347924696,899
hsa00541,0.13704643939025585,780
hsa00561,0.07559390012447774,2563
hsa00562,0.03880118538352146,3088
hsa00563,0.013366614420062494,822
hsa00564,0.07772749693976001,2651
hsa00565,0.05653348196582874,1304
hsa00590,0.035041790782863326,2178
hsa00591,0.07267484616580434,788
hsa00592,0.03718749998648933,660
hsa00600,0.028152682538539378,1481
hsa00601,0.03852568550145642,747
hsa00603,0.027746485132310372,547
hsa00604,0.0741475654220495,732
hsa00620,0.06695845700975676,1273
hsa00630,0.1521734935689862,950
hsa00640,0.07791590120369257,1090
hsa00650,0.0929298628095925,797
hsa00670,0.17612208921281874,1207
hsa00730,0.10981570090368381,805
hsa00740,0.1452409027219732,421
hsa00750,0.05035629034155933,227
hsa00760,0.07441920179396318,1273
hsa00770,0.11599630190557875,1285
hsa00780,0.031247329784386806,226
hsa00785,0.09183024632554118,749
hsa00790,0.15839993373290814,1051
hsa00830,0.09991708106006784,1920
hsa00860,0.10900584926280579,1314
hsa00900,0.14436387799403966,864
hsa00910,0.16793369580030199,435
hsa00920,0.06748755167098991,308
hsa00970,0.1618249015741056,2737
hsa00980,0.08178000237715768,1513
hsa00982,0.07422099401145234,1438
hsa00983,0.044654518508809526,2174
hsa01040,0.0878291252701325,881
hsa01100,0.03834318184103124,27850
hsa01200,0.10100733132227514,2769
hsa01210,0.156526283352051,1453
hsa01212,0.1118521956035842,1868
hsa01230,0.15654307064499765,2141
hsa01232,0.05241798524376611,2652
hsa01240,0.11604480123375091,4191
hsa01250,0.15212801038578028,1615
hsa01320,0.14112902004503503,84
hsa01521,0.03369119299799656,3705
hsa01522,0.01816552970845857,4852
hsa01523,0.09977871327906547,1473
hsa01524,0.011555740330974557,3013
hsa02010,0.07874884010446424,3138
hsa03008,0.04524074836256752,2869
hsa03010,0.06289555221776356,1834
hsa03013,0.0408900573800929,3282
hsa03015,0.06214030378432344,3118
hsa03018,0.05887909862197807,2651
hsa03020,0.12818341155268026,915
hsa03022,0.07246496428198462,1407
hsa03030,0.09589899560831858,1080
hsa03040,0.10965243074050665,3821
hsa03050,0.10781362080607484,1298
hsa03060,0.1405287586755604,1127
hsa03082,0.020030083976940314,3811
hsa03083,0.03239617004845502,2904
hsa03250,0.029428201021224946,3074
hsa03260,0.02550706316960093,343
hsa03264,0.041444689829707594,412
hsa03265,0.10865221973489923,866
hsa03266,0.07785493043459871,734
hsa03267,0.02352407587895475,231
hsa03271,0.2005470899462642,199
