pathway_name,distance,n
M00001,0.13881583482552412,457
M00002,0.06375667528760776,220
M00003,0.03773038010417521,266
M00004,0.09496007853822597,131
M00005,0.073232324434974,109
M00006,0.0686735391534868,51
M00007,0.16440643319892065,72
M00008,0.07180732171231305,43
M00009,0.24825562673160786,2027
M00010,0.3053159844310547,1753
M00011,0.14260696856654104,288
M00012,0.25894845375478814,177
M00013,0.029260617293066143,282
M00014,0.05337137649086453,597
M00015,0.046853381660540525,107
M00017,0.20716930913336554,120
M00019,0.21258848660526214,93
M00020,0.09488397821999409,84
M00027,0.01921144687376189,214
M00028,0.29419650548782506,27
M00029,0.10251034535127503,199
M00032,0.07689879619028098,318
M00034,0.14118617833838118,486
M00035,0.07375460540150688,392
M00036,0.11998891039490794,341
M00037,0.17583608784262628,336
M00038,0.18506135176892463,194
M00042,0.05326323404347808,215
M00043,0.12079155541164105,51
M00044,0.05494504003053152,188
M00045,0.19683941815383346,114
M00046,0.042058058951591606,40
M00047,0.2496877203046589,1589
M00048,0.11206622481553588,183
M00049,0.05731234731201558,492
M00050,0.18281478451715738,473
M00051,0.03378633801721146,112
M00052,0.04178493044711569,366
M00053,0.19581305474143829,1718
M00055,0.07442560153260333,256
M00056,0.023781229142315764,567
M00057,0.07592528577613906,201
M00058,0.05646835789097715,150
M00059,0.09493254309471535,375
M00065,0.021568232778275173,269
M00066,0.02230471992764586,132
M00067,0.12188873761640423,61
M00068,0.11280764174887911,186
M00069,0.07198985214803687,216
M00070,0.08485580518840802,152
M00071,0.05611802326288406,96
M00072,0.06785632876075352,246
M00073,0.037005585113323025,217
M00074,0.03056808497691068,185
M00075,0.03415671278544048,324
M00076,0.16434360254512645,140
M00077,0.1260785298541543,192
M00078,0.018971611708793724,236
M00079,0.1430146395953789,134
M00082,0.021842797653309598,198
M00083,0.04941007737489518,114
M00085,0.10692939448024062,163
M00086,0.08581429778538598,104
M00087,0.09227620460180413,256
M00088,0.04235686406937106,215
M00089,0.08649552045973996,541
M00090,0.03598509716615399,133
M00091,0.047506862394806434,78
M00092,0.07436978138260188,157
M00093,0.08349620987116244,57
M00094,0.08146429627871458,374
M00095,0.09253380305144365,239
M00096,0.21433473069950226,37
M00098,0.06336683710367953,764
M00099,0.07299749309536843,467
M00100,0.07604184834018833,164
M00101,0.04081494184689793,437
M00102,0.03512779482214953,340
M00103,0.07777179145381795,109
M00104,0.036222524425308156,343
M00106,0.07456841928261315,96
M00107,0.06236301490636773,110
M00108,0.044788144857168394,165
M00109,0.06593495932449088,260
M00110,0.05701472677955437,129
M00113,0.18517604775193905,108
M00114,0.1065003458377005,70
M00115,0.06096201914089627,207
M00118,0.09674639675131813,68
M00119,0.21258848660526214,93
M00120,0.07308787317921131,263
M00121,0.10369118377977155,234
M00122,0.15352852186207658,160
M00124,0.09385976152490874,41
M00126,0.17220937277314885,296
M00128,0.05504065204577621,141
M00129,0.059142655105762644,482
M00130,0.04429954411406631,526
M00131,0.2002150931768107,78
M00132,0.12806195351424743,107
M00133,0.2226614324238979,99
M00134,0.14774213131540193,39
M00135,0.0769129889148646,149
M00140,0.0810166261097192,87
M00141,0.14443676446830547,119
M00143,0.07019573541078167,40
M00146,0.10106298747391719,259
M00147,0.25956830126996905,106
M00148,0.2705352759704645,96
M00151,0.08989182975185599,90
