pathway_name,distance,n
M00001,0.11581802300933199,34
M00002,0.09126645638964782,15
M00003,0.08032909190474229,32
M00004,0.1685220538778862,7
M00005,0.17941419168438147,12
M00006,0.14258333553311814,7
M00008,0.5000832980041262,3
M00009,0.06380042036288253,54
M00010,0.09730723584826255,26
M00011,0.04608718017002478,34
M00012,0.11279532221688594,30
M00013,0.12824569727863233,20
M00014,0.04337111795897156,28
M00015,0.11379251865592355,21
M00017,0.13703093782461756,6
M00019,0.38966616328631115,12
M00020,0.2182339220024021,11
M00027,0.05437604837260479,22
M00028,0.3539088886095169,1
M00029,0.14470264896874596,20
M00032,0.08627585736480717,35
M00034,0.10293856471222043,42
M00035,0.09530641024717898,33
M00036,0.15309309824275485,49
M00037,0.12811823402851383,33
M00038,0.15444316840699307,23
M00042,0.11337904741078492,24
M00043,0.3532314633583576,10
M00044,0.05803932179406731,24
M00045,0.4883718196667327,2
M00046,0.12933162856809755,10
M00047,0.07241518352103912,34
M00048,0.12146799503125824,22
M00049,0.14405032263437062,31
M00050,0.229344205607694,35
M00051,0.07381739422276408,11
M00052,0.14327759532254686,34
M00053,0.10788983221103496,37
M00055,0.18203432545780174,23
M00056,0.06218458909065972,44
M00057,0.09323072235297429,14
M00058,0.345949420932192,10
M00059,0.046896684837921324,39
M00065,0.0577130072033789,24
M00066,0.1802383869614412,13
M00067,0.5062090534417758,10
M00068,0.12102294474040043,13
M00069,0.09310286563018363,17
M00070,0.2652706347828873,9
M00071,0.19142562853792086,8
M00072,0.06768623664567952,24
M00073,0.04739524760084252,30
M00074,0.12550373909701748,20
M00075,0.06459979319062636,23
M00076,0.14299611665763134,28
M00077,0.1176468359950826,33
M00078,0.06897802686233377,31
M00079,0.18191106234766724,12
M00082,0.13483006084902555,23
M00083,0.16663177630562329,21
M00085,0.17152641962572082,20
M00086,0.2621913117979193,22
M00087,0.24921444864942335,43
M00088,0.11572838979782857,25
M00089,0.046370077672024654,52
M00090,0.2209427907987414,10
M00091,0.1443694421532077,7
M00092,0.1230416568140959,12
M00093,0.18236823639627325,7
M00094,0.12284806763914262,39
M00095,0.19928231623714077,31
M00096,0.44827317742991896,1
M00098,0.0491607224469174,49
M00099,0.11616233362442631,43
M00100,0.06776345499565813,14
M00101,0.0692212319157711,43
M00102,0.07318704469111903,39
M00103,0.27583248887521644,6
M00104,0.08458651785757373,48
M00106,0.1335103542498721,23
M00107,0.14982572373621583,10
M00108,0.33384802135610164,12
M00109,0.1253150983825939,19
M00110,0.1701994685102454,12
M00113,0.26907451518488906,29
M00114,0.4066928959807638,7
M00115,0.0776660899940991,15
M00118,0.18056894474063104,10
M00119,0.38966616328631115,12
M00120,0.03742039894158459,30
M00121,0.10605314140778595,20
M00122,0.24584155945492556,13
M00124,0.4541194214445992,1
M00126,0.1598823641961254,26
M00128,0.3165546621608244,15
M00129,0.05728367308740275,35
M00130,0.024760551293136937,84
