pathway_name,distance,n
M00001,0.07428098132711708,318
M00002,0.08096254071442589,143
M00003,0.09730592800534839,196
M00004,0.024202687038771802,96
M00005,0.21283139571415974,96
M00006,0.06362667004421295,40
M00007,0.09177571424467232,51
M00008,0.10780772805291071,23
M00009,0.16479172537838593,386
M00010,0.24517648049216478,152
M00011,0.11650752709009655,249
M00012,0.30673006295019034,161
M00013,0.0431138356690005,127
M00014,0.06790423540998515,289
M00015,0.09574118715660206,126
M00017,0.1822538596561145,78
M00019,0.18321126232535923,112
M00020,0.0993737432707753,98
M00027,0.1192977335238296,139
M00028,0.26866943996075954,39
M00029,0.1011156898643486,189
M00032,0.08594808436974603,268
M00034,0.20324750850325868,371
M00035,0.12470732175598603,294
M00036,0.13192096507762588,304
M00037,0.2033474415608768,217
M00038,0.09962669675142559,191
M00042,0.06968427471501382,158
M00043,0.06700278589069307,31
M00044,0.02591328352112866,166
M00045,0.14966238466101076,88
M00046,0.0874979687472652,49
M00047,0.12588517772418434,366
M00048,0.16003435879656933,176
M00049,0.11498762948353924,317
M00050,0.2327247716186863,326
M00051,0.059068203726040845,110
M00052,0.11809178104014152,241
M00053,0.06945549590652633,464
M00055,0.011229919817617697,162
M00056,0.03363080610623547,386
M00057,0.032912481707318045,140
M00058,0.028375345290642152,136
M00059,0.07257952655191881,296
M00065,0.03236718586326511,192
M00066,0.03765446739671786,92
M00067,0.07476149770376521,51
M00068,0.16087740913294427,112
M00069,0.06847404217598085,174
M00070,0.12484406872376698,84
M00071,0.0681812476690745,58
M00072,0.046360014416889805,227
M00073,0.09554887537922366,174
M00074,0.06548921829118982,147
M00075,0.02627605026117687,231
M00076,0.07847256665140913,180
M00077,0.09946887573067223,201
M00078,0.02413019982210069,217
M00079,0.15759221256004902,94
M00082,0.048932883226145876,168
M00083,0.04417117484316624,123
M00085,0.10168409518225599,158
M00086,0.10376429831010882,89
M00087,0.02276217772165502,179
M00088,0.04964217396028372,136
M00089,0.06591865931202279,473
M00090,0.051668486824731054,95
M00091,0.0966877959707397,39
M00092,0.06583426450885412,113
M00093,0.09787465229584408,78
M00094,0.07197043086062446,272
M00095,0.08135468375917128,145
M00096,0.2811680365821868,18
M00098,0.08922735679326106,545
M00099,0.07606444419013493,325
M00100,0.02293260191041442,151
M00101,0.0645828030655477,350
M00102,0.07649959179584787,291
M00103,0.10915605182309217,62
M00104,0.03378428214710454,260
M00106,0.038008210656798616,93
M00107,0.08955782709846319,90
M00108,0.056796631276437234,120
M00109,0.08127704066889861,175
M00110,0.03995735051571866,107
M00113,0.026684712982251953,69
M00114,0.181828259447399,60
M00115,0.13977061794949525,194
M00118,0.12698383902079696,44
M00119,0.18321126232535923,112
M00120,0.0625760355841083,260
M00121,0.16891380250904603,199
M00122,0.11862168655189928,63
M00124,0.1029815472847043,42
M00126,0.22065778547156115,207
M00128,0.027523288216983792,121
M00129,0.06577545358679333,236
M00130,0.0431930118794022,422
M00131,0.070010273135608,82
M00132,0.054320559869376915,87
M00133,0.19638425851085425,83
M00134,0.14657556526281612,60
M00135,0.12721133421527292,81
M00140,0.0723496281886899,43
M00141,0.06022714964287905,73
M00142,0.05374683382565351,38
M00143,0.1800031746018863,95
M00146,0.04221877258910184,180
M00147,0.10096239421083796,78
M00148,0.2915998896287451,82
M00151,0.029746344642723632,69
M00152,0.037399389590534134,165
M00154,0.06891900198189115,239
M00158,0.051761376700358804,211
M00160,0.10097086092680099,232
M00165,0.05655139727606598,148
M00168,0.27116209724479023,53
M00169,0.17922737402917888,58
M00170,0.0793990482351663,116
M00171,0.20679675199365466,203
M00172,0.17922737402917888,58
M00173,0.17239336282494402,107
M00307,0.05012961201674202,185
M00308,0.1982456518608156,38
M00338,0.2550554252970513,45
M00344,0.05315939520293239,66
M00345,0.2442384567230145,52
M00346,0.2168394717757586,103
M00357,0.09014142022397674,58
M00364,0.2811680365821868,18
M00365,0.2811680365821868,18
M00366,0.19283215839034032,88
M00367,0.1429675934554234,107
M00368,0.31515703442802273,124
M00373,0.08651564900032341,128
M00374,0.03584314438037976,49
M00375,0.0383351285842608,60
M00376,0.05448421261318825,88
M00415,0.08809165280951203,277
M00532,0.12349686318335633,193
M00546,0.030846178884824323,80
M00549,0.09187716391981474,205
M00552,0.1982456518608156,38
M00554,0.13489607661730682,57
M00555,0.2399643782272178,20
M00565,0.11498213179649071,11
M00570,0.19784308225447872,170
M00572,0.0360617152617415,119
M00580,0.13423892305795745,4
M00609,0.31515703442802273,124
M00621,0.11249590357238948,96
M00632,0.11476995564175792,108
M00740,0.15909525916237838,84
M00741,0.14178909351349733,95
M00761,0.12536761715972763,15
M00793,0.1430219235977888,125
M00840,0.38477413347308276,50
M00841,0.25245548491552544,25
M00842,0.1233958280384514,76
M00843,0.1261746563627792,66
M00844,0.18602458773071778,147
M00845,0.23787143804730668,127
M00846,0.12619457094590647,49
M00849,0.08199682816762534,143
M00854,0.08997340756160271,134
M00855,0.03187264731981844,113
M00861,0.06702216656784082,125
M00862,0.08126927071303838,79
M00868,0.06647150636273678,190
M00872,0.031502521876336675,314
M00873,0.08218222687647882,199
M00874,0.08671328491699762,241
M00880,0.19647103016533624,101
M00881,0.10400321791062482,17
M00882,0.03474775982603804,35
M00883,0.08424552768206699,37
M00884,0.10400321791062482,17
M00885,0.14219144403580114,100
M00886,0.14219144403580114,100
M00892,0.20239870918477007,196
M00897,0.16374488457633468,17
M00898,0.16374488457633468,17
M00909,0.23630535794474794,161
M00911,0.17705366216468774,56
M00912,0.08436639512418234,259
M00913,0.18953865586205643,33
M00917,0.07044679312535823,166
M00926,0.1128364224988997,119
M00936,0.3229443260075446,50
M00938,0.06427137871158026,472
M00953,0.31515703442802273,124
M00955,0.03040210791884588,117
M00957,0.07097766791992458,116
M00958,0.061185462637208914,303
M00959,0.1397356981638699,214
M00968,0.18261346256641686,9
M00970,0.12675149477536388,277
M00972,0.15261991591283347,366
M00974,0.14166326818670447,152
M00975,0.04276850761748215,57
M00976,0.0424667296021279,192
M00977,0.06437779057146358,193
M00978,0.17676700102429235,154
M00981,0.3229443260075446,50
M00982,0.058664117394869014,54
M00983,0.04928123309677591,135
M00987,0.042498970015135064,53
M00988,0.1261746563627792,66
M00991,0.10527143021722403,38
M00992,0.10527143021722403,38
M00994,0.18452225382658738,43
M00995,0.31540246505775393,138
M00997,0.18577723145776287,55
M00999,0.12536761715972763,15
M01000,0.181828259447399,60
M01001,0.0433032447842604,73
M01002,0.31540246505775393,138
M01003,0.09129794308340419,62
M01004,0.04438581328010795,15
M01006,0.13636435842493777,44
M01015,0.12924125349392074,163
M01016,0.10337122935351409,27
M01017,0.3856310632431788,9
M01018,0.3856310632431788,9
M01019,0.3856310632431788,9
M01020,0.3856310632431788,9
M01022,0.1430219235977888,125
M01023,0.1430219235977888,125
M01024,0.1430219235977888,125
M01025,0.1430219235977888,125
M01026,0.1430219235977888,125
M01027,0.1430219235977888,125
M01034,0.3856310632431788,9
hsa00010,0.053005555728883005,789
hsa00020,0.14317659530457508,511
hsa00030,0.06239574510202113,295
hsa00040,0.10254915685987485,433
hsa00051,0.027123029838549452,790
hsa00052,0.06072139553696555,532
hsa00053,0.07045125035705882,341
hsa00061,0.042234566143041045,314
hsa00062,0.12410526848522148,492
hsa00071,0.061238965203625886,535
hsa00100,0.05847574407077074,490
hsa00120,0.03322350188527221,294
hsa00130,0.040849368012152935,259
hsa00140,0.0742171531927566,687
hsa00190,0.0503793105314973,981
hsa00220,0.08170671838340623,459
hsa00230,0.04650266782433297,1952
hsa00232,0.05435563555816651,150
hsa00240,0.024333820044842257,979
hsa00250,0.12097060927750082,784
hsa00260,0.029963434324844156,760
hsa00270,0.12862764456793457,848
hsa00280,0.08749061264273099,647
hsa00290,0.19784308225447872,170
hsa00310,0.02057190390363901,1444
hsa00330,0.04183305248765981,862
hsa00340,0.07431874370705685,348
hsa00350,0.098335993128391,599
hsa00360,0.09159270784548801,322
hsa00380,0.07200353635538147,641
hsa00400,0.08901120303725894,212
hsa00410,0.04198930074478221,557
hsa00430,0.10072135023954651,364
hsa00440,0.07795573528978147,90
hsa00450,0.18803783807425098,425
hsa00470,0.05238163725581937,116
hsa00480,0.051247743132715504,881
hsa00500,0.061380395686340364,592
hsa00510,0.0286821610094784,830
hsa00511,0.05524784858366156,257
hsa00512,0.013127487628125488,498
hsa00513,0.025251011958058508,682
hsa00514,0.008390348487284016,672
hsa00515,0.02878178256011712,506
hsa00520,0.09097990233027788,611
hsa00524,0.11223653845939037,133
hsa00531,0.04447086074521327,339
hsa00532,0.02108051049048065,431
hsa00533,0.020793198644391518,287
hsa00534,0.046837582736026825,476
hsa00541,0.14290182656935166,400
hsa00561,0.08461506525700101,1137
hsa00562,0.02767274788290159,1406
hsa00563,0.03764183785348457,389
hsa00564,0.0711137034866648,1254
hsa00565,0.06156809767118951,642
hsa00590,0.04575289568751658,1074
hsa00591,0.045888855063331936,382
hsa00592,0.03735423550357335,329
hsa00600,0.011319629374702413,651
hsa00601,0.009092543454906584,290
hsa00603,0.014619593335341087,221
hsa00604,0.042415943771410544,370
hsa00620,0.08167542622313526,628
hsa00630,0.14575938432160074,436
hsa00640,0.046998561848511984,495
hsa00650,0.04084814076165884,377
hsa00670,0.180108275303641,588
hsa00730,0.13665641874272744,386
hsa00740,0.13475128377758921,232
hsa00750,0.037840968280025575,97
hsa00760,0.09097005290363759,612
hsa00770,0.08653737415361408,541
hsa00780,0.018509500979871658,131
hsa00785,0.0740831404970124,345
hsa00790,0.16754219314713376,537
hsa00830,0.12139747786396803,820
hsa00860,0.12499394613033975,551
hsa00900,0.1284492601744803,371
hsa00910,0.10626366933484814,229
hsa00920,0.05470723578621537,174
hsa00970,0.15398499115594025,1290
hsa00980,0.0529052700610965,656
hsa00982,0.05673783517893849,571
hsa00983,0.037563421222130765,979
hsa01040,0.10387631098334288,392
hsa01100,0.02095256701121874,12447
hsa01200,0.06916070790032784,1297
hsa01210,0.15815599838379754,670
hsa01212,0.09555600991062872,790
hsa01230,0.15019234997851982,1053
hsa01232,0.03848241521361915,1222
hsa01240,0.10531765042577733,1807
hsa01250,0.13003695177623317,765
hsa01320,0.042498970015135064,53
hsa01521,0.0694039420898608,1476
hsa01522,0.013325339495845044,2144
hsa01523,0.08832937999969041,655
hsa01524,0.03261692893171807,1395
hsa02010,0.06687989454129858,1309
hsa03008,0.03688283521909002,1276
hsa03010,0.024414653607130642,870
hsa03013,0.012544884556420123,1599
hsa03015,0.03627753934906855,1414
hsa03018,0.06146183991114493,1207
hsa03020,0.08400190963403584,418
hsa03022,0.06593604757647818,646
hsa03030,0.07089115360515659,544
hsa03040,0.08755650174334179,1702
hsa03050,0.10273791621134779,577
hsa03060,0.11516143237193513,539
hsa03082,0.013039695348857957,1898
hsa03083,0.032937536246938626,1392
hsa03250,0.013896166190309964,1442
hsa03260,0.06122046553650233,149
hsa03264,0.02946872562577096,234
hsa03265,0.08953479857288651,433
hsa03266,0.058472534946106165,349
hsa03267,0.08601775937055846,131
hsa03271,0.21928094934368178,118
hsa03272,0.013991834891344092,722
hsa03273,0.015251923904092534,787
hsa03320,0.06602507013554428,1012
hsa03410,0.08501013756724492,784
hsa03420,0.08525668067870498,765
hsa03430,0.0735384640593289,476
hsa03440,0.06734891158903901,748
hsa03450,0.03518429863695628,361
hsa03460,0.04011983717030237,973
hsa04010,0.0217232715762833,4441
hsa04012,0.04619375046089554,1545
hsa04014,0.04557911745246458,3027
hsa04015,0.058568181520940746,3634
hsa04020,0.05749516574847461,4661
hsa04022,0.06754128123845443,2938
hsa04024,0.052309476818084975,3625
hsa04060,0.05450484975874523,2352
hsa04061,0.0589355501238859,963
hsa04062,0.053877440215209044,2373
hsa04064,0.0054351848630166495,1505
