pathway_name,distance,n
M00001,0.12110464721315368,160
M00002,0.20129751070897034,68
M00003,0.045487565770366854,70
M00004,0.09777499707808464,35
M00005,0.16339492786869048,57
M00006,0.26420480410750474,7
M00007,0.11670770389975108,18
M00008,0.2326577958216136,5
M00009,0.17382286520499846,201
M00010,0.37569708387700634,72
M00011,0.0704197244014998,136
M00012,0.4083704570388604,76
M00013,0.03015556612385224,100
M00014,0.03733716622924505,158
M00015,0.24884200192164402,46
M00017,0.21902258917571119,69
M00019,0.1612583146783293,58
M00020,0.040422140262327204,43
M00027,0.11964680099027525,83
M00028,0.28123354252486227,16
M00029,0.12326586956974102,111
M00032,0.07585254828790376,149
M00034,0.1830251447988004,247
M00035,0.1412168501429131,180
M00036,0.13754615687084784,174
M00037,0.20836728823121126,133
M00038,0.0823698461375701,110
M00042,0.0808354914784413,103
M00043,0.07253123760555011,17
M00044,0.06098277353327926,97
M00045,0.05727112114205448,52
M00046,0.14261092674884981,23
M00047,0.17686145640895257,406
M00048,0.13490206118618261,88
M00049,0.15712847095511107,206
M00050,0.2683185418977265,228
M00051,0.05492060651992068,67
M00052,0.1711162590419763,161
M00053,0.1115280650903107,477
M00055,0.12496939039286702,70
M00056,0.05974360833878252,237
M00057,0.09616483993725496,61
M00058,0.060861272884215084,90
M00059,0.07110314844591027,183
M00065,0.08631816544600417,117
M00066,0.039640498699490496,48
M00067,0.13739579042194444,30
M00068,0.2210268358062742,78
M00069,0.06890010842526773,108
M00070,0.2652483501579646,42
M00071,0.11751300657032551,36
M00072,0.07321903757071117,140
M00073,0.03777415081302634,104
M00074,0.048645038219318974,95
M00075,0.03514830754907299,180
M00076,0.038206701829438694,99
M00077,0.05950017239064495,122
M00078,0.07178967474929968,123
M00079,0.1489719326092889,72
M00082,0.06160440145364741,100
M00083,0.07715311088551981,72
M00085,0.09038401605085651,77
M00086,0.1897345058490766,40
M00087,0.05200277134857771,99
M00088,0.043741942877233715,78
M00089,0.09407364619356279,284
M00090,0.13314363416693528,50
M00091,0.062301439419278744,31
M00092,0.0758496793146703,46
M00093,0.1640353665815584,33
M00094,0.03822172406426136,166
M00095,0.038512233694764225,67
M00096,0.29834953025902416,5
M00098,0.08159077995039234,325
M00099,0.06290613492962473,207
M00100,0.05304635952185885,83
M00101,0.07533905064452923,182
M00102,0.09264847810869425,153
M00103,0.12426340159568755,25
M00104,0.030935079309615948,128
M00106,0.09861799015401257,33
M00107,0.07574088011032548,64
M00108,0.14100280646249028,66
M00109,0.06782984471782455,100
M00110,0.06283466988447414,44
M00113,0.09486515527549785,40
M00114,0.07184179942416923,26
M00115,0.12227278886590491,117
M00118,0.22131607404798986,18
M00119,0.1612583146783293,58
M00120,0.031309592383160584,129
M00121,0.18145322860343796,102
M00122,0.0693272674194345,68
M00124,0.08647219419795246,31
M00126,0.24325130485719015,109
M00128,0.07922309755133843,73
M00129,0.044893943797710674,142
M00130,0.12251278683054163,238
M00131,0.26473454397772606,60
M00132,0.04506409994105613,45
M00133,0.1448888407100525,47
M00134,0.18170116508704315,16
M00135,0.15288401537460203,47
M00140,0.08425156654364072,36
M00141,0.035910116200389995,56
M00142,0.08228393072645644,29
M00143,0.3000843100123691,35
M00146,0.026130655828362985,91
M00147,0.10280866919220574,49
M00148,0.16741652586711486,54
M00151,0.08201341809610564,35
M00152,0.05783207416543142,75
M00154,0.10498536559261142,166
M00158,0.09515582524055735,141
M00160,0.07000230228337204,106
M00165,0.047960504462998904,59
M00168,0.14388925434914615,23
M00169,0.09364665268283415,26
M00170,0.06714177939788932,46
M00171,0.17493118683639777,95
M00172,0.09364665268283415,26
M00173,0.10916012584389499,32
M00307,0.08853316565013915,124
M00308,0.08011334667165458,17
M00338,0.30671156477190276,27
M00344,0.0645400620233306,17
M00345,0.09678047148979162,13
M00346,0.16469024980475155,73
M00357,0.17540529096001223,34
M00364,0.29834953025902416,5
M00365,0.29834953025902416,5
M00366,0.2828253075621111,44
M00367,0.2485429245313717,51
M00368,0.3052154298853675,89
M00373,0.059767749852864656,62
M00374,0.10623497472437564,28
M00375,0.05937206593092688,42
M00376,0.03864225106064983,38
M00415,0.02495986986370994,147
M00532,0.0691993113774967,104
M00546,0.06687969309391616,42
M00549,0.10490326102989478,102
M00552,0.08011334667165458,17
M00554,0.20160566792396475,35
M00555,0.5551690519653789,4
M00565,0.23938716129750595,13
M00570,0.18960973523592903,94
M00572,0.1049002531048126,69
M00580,0.36028674634510804,3
M00609,0.3052154298853675,89
M00621,0.08696372285972795,58
M00632,0.16642670900632933,55
M00740,0.14093327686305263,42
M00741,0.04347127946854374,41
M00761,0.1534714928186264,4
M00793,0.19179179642373193,74
M00840,0.37341977239630114,32
M00841,0.16500595559254375,9
M00842,0.06734527430870657,28
M00843,0.08444755984985096,26
M00844,0.15639739474826184,77
M00845,0.20853362907568662,63
M00846,0.10927790427923996,24
M00849,0.036667982098993655,67
M00854,0.061965066948531024,83
M00855,0.05022999196419769,83
M00861,0.05642256266843082,70
M00862,0.11253669694017433,41
M00868,0.08763208712364465,107
M00872,0.04190943765114872,166
M00873,0.11826761275496835,132
M00874,0.10226835174363513,159
M00880,0.12713678114732052,70
M00881,0.21604810910837463,11
M00882,0.11394097202874358,25
M00883,0.1162418578250118,25
M00884,0.21604810910837463,11
M00885,0.09755457513394661,46
M00886,0.09755457513394661,46
M00892,0.04721198658493047,85
M00897,0.34970005119527725,6
M00898,0.34970005119527725,6
M00909,0.06537155422540558,79
M00911,0.15437502676115936,33
M00912,0.06643304798984287,159
M00913,0.2831055903624024,14
M00917,0.09475698012917691,76
M00926,0.05423771982512574,44
M00936,0.11032768454870337,18
M00938,0.1081260753923294,483
M00953,0.3052154298853675,89
M00955,0.056484345937526215,82
M00957,0.05728776623107935,59
M00958,0.022408674357971236,146
M00959,0.045750305673757985,129
M00968,0.20320678672660053,5
M00970,0.17301081659960516,334
M00972,0.2141370088688976,370
M00974,0.18569267995141034,102
M00975,0.08974554362499688,42
M00976,0.03516890525451383,111
M00977,0.04464535574788287,111
M00978,0.1493439241012151,83
M00981,0.11032768454870337,18
M00982,0.17086636538884203,12
M00983,0.16118423457245828,108
M00987,0.3929078661988813,50
M00988,0.08444755984985096,26
M00991,0.17104711575345083,35
M00992,0.17104711575345083,35
M00994,0.1928745565521299,43
M00995,0.1196075932628824,65
M00997,0.08492103353940875,15
M00999,0.1534714928186264,4
M01000,0.07184179942416923,26
M01001,0.12639134013855555,41
M01002,0.1196075932628824,65
M01003,0.10945933515095685,19
M01004,0.2453531968085527,15
M01006,0.08013648735522849,24
M01015,0.09052852089678164,73
M01016,0.2030008589831436,18
M01017,0.17530007396043595,4
M01018,0.17530007396043595,4
M01019,0.17530007396043595,4
M01020,0.17530007396043595,4
M01022,0.19179179642373193,74
M01023,0.19179179642373193,74
M01024,0.19179179642373193,74
M01025,0.19179179642373193,74
M01026,0.19179179642373193,74
M01027,0.19179179642373193,74
M01034,0.17530007396043595,4
hsa00010,0.08116251372820302,433
hsa00020,0.15714244065039581,280
hsa00030,0.043959746478967165,146
hsa00040,0.06406199635837712,260
hsa00051,0.08665964135234241,584
hsa00052,0.10093011682261302,301
hsa00053,0.04634395175716645,205
hsa00061,0.09209692722594204,211
