pathway_name,distance,n
M00001,0.11296953816084696,165
M00002,0.14282123963873722,77
M00003,0.1982411341292449,92
M00004,0.07326696853755701,46
M00005,0.12218382809095711,76
M00006,0.2535548735464977,15
M00007,0.08667390457037542,27
M00008,0.11751559232697038,9
M00009,0.15205970196701427,304
M00010,0.1549885793120501,139
M00011,0.129662741348182,174
M00012,0.20952630119470458,114
M00013,0.06447213824091412,88
M00014,0.04903922648714292,220
M00015,0.11082786692531832,96
M00017,0.17272589817817333,37
M00019,0.1681978164300103,51
M00020,0.04113894490590162,47
M00027,0.15983131842948975,110
M00028,0.32809021232149405,18
M00029,0.023211030677720366,125
M00032,0.04157567262517176,196
M00034,0.125243326616982,297
M00035,0.12871749617459025,189
M00036,0.11878195689647635,202
M00037,0.15917582463824512,140
M00038,0.09213302699027276,92
M00042,0.03500934117722134,108
M00043,0.13428229364719477,43
M00044,0.060602211656576664,123
M00045,0.0933740500726119,45
M00046,0.07830539827902395,34
M00047,0.18685280289821768,306
M00048,0.07989394245721348,144
M00049,0.08053407852014577,214
M00050,0.21174387765916447,232
M00051,0.06024288667091294,51
M00052,0.07764811175968504,182
M00053,0.09550476795007264,390
M00055,0.027949345452539444,105
M00056,0.018272078499727753,301
M00057,0.04608759932543181,80
M00058,0.05060400878317882,98
M00059,0.03262018553751409,164
M00065,0.07541606148359968,131
M00066,0.03240070199261172,55
M00067,0.2528757201084424,31
M00068,0.14786790448004156,88
M00069,0.03482258941246653,119
M00070,0.09654198669397834,47
M00071,0.10863358915325468,28
M00072,0.032852369179114105,158
M00073,0.1628406642355291,143
M00074,0.22074695024995286,130
M00075,0.04041152682838773,200
M00076,0.04150331444552247,135
M00077,0.029226810843480514,137
M00078,0.02501687867933949,147
M00079,0.08386558905969328,50
M00082,0.03814480163035457,132
M00083,0.07977049561066915,129
M00085,0.03636334867865638,135
M00086,0.04057334882281141,62
M00087,0.06731595385520533,120
M00088,0.09992228600510134,112
M00089,0.09476787861239941,352
M00090,0.10727762101031635,67
M00091,0.1875303542555639,19
M00092,0.05510861020936344,62
M00093,0.11636472690440013,40
M00094,0.08805274600171602,207
M00095,0.0942650985283141,155
M00096,0.27627317742991897,15
M00098,0.0617176792948941,412
M00099,0.09966736010720717,259
M00100,0.09187471362708113,95
M00101,0.1458387664830113,254
M00102,0.13222552287402986,192
M00103,0.07126783198195925,53
M00104,0.04216937457891649,211
M00106,0.056323412871332725,78
M00107,0.06948562961159319,72
M00108,0.05615534155994713,112
