pathway_name,distance,n
M00001,0.12296804063530357,180
M00002,0.08873050080118222,75
M00003,0.02356714085436469,103
M00004,0.025657517274670534,79
M00005,0.2934735703136021,82
M00006,0.1933051239214959,25
M00007,0.09651041047305588,46
M00008,0.14404855842119316,20
M00009,0.15849733235212665,202
M00010,0.2301812108611332,84
M00011,0.10870022403829659,126
M00012,0.28290655534915227,93
M00013,0.1237596715509927,78
M00014,0.09457437122035067,176
M00015,0.07904075071572202,39
M00017,0.07478308439745335,24
M00019,0.11356851155663343,46
M00020,0.1191671559352974,26
M00027,0.0633849447366997,68
M00028,0.3122739421153112,17
M00029,0.0913111685496184,69
M00032,0.15745117144660345,158
M00034,0.14666725858440083,237
M00035,0.1087035050345322,223
M00036,0.09887676234677614,153
M00037,0.09761506684871725,90
M00038,0.18724783892923408,84
M00042,0.07729808165710626,127
M00043,0.06731288736882786,16
M00044,0.035510781519743316,107
M00045,0.11842300487494702,34
M00046,0.06307346587663404,26
M00047,0.27092582610381305,837
M00048,0.10109003125757852,82
M00049,0.17177374147233143,232
M00050,0.22204117934285372,218
M00051,0.12746281156917824,55
M00052,0.14058408800796784,191
M00053,0.19396602148340913,942
M00055,0.05885897811978523,118
M00056,0.027087594274660627,187
M00057,0.043894506015940325,47
M00058,0.07357446008541539,73
M00059,0.07271750839880457,199
M00065,0.05242529408813758,149
M00066,0.10388257811923199,52
M00067,0.22535401953717396,17
M00068,0.12796534544671187,101
M00069,0.06802223682666567,140
M00070,0.09703880094723043,60
M00071,0.17282616095129574,26
M00072,0.03802263914016539,128
M00073,0.0456677865842702,128
M00074,0.05578735864745787,109
M00075,0.033074234340651494,175
M00076,0.02391906324980454,125
M00077,0.027634690132012425,138
M00078,0.043917319503810885,130
M00079,0.1409938549368271,102
M00082,0.0676060123215436,67
M00083,0.03009209283888803,70
M00085,0.09138206724247588,57
M00086,0.11444143450534412,47
M00087,0.14324375267872747,95
M00088,0.06859696833142395,76
M00089,0.07147642986619591,301
M00090,0.09587546020755637,33
M00091,0.14649629191562583,21
M00092,0.0908017438470512,56
M00093,0.07476496456086595,21
M00094,0.04198779825255086,159
M00095,0.03281910426983739,100
M00096,0.06561577237969471,21
M00098,0.041176239882001774,354
M00099,0.06048546200145923,191
M00100,0.037033075506806463,109
M00101,0.0752636615674591,169
M00102,0.06466620641687995,136
M00103,0.16981756418170602,24
M00104,0.07429478910924828,139
M00106,0.16911308390350754,48
M00107,0.053047029166923665,85
M00108,0.05736163962596271,75
M00109,0.03047733324626877,93
M00110,0.05045165345968322,45
M00113,0.09852382673333482,22
M00114,0.1996221492014647,23
M00115,0.1243603793331497,131
M00118,0.10431395284174409,45
M00119,0.11356851155663343,46
M00120,0.052728365914224855,137
M00121,0.06739327996389485,112
M00122,0.10260911201619627,47
M00124,0.06774966079952559,21
M00126,0.1912065267344527,102
M00128,0.2678512386086712,48
M00129,0.09905175717258329,165
M00130,0.0250877822123735,265
M00131,0.05252861649092552,71
M00132,0.042083278667248,100
M00133,0.06499473586082184,35
M00134,0.07437312593228046,26
M00135,0.056198071907580034,53
M00140,0.1388667232698992,35
M00141,0.056722129014664134,75
M00143,0.0674486330050987,29
M00146,0.09062967484229792,91
M00147,0.3796529325596158,63
M00148,0.24489494903270353,37
M00151,0.19960947660939787,31
M00152,0.09577843558301907,69
M00154,0.1287162083755513,123
M00158,0.11941379300597052,158
M00160,0.05760097065567559,123
M00165,0.05089305700790343,104
M00168,0.25408593054358153,25
M00169,0.1744552632694103,43
M00170,0.0884301489085937,53
M00171,0.17836819932751333,81
M00172,0.1744552632694103,43
M00173,0.11376352074023956,47
M00307,0.11928187867689083,114
M00308,0.20671024309713032,31
M00338,0.2861702542305911,26
M00344,0.09462687438146429,34
M00345,0.23864247418215578,34
M00346,0.08535279020275455,69
M00357,0.19868811187643645,28
M00364,0.06561577237969471,21
M00365,0.06561577237969471,21
M00366,0.1374813598180791,52
M00367,0.15813045187126282,52
M00368,0.18286925853668193,76
M00373,0.06741075482552843,65
M00374,0.06291056239034362,28
M00375,0.09259862986476508,42
M00376,0.07756765256147569,36
M00415,0.03027300472239148,156
M00532,0.10781376683988303,130
M00546,0.07768678999994529,24
M00549,0.2014835367045212,113
M00552,0.20671024309713032,31
M00554,0.29787650125729814,30
M00555,0.1583133480548236,10
M00570,0.11271987734329379,72
M00572,0.03223347017229937,70
M00580,0.3722590856597272,4
M00609,0.18286925853668193,76
M00621,0.09225874083351951,50
M00632,0.20458997431245174,49
M00740,0.12641196789035009,45
M00741,0.051306133278730764,41
M00761,0.15678001965252678,11
M00793,0.10508662034229499,77
M00840,0.2611741334730829,25
M00841,0.1892042931701385,15
M00842,0.09099625477967042,38
M00843,0.08687239068712867,33
M00844,0.16895005519906658,49
M00845,0.21017975223463867,40
M00846,0.09899158170162335,27
M00849,0.0352557934948709,98
M00854,0.11554791394561134,66
M00855,0.03531008322186735,88
M00861,0.08470988030653448,42
M00862,0.08979578915737696,24
M00868,0.03551772415542789,125
M00872,0.03138119825154261,156
M00873,0.05318363864552729,137
M00874,0.06051762050424121,142
M00880,0.14782480079873916,85
M00881,0.3878972396936682,13
M00882,0.13094574145905943,17
M00883,0.07963527239964202,18
M00884,0.3878972396936682,13
M00885,0.061134680676690395,30
