pathway_name,distance,n
M00001,0.10627657680121903,567
M00002,0.09594103691957545,265
M00003,0.060028704744066914,288
M00004,0.11120718748432831,148
M00005,0.14278251340303308,233
M00006,0.057642930926626916,37
M00007,0.17274909609828304,106
M00008,0.15745059390817043,27
M00009,0.18912839827959377,720
M00010,0.26620325263513206,335
M00011,0.12316717189175583,410
M00012,0.32352033994284146,310
M00013,0.11350206630049102,167
M00014,0.05344437192686972,550
M00015,0.11384200192164419,147
M00017,0.26660253484706864,87
M00019,0.11541581970910046,150
M00020,0.1378102512072832,95
M00027,0.1404927617724169,182
M00028,0.2118378582725297,59
M00029,0.059644143790296096,290
M00032,0.12172785399666779,429
M00034,0.1972556701958463,728
M00035,0.11912059250486541,593
M00036,0.13110845856023992,419
M00037,0.09461349575548329,417
M00038,0.1110727237218609,284
M00042,0.06487706998212069,345
M00043,0.11021787220031175,47
M00044,0.07194814014110683,333
M00045,0.1916420497327811,152
M00046,0.02732155221155818,104
M00047,0.21848224400952487,1116
M00048,0.14971677076173398,326
M00049,0.09499482555397397,695
M00050,0.2147542477899537,702
M00051,0.14818458303638585,121
M00052,0.06391337972811073,506
M00053,0.1556759574013585,1396
M00055,0.04482728469586466,335
M00056,0.06355418351732814,671
M00057,0.041313697430669,245
M00058,0.03426182817933666,223
M00059,0.05391567046015948,554
M00065,0.0218505819178043,410
M00066,0.039539933512915605,181
M00067,0.11182293515376138,84
M00068,0.13685901840016293,314
M00069,0.03710923125482343,376
M00070,0.08213971333324309,160
M00071,0.02406183482241472,105
M00072,0.11056649214968345,418
M00073,0.13441614380183434,380
M00074,0.13859647140445971,314
M00075,0.05409160214438714,452
M00076,0.05881382690763931,373
M00077,0.05603355886484093,428
M00078,0.03026526974074377,439
M00079,0.042139600864123085,310
M00082,0.11154355723096952,242
M00083,0.11125685836094606,266
M00085,0.10756647999390881,237
M00086,0.05680158525569096,142
M00087,0.11697813133049142,300
M00088,0.08565308257472785,212
M00089,0.06226532196608047,836
M00090,0.08438018325518137,157
M00091,0.12737507282860297,57
M00092,0.12728713635186564,203
M00093,0.09184888195050779,92
M00094,0.10996499789581914,572
M00095,0.08400310481180243,275
M00096,0.1685969149345046,47
M00098,0.07438822880375151,1082
M00099,0.07902412677918826,681
M00100,0.06888574091173083,314
M00101,0.10626820526202177,436
M00102,0.1387132698061944,358
M00103,0.04558991676668151,107
M00104,0.03236792635671738,473
M00106,0.05159043655019076,180
M00107,0.14105077858301565,246
M00108,0.06328257178267999,195
M00109,0.07044843873811563,271
M00110,0.07589333080489212,136
M00113,0.13633988298473274,113
M00114,0.13329087626982913,107
M00115,0.0862116165644066,376
M00118,0.10772666377058362,103
M00119,0.11541581970910046,150
M00120,0.15751934190329112,365
M00121,0.1731190380629656,259
M00122,0.15407450619897978,178
M00124,0.09230629357666359,61
M00126,0.16201658759862533,408
M00128,0.03711343648208799,181
M00129,0.08148136965462625,475
M00130,0.030355236200611063,821
M00131,0.06917450056587242,248
M00132,0.06867306337785234,273
M00133,0.1863131619836463,111
M00134,0.10675903506063551,57
M00135,0.19038330615474408,150
M00140,0.12361718563489793,80
M00141,0.13274105152179425,133
M00142,0.420778800922342,4
M00143,0.24599077328512284,103
M00146,0.0397341195619604,309
M00147,0.16186486833926342,122
M00148,0.2837141552808094,87
M00151,0.029568296325416178,105
M00152,0.017601189941857116,262
M00154,0.10876610459979583,374
M00158,0.04304299562651221,439
M00160,0.12968821003343917,370
M00165,0.06690975942580084,261
M00168,0.38922878768643826,54
M00169,0.15717076673793395,85
M00170,0.039981439339539626,165
M00171,0.151513476387519,349
M00172,0.15717076673793395,85
M00173,0.23569143304117243,192
M00307,0.057569401584726655,464
M00308,0.07128351811602701,59
M00338,0.07830780239617502,93
M00344,0.03348090644480438,108
M00345,0.21854692603148362,99
M00346,0.21513314852006177,193
M00357,0.060565229089388974,75
M00364,0.1685969149345046,47
M00365,0.1685969149345046,47
M00366,0.22672546141752567,121
M00367,0.23068504994390565,127
M00368,0.25978896164059573,195
M00373,0.09498862197329586,205
M00374,0.07641468139773615,91
M00375,0.07688182810299059,107
M00376,0.10391887781547042,129
M00415,0.08707224525721667,486
M00532,0.0943631532021889,356
M00546,0.049125323218688025,64
M00549,0.15689209544967997,344
M00552,0.07128351811602701,59
M00554,0.09308434922496425,104
M00555,0.24064084881545372,34
M00570,0.12354245815321999,250
M00572,0.09016827672740961,260
M00580,0.10367557326760013,16
M00609,0.25978896164059573,195
M00621,0.17026656509195437,144
M00632,0.1292613546756207,138
M00740,0.26761970990653144,170
M00741,0.15553865546746562,137
M00761,0.1097945940157286,18
M00793,0.09199673547106092,152
M00840,0.301700007598957,143
M00841,0.2848464263568638,61
M00842,0.18600310194952627,103
M00843,0.18939168351154778,92
M00844,0.12101452520606899,215
M00845,0.1376526758483963,177
M00846,0.24275993640791987,52
M00849,0.07579323811174132,259
M00854,0.07479900879006462,236
M00855,0.05892523955805661,311
M00861,0.13631243785239316,191
M00862,0.10017738533272773,100
M00868,0.13422475579537577,354
M00872,0.02067242952210416,512
M00873,0.07418988971172807,427
M00874,0.11457619327643041,469
M00880,0.22420806057678486,243
M00881,0.32578687159393177,25
M00882,0.1645496200416618,57
M00883,0.09534500143720476,61
M00884,0.32578687159393177,25
M00885,0.14270951418000638,146
M00886,0.14270951418000638,146
M00892,0.12922624924584772,315
M00897,0.08918735226395842,21
M00898,0.08918735226395842,21
M00909,0.13096320454576565,257
M00911,0.1614011254490665,107
M00912,0.07810077747433138,505
M00913,0.3445524768092892,39
M00917,0.11336898324916667,217
M00926,0.19420216323964104,147
M00936,0.19747557600754453,69
M00938,0.1496599264512602,1400
M00953,0.25978896164059573,195
M00955,0.06840969062384883,293
M00957,0.14545422369481814,148
M00958,0.08197041605885173,475
M00959,0.07616870509007018,398
M00968,0.08722397122162291,20
M00970,0.18902912075847436,926
M00972,0.23842423817933417,1043
M00974,0.16366206770651245,309
M00975,0.08642996168186344,102
M00976,0.05700558864798745,333
M00977,0.07343621248194628,328
M00978,0.11804893734596962,222
M00981,0.19747557600754453,69
M00982,0.07750908039516353,79
M00983,0.11346703507639816,331
M00987,0.07514617041308569,194
M00988,0.18939168351154778,92
M00991,0.13724470784730633,64
M00992,0.13724470784730633,64
M00994,0.40425146865642136,167
M00995,0.19230609854906552,211
M00997,0.07042983064681353,42
M00999,0.1097945940157286,18
M01000,0.13329087626982913,107
M01001,0.07111505000111527,104
M01002,0.19230609854906552,211
M01003,0.06824913957841233,85
M01004,0.4087904543716407,18
M01006,0.18345794131263826,85
M01015,0.1677343705440297,253
M01016,0.16429235191546282,47
M01017,0.3506878582381421,24
M01018,0.3506878582381421,24
M01019,0.3506878582381421,24
M01020,0.3506878582381421,24
M01022,0.09199673547106092,152
M01023,0.09199673547106092,152
M01024,0.09199673547106092,152
M01025,0.09199673547106092,152
M01026,0.09199673547106092,152
M01027,0.09199673547106092,152
M01034,0.3506878582381421,24
hsa00010,0.06917184855466797,1439
hsa00020,0.16810998918514572,1045
hsa00030,0.10790138007315397,611
hsa00040,0.09094689560407015,943
hsa00051,0.06729831152370025,1900
hsa00052,0.08840406625267581,1150
hsa00053,0.09417448576504008,750
hsa00061,0.06745365678209672,644
hsa00062,0.10733378511848393,878
hsa00071,0.07908278870780298,995
hsa00100,0.06193856561508976,696
hsa00120,0.02707712204343848,510
hsa00130,0.025700038121425305,491
hsa00140,0.0687852692215469,1469
hsa00190,0.06081246733400909,1572
hsa00220,0.08328947471217293,715
hsa00230,0.015099523266816,4359
hsa00232,0.06931353144512697,207
hsa00240,0.0889243520681478,2229
hsa00250,0.1017874389275601,1358
hsa00260,0.10019394472105352,1798
hsa00270,0.12638110465126356,1514
hsa00280,0.10955769086821318,1036
hsa00290,0.12354245815321999,250
hsa00310,0.04142406014182671,2698
hsa00330,0.11065477430842847,1905
hsa00340,0.16902135242342065,628
hsa00350,0.11141199910261528,1173
hsa00360,0.09232945586221224,632
hsa00380,0.08234121874066236,1091
hsa00400,0.0477757354175007,434
hsa00410,0.09181828989484803,996
hsa00430,0.05950534314007052,553
hsa00440,0.15604829617378493,150
hsa00450,0.15393573686220305,763
hsa00470,0.06888460492606124,111
hsa00480,0.05580727466237363,2196
hsa00500,0.07343764769374961,1197
hsa00510,0.07812409661055392,1426
hsa00511,0.05914376655543134,409
hsa00512,0.04697670825145547,990
hsa00513,0.06504328564754701,1201
hsa00514,0.018897551998544204,1218
hsa00515,0.015968403593094913,896
hsa00520,0.07806294233278095,942
hsa00524,0.1640327099536657,211
hsa00531,0.03328919612908786,681
hsa00532,0.013068072601595026,689
hsa00533,0.028724652406942816,523
hsa00534,0.0307836331199707,824
hsa00541,0.15235573377325845,709
hsa00561,0.07739416259698272,2156
hsa00562,0.044592463933714986,2884
hsa00563,0.02411490170373082,800
hsa00564,0.041339647190188435,2323
hsa00565,0.01883512838299865,1168
hsa00590,0.09998474945931202,2384
hsa00591,0.03536635849161125,832
hsa00592,0.04249742929090751,637
hsa00600,0.012205376012387774,1156
hsa00601,0.04179184758525549,687
hsa00603,0.030623803117546797,582
hsa00604,0.02309785123589892,719
hsa00620,0.08514034709113999,1129
hsa00630,0.15324906215193937,831
hsa00640,0.08072127824275414,860
hsa00650,0.06387830638935856,605
hsa00670,0.1821450983313602,1037
hsa00730,0.10043804862075772,809
hsa00740,0.1358075930797086,480
hsa00750,0.06629218008401914,172
hsa00760,0.0731077222094026,1129
hsa00770,0.0951301147906056,852
hsa00780,0.03792275470029438,277
hsa00785,0.08109598187881709,732
hsa00790,0.1421893650778538,1026
hsa00830,0.10698739416103915,1619
hsa00860,0.11901373310321173,1149
hsa00900,0.13329606968664234,666
hsa00910,0.2073896475118568,427
hsa00920,0.14351774540990714,378
hsa00970,0.17055567744018602,2153
hsa00980,0.08595614273995486,1253
hsa00982,0.06923612738139005,1297
hsa00983,0.05069822576769068,2495
hsa01040,0.12797739296833083,716
hsa01100,0.007421103258061687,22247
hsa01200,0.10270337908193035,2477
hsa01210,0.1421358463031336,1322
hsa01212,0.10898914300690205,1543
hsa01230,0.13654366908060675,1866
hsa01232,0.038737921452368346,2723
hsa01240,0.10829634121244229,3238
hsa01250,0.11047922116286694,1260
hsa01320,0.07514617041308569,194
hsa01521,0.04526864408017684,2826
hsa01522,0.0406648754289352,4919
hsa01523,0.10953850505492686,1174
hsa01524,0.07642199104709844,3372
hsa02010,0.06428248825681261,2370
hsa03008,0.050602765880023694,2204
hsa03010,0.036466919574933074,1596
hsa03013,0.007545620380823859,2659
hsa03015,0.06603054398413986,2436
hsa03018,0.05662502612974695,2257
hsa03020,0.11194929548723896,880
hsa03022,0.01568047253856471,1149
hsa03030,0.06509995978101481,948
hsa03040,0.08955666427318662,3171
hsa03050,0.10605345006718779,1117
hsa03060,0.1277147455770838,1114
hsa03082,0.03350403199012034,3216
hsa03083,0.04406272362004536,2546
hsa03250,0.005408576641977598,2597
hsa03260,0.04455080205241494,347
hsa03264,0.05134184867355331,471
hsa03265,0.07063184012923497,700
hsa03266,0.03968521235036729,586
hsa03267,0.045373537846838015,266
hsa03271,0.08506850750154767,171
hsa03272,0.024256431282610957,1162
hsa03273,0.035164780271867924,1473
hsa03320,0.04405424935946654,1894
hsa03410,0.10191714195498411,1496
hsa03420,0.045860846269394594,1320
hsa03430,0.08793764988094309,939
hsa03440,0.05708364497297459,1636
hsa03450,0.01745863698493717,727
hsa03460,0.037967328032553774,1936
hsa04010,0.011827095678212723,8321
hsa04012,0.04360252699840132,3007
hsa04014,0.03492805211241101,5720
hsa04015,0.05601799927162894,6747
hsa04020,0.05507676259570231,8004
hsa04022,0.052073722612642405,5124
hsa04024,0.03451448191101174,6789
hsa04060,0.044091931313631295,4203
hsa04061,0.04615699293363334,1809
hsa04062,0.04191778660538025,4615
hsa04064,0.00924870376242537,2800
hsa04066,0.04569307522445226,3200
hsa04068,0.020081591549547556,4069
hsa04070,0.034962643230373965,3117
hsa04071,0.011172019360092544,4412
hsa04072,0.05154690332380247,5116
hsa04080,0.02020852446574953,6948
hsa04081,0.05658024910958929,5334
hsa04082,0.05662945777547678,4988
hsa04110,0.08371238720713703,4945
hsa04114,0.03165892028369062,3866
hsa04115,0.14492605775456252,3062
hsa04120,0.007721827279667512,3716
hsa04122,0.0973180942772431,362
hsa04130,0.11182067973552177,697
hsa04136,0.07124047779576835,942
hsa04137,0.04881062788786108,3851
hsa04140,0.046309239893272396,5382
hsa04141,0.04422919748572269,3752
hsa04142,0.07324473007144701,3548
hsa04144,0.03056831749183363,5739
hsa04145,0.05243582418136262,3176
hsa04146,0.07656240714002521,2085
hsa04148,0.01589410121342299,6171
hsa04150,0.04900596223733299,3884
hsa04151,0.009728141604134023,10121
hsa04152,0.08265163443360518,3352
hsa04210,0.05003862000140179,4776
hsa04211,0.05853460194968378,3903
hsa04213,0.07920182512066037,2292
hsa04215,0.07576382105476785,1384
hsa04216,0.07518254749315526,2226
hsa04217,0.02938790401125153,3147
hsa04218,0.02624197249214346,5692
hsa04260,0.0705177178583474,2446
hsa04261,0.07953509073954705,4398
hsa04270,0.07470433957190711,4182
hsa04310,0.04793224962090233,5782
hsa04330,0.023663229649314298,2700
hsa04340,0.015085918558016852,2215
hsa04350,0.007176379282987602,3330
hsa04360,0.03196313255320988,6391
hsa04370,0.06196513863279301,2297
hsa04371,0.044823848221869154,4306
hsa04380,0.03277264152391377,3850
hsa04382,0.03868586294476238,5268
hsa04390,0.026838731105585736,4494
hsa04392,0.014585606350107501,1342
hsa04510,0.02708205886125382,7004
hsa04512,0.022544166939707552,4237
hsa04514,0.017947182863000673,4287
hsa04520,0.042077567984837666,3965
hsa04530,0.08398198895547525,5648
hsa04540,0.07067951762180784,3163
hsa04550,0.037320330959565044,4250
hsa04610,0.03141030430643191,2504
hsa04611,0.06701416793118128,4318
hsa04612,0.028073362561006555,1511
hsa04613,0.04848817687957613,4276
hsa04614,0.08083066573822474,1040
hsa04620,0.020025301789255035,2842
hsa04621,0.04973929854239955,5982
hsa04622,0.054516318490725746,1939
hsa04623,0.01876931565875951,2175
hsa04625,0.033478977241928345,3662
hsa04630,0.03985180246573296,3754
hsa04640,0.014700615276142689,2405
hsa04650,0.0221599088109932,3409
hsa04657,0.01931702605866798,2850
hsa04658,0.02965808373383688,2516
hsa04659,0.00620967142431721,2639
hsa04660,0.059882053968046085,3916
hsa04662,0.03821627591420326,3179
hsa04664,0.04679706322344004,2245
hsa04666,0.08262921903182704,3051
hsa04668,0.032325652036877386,3522
hsa04670,0.04633552748936855,3305
hsa04672,0.03321825561712966,1122
hsa04710,0.056764751312375225,1233
hsa04713,0.03376424513882532,3595
hsa04714,0.03772320038052872,4636
hsa04720,0.014437869130820546,2614
hsa04721,0.14794330235415112,2118
hsa04722,0.06697196164689746,3913
hsa04723,0.05920487583541693,3719
hsa04724,0.11397427640024592,5468
hsa04725,0.0776071261245126,3797
hsa04726,0.07552126843527524,3447
hsa04727,0.11062631061690018,2860
hsa04728,0.07854194166829709,3364
hsa04730,0.06844746272075207,2529
hsa04740,0.013182227933607318,6868
hsa04742,0.03872655255171661,2867
hsa04744,0.0809188205230033,977
hsa04750,0.08320739698105561,3342
hsa04810,0.03781321387933603,6361
hsa04814,0.025639985263838354,6577
hsa04820,0.015857906306332416,10404
hsa04910,0.04337054343881408,3557
hsa04911,0.0618625041997329,3634
hsa04912,0.03742642654563141,3076
hsa04913,0.10129780805499321,1824
hsa04914,0.04432384281171836,3719
hsa04915,0.042886829508986826,4431
hsa04916,0.050038441288486696,3101
hsa04917,0.04823884837807439,2473
hsa04918,0.09837017694424169,3770
hsa04919,0.044543564254614094,5847
hsa04920,0.021282194044933155,2122
hsa04921,0.05335316608988668,5213
hsa04922,0.01823388045420363,2834
hsa04923,0.08072801595500767,2625
hsa04924,0.07866473809313079,2490
hsa04925,0.08269117044036252,3619
hsa04926,0.04914601615427088,4079
hsa04927,0.06898959600369328,3082
hsa04928,0.046088921978409234,4275
hsa04929,0.06562797424721904,2925
hsa04930,0.07675873299478476,2342
hsa04931,0.0498539542955916,3282
hsa04932,0.03908470071737178,3089
hsa04933,0.025599743156767853,3572
hsa04934,0.027593091713993746,5029
hsa04935,0.029462824665018095,4294
hsa04936,0.006922361621358524,3246
hsa04940,0.02862926881968036,857
hsa04950,0.033175676900117745,952
hsa04960,0.10234682959089286,1668
hsa04961,0.10381465305447632,1879
hsa04962,0.09493846468564433,1320
hsa04964,0.19273094597210763,926
hsa04966,0.12238577432095327,674
hsa04970,0.10441748936273983,4207
hsa04971,0.10649532276069668,2603
hsa04972,0.09153949733237636,3794
hsa04973,0.08466761232227889,1859
hsa04974,0.008904792238192552,3948
hsa04975,0.011557436954239865,2016
hsa04976,0.08516164810727961,2778
hsa04977,0.03928412669861103,1734
hsa04978,0.1494811250435659,3036
hsa04979,0.012216169169054754,2092
hsa04980,0.08295957803690142,1119
hsa04981,0.12188040416567314,941
hsa05010,0.035456299164308216,7643
hsa05012,0.020814740772157208,5583
hsa05014,0.01948598886629385,8341
hsa05016,0.010694491476652425,7532
hsa05017,0.04650868400079521,5110
hsa05020,0.05750804167713871,5699
hsa05022,0.02764889865737562,10231
hsa05030,0.07294406362503227,1770
hsa05031,0.07372474463892367,2072
hsa05032,0.08384510759251074,2622
hsa05033,0.05811180291740404,1717
hsa05034,0.016012436711292783,3180
hsa05100,0.11932097564392329,4071
hsa05110,0.12274055973696947,1486
hsa05120,0.05305855732783968,2174
hsa05130,0.05916784705329287,5925
hsa05131,0.02246385990256939,7772
hsa05132,0.03952823827892307,6478
hsa05133,0.020359605086701205,1855
hsa05134,0.043748699908941674,1766
hsa05135,0.04253904069478334,4374
hsa05140,0.033664574339672376,1705
hsa05142,0.047199578139881834,2805
hsa05143,0.01198769025429784,1385
hsa05144,0.08964205125393052,1797
hsa05145,0.03835490262464586,3003
hsa05146,0.0476644908439725,3528
hsa05150,0.008543424002048494,1992
hsa05152,0.009648950269162541,3331
hsa05160,0.07739499154312249,4560
hsa05161,0.07089105637984769,5926
hsa05162,0.09630270974310504,4072
hsa05163,0.027417753884038013,6971
hsa05164,0.011471041949220424,4144
hsa05165,0.022294128479300637,10242
hsa05166,0.03284359910427962,6818
hsa05167,0.049431350279143686,6068
hsa05168,0.07176402393547703,4759
hsa05169,0.042712460567514106,5607
