pathway_name,distance,n
M00001,0.08959688084651282,825
M00002,0.07169676714157219,443
M00003,0.03202398653497031,477
M00004,0.058928902709115966,238
M00005,0.11721854736182788,403
M00006,0.03466959245791901,84
M00007,0.13478236085279283,145
M00008,0.0486483188966657,54
M00009,0.16141950596483648,874
M00010,0.2617838894325617,320
M00011,0.11183268182042354,599
M00012,0.3268594311519957,308
M00013,0.06571512793006093,366
M00014,0.05514146369636786,995
M00015,0.0806077351940071,251
M00017,0.10288680734496598,205
M00019,0.06772180604947164,230
M00020,0.15442338292800284,170
M00027,0.06628674949964601,385
M00028,0.286342238177036,92
M00029,0.07563447982917024,475
M00032,0.05935077099526619,641
M00034,0.15758860735984914,1123
M00035,0.07899659090781727,975
M00036,0.06669475845487557,712
M00037,0.11342530864237314,582
M00038,0.04600621635427806,415
M00042,0.019344190250622083,606
M00043,0.026897817796306275,100
M00044,0.047128393852921203,608
M00045,0.0935500279907173,208
M00046,0.038498609505567154,150
M00047,0.19178289291007924,922
M00048,0.17413795043037708,339
M00049,0.13223557842976508,1111
M00050,0.23281324567897957,1031
M00051,0.05388742904624205,211
M00052,0.10773631971298754,895
M00053,0.057031936764017285,1422
M00055,0.040102210056898464,477
M00056,0.03198270893221994,1154
M00057,0.0313923711579219,344
M00058,0.02847399198404798,321
M00059,0.019956326209459578,987
M00065,0.04725062056363704,709
M00066,0.061464896941932516,292
M00067,0.09567576199892809,130
M00068,0.1782960695869932,551
M00069,0.0665935036813711,648
M00070,0.1493523305396099,315
M00071,0.056035085525297755,167
M00072,0.03400609769209511,667
M00073,0.1315770846680702,572
M00074,0.136954443322369,501
M00075,0.020443562729507123,881
M00076,0.07570102912847809,606
M00077,0.07993258535267998,674
M00078,0.03253518131078651,647
M00079,0.14251912929306526,441
M00082,0.03627492607086265,322
M00083,0.03708432307305085,431
M00085,0.06717538970693505,304
M00086,0.027116157603910944,190
M00087,0.04765994559802825,464
M00088,0.06719950305151873,390
M00089,0.04569187041176845,1343
M00090,0.0627085853480473,220
M00091,0.030014262828242412,116
M00092,0.12676288994212576,295
M00093,0.08625336345797309,136
M00094,0.08523653537228773,759
M00095,0.06606055798163611,439
M00096,0.22093704730181943,49
M00098,0.05157147629486948,1646
