pathway_name,distance,n
M00001,0.10106370694027482,753
M00002,0.06099182580932333,370
M00003,0.045795246683357424,389
M00004,0.03764108448136603,236
M00005,0.12151247866917794,330
M00006,0.046952870813677376,71
M00007,0.08838671364461084,141
M00008,0.09681828452105869,45
M00009,0.19131346450882067,750
M00010,0.2737859727658952,300
M00011,0.13299116141409933,470
M00012,0.345098680035376,298
M00013,0.028825191404277264,284
M00014,0.10137644997895112,778
M00015,0.13710534234325242,238
M00017,0.1865737992148848,168
M00019,0.11773688371905563,171
M00020,0.06884358851202162,145
M00027,0.06552440019049585,311
M00028,0.2213258810869222,38
M00029,0.048522868675576876,426
M00032,0.10131490578938443,555
M00034,0.2166168746443639,910
M00035,0.15151082716908373,711
M00036,0.13009016088760753,544
M00037,0.19895976593550352,498
M00038,0.13405382882155248,341
M00042,0.034509062601100024,513
M00043,0.07051629762993017,68
M00044,0.029074764228996398,517
M00045,0.06796773454629428,197
M00046,0.052948711813118284,116
M00047,0.2131404416677225,1002
M00048,0.15161607890142914,309
M00049,0.11138749263031492,911
M00050,0.24946905095836547,958
M00051,0.030012451622235703,184
M00052,0.07762601488079393,784
M00053,0.10335668280033398,1509
M00055,0.009789486443711738,379
M00056,0.02284959152144157,958
M00057,0.04664010432197969,241
M00058,0.03903853175882699,211
M00059,0.043182931704310805,787
M00065,0.04613555352196354,578
M00066,0.06158777338374406,272
M00067,0.11089076558348024,107
M00068,0.16910084045956084,484
M00069,0.046410702044887425,506
M00070,0.16674188043815275,281
M00071,0.12066447655635885,137
M00072,0.03472309011310729,545
M00073,0.0914582190944632,518
M00074,0.08612527852369244,440
M00075,0.01858133135519654,636
M00076,0.03383173660193627,499
M00077,0.03501333127512726,625
M00078,0.03630905328599944,539
M00079,0.09503462337774189,457
M00082,0.022349593703748564,251
M00083,0.03615082226108576,343
M00085,0.0715793888404639,237
M00086,0.03909973527294804,166
M00087,0.02442116356253027,351
M00088,0.07438247372463969,299
M00089,0.045455824663322236,1121
M00090,0.01870093869375014,175
M00091,0.05548534316589802,78
M00092,0.10533989673656771,233
M00093,0.09786931041550231,128
M00094,0.1390250208134456,676
M00095,0.10300044979626427,313
M00096,0.1455256537152778,54
M00098,0.1064871330165827,1475
M00099,0.11977528058256921,824
M00100,0.06599768879476252,456
M00101,0.08321665890845764,669
M00102,0.07986907192950894,509
M00103,0.09586600459985369,93
M00104,0.027639366440215533,532
M00106,0.04764196901313634,197
M00107,0.08075311160419052,363
M00108,0.032620326332351235,427
M00109,0.06899273220212794,506
M00110,0.06282477600726888,185
M00113,0.0469058191969939,153
M00114,0.09471187353750049,132
M00115,0.10978922469361668,525
M00118,0.13617406304767746,91
M00119,0.11773688371905563,171
M00120,0.1208963507707101,487
M00121,0.18953577220601542,322
M00122,0.0961832614832482,252
M00124,0.042652315595074625,83
M00126,0.18644482250859856,447
M00128,0.044663086927963835,185
M00129,0.10523361405595497,658
M00130,0.046149668911367174,980
M00131,0.045909379521901654,348
M00132,0.09609296906418509,359
M00133,0.292632923651968,106
M00134,0.13140481805681092,78
M00135,0.10015949157701343,161
M00140,0.039946530062087,89
M00141,0.03131791831133949,164
