pathway_name,distance,n
M00001,0.12246752406943077,5
M00002,0.2951316752963507,2
M00003,0.3153952295071183,2
M00004,0.21684898014431156,2
M00005,0.26891802630677286,2
M00007,0.5274619887544763,1
M00009,0.2728929593232957,3
M00010,0.5744718059529587,2
M00011,0.4034493694616278,1
M00012,0.18780982063103407,2
M00013,0.4964592887804483,1
M00014,0.1671652915413948,3
M00015,0.304491331411689,3
M00017,0.6027910664466455,1
M00019,0.4670808984533447,1
M00020,0.4324119710149391,1
M00027,0.15915902166528006,2
M00029,0.28382123828173916,2
M00032,0.13968226204379555,2
M00034,0.22059802621307056,3
M00035,0.517071662841257,3
M00036,0.2620758620914532,5
M00037,0.11458345167938733,8
M00038,0.5165616848802899,1
M00042,0.2153702769601058,3
M00043,0.4428275736861161,1
M00044,0.5252607483142306,1
M00047,0.30783150671739645,5
M00048,0.22503143067711479,4
M00049,0.3196807249256363,1
M00050,0.3000183113646169,2
M00051,0.4315567962739591,1
M00052,0.3290357095801354,1
M00053,0.20500514024246289,4
M00055,0.245327277716044,3
M00056,0.19371354148202308,3
M00057,0.2715559716860938,3
M00058,0.3736284369981362,1
M00059,0.1604862110358799,3
M00065,0.136173089636741,2
M00066,0.33823529239715916,1
M00071,0.6173188048495707,1
M00072,0.50663998558311,1
M00073,0.18142976334062785,3
M00074,0.19347739445583223,3
M00075,0.16372873613758673,2
M00076,0.12115947261688481,4
M00077,0.12131723944106057,4
M00078,0.1457641390757714,2
M00082,0.4704903410741151,1
M00083,0.5497332406489549,1
M00085,0.39232060551975917,2
M00086,0.14473771520106035,3
M00088,0.23438188494566714,3
M00089,0.08265503906479499,5
M00091,0.500714194479583,1
M00093,0.470250347704156,1
M00094,0.15925957612199515,2
M00095,0.225166214479063,3
M00098,0.17489411773661329,5
M00099,0.1527479893356759,4
M00101,0.12208906268581649,4
M00102,0.11613305882309825,4
M00104,0.11139738526911704,3
M00106,0.5900280117854385,1
M00108,0.33972313887856503,1
M00109,0.16715637991955912,4
M00110,0.6267305288197602,1
M00114,0.29250200905800244,2
M00115,0.14939070760794873,2
M00119,0.4670808984533447,1
M00120,0.12806874642119592,2
M00121,0.14580399740756506,2
M00122,0.48606520819220733,1
M00126,0.36193601040091594,3
M00128,0.15622515820115285,2
M00129,0.17151019763237316,3
M00130,0.06702148797741259,8
M00131,0.4378043131593382,1
M00132,0.3820933971416904,1
M00133,0.14805980626724846,2
M00134,0.4658409649393645,1
M00140,0.5213414406819974,1
M00141,0.5835751177446935,2
M00143,0.25685060779277263,2
M00146,0.2958146986952213,3
M00152,0.18976756866881445,2
M00154,0.13111057318117364,3
M00158,0.32646897903954003,6
M00160,0.16907811390449004,2
M00165,0.18990678157399304,2
M00168,0.3783115869657359,1
M00169,0.17382943162444006,2
M00170,0.18003964738248954,2
M00171,0.21976645099353878,4
M00172,0.17382943162444006,2
M00173,0.18653455226457852,2
M00308,0.25745588784578644,1
M00338,0.5683887586303843,1
M00345,0.6275342928725465,1
M00346,0.5540991309850842,1
M00357,0.3557784478803422,1
M00366,0.5143827446688126,1
M00367,0.4921963059882976,1
M00368,0.6000799083800499,1
M00373,0.16384166404469708,2
M00375,0.4912350242446573,1
M00376,0.1624003708270673,2
M00415,0.20972693289544042,4
M00532,0.2324073696420295,3
M00546,0.5262252273734546,1
M00552,0.25745588784578644,1
M00554,0.3599209991552541,2
M00570,0.47718245815321986,2
M00572,0.5628843548515378,1
M00609,0.6000799083800499,1
M00621,0.17066856473306471,2
M00632,0.12665343919933075,3
M00740,0.612133879160613,1
M00741,0.16106523664614036,2
M00793,0.3629619346672898,1
M00840,0.428909146612947,1
M00842,0.48936531910310516,1
M00843,0.46811105792293484,1
M00844,0.4268523219312584,1
M00845,0.403190508855348,1
M00846,0.5104347283813533,1
M00849,0.2232778077776995,3
M00854,0.4413055838071725,1
M00861,0.41790377836382303,1
