pathway_name,distance,n
M00001,0.0818074854243924,6
M00002,0.11379490775418821,4
M00003,0.10280502646969719,4
M00009,0.1514166100380063,5
M00010,0.401247360567438,1
M00011,0.21181004389838112,4
M00012,0.2762613399843773,2
M00013,0.2327064362524875,2
M00014,0.34719768269475915,1
M00017,0.37180980698785465,1
M00027,0.14491357427628232,2
M00032,0.3254242364944758,1
M00034,0.331638595561964,1
M00035,0.4185884752111083,1
M00036,0.31913788654065867,2
M00037,0.5006942851843071,2
M00043,0.5109506046867771,1
M00044,0.21615207206676665,2
M00048,0.31693438295215187,1
M00049,0.227495227698727,2
M00050,0.2732098462455524,2
M00052,0.19671555334586927,2
M00053,0.24169493221872623,2
M00056,0.3490932597810164,3
M00065,0.3583292468312596,1
M00066,0.14772991978294955,2
M00067,0.3586328946026516,1
M00068,0.1564565859364111,2
M00069,0.357651228841295,1
M00070,0.24123021917999418,1
M00072,0.31116660003657115,4
M00073,0.3702483383810357,8
M00074,0.35303479077276717,8
M00075,0.22056433355419505,3
M00076,0.42331382200915446,1
M00077,0.4235088364921129,1
M00078,0.3254775183039171,1
M00082,0.1514811828749423,3
M00083,0.22461975547229876,2
M00087,0.3186419169400573,1
M00088,0.4443952266040161,1
M00089,0.41319858805455895,4
M00092,0.3431940855052497,1
M00094,0.3204745442794891,1
M00095,0.4540035374275138,1
M00098,0.16764513119301047,3
M00099,0.18663459452990322,2
M00101,0.14425150753685903,2
M00102,0.14855281774132464,2
M00103,0.16556825700018862,2
M00104,0.24760122557605338,3
M00107,0.34541594110831864,1
M00108,0.1395793774466939,2
M00109,0.16555908643421116,2
M00114,0.09991732860981799,3
M00115,0.33152682979162135,1
M00120,0.14419769964619042,2
M00122,0.48606520819220733,1
M00126,0.46768869761492216,1
M00128,0.5698879954941578,1
M00129,0.46112512360850727,2
M00130,0.12832634345284163,2
M00131,0.44861922958790657,1
M00132,0.19857346192336933,2
M00146,0.6372726637107061,2
M00148,0.32109500089041093,1
M00151,0.32870086855406594,1
M00152,0.3381056841999156,1
M00154,0.22843464782828538,2
M00158,0.2554324055862102,3
M00160,0.35489714336328565,1
M00165,0.2205304573023528,3
M00168,0.27440194635261844,2
M00169,0.28053264020371127,2
M00170,0.3539562722848575,1
M00171,0.1987288748932855,3
M00172,0.28053264020371127,2
M00173,0.3886935936967951,1
M00307,0.33276568361154024,1
M00338,0.3971830053522713,1
M00344,0.22203228386260407,2
M00345,0.31560302794472145,1
M00367,0.48861031986657594,1
M00373,0.269792353103695,2
M00375,0.23380995595900414,2
M00376,0.24753597115007964,2
M00415,0.502494993231678,1
M00532,0.24072649539050833,2
M00546,0.3789006876838298,1
M00549,0.24703101819774337,3
M00554,0.5284415404615981,1
M00621,0.32439980885757314,1
M00632,0.521807591208227,1
M00740,0.36861558421111573,1
M00741,0.28283948263931785,2
M00849,0.45648926433783693,1
M00854,0.4580208981548272,2
M00855,0.3494983410754533,1
