pathway_name,distance,n
M00001,0.09024573385270541,666
M00002,0.05594864296167118,359
M00003,0.040914930920688646,385
M00004,0.027241441217300343,180
M00005,0.14415751230148363,310
M00006,0.07538643454845442,51
M00007,0.0880552090934592,118
M00008,0.08955404129035917,39
M00009,0.17868388784978131,679
M00010,0.2796721796624468,262
M00011,0.11508609964592374,450
M00012,0.33996438279814034,265
M00013,0.05406597638605134,274
M00014,0.06623869965796214,719
M00015,0.14025183577427844,213
M00017,0.16893922364552674,162
M00019,0.10585055796956085,159
M00020,0.11258802898506103,116
M00027,0.0763651311715935,286
M00028,0.20170182093654673,57
M00029,0.057796408777084377,351
M00032,0.0893952041659614,508
M00034,0.19196988360458545,833
M00035,0.12734527093019932,687
M00036,0.10120575747407139,499
M00037,0.13769813062251568,453
M00038,0.09303153545869329,306
M00042,0.013358047673525185,468
M00043,0.03856776285957423,66
M00044,0.01863967252873792,469
M00045,0.07340032739191531,170
M00046,0.03160423243638466,108
M00047,0.1953790859686055,796
M00048,0.1468693957691661,276
M00049,0.11900247830274983,842
M00050,0.24947071581076977,833
M00051,0.05195941090907981,168
M00052,0.10253761850595719,696
M00053,0.0819093845305113,1194
M00055,0.01718226792797131,350
M00056,0.03209923054525348,879
M00057,0.029389151471567388,235
M00058,0.04689422064827187,238
M00059,0.017548264246838387,692
M00065,0.05014942344756809,538
M00066,0.04832823412969974,227
M00067,0.09391159891681404,99
M00068,0.1704642870655555,427
M00069,0.04324436100060567,487
M00070,0.16511820866427482,242
M00071,0.0999845699751047,132
M00072,0.013522652442623021,507
M00073,0.06920880361790041,462
M00074,0.06538306426510848,390
M00075,0.020902217430057598,628
M00076,0.04326241697811546,473
M00077,0.0377538266462736,557
M00078,0.0211873604511271,508
M00079,0.08111825600059201,383
M00082,0.008473607520091122,247
M00083,0.03492025917043646,328
M00085,0.06572994214158397,231
M00086,0.01738627745601934,155
M00087,0.04387940271434999,340
M00088,0.07251218654350684,286
M00089,0.03514426605087594,1007
M00090,0.03977993631829556,165
M00091,0.05013452501505067,79
M00092,0.07807503850976728,209
M00093,0.06025635892667909,108
M00094,0.10744976105756902,599
M00095,0.0659506446712232,326
M00096,0.12310888942849867,44
M00098,0.08001668221633858,1256
M00099,0.08580826835070846,735
M00100,0.04051845623458499,415
M00101,0.1018974755724232,604
M00102,0.09854981565013471,491
M00103,0.0807003676405858,97
M00104,0.028777850104019904,481
M00106,0.03853380945165164,160
M00107,0.01998506978955782,330
M00108,0.03622327479631267,349
M00109,0.09599100709999579,419
M00110,0.03816347237063787,171
M00113,0.06741585084617237,158
M00114,0.13383578477857908,112
M00115,0.10350169158833916,482
M00118,0.09313539111531254,107
M00119,0.10585055796956085,159
M00120,0.0946504374276734,516
M00121,0.1663147195744365,301
M00122,0.12808994052015285,180
M00124,0.0755458356199128,77
M00126,0.1669564498648549,401
M00128,0.025202306676940307,180
M00129,0.06752209361728698,613
M00130,0.052268566178049744,885
M00131,0.03231610737785891,305
M00132,0.06845283871122328,346
M00133,0.193469765757231,110
M00134,0.12907131576239,68
M00135,0.06220109391003635,150
M00140,0.05886033075899685,98
M00141,0.07135059779935626,150
M00143,0.13695054302293855,101
M00146,0.055272434593209574,346
M00147,0.17486492786100738,135
M00148,0.229360970311559,116
M00151,0.07843378653882424,93
M00152,0.05686124870190635,276
M00154,0.09430453370825484,493
M00158,0.05487399696068668,506
M00160,0.09398564308269022,392
M00165,0.031876914060114454,355
M00168,0.3471231956429596,56
M00169,0.08401174458314374,99
M00170,0.02025685851440424,196
M00171,0.15353444942218875,336
M00172,0.08401174458314374,99
M00173,0.1460477856135498,126
M00307,0.09214136798419682,541
M00308,0.09468775712397386,126
M00338,0.18171260510782786,92
M00344,0.06794783421249509,142
M00345,0.2061968194611937,109
M00346,0.16090924677245452,227
M00357,0.0522917938357429,86
M00364,0.12310888942849867,44
M00365,0.12310888942849867,44
M00366,0.21925361896755163,146
M00367,0.21002591623392486,158
M00368,0.28215440832987404,246
M00373,0.08312400887955898,213
M00374,0.022095570876099622,110
M00375,0.026775137227451343,136
M00376,0.040265253993313335,139
M00415,0.03905949660662199,544
M00532,0.07339684412612374,382
M00546,0.03392345470326983,105
M00549,0.14971570774771215,416
M00552,0.09468775712397386,126
M00554,0.07854316792396475,128
M00555,0.12980753215984137,30
M00565,0.09668028402214596,13
M00570,0.13716122459763083,251
M00572,0.03564254792263972,326
M00580,0.09936349046208309,15
M00609,0.28215440832987404,246
M00621,0.10489416332644697,177
M00632,0.1049436188101739,187
M00740,0.15724179282967804,139
M00741,0.13981977856892397,137
M00761,0.0775342579477572,12
M00793,0.12371265661735426,187
M00840,0.37458268048163,118
M00841,0.2255377849873755,51
M00842,0.1301192169793695,110
M00843,0.14842195170624675,97
M00844,0.16450309851043024,194
M00845,0.22482419702700496,146
M00846,0.1283255929735761,72
M00849,0.0670439826391701,319
M00854,0.11317196266026996,255
M00855,0.04432482048578117,379
M00861,0.09702375786806088,217
M00862,0.06444824540974971,92
M00868,0.0978483794189988,426
M00872,0.017381731866052144,585
M00873,0.019468610016865576,496
M00874,0.04872731511786966,544
M00880,0.1667559096186639,309
M00881,0.27039765048564696,39
M00882,0.10661040567338242,75
M00883,0.028295690832123938,79
M00884,0.27039765048564696,39
M00885,0.05090749162931364,125
M00886,0.05090749162931364,125
M00892,0.16981182706671186,323
M00897,0.07210877757305965,54
M00898,0.07210877757305965,54
M00909,0.2079525438438621,260
M00911,0.16173223359325883,105
M00912,0.07943158649422756,614
M00913,0.14117106655287898,48
