pathway_name,distance,n
M00001,0.19918028600001692,3
M00002,0.3184117128394519,1
M00003,0.2651650581913867,5
M00004,0.43444266315395214,1
M00005,0.35799536102504803,2
M00007,0.43593124578029985,1
M00009,0.15766302468268947,4
M00010,0.5794718059529586,1
M00011,0.10113877341186564,3
M00012,0.4588748564622733,1
M00013,0.13968651691828743,2
M00014,0.1574104489349913,4
M00015,0.12272442912833706,3
M00017,0.19652213620030484,2
M00019,0.15298769847426952,2
M00020,0.1522306128564376,3
M00027,0.13317929721945146,2
M00029,0.13721812890126914,2
M00032,0.15660539674703994,4
M00034,0.17362870660582846,5
M00035,0.06927935469313846,6
M00036,0.21590316901768894,6
M00037,0.10099781731568794,5
M00038,0.13889557046129136,3
M00042,0.12111788383971928,3
M00044,0.19225651378595152,4
M00045,0.43513670845449737,1
M00047,0.11214229406447829,6
M00048,0.20751226170743062,3
M00049,0.18448605472698698,4
M00050,0.21743569494544443,2
M00051,0.09803910077770706,4
M00052,0.2959082189598584,2
M00053,0.24285336223677234,4
M00055,0.29609301194443854,5
M00056,0.06832748781935133,8
M00057,0.15495775358526423,2
M00058,0.21562388251001346,3
M00059,0.16615552410707085,8
M00065,0.22588187572410634,4
M00066,0.5962471148080699,1
M00067,0.6278508473600011,1
M00068,0.35671412280516196,4
M00069,0.41014932440670343,3
M00070,0.6333452290996976,2
M00071,0.5542666113766841,2
M00072,0.12067944560281492,3
M00073,0.2104049513944334,3
M00074,0.232100805182331,3
M00075,0.3768799634686473,6
M00076,0.19362972879357399,3
M00077,0.07666588839844618,4
M00078,0.10805881584531496,6
M00079,0.2527649302970937,4
M00082,0.11810031056927404,5
M00083,0.16368094535834363,2
M00085,0.14758775015444553,3
M00086,0.3836295810642672,1
M00087,0.09443067386403152,5
M00088,0.1541569040462653,3
M00089,0.06992959552924058,9
M00090,0.13818369048456206,2
M00091,0.14912980952079877,2
M00092,0.2880297938712025,4
M00093,0.12620588151867448,2
M00094,0.08319489178691152,4
M00095,0.10764930613508536,4
M00098,0.05816925384983934,6
M00099,0.06740629887463288,5
M00100,0.34274327339800675,1
M00101,0.11838483266102817,7
M00102,0.11141853648174792,7
M00104,0.14159009876644318,4
M00106,0.13266066098064935,3
M00107,0.34541594110831864,1
M00108,0.35849473477816113,1
M00109,0.5520486540494444,2
M00110,0.10583369907082062,3
M00113,0.37874546868009595,2
M00114,0.280447550032718,3
M00115,0.10593877661784112,3
M00119,0.15298769847426952,2
M00120,0.21233213965873352,7
M00121,0.37078127919713033,3
M00122,0.11981031580477579,2
M00124,0.4670037199764099,1
M00126,0.1714182196900436,3
M00128,0.27635500038396965,3
M00129,0.13700464240474547,2
M00130,0.1903076204920755,2
M00131,0.3473974713550486,1
M00132,0.37911727889967617,1
M00133,0.39477395604741494,1
M00134,0.40206625499655335,1
M00135,0.20539973661751287,3
