pathway_name,distance,n
M00001,0.0847934437405895,137
M00002,0.0877144785498027,65
M00003,0.097140280858575,77
M00004,0.08646178005091232,49
M00005,0.12248153862131096,30
M00006,0.12493656650293167,27
M00007,0.3453191316116191,14
M00008,0.4087300551876318,11
M00009,0.16988536287492426,157
M00010,0.20799506367498613,66
M00011,0.1632627671401489,97
M00012,0.32879902846743164,40
M00013,0.06313115238998021,66
M00014,0.029190654125330003,127
M00015,0.16260530896476216,37
M00017,0.07192528389208742,34
M00019,0.05869737509161402,68
M00020,0.0678499994882037,31
M00027,0.04665154839448957,86
M00028,0.3603124345437162,22
M00029,0.03295780212895382,86
M00032,0.04019340659796101,89
M00034,0.07307026269903501,144
M00035,0.03620904398880509,133
M00036,0.06263905600081002,142
M00037,0.15205637020321416,88
M00038,0.14499003925764142,59
M00042,0.06852015535265207,70
M00043,0.0840207073859003,18
M00044,0.0941172316675817,67
M00045,0.08374739318683062,55
M00046,0.08039177824396299,43
M00047,0.17389833215871026,302
M00048,0.0806556171537607,80
M00049,0.04644958255078295,157
M00050,0.14010639796969038,137
M00051,0.09815479725749204,41
M00052,0.05703076340093081,113
M00053,0.12306516980583018,324
M00055,0.039331781208402736,94
M00056,0.034292571533160024,157
M00057,0.03603138712529731,80
M00058,0.06557384879468846,61
M00059,0.05441194154371498,150
M00065,0.034466346000283726,109
M00066,0.10615717080116069,37
M00067,0.1739558382480856,22
M00068,0.20291273786983088,49
M00069,0.05458874732868576,65
M00070,0.1474461546975564,49
M00071,0.1852089729097816,32
M00072,0.02821521018670945,88
M00073,0.17414272257716923,80
M00074,0.17756781490318638,68
M00075,0.05543595114091655,96
M00076,0.1084988086550012,55
M00077,0.08332076324818696,74
M00078,0.06288388791459942,91
M00079,0.03501492324059194,52
M00082,0.04565516388727548,80
M00083,0.13397158846465354,49
M00085,0.056065226613779155,81
M00086,0.05358446709242696,43
M00087,0.08747255127510975,91
M00088,0.04601729193832581,62
M00089,0.08206991074859554,208
M00090,0.061492031266564356,50
M00091,0.072206472924611,27
M00092,0.09389938365640836,61
M00093,0.0503602224069318,26
M00094,0.1458788800017924,130
M00095,0.057671718392803134,64
M00096,0.4626117724542514,5
M00098,0.06894526674350498,189
M00099,0.12224620097290431,145
M00100,0.12505811510440543,62
M00101,0.025112094466143046,154
M00102,0.04366547002742144,114
M00103,0.14825054047707045,39
M00104,0.04821089451990063,148
M00106,0.12714492478260273,38
M00107,0.15731804130812985,39
M00108,0.14698426819382912,60
M00109,0.04781077981347387,84
M00110,0.09906615357469259,43
M00113,0.10202939045431918,42
M00114,0.08594007262175678,32
M00115,0.09686686404967304,68
M00118,0.2321838193226195,11
M00119,0.05869737509161402,68
M00120,0.05567677806354307,99
M00121,0.07111117682745764,73
M00122,0.07977940575596941,54
M00124,0.09199349830454256,25
M00126,0.04170516840141989,83
M00128,0.07007354329978134,61
M00129,0.05703489325086706,98
M00130,0.032836553159341475,161
M00131,0.21263761189479885,28
M00132,0.06464393154065454,38
M00133,0.16480673890381276,29
M00134,0.1730543336177284,21
M00135,0.10851136203500909,40
M00140,0.10361702168515273,44
M00141,0.1826350291290601,51
M00143,0.22333948242616233,25
M00146,0.04447124828385407,102
M00147,0.07058056654530423,38
M00148,0.32866974566743423,44
M00151,0.10371349883229439,34
M00152,0.12902365580068606,86
M00154,0.156988244236464,73
M00158,0.061272001452617075,87
M00160,0.11463020625045461,69
M00165,0.1166726431291413,62
M00168,0.13601597435232438,2
M00169,0.17666228982616952,16
M00170,0.07226151983608424,55
M00171,0.11473673996655007,90
M00172,0.17666228982616952,16
M00173,0.1860890149988568,46
M00307,0.05598816580939415,78
M00308,0.04681201829330825,22
M00338,0.38254593844116125,9
M00344,0.11199956593876373,24
M00345,0.13625619417424575,30
M00346,0.14017229525611172,72
M00357,0.18967443211057455,16
M00364,0.4626117724542514,5
