pathway_name,distance,n
M00001,0.16505318888156595,4
M00002,0.2707670986428037,2
M00003,0.3000191190262696,1
M00009,0.22011448393190103,2
M00011,0.2215538606952425,2
M00014,0.11535884230347594,3
M00017,0.32917509594223837,1
M00019,0.4236870490122135,1
M00020,0.40155031583359596,1
M00027,0.4246968190871734,1
M00029,0.44403962364293253,1
M00032,0.14545322608639333,2
M00034,0.31352798883308225,2
M00035,0.11546053542854545,4
M00036,0.14361928186620387,3
M00037,0.4103526848330407,1
M00042,0.4795906137354141,1
M00044,0.4887221585121541,1
M00045,0.1580948119286824,2
M00047,0.44496051850925483,2
M00048,0.37865874961362556,1
M00049,0.32546000648865864,2
M00051,0.4013050685744089,1
M00055,0.48991719225972813,2
M00056,0.49241926310591677,3
M00057,0.550792826699033,1
M00058,0.5147715925345931,1
M00059,0.06036433554226863,5
M00065,0.5556433361388146,1
M00066,0.5872978664288279,1
M00067,0.6184679346548423,1
M00068,0.6496749734178433,1
M00069,0.5513569374608511,1
M00070,0.6590603086853698,1
M00071,0.5804892887718321,1
M00072,0.13772777668101463,2
M00075,0.15033067440576822,2
M00076,0.5262533552526533,1
M00077,0.5260333015781025,1
M00078,0.45171676560133067,1
M00082,0.43840144143252463,1
M00085,0.21624930444139473,2
M00086,0.3302833938852115,1
M00087,0.13188109693339475,6
M00088,0.4208253612351374,1
M00089,0.18920437629489276,5
M00090,0.33446512101031656,2
M00091,0.4243482473705481,1
M00092,0.08961287611150387,3
M00093,0.1306940948346272,2
M00094,0.39256289399226696,2
M00095,0.4303147318929568,1
M00098,0.12358877243702275,3
M00099,0.4011069492305271,2
M00100,0.3086705591029712,1
M00101,0.14929353333771384,3
M00102,0.1482238687098083,3
M00104,0.37403050881516076,2
M00106,0.5526169081287744,1
M00113,0.16392179946875363,3
M00114,0.4166903656665731,1
M00115,0.451270549279666,1
M00119,0.4236870490122135,1
M00120,0.12554720934545946,4
M00122,0.1109415834261165,2
M00124,0.4592746555353736,1
M00126,0.5008023252653534,1
M00128,0.09192605107478398,3
M00129,0.13440991107387432,2
M00130,0.36254282232581136,2
M00135,0.39148129681654803,1
M00140,0.4082242726864041,1
M00141,0.3611982747753811,1
M00142,0.18953998109396653,9
M00143,0.43104945697706143,1
M00151,0.16040458129796858,5
M00152,0.14769274377742936,6
M00154,0.21610910445347165,7
M00160,0.3207169545492438,2
M00165,0.2976323436159079,1
M00170,0.4802202847416974,1
M00171,0.4068075358578712,1
M00307,0.4301600195244034,1
M00344,0.313357499736711,1
M00345,0.20571125030941326,2
M00346,0.37609632111333846,1
M00366,0.39266972430372066,1
M00367,0.4116788282110596,1
M00368,0.3340635271095548,1
M00373,0.38967389500221233,1
M00374,0.4182360844408732,1
M00375,0.43716677607754695,1
M00415,0.4349516631366349,1
M00532,0.4277261683817231,1
M00549,0.14409235407632592,2
M00554,0.3871261593122465,1
M00570,0.4386775994247966,1
M00609,0.3340635271095548,1
M00621,0.36156195759580784,1
M00632,0.3935280903325917,1
M00740,0.31266776023531556,1
M00844,0.3934943847838225,1
M00849,0.4326553875250254,1
M00854,0.4342899856929467,1
M00855,0.3554903472865452,2
M00861,0.15245784832001616,3
M00872,0.47023838748459956,2
M00873,0.4627868982455931,1
M00874,0.40255341143512424,1
M00882,0.4234488544121654,1
M00883,0.5141909244389242,1
M00885,0.4250234127188977,1
M00886,0.4250234127188977,1
M00892,0.13824548861178548,2
M00909,0.3947904305955634,1
M00912,0.4800604036780198,1
M00938,0.35243974040658443,1
M00953,0.3340635271095548,1
M00955,0.502085572175,1
M00957,0.3987692737690925,1
M00958,0.41347923079258336,2
M00959,0.4033984291241412,1
M00972,0.4647256269151859,2
M00974,0.13343106682614042,2
M00975,0.43157603244432446,1
M00978,0.3886158542370139,1
M00995,0.41906979203238093,1
M01000,0.4166903656665731,1
M01001,0.49517221914712956,1
M01002,0.41906979203238093,1
M01006,0.4076044283580136,1
M01015,0.1478966243252276,2
hsa00010,0.1047335924186604,5
hsa00020,0.21808868139965035,2
hsa00030,0.16054424289304528,2
hsa00040,0.11323804808928799,3
hsa00051,0.1043462382558576,7
hsa00052,0.06824599604119086,5
hsa00053,0.11274853767722631,3
hsa00061,0.16546633577862993,2
hsa00062,0.1041137417923987,4
hsa00071,0.12720077796125354,7
hsa00100,0.14041353569304352,4
hsa00120,0.3959996235487461,2
hsa00130,0.10267832138862941,3
hsa00140,0.17468681767797295,3
hsa00190,0.08708355963857914,25
hsa00220,0.3863687010152986,2
hsa00230,0.07775681114069803,10
hsa00232,0.49510525449639614,1
hsa00240,0.24219848134980748,5
hsa00250,0.1941237376731112,4
hsa00260,0.20373108332911036,3
hsa00270,0.11152548427370994,5
hsa00280,0.13384166028126815,7
hsa00290,0.4386775994247966,1
hsa00310,0.1077906548299694,11
hsa00330,0.282552854685784,4
hsa00340,0.16141215421522748,2
hsa00350,0.35213301457182816,2
hsa00360,0.4264463924253674,1
hsa00380,0.15014768015749125,2
hsa00400,0.4928975150235306,1
hsa00410,0.1524999139470822,2
hsa00430,0.488430881729407,1
hsa00440,0.12553936065378474,2
hsa00450,0.2712766859397168,4
hsa00480,0.11012068573924665,3
hsa00500,0.05678272447043355,6
hsa00510,0.19204840836596906,5
hsa00512,0.5068491049880282,4
hsa00513,0.196675195205354,5
hsa00514,0.46911320942398177,4
hsa00515,0.09640261220889207,4
hsa00520,0.16248951805226716,3
hsa00524,0.34756220796652854,1
hsa00531,0.4920182337929689,2
hsa00532,0.5742733053649505,1
hsa00533,0.4540587468414861,2
hsa00534,0.06805171174179442,6
hsa00541,0.42729542122786485,1
hsa00561,0.21279738262107842,8
hsa00562,0.301699654808277,6
hsa00563,0.15455723307910094,2
hsa00564,0.17736333008476035,9
hsa00565,0.07806995687503972,4
hsa00590,0.4910862601322908,1
hsa00591,0.5144183841486109,1
hsa00592,0.23554270076427053,3
hsa00600,0.29771177678186805,3
hsa00601,0.5847105972490668,1
hsa00603,0.5476040751438896,1
hsa00604,0.13987450265595483,2
hsa00620,0.2877523845211513,2
hsa00630,0.4059777954827731,1
hsa00640,0.08547390343448154,3
hsa00650,0.12032431079859157,3
hsa00670,0.3042777423202473,2
hsa00730,0.14935298132855385,2
hsa00750,0.4671985761552284,1
hsa00760,0.0574302530351821,7
hsa00770,0.14857294956845135,4
hsa00780,0.3238217908884123,1
hsa00785,0.40618520022896537,1
hsa00790,0.22187530008814782,3
hsa00830,0.17153114925041696,3
hsa00860,0.23741678241411707,5
hsa00900,0.1254826035337013,2
hsa00910,0.41041273598193573,1
hsa00920,0.2071192027596846,3
hsa00970,0.1975188765207623,9
hsa00980,0.16455151964906475,3
hsa00982,0.16691816222704442,3
hsa00983,0.08625390021230135,4
hsa01040,0.14694546776873696,5
hsa01100,0.03662352596868706,101
hsa01200,0.13459197425765937,7
hsa01210,0.4102819394413356,1
hsa01212,0.14577392862104321,8
hsa01230,0.12887726419543516,5
hsa01232,0.25147022118176526,7
hsa01240,0.19621893146446118,13
hsa01250,0.1638961921022208,3
hsa01521,0.05011262664051946,15
hsa01522,0.043519495536783866,21
hsa01523,0.4096209064125995,2
hsa01524,0.13428862768116312,2
hsa02010,0.4486895714745834,1
hsa03008,0.18623794041057606,9
hsa03010,0.11131009500541131,9
hsa03013,0.06766969059161394,8
hsa03015,0.1582971980743603,7
hsa03018,0.07350625754204985,5
hsa03020,0.10039875769695172,3
hsa03022,0.22976117510729283,4
hsa03030,0.12641480473849576,2
hsa03040,0.058128218933428275,15
hsa03050,0.4875726211158676,2
hsa03060,0.443054986960497,2
hsa03082,0.1932700912906634,15
hsa03083,0.11161555148092135,17
hsa03250,0.11924024622342513,10
hsa03260,0.3676445799409869,2
hsa03264,0.3528868839842129,3
hsa03265,0.3836865873753919,2
hsa03266,0.17517045985798987,3
hsa03267,0.2641839299677583,1
hsa03272,0.11126977905961795,4
hsa03273,0.47671569886011783,1
hsa03320,0.07631265564152694,12
hsa03410,0.10464964570601575,4
hsa03420,0.09057160229279886,4
hsa03430,0.457177452328498,2
hsa03440,0.49173925793681716,1
hsa03450,0.6511282186122178,1
hsa03460,0.12311023736471653,5
hsa04010,0.05210981456177933,35
hsa04012,0.07044469020189931,14
hsa04014,0.054898079606479015,24
hsa04015,0.023889537945703993,26
hsa04020,0.07726963123915458,30
hsa04022,0.08039842409559744,14
hsa04024,0.050753881866947265,23
hsa04060,0.13778688041616693,16
hsa04061,0.23462001915774405,4
hsa04062,0.02700623211178193,19
hsa04064,0.06515197718384959,8
hsa04066,0.05549560791924104,13
hsa04068,0.04167439758341699,17
hsa04070,0.19379793236874399,6
hsa04071,0.08401472842681447,14
hsa04072,0.03659086039098376,20
hsa04080,0.0809019039762191,26
hsa04081,0.17972690979978756,20
hsa04082,0.14197587857487445,19
hsa04110,0.1585263851127383,21
hsa04114,0.18315814115497558,10
hsa04115,0.10223938009072338,6
hsa04120,0.06976140740502769,10
hsa04122,0.46219626350269455,1
hsa04136,0.2510249003935412,2
hsa04137,0.20109867737409395,14
hsa04140,0.06679231983197256,15
hsa04141,0.1201129640356713,12
hsa04142,0.061526047665393276,12
hsa04144,0.07102780105112375,21
hsa04145,0.1293251930054171,15
hsa04146,0.11544041602249457,11
hsa04148,0.05361776477701105,27
hsa04150,0.10121543869314588,14
hsa04151,0.057344619399603426,53
hsa04152,0.10608078877948542,13
hsa04210,0.10879711227413164,11
hsa04211,0.13882921851969843,11
hsa04213,0.1852694777324759,7
hsa04215,0.14520731022179215,2
hsa04216,0.14442140012666516,6
hsa04217,0.04652271241291009,18
hsa04218,0.03945314747006147,22
hsa04260,0.10632053757097322,17
hsa04261,0.08177967472984392,14
hsa04270,0.26203145545934614,12
hsa04310,0.08939077383385212,23
hsa04330,0.09732983902375164,10
hsa04340,0.06734474635042473,8
hsa04350,0.04966621797267382,11
hsa04360,0.11821791082229846,31
hsa04370,0.07644647416947922,7
hsa04371,0.06799195331858814,15
hsa04380,0.0871627694861132,10
hsa04382,0.03322510655170226,22
hsa04390,0.15912874790882076,16
hsa04392,0.3008053194643116,8
hsa04510,0.06606653144167264,34
hsa04512,0.09773602315312892,27
hsa04514,0.14081202854216945,15
hsa04520,0.08205839678671535,9
hsa04530,0.03993662124355783,24
hsa04540,0.06418014061722901,10
hsa04550,0.05493899329604769,13
hsa04610,0.0774769617137525,13
hsa04611,0.1850383805892063,13
hsa04612,0.1565902785621848,6
hsa04613,0.05675999140812657,18
hsa04614,0.10253702441601846,3
hsa04620,0.05798078722437614,7
hsa04621,0.07917378175636672,20
hsa04622,0.1106831870986856,9
hsa04623,0.0840894805908664,9
hsa04625,0.25875316501142065,12
hsa04630,0.13601294514322432,18
hsa04640,0.05529732452924693,13
hsa04650,0.048033383842863785,21
hsa04657,0.07053180540478499,5
hsa04658,0.04697919691804256,13
hsa04659,0.05373230280199023,18
hsa04660,0.07641987614122309,13
hsa04662,0.07637626780081905,8
hsa04664,0.1483652586484122,5
hsa04666,0.059479262972350115,11
hsa04668,0.11573297173624246,12
hsa04670,0.06989975045878426,16
hsa04672,0.12285622633171385,6
hsa04710,0.14678521220840535,3
hsa04713,0.1101561088434754,8
hsa04714,0.05851966870886166,38
hsa04720,0.0638799003110545,14
hsa04721,0.058699307487501316,6
hsa04722,0.049289717889759374,11
hsa04723,0.09294508117290733,19
hsa04724,0.06311758697908536,20
hsa04725,0.04585305492730311,10
hsa04726,0.13097546900257467,11
hsa04727,0.047636536388550796,10
hsa04728,0.10401687352444698,9
hsa04730,0.16550800913058053,7
hsa04740,0.12163596545711401,18
hsa04742,0.08843747877181143,6
hsa04744,0.31708078358991076,2
hsa04750,0.10087452485315528,6
hsa04810,0.0674858243866747,26
hsa04814,0.10266373696947423,21
hsa04820,0.11748318572108546,41
hsa04910,0.12514876924621032,16
hsa04911,0.13883325317010242,7
hsa04912,0.11243519530562532,12
hsa04913,0.29790551806349813,3
hsa04914,0.06910055084408202,9
hsa04915,0.16748448300527913,10
hsa04916,0.09555121425971569,11
hsa04917,0.12362647063971877,9
hsa04918,0.05719718449648606,12
hsa04919,0.06386664496045752,23
hsa04920,0.12593142850043734,10
hsa04921,0.17211179603114418,17
hsa04922,0.09871391697407324,11
hsa04923,0.19998911534648894,6
hsa04924,0.2441165421580248,6
hsa04925,0.08468777270011658,9
hsa04926,0.12458382577360738,16
hsa04927,0.204546601616781,7
hsa04928,0.07650076511139176,19
hsa04929,0.21870788032886732,7
hsa04930,0.2002122683057618,5
hsa04931,0.23150495684203873,12
hsa04932,0.09573546713952515,19
hsa04933,0.12019711055092434,14
hsa04934,0.07024029587633514,18
hsa04935,0.10674911313551165,17
hsa04936,0.05074790970688149,12
hsa04940,0.2890979630676589,3
hsa04950,0.4524947589533223,1
hsa04960,0.38813729686245046,2
hsa04961,0.10430608650193084,7
hsa04962,0.07034164163747805,5
hsa04964,0.32901952314098337,1
hsa04966,0.3401606935172026,2
hsa04970,0.07022329013272302,11
hsa04971,0.10666742474564776,4
hsa04972,0.06738626488583187,6
hsa04973,0.23749867643712808,4
hsa04974,0.21344234615834257,14
hsa04975,0.0950607405567311,6
hsa04976,0.071986542553804,5
hsa04977,0.1437407218111887,6
hsa04978,0.07468857815898503,10
hsa04979,0.248039798994972,4
hsa04980,0.19983589289944537,5
hsa04981,0.37397544894381585,2
hsa05010,0.041518036273321825,46
hsa05012,0.0523219491862473,34
hsa05014,0.13233144273177186,48
hsa05016,0.09080275455651705,47
hsa05017,0.1600772028928153,16
hsa05020,0.0409006831520317,35
hsa05022,0.07274958714637783,56
hsa05030,0.11550747230518527,7
hsa05031,0.16095819201586026,6
hsa05032,0.14372743206230737,7
hsa05033,0.4540284349587811,3
hsa05034,0.04660335558409048,13
hsa05100,0.08914275902091584,11
hsa05110,0.1665082003092315,6
hsa05120,0.194148580528479,5
hsa05130,0.029001155669165182,23
hsa05131,0.03354226216198668,22
hsa05132,0.054827530950766735,19
hsa05133,0.12506281333552133,3
hsa05134,0.09296419757086438,7
hsa05135,0.07874273356007756,20
hsa05140,0.04843427988241142,12
hsa05142,0.05523005181214806,9
hsa05143,0.08119069780678652,10
hsa05144,0.14292421051749263,14
hsa05145,0.05956454159699099,13
hsa05146,0.12388558947861235,17
hsa05150,0.11506325093739234,12
hsa05152,0.06084585487704912,21
hsa05160,0.09410742708415736,24
hsa05161,0.0767560592114327,33
hsa05162,0.05343085740485188,14
hsa05163,0.03377598172349073,32
