pathway_name,distance,n
M00001,0.09116868602960145,183
M00002,0.09345422008308428,63
M00003,0.06365274369785297,93
M00004,0.062219763608542894,28
M00005,0.10603279116913869,41
M00006,0.36711179312016884,5
M00007,0.13054483873316866,22
M00009,0.1883073112436611,206
M00010,0.24152965094660445,99
M00011,0.14324115012022728,114
M00012,0.3747221053905086,84
M00013,0.07948449839907121,89
M00014,0.0409849102072005,142
M00015,0.11281585478569013,45
M00017,0.16240713254821829,30
M00019,0.1162923888097631,74
M00020,0.12651978050496726,20
M00027,0.08603911663597971,73
M00028,0.19639237060960602,25
M00029,0.08175135577638507,55
M00032,0.05734251068937065,162
M00034,0.25192402507611633,189
M00035,0.043001668826320505,159
M00036,0.0788776617985776,192
M00037,0.07401274431387322,119
M00038,0.05460239603730782,73
M00042,0.02985738142564401,84
M00043,0.17759730650258054,11
M00044,0.06692022234745441,59
M00045,0.06651086912680822,40
M00046,0.22802240120647266,19
M00047,0.16598699693181973,260
M00048,0.19466558124821046,79
M00049,0.04040120430930575,131
M00050,0.222483373964153,162
M00051,0.0590986451007193,46
M00052,0.03328127122974037,106
M00053,0.11322499059484843,244
M00055,0.05307914904580614,63
M00056,0.0545486577447598,210
M00057,0.10653852360539964,64
M00058,0.07599449970851943,58
M00059,0.0359952980548048,155
M00065,0.05161991141113112,73
M00066,0.05611391707853545,54
M00067,0.12538573357740457,24
M00068,0.12491887648642942,69
M00069,0.07076087435729407,64
M00070,0.14682944395595912,64
M00071,0.1372536101755377,53
M00072,0.13875635109527237,112
M00073,0.060316825965719766,62
M00074,0.05692801603042805,53
M00075,0.03483986177485503,123
M00076,0.24139769095071856,93
M00077,0.15537148352210817,135
M00078,0.055018483230412266,95
M00079,0.06418146318598589,81
M00082,0.058505054181828185,87
M00083,0.1254415235806997,42
M00085,0.03478155558374758,82
M00086,0.12201946162997437,38
M00087,0.09364302460293732,104
M00088,0.07505393866616604,82
M00089,0.03994067446392592,181
M00090,0.1779072838974446,31
M00091,0.0571330625813363,25
M00092,0.06440281499947353,50
M00093,0.06027977652712673,31
M00094,0.10068604493532447,122
M00095,0.0923680170925045,87
M00096,0.19280684499356918,4
M00098,0.07068269492693806,263
M00099,0.10847359959422909,143
M00100,0.05643464241198335,72
M00101,0.0957898658045402,154
M00102,0.12925159855762003,121
M00103,0.06335809765922551,42
M00104,0.026355353760251513,161
M00106,0.07244214329924266,53
M00107,0.1042088940847172,49
M00108,0.06703413480599735,64
M00109,0.0914196194628109,107
M00110,0.03261871017448465,64
M00113,0.12482882552971653,32
M00114,0.07606520854420272,28
M00115,0.05657649557975432,56
M00118,0.11085469929744983,10
M00119,0.1162923888097631,74
M00120,0.09474417087144016,126
M00121,0.10868759011749199,70
M00122,0.08302760227055635,38
M00124,0.08809619914497309,10
M00126,0.2834667158973139,107
M00128,0.15303286859684592,63
M00129,0.046414353040484864,125
M00130,0.03407657642897364,181
M00131,0.18324396660259387,35
M00132,0.05990706791259323,44
M00133,0.09120770003635625,40
M00134,0.3021590350606356,16
M00135,0.06932965016180676,44
M00140,0.07161933928073011,32
M00141,0.05832783686797456,51
M00142,0.09731608321142622,19
M00143,0.15153746540463348,26
M00146,0.0853093238575559,114
M00147,0.08445538260054929,44
M00148,0.2360197197809106,40
M00151,0.09331911565754891,22
M00152,0.059380648507380666,65
M00154,0.04602881782228387,98
M00158,0.04894206663758177,83
M00160,0.046652862776533924,96
M00165,0.04084697599265011,81
M00168,0.1770567920773741,13
M00169,0.11257612974120493,32
M00170,0.0651263745418965,57
M00171,0.04838951266705812,91
M00172,0.11257612974120493,32
M00173,0.06675350829883257,51
M00307,0.13556947933599842,87
M00308,0.2590125678985762,14
M00338,0.1409232545118821,24
M00344,0.09045002415599536,51
M00345,0.11793076441532226,40
M00346,0.10825004078379927,76
M00357,0.16031264026561404,31
M00364,0.19280684499356918,4
M00365,0.19280684499356918,4
M00366,0.24006169977563188,24
M00367,0.2404352729590709,25
M00368,0.21290434625597998,60
M00373,0.06436228938401167,67
M00374,0.08178832583826465,28
M00375,0.05848224831372735,46
M00376,0.070741930739701,49
M00415,0.05246282990919681,117
M00532,0.026461880174099058,99
M00546,0.17169569689007416,14
M00549,0.08095552039682581,110
M00552,0.2590125678985762,14
M00554,0.055717425582192656,31
M00555,0.1294033804791744,13
M00565,0.40390021371909823,4
M00570,0.059850454208567855,112
M00572,0.11265281211122471,39
M00609,0.21290434625597998,60
M00621,0.044241819859843545,54
M00632,0.039694968601528074,47
M00740,0.11991236359062529,47
M00741,0.07127298897735505,39
M00761,0.2256602155800479,4
M00793,0.16942947036878742,81
M00840,0.3956133491593573,51
M00841,0.4837134279739121,5
M00842,0.09096988785354537,18
M00843,0.2680648936021547,15
M00844,0.05893459549453653,33
M00845,0.13485144703250626,29
M00846,0.06352965530956275,21
M00849,0.08984398263917016,87
M00854,0.09237536226775024,48
M00855,0.08021689860976955,60
M00861,0.11238455568715681,56
M00862,0.09914621141363543,30
M00868,0.05494731017400635,69
M00872,0.017968247755397664,137
M00873,0.033828066707182636,105
M00874,0.04189186204985645,128
M00880,0.28051064352474775,46
M00881,0.3133875779206119,1
M00882,0.3032485215136492,5
M00883,0.11494515262316257,9
M00884,0.3133875779206119,1
M00885,0.1322409648255663,37
M00886,0.1322409648255663,37
M00892,0.17627808543369874,82
M00897,0.29569493844777467,6
M00898,0.29569493844777467,6
M00909,0.24217425477887383,71
M00911,0.15911269116628754,30
M00912,0.051997320213247496,99
M00913,0.0637501179679222,10
M00917,0.12886252362657247,74
M00926,0.06347952997439098,37
M00936,0.07508858390836527,24
M00938,0.11348610091580943,248
M00953,0.21290434625597998,60
M00955,0.05674292330189388,71
M00957,0.06236764141684433,60
M00958,0.09958152048800498,133
M00959,0.13033845518919832,91
M00968,0.3958587596558053,10
