pathway_name,distance,n
M00001,0.06433151504575889,103
M00002,0.03921791311692932,61
M00003,0.03875185848933946,89
M00004,0.08960151741650428,52
M00005,0.08372990610055685,41
M00006,0.05917705765896315,23
M00007,0.16298897947848012,32
M00008,0.1098474373608135,17
M00009,0.1157754379461028,121
M00010,0.10606760512248209,43
M00011,0.10602989840806094,88
M00012,0.11531873917347561,45
M00013,0.0815618564304392,123
M00014,0.030237872205155284,111
M00015,0.07214453475978326,46
M00017,0.0930583833447684,81
M00019,0.043430002448685986,33
M00020,0.08045074954023505,36
M00027,0.060266569832697264,117
M00028,0.13582135239047272,13
M00029,0.0761589654363384,74
M00032,0.05464506854840919,118
M00034,0.07451100314459355,172
M00035,0.03137593767960216,163
M00036,0.05324289469867632,182
M00037,0.0629231908559055,141
M00038,0.06447477373370655,61
M00042,0.09968850830217656,120
M00043,0.3308868510511114,1
M00044,0.1681053675161402,66
M00045,0.04116234325181971,27
M00046,0.17771839257213407,17
M00047,0.10934985196329117,142
M00048,0.10060478700421924,83
M00049,0.04824165814547621,99
M00050,0.120632608764681,74
M00051,0.1029098477614833,37
M00052,0.05176630587425953,55
M00053,0.05797684956860145,78
M00055,0.05882347470875393,86
M00056,0.06390756570542304,115
M00057,0.17036735655750035,34
M00058,0.3375103965419478,47
M00059,0.0838105314183129,96
M00065,0.20163886478024146,48
M00066,0.17450180389042325,25
M00067,0.17960905344177583,25
M00068,0.32003772509847017,36
M00069,0.1577182643903037,54
M00070,0.4549634498730643,27
M00071,0.41335510568939,28
M00072,0.0868342512046373,76
M00073,0.044595689509649435,54
M00074,0.06509901837385705,41
M00075,0.0640789746953734,70
M00076,0.08564987152434075,68
M00077,0.09847665565171576,82
M00078,0.08678029692641911,81
M00079,0.030853663088172632,44
M00082,0.1023676055225121,82
M00083,0.07021792897503543,52
M00085,0.07761576202012879,84
M00086,0.07968100997568632,41
M00087,0.12351190715229436,104
M00088,0.10513640306444977,127
M00089,0.027911947898334063,166
M00090,0.0864418298209347,40
M00091,0.11497374967907407,77
M00092,0.04287954795813235,59
M00093,0.09939244860883113,36
M00094,0.07748715027565327,91
M00095,0.14013797735823172,136
M00096,0.06634843581015967,11
M00098,0.053688879630965004,170
M00099,0.05338383023062886,131
M00100,0.13952345788716802,40
M00101,0.07225663820875029,188
M00102,0.08864107531581601,161
M00103,0.08526958274093607,19
M00104,0.15410163834562848,173
M00106,0.26448954131198804,39
M00107,0.06861473812186636,26
M00108,0.05168886300925164,36
M00109,0.16229197495900274,61
M00110,0.2557260466100094,51
M00113,0.19871326599358438,52
M00114,0.15922524637563668,21
M00115,0.09437686885220649,59
M00118,0.09773778174786993,26
M00119,0.043430002448685986,33
M00120,0.05006901940777582,109
M00121,0.059436175795239035,126
M00122,0.08667765758603183,89
M00124,0.11350761682550115,21
M00126,0.04801451205721439,65
M00128,0.16472510483833794,107
M00129,0.041527065233814844,93
M00130,0.06546139621654312,105
M00131,0.14745983379795044,21
M00132,0.2165745118201612,58
M00133,0.06300039384782066,101
M00134,0.07006124686815805,27
M00135,0.023878275933886733,64
M00140,0.05970064450451949,95
M00141,0.05001966329793587,112
M00142,0.03195815815324343,46
M00143,0.053621751678550676,39
M00146,0.1636820144406222,81
M00147,0.2625900106561895,47
M00148,0.11544735143072074,27
M00151,0.05608131654915944,31
M00152,0.05786896243154419,66
M00154,0.05985614814745712,115
M00158,0.043094395949295344,90
M00160,0.0503656232817288,100
M00165,0.12363096952979757,61
M00168,0.14253827036524938,17
M00169,0.09656068933428333,33
M00170,0.1775907184632249,56
M00171,0.04915349403901324,72
M00172,0.09656068933428333,33
M00173,0.1547919372773581,48
M00307,0.07956907467448622,57
M00308,0.10086195149067496,13
M00338,0.2189394709644591,23
M00344,0.22567937224505646,37
M00345,0.05567320536217818,28
M00346,0.06899936924371211,133
M00357,0.10733055541130841,26
M00364,0.06634843581015967,11
M00365,0.06634843581015967,11
M00366,0.05964438772200074,33
M00367,0.08509894521518319,40
M00368,0.10944823102829718,102
M00373,0.05174191847410706,124
M00374,0.25666636434638856,29
M00375,0.12713122113184247,95
M00376,0.07952903964893951,96
M00415,0.055254245443011954,96
M00532,0.06000371083543164,162
M00546,0.17030842910914615,17
M00549,0.037878011030534516,54
M00552,0.10086195149067496,13
M00554,0.32217867325871447,23
M00555,0.2235699091079015,9
M00565,0.4310355129458576,7
M00570,0.04248112019452836,49
M00572,0.07592556733320306,52
M00580,0.36831787128672117,6
M00609,0.10944823102829718,102
M00621,0.0771006353955924,105
M00632,0.1769570293665896,44
M00740,0.16310162109609683,31
M00741,0.07161970394390148,102
M00761,0.1467623851225784,6
M00793,0.15447385787182366,26
M00840,0.42560727239630114,4
M00841,0.3117476991522667,10
M00842,0.06346633824026007,33
M00843,0.0829230881161965,26
M00844,0.039782389830344725,58
M00845,0.0769826095331724,51
M00846,0.06604673709332366,78
M00849,0.14170430181275548,136
M00854,0.10072478195421046,38
M00855,0.08085792478785513,35
M00861,0.0997619258147363,89
M00862,0.0634670224749138,51
M00868,0.05380490043873505,121
M00872,0.08234023838236858,118
M00873,0.10970514417020703,155
M00874,0.06524936428427798,117
M00880,0.17522338818801864,41
M00882,0.3999706782458702,6
M00883,0.493526935023187,6
M00885,0.06759097597925481,50
M00886,0.06759097597925481,50
M00892,0.03484946758935761,82
M00897,0.2897431203209209,11
M00898,0.2897431203209209,11
M00909,0.05043232626958412,72
M00911,0.1652663032960558,26
M00912,0.09761501485578633,75
M00913,0.14637094714034168,34
M00917,0.08474502476248667,130
M00926,0.06006864807004794,107
M00936,0.20102570170571718,26
M00938,0.0576500170836856,83
M00953,0.10944823102829718,102
M00955,0.2346950304538589,59
M00957,0.0862671599586222,61
M00958,0.07217494317594068,158
M00959,0.0736316206035922,136
M00968,0.12821125213881576,6
M00970,0.06652561793724322,41
M00972,0.054270002579618004,65
M00974,0.061898295819976974,121
M00975,0.06750518515516658,98
M00976,0.16904144647679747,78
M00977,0.12350081350827172,81
M00978,0.05015846383667013,61
M00981,0.20102570170571718,26
M00982,0.1354771388156822,23
M00983,0.08453685022728909,111
M00987,0.18007455169108424,14
M00988,0.0829230881161965,26
M00991,0.0749098588290559,83
M00992,0.0749098588290559,83
M00994,0.3260764325523973,8
M00995,0.13803496971188828,50
M00997,0.06302407366163904,22
M00999,0.1467623851225784,6
M01000,0.15922524637563668,21
M01001,0.2333260573137071,40
M01002,0.13803496971188828,50
M01003,0.09032346982975242,42
M01004,0.12056338956261972,4
M01006,0.16367824918882962,21
M01015,0.07486524408714154,48
M01016,0.13044382786413966,14
M01017,0.11228489428413868,10
M01018,0.11228489428413868,10
M01019,0.11228489428413868,10
M01020,0.11228489428413868,10
M01022,0.15447385787182366,26
M01023,0.15447385787182366,26
M01024,0.15447385787182366,26
M01025,0.15447385787182366,26
M01026,0.15447385787182366,26
M01027,0.15447385787182366,26
M01034,0.11228489428413868,10
hsa00010,0.059927394730937736,327
hsa00020,0.05942624361194127,173
hsa00030,0.05459295986511184,112
hsa00040,0.022755708787704255,158
hsa00051,0.07819425652703717,198
hsa00052,0.04579854057291948,167
hsa00053,0.024516381462574382,132
hsa00061,0.07897311454002358,201
hsa00062,0.06203834370750296,238
hsa00071,0.06234496962660644,306
hsa00100,0.07745977655721535,231
hsa00120,0.16436335141005237,178
hsa00130,0.09843027710327172,138
hsa00140,0.047336611140464266,290
hsa00190,0.01642749865177788,444
hsa00220,0.02144078949077346,169
hsa00230,0.028186976607165383,608
hsa00232,0.1378501154114947,70
hsa00240,0.03720852186571305,350
hsa00250,0.02102909157255284,352
hsa00260,0.039748722571600205,289
hsa00270,0.03677589605290436,334
hsa00280,0.039590559063042256,323
hsa00290,0.04248112019452836,49
hsa00310,0.10867259881076802,576
hsa00330,0.04833845709769595,326
hsa00340,0.04738240327554957,202
hsa00350,0.06258338497510003,245
hsa00360,0.05456019632933566,120
hsa00380,0.05511251644976216,326
hsa00400,0.17653354494854342,84
hsa00410,0.04973397060938073,298
hsa00430,0.05911768039455548,211
hsa00440,0.05101961877432845,42
hsa00450,0.08244725716043819,218
hsa00470,0.11458038748486253,60
hsa00480,0.05729199649695057,270
hsa00500,0.04883432787980437,191
hsa00510,0.04778369013455345,245
hsa00511,0.03159943272921693,91
hsa00512,0.054137090962491516,140
