pathway_name,distance,n
M00001,0.19190224709159356,5
M00002,0.22644246331648007,2
M00003,0.16189389580738978,4
M00004,0.32598751495500367,1
M00005,0.25495535249763757,1
M00007,0.3137822780619279,1
M00009,0.2512102036392554,5
M00010,0.25375263943256215,2
M00011,0.25775925406827876,3
M00012,0.6027990284674316,1
M00013,0.2372745114928706,3
M00014,0.14660369299769022,6
M00015,0.394287208576952,1
M00017,0.5807404658815514,2
M00019,0.11222052835967224,4
M00020,0.45582683689596215,1
M00027,0.3308180290533209,1
M00029,0.3046825543941491,2
M00032,0.21646567737093184,7
M00034,0.12376734577995553,5
M00035,0.1975501384858287,5
M00036,0.12804776961594147,6
M00037,0.3777524126279,2
M00038,0.19035806448673237,5
M00042,0.10352224039912396,4
M00044,0.4651721287110824,1
M00045,0.2929125539840412,2
M00046,0.29857052414874147,1
M00047,0.14593262627869358,17
M00048,0.19069228040146308,2
M00049,0.26021640551543834,3
M00050,0.14893621588209435,4
M00051,0.5584432037260408,1
M00052,0.14186157459410714,2
M00053,0.14266840707856066,13
M00055,0.27143926749424985,5
M00056,0.13568935858824624,5
M00058,0.4927941821021695,1
M00059,0.34600805775715604,3
M00065,0.5323643250472416,1
M00068,0.6220432686878499,1
M00069,0.3001412177228659,3
M00070,0.6322853470314637,1
M00071,0.5555283715715027,1
M00072,0.31936125086888073,3
M00075,0.1341867603703897,2
M00076,0.10204309294092939,4
M00077,0.13952423891547294,6
M00078,0.31606814740264805,2
M00079,0.3253400546762436,2
M00082,0.1946746598211924,3
M00083,0.3210368754262084,1
M00085,0.16561013665789648,3
M00087,0.23062479528944868,4
M00088,0.3768396214371194,2
M00089,0.042653823705555205,10
M00090,0.2597016163533038,3
M00092,0.28389372638056487,3
M00094,0.08090470039940124,4
M00095,0.31765190918906083,3
M00098,0.08165088308244148,9
M00099,0.1344199440465536,5
M00100,0.16513431846694343,3
M00101,0.16837885938119765,4
M00102,0.3006967596923301,3
M00104,0.4856310088423754,1
M00109,0.549226346027954,1
M00110,0.5620062953571131,1
M00113,0.38186150488656434,2
M00114,0.44867174055260056,1
M00115,0.10981607372101464,3
M00119,0.11222052835967224,4
M00120,0.3595483036714796,1
M00121,0.24224232462272527,2
M00122,0.471478829409042,2
M00124,0.4064783829651627,1
M00126,0.1092152170836996,3
M00128,0.41079431943973965,1
M00129,0.33236208059131894,3
M00130,0.06420279913631514,6
M00132,0.4201110496488388,1
M00133,0.40854816966280827,1
M00134,0.3355654156413919,1
M00135,0.13411254938293649,2
M00141,0.35314824590134175,2
M00146,0.25820879211104003,2
M00147,0.22022102071701596,1
M00148,0.2315248243739552,2
M00152,0.27353477401572324,2
M00154,0.4299449272612995,1
M00160,0.4797972555274092,1
M00165,0.15980889231614134,3
M00169,0.3348571008497084,1
M00170,0.12910141027668845,3
M00171,0.13094636613964108,4
M00172,0.3348571008497084,1
M00307,0.13297864676865825,3
M00308,0.1749459001959147,2
M00338,0.36175207599487263,1
M00344,0.2807642243240227,2
M00345,0.23497123612216392,2
M00346,0.09341472965041084,3
M00357,0.3686593974571466,1
M00368,0.1589611165890348,2
M00373,0.3481243322907289,2
M00374,0.3730944143924176,2
M00375,0.39143245315077047,2
M00415,0.26986245156900507,2
M00532,0.09712115617154363,3
M00549,0.26367206475066274,3
M00552,0.1749459001959147,2
M00554,0.3144654166516496,1
M00555,0.32965025034111606,1
M00570,0.08884902760916356,5
M00572,0.31906293675578096,1
M00609,0.1589611165890348,2
M00632,0.3193477483747153,1
