pathway_name,distance,n
M00001,0.11308983845567078,1994
M00002,0.10512984087356794,1220
M00003,0.10494767320420478,1298
M00004,0.040497962388848646,611
M00005,0.22913162791839456,742
M00006,0.041967538850787356,206
M00007,0.06665036478381449,405
M00008,0.08873022281368138,100
M00009,0.2687021523740566,3191
M00010,0.34345643217571187,1778
M00011,0.18579139661224348,1609
M00012,0.41245849146677754,1672
M00013,0.07171850495436581,910
M00014,0.07477732621238327,3500
M00015,0.08828644636608865,804
M00017,0.2035692500006579,503
M00019,0.14249494509621763,570
M00020,0.0707386938082004,456
M00027,0.10676195887594196,996
M00028,0.26643808899397764,191
M00029,0.05554859201788132,885
M00032,0.11289064909602604,1449
M00034,0.2787791857671079,3076
M00035,0.1287965584685917,2069
M00036,0.16885199956038419,1595
M00037,0.15004401136247617,1672
M00038,0.12813594877439902,1190
M00042,0.08335849546931441,1298
M00043,0.05955719943735221,307
M00044,0.03464643544970585,1237
M00045,0.12850238126420724,518
M00046,0.07431959757795199,667
M00047,0.0378682622890421,1144
M00048,0.1755667110185879,1093
M00049,0.12058269195396776,3144
M00050,0.28382651291221894,3534
M00051,0.07763145004096147,530
M00052,0.10492654716884617,2452
M00053,0.1312627211177251,2707
M00055,0.010564155264242425,1366
M00056,0.018243004544128357,3141
M00057,0.0504563750942734,958
M00058,0.03332899784867108,713
M00059,0.06337694503609427,1885
M00065,0.02047165006430295,1472
M00066,0.043647177102712265,655
M00067,0.05372188757428165,343
M00068,0.16770194932809154,1181
M00069,0.0654960949898216,1404
M00070,0.13617538491136152,764
M00071,0.07038176799485457,435
M00072,0.07729341712240499,1596
M00073,0.11733304468744679,1362
M00074,0.1149019680145284,1204
M00075,0.05531819072613154,1856
M00076,0.07852231344583796,1327
M00077,0.08890928158077015,1863
M00078,0.027513597477559534,1414
M00079,0.10504756970290564,1319
M00082,0.031182248361486038,911
M00083,0.04138886578390505,825
M00085,0.09686651104465784,807
M00086,0.06194252339185736,706
M00087,0.08102144649767833,1135
M00088,0.09814391119363874,977
M00089,0.054031597251131776,3338
M00090,0.05219797780596244,677
M00091,0.14178319938532125,352
M00092,0.10221721039840001,897
M00093,0.16222584277203456,459
M00094,0.11799563641466865,1979
M00095,0.11044050900188938,1178
M00096,0.2332689833033017,104
M00098,0.15915733210432365,4408
M00099,0.09454341231226561,2629
M00100,0.035947660394443706,979
M00101,0.06510575844376941,2288
M00102,0.07721137720147922,1784
M00103,0.09248711578053259,409
M00104,0.05642297030037849,1856
M00106,0.03690561919117461,760
M00107,0.08060087318928966,933
M00108,0.08566947563975881,926
M00109,0.04426365801460838,1536
M00110,0.012705614856652808,777
M00113,0.0644809272122936,577
M00114,0.17906117870205787,422
M00115,0.14537779714800567,1259
M00118,0.13546784602448542,395
M00119,0.14249494509621763,570
M00120,0.15790965829662446,2291
M00121,0.18781601911959583,1028
M00122,0.15097882940904223,687
M00124,0.14491244768826084,267
M00126,0.249344355900258,2078
M00128,0.03251288583324041,690
M00129,0.09676464730540885,2806
M00130,0.03752910011862282,3445
M00131,0.07630550902583255,622
M00132,0.0146924469716491,948
M00133,0.21979220800145557,347
M00134,0.20186311669328846,240
M00135,0.11144093327338805,808
M00140,0.180131425684654,388
M00141,0.18304702785705282,545
M00142,0.09405168764794752,7
M00143,0.14718347350999694,293
M00146,0.032022845231637405,1254
M00147,0.11786954750475882,548
M00148,0.34070266102793595,580
M00151,0.054531272879898535,432
M00152,0.024293304878226295,1247
M00154,0.15414193208223806,1423
M00158,0.07539425475414688,2040
M00160,0.10921429930274597,1581
M00165,0.0664749715307905,1164
M00168,0.3004979368437875,170
M00169,0.13788794345100075,500
M00170,0.0552089868101005,786
M00171,0.1814522246510006,1433
M00172,0.13788794345100075,500
M00173,0.08354305451636565,577
M00307,0.1098746989563986,1480
M00308,0.14869462735298125,524
M00338,0.20704488511259775,253
M00344,0.03250547090706528,387
M00345,0.21545535457925646,366
M00346,0.2024773449270152,742
M00357,0.16872855455477562,399
M00364,0.2332689833033017,104
M00365,0.2332689833033017,104
M00366,0.2721351124740444,382
M00367,0.27508414726949243,399
M00368,0.2945499066635491,787
M00373,0.11778583559558686,791
M00374,0.06634357520144378,436
M00375,0.09013229411510418,565
M00376,0.12165234177758444,402
M00415,0.12181796682689516,1797
M00532,0.13263720177744212,1320
M00546,0.03898315604033628,497
M00549,0.16291408564110516,1276
M00552,0.14869462735298125,524
M00554,0.04268217927964231,465
M00555,0.13383076765186455,223
M00565,0.13868881210545125,59
M00570,0.1601531694502908,818
M00572,0.030161689709750278,825
M00580,0.07193897145975878,15
M00609,0.2945499066635491,787
M00621,0.20034593736239983,541
M00632,0.08986706897033972,635
M00740,0.10128019546301498,586
M00741,0.1822937607823922,454
M00761,0.074337040056,58
M00793,0.10474893539362094,523
M00840,0.37649014909808276,1024
M00841,0.27183565020478195,134
M00842,0.19715811839689476,413
M00843,0.2243759887091897,350
M00844,0.12813769802882144,645
M00845,0.182560664853572,470
M00846,0.20696725743156727,355
M00849,0.10815425683804679,1157
M00854,0.08843124245660663,906
M00855,0.02596256443745833,921
M00861,0.0935085592985144,776
M00862,0.11887913971869281,317
M00868,0.11964802046974196,1189
M00872,0.061603171795583486,2117
M00873,0.06861309432757584,1535
M00874,0.059633044245181906,1614
M00880,0.217956040623156,783
M00881,0.3271807210325548,105
M00882,0.15566483925306454,242
M00883,0.05806024245686082,256
M00884,0.3271807210325548,105
M00885,0.08091631890669958,461
M00886,0.08091631890669958,461
M00892,0.20516182735768282,963
M00897,0.1952830992551965,146
M00898,0.1952830992551965,146
M00909,0.23134136930607938,847
M00911,0.20477213782310702,358
M00912,0.12078151473243967,1841
M00913,0.17798314138281066,245
M00917,0.055461433078315824,1471
M00926,0.17935427964175715,560
M00936,0.2734268814533556,185
M00938,0.13433943208225593,2728
M00953,0.2945499066635491,787
M00955,0.06912364486376518,1133
M00957,0.088480755986056,689
M00958,0.05667719630921588,2339
M00959,0.12260138957920887,1723
M00968,0.10974046034012468,50
M00970,0.08301315189995247,426
M00972,0.028467169922453774,1074
M00974,0.12305827134925976,1216
M00975,0.11415476580465164,515
M00976,0.06276758275087414,1996
M00977,0.08743261238746264,1970
M00978,0.12502956879335095,663
M00981,0.2734268814533556,185
M00982,0.03296852029317379,134
M00983,0.08289752417793957,1260
M00987,0.04838766719224272,577
M00988,0.2243759887091897,350
M00991,0.19216616337249848,480
M00992,0.19216616337249848,480
M00994,0.1946641040572293,486
M00995,0.32359790870283833,656
M00997,0.03533008045394375,129
M00999,0.074337040056,58
M01000,0.17906117870205787,422
M01001,0.03182357273851129,369
M01002,0.32359790870283833,656
M01003,0.1145512764167379,380
M01004,0.29761151093538535,79
M01006,0.13783861274032594,298
M01015,0.161298142248556,871
M01016,0.15598700367418636,157
M01017,0.19704382485653651,71
M01018,0.19704382485653651,71
M01019,0.19704382485653651,71
M01020,0.19704382485653651,71
M01022,0.10474893539362094,523
M01023,0.10474893539362094,523
M01024,0.10474893539362094,523
M01025,0.10474893539362094,523
M01026,0.10474893539362094,523
M01027,0.10474893539362094,523
M01034,0.19704382485653651,71
hsa00010,0.07706674044334702,5660
hsa00020,0.24117863931474143,4364
hsa00030,0.07859723891101117,2108
hsa00040,0.09901623066358767,4887
hsa00051,0.10304909547924396,3684
hsa00052,0.05198565711071363,4743
hsa00053,0.07638186742236619,3684
hsa00061,0.0614583980850977,2534
hsa00062,0.1455696906483482,3465
hsa00071,0.040500567862208924,4195
hsa00100,0.05833337319756161,3301
hsa00120,0.03717077200430252,2065
hsa00130,0.03225005127114594,1711
hsa00140,0.05769187824194535,7335
hsa00190,0.05816823173877135,6479
hsa00220,0.08987756037756475,2904
hsa00230,0.105694750468172,14534
hsa00232,0.05298469457863915,1381
hsa00240,0.06906462092474637,6182
hsa00250,0.10970342491747383,4909
hsa00260,0.07629018888402916,3814
hsa00270,0.1503245502217118,5856
hsa00280,0.12105235719013714,3808
hsa00290,0.1601531694502908,818
hsa00310,0.02849584315009271,9715
hsa00330,0.026652124586880543,4550
hsa00340,0.07451758420849505,2456
hsa00350,0.11870122646518406,5777
hsa00360,0.09909183767083105,2405
hsa00380,0.07252876624621564,4708
hsa00400,0.037351333011626096,1448
hsa00410,0.04662150600301047,4078
hsa00430,0.0856216129859245,2623
hsa00440,0.12496566800056427,689
hsa00450,0.18995856478892245,2897
hsa00470,0.07694506282914607,629
hsa00480,0.16165685592972193,6000
hsa00500,0.06684875220555166,4922
hsa00510,0.058397615826413674,6143
hsa00511,0.04739724112506268,1833
hsa00512,0.010559758312354965,4413
hsa00513,0.04990853147676967,5015
hsa00514,0.02914873772958106,5187
hsa00515,0.074042233255387,3351
hsa00520,0.10957076791524946,3282
hsa00524,0.17183610576654015,666
