pathway_name,distance,n
M00001,0.10889494608625486,130
M00002,0.07101544827635668,64
M00003,0.04093179963760557,65
M00004,0.14076688339159088,39
M00005,0.2923687371389271,27
M00006,0.4199734579248875,7
M00007,0.055704616109482075,30
M00009,0.1503215999324618,169
M00010,0.14651130712225077,69
M00011,0.15579207824629324,104
M00012,0.14840276077655257,60
M00013,0.041530247301264644,51
M00014,0.044121888880577095,130
M00015,0.20334481392959364,44
M00017,0.16938445146901485,42
M00019,0.2792066647835364,41
M00020,0.14253964090804772,22
M00027,0.08819307507405837,68
M00028,0.21931243454371613,10
M00029,0.07341443564664599,56
M00032,0.14796617368574405,94
M00034,0.1597539187596686,123
M00035,0.07983347020292544,102
M00036,0.1566450854531545,121
M00037,0.08689802890456705,96
M00038,0.1186621957167253,76
M00042,0.04140214393773251,75
M00043,0.16206718013833615,10
M00044,0.05057003093474688,63
M00045,0.13122692790913915,33
M00046,0.05040168058884402,24
M00047,0.22599888299374815,259
M00048,0.3159301077844238,57
M00049,0.1705875592828161,136
M00050,0.21176984624555234,131
M00051,0.16197151297636217,31
M00052,0.12796352487927173,110
M00053,0.14449371866791166,301
M00055,0.03645507109875912,62
M00056,0.05275637919410848,140
M00057,0.03842422780776154,41
M00058,0.10371280754229523,61
M00059,0.034229794932673877,96
M00065,0.04720198741198339,84
M00066,0.07636407060372367,49
M00067,0.1256317132263298,27
M00068,0.07958434067956839,54
M00069,0.05460764984653306,56
M00070,0.06925923998323676,36
M00071,0.05193757695129888,21
M00072,0.041167546034142584,90
M00073,0.06990342583914824,79
M00074,0.08084905344088048,74
M00075,0.06044317725260931,93
M00076,0.09783263935098596,62
M00077,0.07154554496505108,71
M00078,0.07217572330378204,85
M00079,0.062072056939619744,33
M00082,0.08369633609982768,59
M00083,0.15281629186481485,44
M00085,0.051790626063528696,52
M00086,0.035036753295426805,51
M00087,0.0839973847194314,45
M00088,0.08511553092998561,77
M00089,0.08077322124644593,140
M00090,0.14482596901530084,30
M00091,0.053375027541338875,31
M00092,0.07090511336661565,38
M00093,0.17199409788501155,26
M00094,0.10467300101578651,84
M00095,0.06419820259819393,73
M00096,0.40113032028706175,7
M00098,0.07318749046758753,202
M00099,0.0562238856152102,106
M00100,0.06262500115404258,55
M00101,0.027174613102177808,141
M00102,0.04100960164732349,114
M00103,0.10206406560835062,21
M00104,0.09541928903229778,99
M00106,0.05554921780530756,28
M00107,0.08731882225523073,36
M00108,0.07748370480529422,52
