pathway_name,distance,n
M00001,0.059967351128201986,1131
M00002,0.039910696778718044,514
M00003,0.06588821566355116,678
M00004,0.06748798884356966,320
M00005,0.1936581729489183,277
M00006,0.06814199773001739,135
M00007,0.13163341732590492,175
M00008,0.09155626961848369,79
M00009,0.14546816008816646,1218
M00010,0.2092696021753419,477
M00011,0.11036140583403574,785
M00012,0.27130681917991034,470
M00013,0.0415349533234872,372
M00014,0.05858550095808857,969
M00015,0.08423631179388281,391
M00017,0.17899309526327464,219
M00019,0.16436452691901854,349
M00020,0.09298221478677794,263
M00027,0.09628924181923586,423
M00028,0.2807535425248624,125
M00029,0.07376965846720995,586
M00032,0.09398830210380611,837
M00034,0.17839379843306782,1127
M00035,0.13787811445416012,953
M00036,0.12384781042885329,929
M00037,0.1920042560107942,676
M00038,0.10604973013607981,581
M00042,0.042390524277879454,464
M00043,0.07453901998335546,106
M00044,0.03227926010829988,487
M00045,0.19588641063503692,282
M00046,0.10101926402097125,174
M00047,0.07271010260234467,923
M00048,0.14600272492060826,550
M00049,0.08528569072122527,1025
M00050,0.20068638430603197,1009
M00051,0.06447398432287803,317
M00052,0.07597514775326336,778
M00053,0.02735335982770277,1279
M00055,0.021772843997932098,549
M00056,0.027371552793138684,1269
M00057,0.026210756276126276,444
M00058,0.033228843220891625,390
M00059,0.03325609162691301,945
M00065,0.05797138198916408,595
M00066,0.05426161890420311,293
M00067,0.08756804571951408,157
M00068,0.16253303249824486,334
M00069,0.04328638748999778,564
M00070,0.0763900582300495,277
M00071,0.0662354156843204,170
M00072,0.0190581156521091,683
M00073,0.04363474187331319,501
M00074,0.01636478780280602,406
M00075,0.04598327346601082,644
M00076,0.048503196900030854,569
M00077,0.0676530408848741,611
M00078,0.021697365168009377,634
M00079,0.11535490441364975,266
M00082,0.03497271931402285,489
M00083,0.028401684180708896,352
M00085,0.1048892159088122,466
M00086,0.08107674581854192,264
M00087,0.04117850714668508,569
M00088,0.038169161022912505,408
M00089,0.03236799143051529,1434
M00090,0.04027813014347337,357
M00091,0.12285059131153502,128
M00092,0.06412316798123001,390
M00093,0.06751031873096132,232
M00094,0.06509970667146373,863
M00095,0.06249909892351675,478
M00096,0.3143114315382726,58
M00098,0.07222961771284425,1764
M00099,0.0656187628058521,1005
M00100,0.02013167531182099,497
M00101,0.05212989149548877,1106
M00102,0.053628463826487775,904
M00103,0.07520910067929776,198
M00104,0.055909219827880524,819
M00106,0.0732077429545876,280
M00107,0.04688709649225538,269
M00108,0.039934351787419685,400
M00109,0.07304180935555488,579
M00110,0.056775494678801,323
M00113,0.0412486969216038,224
M00114,0.1692903447554563,211
M00115,0.11221922949332133,591
M00118,0.07000535183863363,148
M00119,0.16436452691901854,349
M00120,0.07563439650332344,830
M00121,0.12675203236861723,650
M00122,0.18585041410849587,184
M00124,0.1045171523524194,109
M00126,0.19690974165309477,663
M00128,0.0561911339639137,354
M00129,0.06308949592443654,753
M00130,0.013963248872941989,1353
M00131,0.054709083142411886,225
M00132,0.043740836768117915,285
M00133,0.2005849950505019,236
M00134,0.13159717409772007,180
M00135,0.09408782374807703,244
M00140,0.09566598714184044,126
M00141,0.1105944919520128,218
M00142,0.04913892019507366,15
M00143,0.12542150164707996,261
M00146,0.05745721494662832,596
M00147,0.14692350271121074,284
M00148,0.3173897524264746,272
M00151,0.03891181739020951,234
M00152,0.02454306242504838,588
M00154,0.05564126620330214,589
M00158,0.025104874692912584,652
M00160,0.06987186612260093,793
M00165,0.05737870095770041,514
M00168,0.22737281655609237,139
M00169,0.14238559889054042,168
M00170,0.07479029134698453,370
